turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 22.502310950939663,21.636837452826597,23.79886777906767,0.060418926,1,99.98095207407995,First,SpeedUp,non, False
2, 22.50689790500394,21.64124798558071,23.79886777906767,0.18125677,1,99.96749335739213,First,SpeedUp,non, False
3, 22.42418296048486,21.561714385081594,23.79886777906767,0.36251354,1,99.95864480885153,First,SpeedUp,non, False
4, 22.417247768508933,21.55504593125859,23.79886777906767,0.6041893,1,99.95344597676079,First,SpeedUp,non, False
5, 22.46674212100312,21.60263665481069,23.79886777906767,0.9062839,1,99.95092401649747,First,SpeedUp,non, False
6, 22.451953575335057,21.58841689936063,23.79886777906767,1.2687975,1,99.95013086928934,First,SpeedUp,non, False
7, 22.513911757657805,21.647992074670967,23.79886777906767,1.69173,1,99.95009369051397,First,SpeedUp,non, False
8, 22.531945033708816,21.665331763181552,23.79886777906767,2.1750815,1,99.94983963554886,First,SpeedUp,non, False
9, 22.5269178916213,21.660497972712786,23.79886777906767,2.7188518,1,99.94842064562184,First,SpeedUp,non, False
10, 22.536420866670966,21.669635448722083,23.79886777906767,3.323041,1,99.94485767964784,First,SpeedUp,non, False
11, 22.458977877325026,21.595171035889447,23.79886777906767,3.9876492,1,99.93818408946701,First,SpeedUp,non, False
12, 22.53974137979667,21.67282824980449,23.79886777906767,4.7126765,1,99.92744561984455,First,SpeedUp,non, False
13, 22.461508871082696,21.597604683733362,23.79886777906767,5.4981227,1,99.91167562262056,First,SpeedUp,non, False
14, 22.418020589662568,21.555789028521698,23.79886777906767,6.3439875,1,99.8899012531726,First,SpeedUp,non, False
15, 22.4469704027493,21.58362538725894,23.79886777906767,7.2502713,1,99.86115586334074,First,SpeedUp,non, False
16, 22.542838405162797,21.67580615881038,23.79886777906767,8.216974,1,99.82449139435279,First,SpeedUp,non, False
17, 22.490607407178082,21.62558404536354,23.79886777906767,9.244096,1,99.77891641219861,First,SpeedUp,non, False
18, 22.40933297357159,21.547435551511143,23.79886777906767,10.331636,1,99.72348905456853,First,SpeedUp,non, False
19, 22.466623388161956,21.602522488617264,23.79886777906767,11.479596,1,99.65723028037755,First,SpeedUp,non, False
20, 22.472176681843184,21.607862194079985,23.79886777906767,12.624556,1,99.59154158074239,First,SpeedUp,non, False
21, 22.543053143587503,21.676012638064908,23.79886777906767,13.766516,1,99.52639816981282,First,SpeedUp,non, False
22, 22.425596181165904,21.56307325112106,23.79886777906767,14.905476,1,99.4618248334391,First,SpeedUp,non, False
23, 22.511286916370857,21.645468188818132,23.79886777906767,16.041435,1,99.39779678577094,First,SpeedUp,non, False
24, 22.436107206997153,21.57318000672803,23.79886777906767,17.174395,1,99.33432022327094,First,SpeedUp,non, False
25, 22.40766982334254,21.545836368598597,23.79886777906767,18.304354,1,99.27138894947653,First,SpeedUp,non, False
26, 22.5300390927208,21.663499127616152,23.79886777906767,19.431313,1,99.20900916085026,First,SpeedUp,non, False
27, 22.48194474727069,21.617254564683353,23.79886777906767,20.555273,1,99.14716846446701,First,SpeedUp,non, False
28, 22.539776190842012,21.67286172196347,23.79886777906767,21.679651,1,99.085253410533,First,SpeedUp,non, False
29, 22.430040982527473,21.567347098584108,23.79886777906767,22.80103,1,99.02387744884201,First,SpeedUp,non, False
30, 22.547094994168198,21.679899032854035,23.79886777906767,23.922827,1,98.96242712960026,First,SpeedUp,non, False
31, 22.483180005702923,21.618442313175887,23.79886777906767,25.045044,1,98.9009086492703,First,SpeedUp,non, False
32, 22.483983313261245,21.61921472428966,23.79886777906767,26.167679,1,98.8392972220019,First,SpeedUp,non, False
33, 22.53125316796436,21.664666507658037,23.79886777906767,27.290733,1,98.77762383010787,First,SpeedUp,non, False
34, 22.41759026143743,21.55537525138214,23.79886777906767,28.410788,1,98.71649572691942,First,SpeedUp,non, False
35, 22.48415543891682,21.61938022972771,23.79886777906767,29.531261,1,98.65528706971764,First,SpeedUp,non, False
36, 22.535441667550216,21.668693911105976,23.79886777906767,30.652153,1,98.59399785850255,First,SpeedUp,non, False
37, 22.41837158012767,21.556126519353526,23.79886777906767,31.773464,1,98.53263428973668,First,SpeedUp,non, False
38, 22.52532493049213,21.658966279319355,23.79886777906767,32.895195,1,98.47120255988261,First,SpeedUp,non, False
39, 22.52640732045024,21.66000703889446,23.79886777906767,34.017345,1,98.40969027601523,First,SpeedUp,non, False
40, 22.410298113533443,21.548363570705234,23.79886777906767,35.136494,1,98.34871708439087,First,SpeedUp,non, False
41, 22.54743937224304,21.68023016561831,23.79886777906767,36.25606,1,98.28766953521574,First,SpeedUp,non, False
42, 22.536268027891236,21.669488488356958,23.79886777906767,37.37605,1,98.22654762848985,First,SpeedUp,non, False
43, 22.498979032098116,21.633633684709725,23.79886777906767,38.496456,1,98.16534516775064,First,SpeedUp,non, False
44, 22.448727848665293,21.58531523910124,23.79886777906767,39.61728,1,98.10406834946066,First,SpeedUp,non, False
45, 22.507072989254887,21.641416335822004,23.79886777906767,40.73852,1,98.04272337008248,First,SpeedUp,non, False
46, 22.433313784199502,21.57049402326875,23.79886777906767,41.860184,1,97.98130403315356,First,SpeedUp,non, False
47, 22.51039657635707,21.64461209265103,23.79886777906767,42.982265,1,97.9198041422113,First,SpeedUp,non, False
48, 22.442170931685247,21.579010511235815,23.79886777906767,44.104767,1,97.85822369725571,First,SpeedUp,non, False
49, 22.483566112061347,21.618813569289756,23.79886777906767,45.227688,1,97.79656889474937,First,SpeedUp,non, False
50, 22.441776069098953,21.57863083567207,23.79886777906767,46.347607,1,97.73545938094861,First,SpeedUp,non, False
51, 22.464467138031058,21.60044917118371,23.79886777906767,47.467945,1,97.67427550959708,First,SpeedUp,non, False
52, 22.499793950254016,21.63441725985963,23.79886777906767,48.588703,1,97.61301108423224,First,SpeedUp,non, False
53, 22.497393531490573,21.632109164894782,23.79886777906767,49.70988,1,97.55167230131663,First,SpeedUp,non, False
54, 22.454963104069368,21.591310676989774,23.79886777906767,50.831474,1,97.49025916085026,First,SpeedUp,non, False
55, 22.54735400259921,21.680148079422317,23.79886777906767,51.953487,1,97.42878405575826,First,SpeedUp,non, False
56, 22.417578456869663,21.555363900836213,23.79886777906767,53.072502,1,97.36783564998414,First,SpeedUp,non, False
57, 22.447456337809868,21.58409263250949,23.79886777906767,54.191936,1,97.30680669019671,First,SpeedUp,non, False
58, 22.48648438315272,21.62161959918531,23.79886777906767,55.311787,1,97.2457033728585,First,SpeedUp,non, False
59, 22.420287848702884,21.557969085291234,23.79886777906767,56.432056,1,97.18453189443211,First,SpeedUp,non, False
60, 22.44440535312996,21.58115899339419,23.79886777906767,57.552746,1,97.12328605845495,First,SpeedUp,non, False
61, 22.427976777345908,21.565362285909526,23.79886777906767,58.673855,1,97.06195966846447,First,SpeedUp,non, False
