turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 22.066464860416083,21.217754673477003,23.39986044735636,0.060418926,3,99.98702620724953,First,SpeedUp,non, False
2, 22.12641680457631,21.275400773631066,23.39986044735636,0.18125677,3,99.97804145592485,First,SpeedUp,non, False
3, 22.089652785492675,21.240050755281416,23.39986044735636,0.36251354,3,99.9723213210501,First,SpeedUp,non, False
4, 22.060617333122167,21.212132051079006,23.39986044735636,0.6041893,3,99.96913196953275,First,SpeedUp,non, False
5, 22.049544807216087,21.20148539155393,23.39986044735636,0.9062839,3,99.96773956828035,First,SpeedUp,non, False
6, 22.1117970781408,21.261343344366153,23.39986044735636,1.2687975,3,99.96740087608381,First,SpeedUp,non, False
7, 21.997433291222126,21.15137816463666,23.39986044735636,1.69173,3,99.96740087608381,First,SpeedUp,non, False
8, 22.04908723759934,21.201045420768597,23.39986044735636,2.1750815,3,99.9669963270713,First,SpeedUp,non, False
9, 22.007323613961546,21.16088809034764,23.39986044735636,2.7188518,3,99.96546280407033,First,SpeedUp,non, False
10, 22.04300017256938,21.195192473624402,23.39986044735636,3.323041,3,99.96206647398844,First,SpeedUp,non, False
11, 22.12100952762864,21.27020146887369,23.39986044735636,3.9876492,3,99.9560546875,First,SpeedUp,non, False
12, 22.11032195493358,21.2599249566669,23.39986044735636,4.7126765,3,99.94671242774567,First,SpeedUp,non, False
13, 22.11184500798565,21.261389430755433,23.39986044735636,5.4981227,3,99.93331526974953,First,SpeedUp,non, False
14, 22.11448973222194,21.26393243482879,23.39986044735636,6.3439875,3,99.9151199723025,First,SpeedUp,non, False
15, 22.08191702189341,21.232612521051355,23.39986044735636,7.2502713,3,99.89138329419558,First,SpeedUp,non, False
16, 22.006818200013107,21.16040211539722,23.39986044735636,8.216974,3,99.86139021856937,First,SpeedUp,non, False
17, 22.11545747315296,21.26486295495477,23.39986044735636,9.244096,3,99.82439750421484,First,SpeedUp,non, False
18, 22.00408720857537,21.1577761620917,23.39986044735636,10.331636,3,99.77968072615607,First,SpeedUp,non, False
19, 22.065283281192293,21.216618539607975,23.39986044735636,11.479596,3,99.72650605130057,First,SpeedUp,non, False
20, 22.04153255299516,21.193781300956886,23.39986044735636,12.624556,3,99.67376414980733,First,SpeedUp,non, False
21, 22.009663240566272,21.16313773131372,23.39986044735636,13.766516,3,99.6214550216763,First,SpeedUp,non, False
22, 22.10352188622713,21.25338642906455,23.39986044735636,14.905476,3,99.56957866690752,First,SpeedUp,non, False
23, 22.07267735423741,21.223728225228278,23.39986044735636,16.041435,3,99.51813508550097,First,SpeedUp,non, False
24, 22.0854327135058,21.235992993755577,23.39986044735636,17.174395,3,99.46712427745665,First,SpeedUp,non, False
25, 22.10652960488053,21.25627846623128,23.39986044735636,18.304354,3,99.41654624277457,First,SpeedUp,non, False
