turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.837681303063665,19.837681303063665,21.417188715709738,0.060253337,6,99.98462554664722,First,non,non, False
2, 19.883344234677928,19.883344234677928,21.417188715709738,0.18076001,6,99.97421857018183,First,non,non, False
3, 19.934818608485866,19.934818608485866,21.417188715709738,0.36152002,6,99.96781254795151,First,non,non, False
4, 19.833313966436215,19.833313966436215,21.417188715709738,0.60253334,6,99.96445594215129,First,non,non, False
5, 19.898939093907998,19.898939093907998,21.417188715709738,0.9038,6,99.96315226043424,First,non,non, False
6, 19.83089548545045,19.83089548545045,21.417188715709738,1.2653201,6,99.96295745741905,First,non,non, False
7, 19.916039791921506,19.916039791921506,21.417188715709738,1.6870935,6,99.96289751802976,First,non,non, False
8, 19.884418802594023,19.884418802594023,21.417188715709738,2.1691203,6,99.96199842719042,First,non,non, False
9, 19.86637259420663,19.86637259420663,21.417188715709738,2.7114003,6,99.95930115467239,First,non,non, False
10, 19.951052234744516,19.951052234744516,21.417188715709738,3.3139336,6,99.95383917782338,First,non,non, False
11, 19.932659508418805,19.932659508418805,21.417188715709738,3.9767203,6,99.94463848156744,First,non,non, False
12, 19.932125074309404,19.932125074309404,21.417188715709738,4.6997604,6,99.93074003567592,First,non,non, False
13, 19.91426777232057,19.91426777232057,21.417188715709738,5.4830537,6,99.91116233264923,First,non,non, False
14, 19.832020345142194,19.832020345142194,21.417188715709738,6.3266006,6,99.88496132710603,First,non,non, False
15, 19.944317762819338,19.944317762819338,21.417188715709738,7.2304006,6,99.85115551154672,First,non,non, False
16, 19.83654318444501,19.83654318444501,21.417188715709738,8.194454,6,99.808778363319,First,non,non, False
17, 19.824610830358377,19.824610830358377,21.417188715709738,9.218761,6,99.75687085219425,First,non,non, False
18, 19.899205778012785,19.899205778012785,21.417188715709738,10.240068,6,99.70545034860749,First,non,non, False
19, 21.904924557948203,19.866166574948345,21.417188715709738,11.260405,5.95,99.65398489047874,First,non,InsideOvertaking, False
20, 21.710532040417075,19.921865949272597,21.417188715709738,12.280994,5.8999996,99.60248946265536,First,non,InsideOvertaking, False
21, 21.929754488786585,19.948983473992868,21.417188715709738,13.301838,5.8499994,99.55094158786635,First,non,InsideOvertaking, False
22, 20.71225738812127,19.869375157368193,21.417188715709738,14.322935,5.799999,99.49934875853536,First,non,InsideOvertaking, False
23, 20.389584097198362,19.87248999796643,21.417188715709738,15.341028,5.749999,99.44826541401335,First,non,InsideOvertaking, False
24, 21.613874181759734,19.829726921153835,21.417188715709738,16.359375,5.699999,99.39713711494936,First,non,InsideOvertaking, False
25, 20.719400719069288,19.889825365230536,21.417188715709738,17.377975,5.6499987,99.3459638613434,First,non,InsideOvertaking, False
26, 21.7630313259492,19.878660208007922,21.417188715709738,18.39683,5.5999985,99.29475314561915,First,non,InsideOvertaking, False
27, 21.195722220878128,19.92429779634792,21.417188715709738,19.415937,5.5499983,99.2434824905056,First,non,InsideOvertaking, False
28, 21.58968774186327,19.870047977812618,21.417188715709738,20.435299,5.499998,99.19219685054473,First,non,InsideOvertaking, False
29, 21.89501289453447,19.863760434935,21.417188715709738,21.454914,5.449998,99.14085127119456,First,non,InsideOvertaking, False
30, 21.10378909937486,19.903801102807925,21.417188715709738,22.474783,5.3999977,99.0894682297261,First,non,InsideOvertaking, False
31, 21.662016305328365,19.82898139727424,21.417188715709738,23.494905,5.3499975,99.03804023371566,First,non,InsideOvertaking, False
32, 20.45895007927407,19.91956951082608,21.417188715709738,24.515282,5.2999973,98.98657477558693,First,non,InsideOvertaking, False
33, 21.66797414107055,19.917040301403468,21.417188715709738,25.535912,5.249997,98.93506436291622,First,non,InsideOvertaking, False
34, 21.861367182080905,19.91405552982875,21.417188715709738,26.556795,5.199997,98.88352398055086,First,non,InsideOvertaking, False
35, 21.489644444466727,19.877690020217536,21.417188715709738,27.577932,5.1499968,98.83193115121989,First,non,InsideOvertaking, False
36, 21.909987229445004,19.906028374837476,21.417188715709738,28.599323,5.0999966,98.78028587492328,First,non,InsideOvertaking, False
37, 20.72744268724713,19.878378999955814,21.417188715709738,29.620968,5.0499964,98.72861812135568,First,non,InsideOvertaking, False
38, 21.790852203803016,19.862041555049256,21.417188715709738,30.642866,4.999996,98.67690541324612,First,non,InsideOvertaking, False
39, 20.68777900925775,19.874768559365254,21.417188715709738,31.665018,4.949996,98.62514025817093,First,non,InsideOvertaking, False
40, 21.291342861373142,19.89862210174394,21.417188715709738,32.687424,4.899996,98.57333764097744,First,non,InsideOvertaking, False
41, 20.46682802530747,19.8549205429304,21.417188715709738,33.706825,4.8499956,98.52203701616925,First,non,InsideOvertaking, False
42, 20.610783044174532,19.872880583491302,21.417188715709738,34.72648,4.7999954,98.47069143681908,First,non,InsideOvertaking, False
43, 20.232799406173516,19.903544551943487,21.417188715709738,35.74313,4.749995,98.4198328650069,First,non,InsideOvertaking, False
44, 21.504369136809473,19.853924871153136,21.417188715709738,36.760036,4.699995,98.36894432350007,First,non,InsideOvertaking, False
45, 21.687287308493403,19.891027672444242,21.417188715709738,37.777195,4.649995,98.31800333502761,First,non,InsideOvertaking, False
46, 20.83366518286304,19.833800614708913,21.417188715709738,38.79461,4.5999947,98.26702488443685,First,non,InsideOvertaking, False
47, 20.17400498315754,19.828418292196062,21.417188715709738,39.809017,4.5499945,98.21654093380774,First,non,InsideOvertaking, False
48, 21.390343232169844,19.909250921489132,21.417188715709738,40.82368,4.4999943,98.1660195210603,First,non,InsideOvertaking, False
49, 20.80323493123519,19.832879418671578,21.417188715709738,41.838596,4.449994,98.11544566134724,First,non,InsideOvertaking, False
50, 21.94041346917769,19.95249706396723,21.417188715709738,42.853767,4.399994,98.06484183193955,First,non,InsideOvertaking, False
51, 20.336142793231833,19.942554009608266,21.417188715709738,43.86919,4.3499937,98.01418555556621,First,non,InsideOvertaking, False
52, 21.181193060851246,19.827026819341963,21.417188715709738,44.88487,4.2999935,97.96349930949823,First,non,InsideOvertaking, False
53, 20.6452947757866,19.83949628743953,21.417188715709738,45.9008,4.2499933,97.91276810888829,First,non,InsideOvertaking, False
54, 21.42467587316458,19.840752953086575,21.417188715709738,46.916985,4.199993,97.86198446131272,First,non,InsideOvertaking, False
55, 21.897008831210854,19.85732623615629,21.417188715709738,47.933422,4.149993,97.81117084404251,First,non,InsideOvertaking, False
56, 21.99990799169791,19.88528873360519,21.417188715709738,48.950115,4.0999928,97.76031227223032,First,non,InsideOvertaking, False
57, 20.14747299090266,19.89726546211579,21.417188715709738,49.963802,4.0499926,97.70994820037977,First,non,InsideOvertaking, False
58, 20.154728741795413,19.909589660711177,21.417188715709738,50.974487,3.9999926,97.6600711360672,First,non,InsideOvertaking, False
59, 21.488225672932252,19.851704553514345,21.417188715709738,51.985424,3.9499927,97.61015660963633,First,non,InsideOvertaking, False
60, 21.3832542161787,19.82934450789898,21.417188715709738,52.996616,3.8999927,97.56019712866349,First,non,InsideOvertaking, False
61, 21.075232275395415,19.833587418094254,21.417188715709738,54.00806,3.8499928,97.51020018557234,First,non,InsideOvertaking, False
62, 21.30662121180455,19.888721960750328,21.417188715709738,55.01976,3.7999928,97.46015828793924,First,non,InsideOvertaking, False
63, 21.618764846847604,19.83845556217949,21.417188715709738,56.03171,3.7499928,97.41007143576415,First,non,InsideOvertaking, False
