turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.37021726510908,20.548285831835653,22.557842885650853,0.060480233,3,99.99080301768693,First,SpeedUp,non, False
2, 21.43418404921154,20.6097923550111,22.557842885650853,0.1814407,3,99.98459692393095,First,SpeedUp,non, False
3, 21.390188308218182,20.567488757902098,22.557842885650853,0.3628814,3,99.98079101824203,First,SpeedUp,non, False
4, 21.42557631241886,20.601515685018132,22.557842885650853,0.6048023,3,99.97879460013017,First,SpeedUp,non, False
5, 21.46365146199408,20.638126405763536,22.557842885650853,0.9072035,3,99.97803192354812,First,SpeedUp,non, False
6, 21.401154722657658,20.578033387170823,22.557842885650853,1.2700849,3,99.97792724244862,First,SpeedUp,non, False
7, 21.429560863542736,20.605346984175707,22.557842885650853,1.6934465,3,99.97788237912026,First,SpeedUp,non, False
8, 21.440723296824682,20.616080093100656,22.557842885650853,2.1772883,3,99.9773215875158,First,SpeedUp,non, False
9, 21.3681094858459,20.546259121005672,22.557842885650853,2.7216105,3,99.97566164436661,First,SpeedUp,non, False
10, 21.378841842279105,20.556578694499137,22.557842885650853,3.326413,3,99.97230437196127,First,SpeedUp,non, False
11, 21.452830643903013,20.627721772983666,22.557842885650853,3.9916954,3,99.9666964559167,First,SpeedUp,non, False
12, 21.48454021107106,20.65821174141448,22.557842885650853,4.7174582,3,99.9582397185215,First,SpeedUp,non, False
13, 21.386502853401232,20.56394505134734,22.557842885650853,5.503701,3,99.94633598206424,First,SpeedUp,non, False
14, 21.404804785148446,20.581543062642737,22.557842885650853,6.3504243,3,99.93042445494048,First,SpeedUp,non, False
15, 21.47170231374959,20.645867609374605,22.557842885650853,7.257628,3,99.90990695943877,First,SpeedUp,non, False
16, 21.459432616534794,20.634069823591147,22.557842885650853,8.225311,3,99.8842077495119,First,SpeedUp,non, False
17, 21.45078415063644,20.62575399099658,22.557842885650853,9.253475,3,99.85272864744842,First,SpeedUp,non, False
18, 21.401627925925588,20.578488390313066,22.557842885650853,10.342119,3,99.8149013844225,First,SpeedUp,non, False
19, 21.46538194486115,20.639790331597258,22.557842885650853,11.427763,3,99.77741059635926,First,SpeedUp,non, False
20, 21.485297890931324,20.658940279741657,22.557842885650853,12.510407,3,99.7402413288159,First,SpeedUp,non, False
21, 21.405804177803322,20.582504017118577,22.557842885650853,13.590052,3,99.70340853623522,First,SpeedUp,non, False
22, 21.471873154946785,20.646031879756524,22.557842885650853,14.666696,3,99.66688978695304,First,SpeedUp,non, False
23, 21.47285941072435,20.646980202619567,22.557842885650853,15.740339,3,99.63069255819073,First,SpeedUp,non, False
24, 21.466997266188315,20.64134352518107,22.557842885650853,16.810984,3,99.59482432716972,First,SpeedUp,non, False
25, 21.427342482113257,20.6032139251089,22.557842885650853,17.882109,3,99.55889627837756,First,SpeedUp,non, False
26, 21.466659459579954,20.64101871113457,22.557842885650853,18.953712,3,99.52292336625705,First,SpeedUp,non, False
27, 21.404348705819846,20.581104524826774,22.557842885650853,20.022318,3,99.48727197465641,First,SpeedUp,non, False
28, 21.49519072060761,20.668452615968857,22.557842885650853,21.091402,3,99.45156824250604,First,SpeedUp,non, False
29, 21.398014443805593,20.575013888274608,22.557842885650853,22.160967,3,99.41580469258452,First,SpeedUp,non, False
30, 21.450721501466763,20.62569375141035,22.557842885650853,23.231012,3,99.37999627933465,First,SpeedUp,non, False
