turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.669541094455916,20.669541094455916,22.276689117376637,0.06028953,5,99.96884578432288,First,non,non, False
2, 20.622530790433125,20.622530790433125,22.276689117376637,0.18086858,5,99.94679594146751,First,non,non, False
3, 20.733697193061683,20.733697193061683,22.276689117376637,0.3617372,5,99.93228850627023,First,non,non, False
4, 20.695884994628592,20.695884994628592,22.276689117376637,0.6028953,5,99.92373720282549,First,non,non, False
5, 20.651112100111263,20.651112100111263,22.276689117376637,0.904343,5,99.91959222134055,First,non,non, False
6, 20.730281746491823,20.730281746491823,22.276689117376637,1.2660801,5,99.91826728590988,First,non,non, False
7, 20.729460762337933,20.729460762337933,22.276689117376637,1.6881068,5,99.9182004313698,First,non,non, False
8, 20.69661278363828,20.69661278363828,22.276689117376637,2.170423,5,99.91781145950024,First,non,non, False
9, 20.627881462554647,20.627881462554647,22.276689117376637,2.713029,5,99.91553232745207,First,non,non, False
10, 20.700797887781068,20.700797887781068,22.276689117376637,3.3159242,5,99.9098010700616,First,non,non, False
11, 20.621564156856696,20.621564156856696,22.276689117376637,3.979109,5,99.89903748910878,First,non,non, False
12, 20.641654853992883,20.641654853992883,22.276689117376637,4.7025833,5,99.88166746405899,First,non,non, False
13, 20.61034442723072,20.61034442723072,22.276689117376637,5.486347,5,99.85613510743403,First,non,non, False
14, 20.71919686492312,20.71919686492312,22.276689117376637,6.3304005,5,99.82085414332835,First,non,non, False
15, 20.709631742819493,20.709631742819493,22.276689117376637,7.2347436,5,99.77426868426375,First,non,non, False
16, 20.60316103806535,20.60316103806535,22.276689117376637,8.199376,5,99.7147924543347,First,non,non, False
17, 20.68641663169422,20.68641663169422,22.276689117376637,9.2242985,5,99.6408513330066,First,non,non, False
18, 20.696409997284626,20.696409997284626,22.276689117376637,10.30951,5,99.55089551048668,First,non,non, False
19, 20.703699737324698,20.703699737324698,22.276689117376637,11.391722,5,99.46176625318957,First,non,non, False
20, 22.126220002429704,20.638717305859878,22.276689117376637,12.473067,4.95,99.37255798598144,First,non,InsideOvertaking, False
21, 21.611359859505598,20.60970318931448,22.276689117376637,13.55141,4.8999996,99.28418843936706,First,non,InsideOvertaking, False
22, 22.16061672334151,20.623623299023134,22.276689117376637,14.630042,4.8499994,99.19572772747074,First,non,InsideOvertaking, False
23, 22.95874673494093,20.70699214959522,22.276689117376637,15.708964,4.799999,99.10719408334889,First,non,InsideOvertaking, False
24, 22.049361703918667,20.645301598479843,22.276689117376637,16.788176,4.749999,99.01858142931603,First,non,InsideOvertaking, False
25, 21.883861570592398,20.709527819752477,22.276689117376637,17.867678,4.699999,98.9298836876867,First,non,InsideOvertaking, False
26, 21.88770486021155,20.65390221885969,22.276689117376637,18.94747,4.6499987,98.84111301383183,First,non,InsideOvertaking, False
27, 20.946865059368836,20.657505864116036,22.276689117376637,20.024258,4.5999985,98.75316890519977,First,non,InsideOvertaking, False
28, 21.893671409580573,20.691266823049617,22.276689117376637,21.101336,4.5499983,98.66513363128578,First,non,InsideOvertaking, False
29, 22.16137337881051,20.649829930620875,22.276689117376637,22.178703,4.499998,98.57703150283172,First,non,InsideOvertaking, False
30, 22.427915834156767,20.613981743660535,22.276689117376637,23.256361,4.449998,98.48884428678117,First,non,InsideOvertaking, False
31, 22.32770046223963,20.67103856460329,22.276689117376637,24.334309,4.3999977,98.4005841385051,First,non,InsideOvertaking, False
32, 22.412044695970067,20.611447910176764,22.276689117376637,25.412546,4.3499975,98.3122328249471,First,non,InsideOvertaking, False
33, 21.39608163174553,20.637244693379728,22.276689117376637,26.487782,4.2999973,98.22471415429736,First,non,InsideOvertaking, False
34, 21.009113622758438,20.677826322426654,22.276689117376637,27.560013,4.249997,98.13802204887043,First,non,InsideOvertaking, False
35, 22.55441569789805,20.6918242068325,22.276689117376637,28.632534,4.199997,98.05124485584702,First,non,InsideOvertaking, False
36, 21.85016406808429,20.655604297500922,22.276689117376637,29.705345,4.1499968,97.96438865291262,First,non,InsideOvertaking, False
37, 22.368653733972174,20.64411792313131,22.276689117376637,30.778446,4.0999966,97.87745951775267,First,non,InsideOvertaking, False
38, 22.393897138843787,20.613992370577538,22.276689117376637,31.851837,4.0499964,97.79044529499626,First,non,InsideOvertaking, False
39, 21.55681396983765,20.710278859275366,22.276689117376637,32.925518,3.9999964,97.70335206232885,First,non,InsideOvertaking, False
40, 22.562575173675622,20.731726594380422,22.276689117376637,33.99949,3.9499965,97.6161858974359,First,non,InsideOvertaking, False
41, 20.983221268155674,20.63569519562237,22.276689117376637,35.070457,3.8999965,97.52983414239482,First,non,InsideOvertaking, False
42, 21.685305399995574,20.651422697196796,22.276689117376637,36.141716,3.8499966,97.44339729975728,First,non,InsideOvertaking, False
43, 21.63704437466531,20.67883756086877,22.276689117376637,37.213264,3.7999966,97.35689360257966,First,non,InsideOvertaking, False
44, 21.79311581659743,20.63932294768522,22.276689117376637,38.285103,3.7499967,97.27030481780557,First,non,InsideOvertaking, False
45, 21.885541118007495,20.60179396802767,22.276689117376637,39.35723,3.6999967,97.18364310080595,First,non,InsideOvertaking, False
46, 21.188342538081535,20.692502146002585,22.276689117376637,40.426353,3.6499968,97.0977957936582,First,non,InsideOvertaking, False
47, 22.88913372401006,20.725392435773138,22.276689117376637,41.495766,3.5999968,97.01186339891399,First,non,InsideOvertaking, False
48, 20.873608558587463,20.612578910394827,22.276689117376637,42.562176,3.5499969,96.92675756939258,First,non,InsideOvertaking, False
49, 21.17740219211274,20.65209649533953,22.276689117376637,43.625584,3.499997,96.84246007203758,First,non,InsideOvertaking, False
50, 21.872390906535937,20.690453561934543,22.276689117376637,44.68928,3.449997,96.7580835647716,First,non,InsideOvertaking, False
51, 22.71670745866437,20.73204296530814,22.276689117376637,45.75327,3.399997,96.67362196990914,First,non,InsideOvertaking, False
52, 22.64798536151386,20.721291803249,22.276689117376637,46.817547,3.349997,96.58908136513567,First,non,InsideOvertaking, False
53, 20.872097598478376,20.606595354454814,22.276689117376637,47.87882,3.299997,96.50536732558501,First,non,InsideOvertaking, False
54, 21.055302785326695,20.621752940816464,22.276689117376637,48.937088,3.2499971,96.42244338514438,First,non,InsideOvertaking, False
55, 22.442483893066427,20.724756103757972,22.276689117376637,49.995647,3.1999972,96.33944651247822,First,non,InsideOvertaking, False
56, 22.24398433764994,20.64830618803066,22.276689117376637,51.054497,3.1499972,96.25637062990104,First,non,InsideOvertaking, False
57, 21.604346930998503,20.642699501916482,22.276689117376637,52.113636,3.0999973,96.17322181509833,First,non,InsideOvertaking, False
58, 21.51414258667054,20.644461717196673,22.276689117376637,53.173065,3.0499973,96.08999399038461,First,non,InsideOvertaking, False
59, 21.467083898293723,20.68209827340068,22.276689117376637,54.232784,2.9999974,96.00668107807444,First,non,InsideOvertaking, False
60, 21.34707683612312,20.66879903384645,22.276689117376637,55.292793,2.9499974,95.92329523353871,First,non,InsideOvertaking, False
61, 22.537443409478154,20.685019415251574,22.276689117376637,56.353092,2.8999975,95.83983037909198,First,non,InsideOvertaking, False
62, 21.223344737251907,20.666144104259008,22.276689117376637,57.410385,2.8499975,95.75717385681168,First,non,InsideOvertaking, False
63, 21.9490267360518,20.636899148287807,22.276689117376637,58.46797,2.7999976,95.67443832462035,First,non,InsideOvertaking, False
64, 22.215214893284113,20.640841611888558,22.276689117376637,59.525845,2.7499976,95.59162378251804,First,non,InsideOvertaking, False
65, 20.871323878956233,20.662292275457563,22.276689117376637,60.580715,2.6999977,95.50961149489669,First,non,InsideOvertaking, False
66, 22.992698375732736,20.725095146063747,22.276689117376637,61.635876,2.6499977,95.42751411967886,First,non,InsideOvertaking, False
67, 22.011821334844363,20.64765143447104,22.276689117376637,62.691326,2.5999978,95.34534988992095,First,non,InsideOvertaking, False
68, 22.909029294459714,20.706193685481775,22.276689117376637,63.747066,2.5499978,95.26310665025206,First,non,InsideOvertaking, False
69, 22.09913779878125,20.615481612411998,22.276689117376637,64.8031,2.4999979,95.18077832298668,First,non,InsideOvertaking, False
70, 22.251379609803276,20.67693440684964,22.276689117376637,65.85942,2.449998,95.09838314118123,First,non,InsideOvertaking, False
71, 22.776478050341822,20.664473632935294,22.276689117376637,66.91603,2.399998,95.0159028717793,First,non,InsideOvertaking, False
