turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.990516456551823,21.14472736206906,22.82641838705606,0.06029394,3,99.98138843711276,First,SpeedUp,non, False
2, 21.93771485804204,21.09395659427119,22.82641838705606,0.18088181,3,99.96822239002478,First,SpeedUp,non, False
3, 21.9209937163428,21.077878573406537,22.82641838705606,0.36176363,3,99.95955191875774,First,SpeedUp,non, False
4, 21.917133563005088,21.07416688750489,22.82641838705606,0.60293937,3,99.95444523505266,First,SpeedUp,non, False
5, 21.946744982198208,21.102639405959813,22.82641838705606,0.90440905,3,99.95197055065056,First,SpeedUp,non, False
6, 22.011650446967604,21.16504850669962,22.82641838705606,1.2661726,3,99.95118397614621,First,SpeedUp,non, False
7, 21.937743080331764,21.093983731088233,22.82641838705606,1.6882303,3,99.95114767270755,First,SpeedUp,non, False
8, 21.951881513777565,21.107578378632272,22.82641838705606,2.1705818,3,99.95091170035626,First,SpeedUp,non, False
9, 21.98995222938319,21.144184835945374,22.82641838705606,2.7132273,3,99.94955032140643,First,SpeedUp,non, False
10, 21.921521697516393,21.078386247611917,22.82641838705606,3.3161666,3,99.94612569702602,First,SpeedUp,non, False
11, 21.94241108089186,21.098472193165247,22.82641838705606,3.9794,3,99.93968788723667,First,SpeedUp,non, False
12, 21.922236849185854,21.079073893447937,22.82641838705606,4.702927,3,99.92931720492565,First,SpeedUp,non, False
13, 22.029822589032968,21.182521720224006,22.82641838705606,5.486748,3,99.91405765954151,First,SpeedUp,non, False
14, 21.966858332954317,21.12197916630223,22.82641838705606,6.3308635,3,99.89297746282527,First,SpeedUp,non, False
15, 21.901333606991088,21.058974622106813,22.82641838705606,7.2352724,3,99.86513272537174,First,SpeedUp,non, False
16, 22.004639120291017,21.15830684643367,22.82641838705606,8.199975,3,99.82959770949503,First,SpeedUp,non, False
17, 21.92162136329166,21.078482080088133,22.82641838705606,9.224972,3,99.78542852578995,First,SpeedUp,non, False
18, 21.983484944440193,21.137966292730955,22.82641838705606,10.310263,3,99.73168128485129,First,SpeedUp,non, False
19, 21.92991468863489,21.086456431379702,22.82641838705606,11.455848,3,99.66741209727385,First,SpeedUp,non, False
20, 22.03108340071622,21.18373403915021,22.82641838705606,12.598433,3,99.60369956242255,First,SpeedUp,non, False
21, 22.03314024914174,21.185711778020906,22.82641838705606,13.738017,3,99.54053157915118,First,SpeedUp,non, False
22, 21.994196594171836,21.148265955934455,22.82641838705606,14.874602,3,99.4778960463135,First,SpeedUp,non, False
23, 21.943500454895073,21.099519668168337,22.82641838705606,16.008186,3,99.41579296390954,First,SpeedUp,non, False
24, 21.976149174643613,21.13091266792655,22.82641838705606,17.138771,3,99.35424048365861,First,SpeedUp,non, False
25, 22.03355973010275,21.186115125098794,22.82641838705606,18.266356,3,99.29321440326828,First,SpeedUp,non, False
26, 21.92835659579926,21.084958265191595,22.82641838705606,19.39094,3,99.23271472273854,First,SpeedUp,non, False
27, 22.00886064723366,21.16236600695544,22.82641838705606,20.512524,3,99.17275959378873,First,SpeedUp,non, False
28, 21.942342703005842,21.098406445197924,22.82641838705606,21.63111,3,99.11332481412639,First,SpeedUp,non, False
29, 21.933127129763204,21.089545317080002,22.82641838705606,22.746695,3,99.05440433317844,First,SpeedUp,non, False
30, 21.9274616868679,21.08409777583452,22.82641838705606,23.85928,3,98.99601630266419,First,SpeedUp,non, False
31, 22.03707622649121,21.189496371626163,22.82641838705606,24.968864,3,98.9381365202912,First,SpeedUp,non, False
32, 21.995117771440285,21.149151703307965,22.82641838705606,26.075449,3,98.88078918835191,First,SpeedUp,non, False
