turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.771257859176757,19.771257859176757,21.374840659524885,0.06028659,7,99.96909360532408,First,non,non, False
2, 19.788950621294223,19.788950621294223,21.374840659524885,0.18085977,7,99.94722342785494,First,non,non, False
3, 19.775620853336846,19.775620853336846,21.374840659524885,0.36171955,7,99.93283420138889,First,non,non, False
4, 19.902307001032742,19.902307001032742,21.374840659524885,0.60286593,7,99.92435860339506,First,non,non, False
5, 19.775592917544078,19.775592917544078,21.374840659524885,0.9042989,7,99.92024136766975,First,non,non, False
6, 19.798169801198807,19.798169801198807,21.374840659524885,1.2660184,7,99.91893325617283,First,non,non, False
7, 19.84199003453058,19.84199003453058,21.374840659524885,1.6880245,7,99.91886694637346,First,non,non, False
8, 19.894892148132676,19.894892148132676,21.374840659524885,2.1703172,7,99.91848114390432,First,non,non, False
9, 19.79279660202611,19.79279660202611,21.374840659524885,2.7128963,7,99.91622058256173,First,non,non, False
10, 19.779252752389542,19.779252752389542,21.374840659524885,3.3157623,7,99.91053602430556,First,non,non, False
11, 19.89836796979554,19.89836796979554,21.374840659524885,3.9789147,7,99.89986617476852,First,non,non, False
12, 19.854524246018546,19.854524246018546,21.374840659524885,4.702354,7,99.88264973958333,First,non,non, False
13, 19.80801837622784,19.80801837622784,21.374840659524885,5.4860797,7,99.85731939621914,First,non,non, False
14, 19.88653616454154,19.88653616454154,21.374840659524885,6.330092,7,99.82233796296296,First,non,non, False
15, 19.780390792032083,19.780390792032083,21.374840659524885,7.2343907,7,99.77612606095678,First,non,non, False
16, 19.773431577040995,19.773431577040995,21.374840659524885,8.1989765,7,99.71714650848766,First,non,non, False
17, 19.77511393685632,19.77511393685632,21.374840659524885,9.223848,7,99.6438319830247,First,non,non, False
18, 19.88064716318461,19.88064716318461,21.374840659524885,10.24572,7,99.57126494984568,First,non,non, False
19, 19.887742410459314,19.887742410459314,21.374840659524885,11.264592,7,99.49943335262346,First,non,non, False
20, 21.669419697505063,19.855933481778024,21.374840659524885,12.282523,6.95,99.4275535300926,First,non,InsideOvertaking, False
21, 21.963013556837993,19.839405473679797,21.374840659524885,13.300741,6.8999996,99.35557725694444,First,non,InsideOvertaking, False
22, 20.632421064822882,19.814838988457435,21.374840659524885,14.319246,6.8499994,99.2835407021605,First,non,InsideOvertaking, False
23, 20.87320654118262,19.776667223753144,21.374840659524885,15.338038,6.799999,99.21144386574075,First,non,InsideOvertaking, False
24, 20.872030727438,19.777703062661633,21.374840659524885,16.357117,6.749999,99.13926263503086,First,non,InsideOvertaking, False
25, 20.423715998674577,19.879373645646787,21.374840659524885,17.376482,6.699999,99.06700906635803,First,non,InsideOvertaking, False
26, 21.76896776917769,19.83075948768376,21.374840659524885,18.396135,6.6499987,98.9946891878858,First,non,InsideOvertaking, False
27, 20.88888506214638,19.790206215641415,21.374840659524885,19.416075,6.5999985,98.92229697145062,First,non,InsideOvertaking, False
28, 21.738788474647055,19.772848778202118,21.374840659524885,20.436302,6.5499983,98.84983844521605,First,non,InsideOvertaking, False
29, 20.52106805652038,19.82422085252822,21.374840659524885,21.456816,6.499998,98.77730155285494,First,non,InsideOvertaking, False
30, 20.490439948720446,19.88907910444684,21.374840659524885,22.477617,6.449998,98.70469835069444,First,non,InsideOvertaking, False
31, 20.272858287053026,19.80789862193742,21.374840659524885,23.495415,6.3999977,98.63283058449075,First,non,InsideOvertaking, False
32, 20.88935588077954,19.864391863260565,21.374840659524885,24.513498,6.3499975,98.56090856481481,First,non,InsideOvertaking, False
33, 20.553891607902745,19.81704656777689,21.374840659524885,25.53187,6.2999973,98.48890215084876,First,non,InsideOvertaking, False
34, 20.286311600541865,19.86038891399061,21.374840659524885,26.547237,6.249997,98.41764322916667,First,non,InsideOvertaking, False
35, 20.4210438240117,19.879664129367587,21.374840659524885,27.562891,6.199997,98.34631196952161,First,non,InsideOvertaking, False
36, 20.366789659314126,19.78979993561099,21.374840659524885,28.578833,6.1499968,98.27490837191358,First,non,InsideOvertaking, False
37, 20.875146635606818,19.841777789661975,21.374840659524885,29.59506,6.0999966,98.20343846450618,First,non,InsideOvertaking, False
38, 21.794165591579475,19.77254962255991,21.374840659524885,30.611576,6.0499964,98.13190224729938,First,non,InsideOvertaking, False
39, 20.79899939720378,19.786261783856347,21.374840659524885,31.628378,5.999996,98.06028766396605,First,non,InsideOvertaking, False
40, 21.72412659513018,19.825009579283275,21.374840659524885,32.645466,5.949996,97.98860074266975,First,non,InsideOvertaking, False
41, 21.276409771651878,19.89128973794354,21.374840659524885,33.66284,5.899996,97.91684751157408,First,non,InsideOvertaking, False
42, 21.91375884443521,19.787036786921867,21.374840659524885,34.680504,5.8499956,97.84501591435185,First,non,InsideOvertaking, False
43, 20.405597840701258,19.877156878168396,21.374840659524885,35.698452,5.7999954,97.77312403549382,First,non,InsideOvertaking, False
44, 20.704214765400412,19.88078623818742,21.374840659524885,36.71669,5.749995,97.70114776234568,First,non,InsideOvertaking, False
45, 21.23855297613796,19.797727203199234,21.374840659524885,37.735214,5.699995,97.62911120756173,First,non,InsideOvertaking, False
46, 20.226047516821737,19.787029936737916,21.374840659524885,38.750732,5.649995,97.55781008873457,First,non,InsideOvertaking, False
47, 20.967611116569028,19.796216208613693,21.374840659524885,39.76654,5.5999947,97.48644266010803,First,non,InsideOvertaking, False
48, 20.152537222230656,19.82843809815173,21.374840659524885,40.779343,5.5499945,97.41582272376543,First,non,InsideOvertaking, False
49, 21.39136539738609,19.882920040670953,21.374840659524885,41.792435,5.4999943,97.34512442129629,First,non,InsideOvertaking, False
50, 20.173778244945844,19.795618213845227,21.374840659524885,42.80252,5.449994,97.27516758294753,First,non,InsideOvertaking, False
51, 21.788993626455177,19.82830395828167,21.374840659524885,43.812893,5.399994,97.20512635030865,First,non,InsideOvertaking, False
52, 20.582009822786347,19.83406099636604,21.374840659524885,44.823555,5.3499937,97.13503086419753,First,non,InsideOvertaking, False
53, 21.985112886064947,19.852477448048443,21.374840659524885,45.834503,5.2999935,97.06485701195987,First,non,InsideOvertaking, False
54, 21.34850425956226,19.863043810358413,21.374840659524885,46.845737,5.2499933,96.99461082175925,First,non,InsideOvertaking, False
55, 20.49599372005266,19.886332057300997,21.374840659524885,47.857258,5.199993,96.92429832175925,First,non,InsideOvertaking, False
