turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.34121175325305,20.34121175325305,21.882537440965876,0.060253337,8,99.97867767467248,First,non,non, False
2, 21.070835448493348,20.250575131130393,21.882537440965876,0.16989759,7.95,99.96388183501044,First,non,InsideOvertaking, False
3, 21.298841756524812,20.23777429903724,21.882537440965876,0.34360474,7.8999996,99.95445365898519,First,non,InsideOvertaking, False
4, 20.7272890829125,20.24701626173108,21.882537440965876,0.5793746,7.8499994,99.94917870111068,First,non,InsideOvertaking, False
5, 21.20138017887016,20.313721978390156,21.882537440965876,0.8764632,7.799999,99.94685178647711,First,non,InsideOvertaking, False
6, 21.920397340690187,20.25559095856684,21.882537440965876,1.2345089,7.749999,99.94628628132713,First,non,InsideOvertaking, False
7, 21.375899631546538,20.34041917829217,21.882537440965876,1.653308,7.699999,99.94628628132713,First,non,InsideOvertaking, False
8, 22.343352149918957,20.246161819346128,21.882537440965876,2.1327345,7.6499987,99.94565588214353,First,non,InsideOvertaking, False
9, 21.465909501062765,20.308736413860494,21.882537440965876,2.6727047,7.5999985,99.94318990886653,First,non,InsideOvertaking, False
10, 20.823416387461037,20.299627843433317,21.882537440965876,3.27316,7.5499983,99.93769245716251,First,non,InsideOvertaking, False
11, 22.217970231240947,20.236383081970388,21.882537440965876,3.934058,7.499998,99.92798616385039,First,non,InsideOvertaking, False
12, 22.29033871863613,20.329039504982266,21.882537440965876,4.655367,7.449998,99.91284731286785,First,non,InsideOvertaking, False
13, 21.01910440943375,20.26809186993669,21.882537440965876,5.4370627,7.3999977,99.8910985410338,First,non,InsideOvertaking, False
14, 21.82275668381007,20.285649575243347,21.882537440965876,6.279126,7.3499975,99.86153467343838,First,non,InsideOvertaking, False
15, 22.138173720241483,20.236644211313585,21.882537440965876,7.1815424,7.2999973,99.82295980574806,First,non,InsideOvertaking, False
16, 20.560876794394634,20.29496893327062,21.882537440965876,8.144299,7.249997,99.77416876305297,First,non,InsideOvertaking, False
17, 22.406089946484585,20.33719804527981,21.882537440965876,9.167384,7.199997,99.71398418217201,First,non,InsideOvertaking, False
18, 21.07736937813332,20.279184280371407,21.882537440965876,10.250792,7.1499968,99.64119161761913,First,non,InsideOvertaking, False
19, 21.043855908518495,20.222693862414044,21.882537440965876,11.331195,7.0999966,99.56906653455478,First,non,InsideOvertaking, False
20, 20.239690312331437,20.239690312331437,21.882537440965876,12.409755,7.0999966,99.49759039182646,First,non,non, False
21, 20.2174500587579,20.2174500587579,21.882537440965876,13.485315,7.0999966,99.42675391885798,First,non,non, False
22, 20.248711318586718,20.248711318586718,21.882537440965876,14.557876,7.0999966,99.35657565680178,First,non,non, False
23, 20.32516534364281,20.32516534364281,21.882537440965876,15.627436,7.0999966,99.28703706450541,First,non,non, False
24, 20.312322810937054,20.312322810937054,21.882537440965876,16.693996,7.0999966,99.21813814196886,First,non,non, False
25, 20.276402967770576,20.276402967770576,21.882537440965876,17.757557,7.0999966,99.14988815976837,First,non,non, False
26, 20.295600590530533,20.295600590530533,21.882537440965876,18.818117,7.0999966,99.08225930617525,First,non,non, False
27, 20.27677354291208,20.27677354291208,21.882537440965876,19.875677,7.0999966,99.01527012234193,First,non,non, False
28, 20.26621905478638,20.26621905478638,21.882537440965876,20.930237,7.0999966,98.94890206711601,First,non,non, False
29, 20.226088807730157,20.226088807730157,21.882537440965876,21.981796,7.0999966,98.88316441107366,First,non,non, False
30, 20.309768941276396,20.309768941276396,21.882537440965876,23.030357,7.0999966,98.81804788363868,First,non,non, False
31, 20.297638931045682,20.297638931045682,21.882537440965876,24.075918,7.0999966,98.75355248481108,First,non,non, False
32, 20.289177162772443,20.289177162772443,21.882537440965876,25.118479,7.0999966,98.68967821459084,First,non,non, False
33, 20.982617264234054,20.259410423019144,21.882537440965876,26.160093,7.0499964,98.62574832091323,First,non,InsideOvertaking, False
34, 21.269830097623963,20.249748749189685,21.882537440965876,27.201962,6.999996,98.56177207435447,First,non,InsideOvertaking, False
35, 20.94997795057037,20.214380541866134,21.882537440965876,28.244083,6.949996,98.49774020433833,First,non,InsideOvertaking, False
36, 20.741544602097314,20.311635467171897,21.882537440965876,29.283201,6.899996,98.43432019235333,First,non,InsideOvertaking, False
37, 21.940446483506832,20.217762514515755,21.882537440965876,30.322573,6.8499956,98.37084455691095,First,non,InsideOvertaking, False
38, 22.253390183669534,20.228664519480848,21.882537440965876,31.362198,6.7999954,98.30732256858742,First,non,InsideOvertaking, False
39, 20.980924862136217,20.269715960995963,21.882537440965876,32.402077,6.749995,98.24375422738275,First,non,InsideOvertaking, False
