turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.27097814060613,20.27097814060613,21.922097385516288,0.06028953,8,99.97867767467248,First,non,non, False
2, 20.335472339098892,20.335472339098892,21.922097385516288,0.18086858,8,99.9639003761629,First,non,non, False
3, 20.30701973182314,20.30701973182314,21.922097385516288,0.3617372,8,99.95447220013764,First,non,non, False
4, 20.25319455097728,20.25319455097728,21.922097385516288,0.6028953,8,99.94920651283937,First,non,non, False
5, 20.26333165843112,20.26333165843112,21.922097385516288,0.904343,8,99.94688886878204,First,non,non, False
6, 20.27074921450399,20.27074921450399,21.922097385516288,1.2660801,8,99.94633263420828,First,non,non, False
7, 20.22525835186214,20.22525835186214,21.922097385516288,1.6881068,8,99.94633263420828,First,non,non, False
8, 20.24541776776618,20.24541776776618,21.922097385516288,2.170423,8,99.94568369387223,First,non,non, False
9, 20.331830734369113,20.331830734369113,21.922097385516288,2.713029,8,99.94320845001899,First,non,non, False
10, 20.215868973416608,20.215868973416608,21.922097385516288,3.3159242,8,99.93769245716251,First,non,non, False
11, 20.336283311197327,20.336283311197327,21.922097385516288,3.979109,8,99.92794908154546,First,non,non, False
12, 20.28688922116104,20.28688922116104,21.922097385516288,4.7025833,8,99.91277314825801,First,non,non, False
13, 20.293745515088712,20.293745515088712,21.922097385516288,5.486347,8,99.89096875296659,First,non,non, False
14, 20.268827791553786,20.268827791553786,21.922097385516288,6.3304005,8,99.86133072076134,First,non,non, False
15, 20.24820876850253,20.24820876850253,21.922097385516288,7.2347436,8,99.82266314730872,First,non,non, False
16, 20.31745593077084,20.31745593077084,21.922097385516288,8.199376,8,99.77377939885133,First,non,non, False
17, 20.232268236524998,20.232268236524998,21.922097385516288,9.2242985,8,99.71347430047939,First,non,non, False
18, 20.305795167679303,20.305795167679303,21.922097385516288,10.246221,8,99.65375324840991,First,non,non, False
19, 20.97957900681228,20.30450967573162,21.922097385516288,11.267208,7.95,99.59398584345927,First,non,InsideOvertaking, False
20, 22.293944234253594,20.309803297176877,21.922097385516288,12.288486,7.8999996,99.53415354447503,First,non,InsideOvertaking, False
21, 21.205807318211804,20.263327136661353,21.922097385516288,13.310053,7.8499994,99.47427489260964,First,non,InsideOvertaking, False
22, 21.572041229047123,20.291482773317664,21.922097385516288,14.33191,7.799999,99.41433134671065,First,non,InsideOvertaking, False
23, 21.437245286267594,20.25403822055046,21.922097385516288,15.354057,7.749999,99.35433217735428,First,non,InsideOvertaking, False
24, 22.20995861756188,20.213732868860895,21.922097385516288,16.376495,7.699999,99.29427738454054,First,non,InsideOvertaking, False
25, 21.34109263574467,20.233575919435044,21.922097385516288,17.399223,7.6499987,99.23415769769318,First,non,InsideOvertaking, False
26, 22.137135405404386,20.21398907883864,21.922097385516288,18.422241,7.5999985,99.17399165796468,First,non,InsideOvertaking, False
27, 20.219145274744317,20.219145274744317,21.922097385516288,19.44348,7.5999985,99.11440966453863,First,non,non, False
28, 20.27902861972585,20.27902861972585,21.922097385516288,20.461718,7.5999985,99.0554302585675,First,non,non, False
29, 20.299913798890742,20.299913798890742,21.922097385516288,21.476955,7.5999985,98.99702562832258,First,non,non, False
30, 20.242427396462844,20.242427396462844,21.922097385516288,22.489193,7.5999985,98.93922358553256,First,non,non, False
31, 20.279219062139852,20.279219062139852,21.922097385516288,23.50172,7.5999985,98.88136591928517,First,non,non, False
