turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.551888611208685,20.72296981846989,22.36446190395826,0.06029394,6,99.98725017738883,First,SpeedUp,non, False
2, 21.57670800818489,20.746834623254703,22.36446190395826,0.18088181,6,99.97841769157993,First,SpeedUp,non, False
3, 21.48877706518678,20.662285639602672,22.36446190395826,0.36176363,6,99.97278190042573,First,SpeedUp,non, False
4, 21.536451115405033,20.70812607250484,22.36446190395826,0.60293937,6,99.96963140078051,First,SpeedUp,non, False
5, 21.568994250750432,20.739417548798492,22.36446190395826,0.90440905,6,99.96824555049669,First,SpeedUp,non, False
6, 21.51190370674816,20.684522794950155,22.36446190395826,1.2661726,6,99.96790370742667,First,SpeedUp,non, False
7, 21.59479382418955,20.76422483095149,22.36446190395826,1.6882303,6,99.96790370742667,First,SpeedUp,non, False
8, 21.621741852929826,20.79013639704791,22.36446190395826,2.1705818,6,99.9675249083491,First,SpeedUp,non, False
9, 21.591232566632304,20.76080054483875,22.36446190395826,2.7132273,6,99.96604666804636,First,SpeedUp,non, False
10, 21.581996612248787,20.751919819469986,22.36446190395826,3.3161666,6,99.96274834437085,First,SpeedUp,non, False
11, 21.548537816172892,20.719747900166244,22.36446190395826,3.9794,6,99.95690929517502,First,SpeedUp,non, False
12, 21.585468463677458,20.7552581381514,22.36446190395826,4.702927,6,99.94783659531693,First,SpeedUp,non, False
13, 21.52331065657668,20.695491015939115,22.36446190395826,5.486748,6,99.93479112464522,First,SpeedUp,non, False
14, 21.490281999656148,20.663732691977064,22.36446190395826,6.3308635,6,99.91706148001418,First,SpeedUp,non, False
15, 21.49905400517606,20.672167312669288,22.36446190395826,7.2352724,6,99.89393625827815,First,SpeedUp,non, False
16, 21.596199321585274,20.76557627075507,22.36446190395826,8.199975,6,99.86469481728949,First,SpeedUp,non, False
17, 21.616191017196165,20.784799054996313,22.36446190395826,9.224972,6,99.82862575390256,First,SpeedUp,non, False
18, 21.511305741453945,20.683947828321102,22.36446190395826,10.310263,6,99.78500842596972,First,SpeedUp,non, False
