turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.27672844001694,20.27672844001694,22.40903663990107,0.06049886,3,99.98458938242453,First,non,non, False
2, 20.33808056492947,20.33808056492947,22.40903663990107,0.18149658,3,99.97417720964361,First,non,non, False
3, 20.39285987047438,20.39285987047438,22.40903663990107,0.36299318,3,99.9677899735952,First,non,non, False
4, 20.346830963347998,20.346830963347998,22.40903663990107,0.60498863,3,99.96444965226954,First,non,non, False
5, 20.405277870763555,20.405277870763555,22.40903663990107,0.907483,3,99.9631707004106,First,non,non, False
6, 20.288166525218955,20.288166525218955,22.40903663990107,1.2704761,3,99.96299766574734,First,non,non, False
7, 20.357998293531946,20.357998293531946,22.40903663990107,1.6939682,3,99.96292243328504,First,non,non, False
8, 20.3862667706132,20.3862667706132,22.40903663990107,2.177959,3,99.9619745042602,First,non,non, False
9, 20.279321157834925,20.279321157834925,22.40903663990107,2.7224488,3,99.95918337990923,First,non,non, False
10, 20.282266713870452,20.282266713870452,22.40903663990107,3.3274374,3,99.95356351497618,First,non,non, False
11, 20.360834378310106,20.360834378310106,22.40903663990107,3.992925,3,99.94413688745126,First,non,non, False
12, 20.36302920549655,20.36302920549655,22.40903663990107,4.718911,3,99.92992547532471,First,non,non, False
13, 20.334616903371924,20.334616903371924,22.40903663990107,5.5053964,3,99.90994373334051,First,non,non, False
14, 20.32815994448078,20.32815994448078,22.40903663990107,6.3523803,3,99.88322116273515,First,non,non, False
15, 20.334981826675985,20.334981826675985,22.40903663990107,7.2598634,3,99.84877974149884,First,non,non, False
16, 20.319296785034197,20.319296785034197,22.40903663990107,8.227845,3,99.80562640112937,First,non,non, False
17, 20.333329452581573,20.333329452581573,22.40903663990107,9.256326,3,99.75280568935564,First,non,non, False
18, 20.335747323634546,20.335747323634546,22.40903663990107,10.281806,3,99.70048151183303,First,non,non, False
19, 22.48961496765008,20.403435123815793,22.40903663990107,11.306566,2.95,99.64806705535568,First,non,InsideOvertaking, False
20, 21.488912147044005,20.284316296329976,22.40903663990107,12.331826,2.9,99.59557736641602,First,non,InsideOvertaking, False
21, 20.96481960743128,20.349035039657466,22.40903663990107,13.357586,2.8500001,99.54299739852163,First,non,InsideOvertaking, False
22, 22.09241639078236,20.32344841476703,22.40903663990107,14.383844,2.8000002,99.49034972141118,First,non,InsideOvertaking, False
23, 21.181692175502707,20.3223240178181,22.40903663990107,15.410603,2.7500002,99.43760424209974,First,non,InsideOvertaking, False
24, 21.44107659010165,20.321293281338896,22.40903663990107,16.43786,2.7000003,99.3847760070798,First,non,InsideOvertaking, False
25, 21.154244949616658,20.362156097837435,22.40903663990107,17.465618,2.6500003,99.33186501635132,First,non,InsideOvertaking, False
26, 20.953426527167334,20.368395544594367,22.40903663990107,18.493876,2.6000004,99.2788637466681,First,non,InsideOvertaking, False
27, 22.410729107528606,20.33312124205533,22.40903663990107,19.52263,2.5500004,99.22578724452259,First,non,InsideOvertaking, False
28, 21.511285174012222,20.367337791526985,22.40903663990107,20.551886,2.5000005,99.17262046342233,First,non,InsideOvertaking, False
29, 20.774933180023968,20.294611137840665,22.40903663990107,21.58164,2.4500005,99.11937844985978,First,non,InsideOvertaking, False
30, 21.427953040363665,20.39211895867785,22.40903663990107,22.611895,2.4000006,99.06604615734248,First,non,InsideOvertaking, False
31, 21.29361308622758,20.292042062609006,22.40903663990107,23.642649,2.3500006,99.01263110911667,First,non,InsideOvertaking, False
32, 22.130999102240537,20.389359478069714,22.40903663990107,24.673903,2.3000007,98.95912578193611,First,non,InsideOvertaking, False
33, 21.271895860160182,20.327323098622994,22.40903663990107,25.705656,2.2500007,98.90554522229326,First,non,InsideOvertaking, False
34, 21.507553344502405,20.294540463881116,22.40903663990107,26.737907,2.2000008,98.85186686044943,First,non,InsideOvertaking, False
35, 22.200747583149543,20.317467710703777,22.40903663990107,27.770658,2.1500008,98.79812831263577,First,non,InsideOvertaking, False
36, 21.032071014191338,20.3942663116729,22.40903663990107,28.80391,2.1000009,98.74428443937491,First,non,InsideOvertaking, False
37, 22.349186324861286,20.316119042538062,22.40903663990107,29.83766,2.050001,98.69035781040552,First,non,InsideOvertaking, False
38, 21.291653936319303,20.31457208746396,22.40903663990107,30.87191,2.000001,98.63635594897384,First,non,InsideOvertaking, False
39, 21.40217985966849,20.349119290286954,22.40903663990107,31.90666,1.950001,98.58226380858743,First,non,InsideOvertaking, False
40, 22.200250143512896,20.32277344394239,22.40903663990107,32.94191,1.900001,98.52808138924625,First,non,InsideOvertaking, False
41, 22.324807896481218,20.346087325406156,22.40903663990107,33.977657,1.8500011,98.47382373744279,First,non,InsideOvertaking, False
42, 20.898642602938274,20.31304478511798,22.40903663990107,35.013905,1.8000011,98.41946828343835,First,non,InsideOvertaking, False
43, 22.48709911079571,20.306024660639554,22.40903663990107,36.05065,1.7500012,98.36503759697163,First,non,InsideOvertaking, False
44, 22.366935634322207,20.364787114668427,22.40903663990107,37.0879,1.7000012,98.31051663155016,First,non,InsideOvertaking, False
45, 22.114629323109966,20.357857334880734,22.40903663990107,38.125645,1.6500013,98.25592043366639,First,non,InsideOvertaking, False
46, 21.060547377240436,20.29310092204007,22.40903663990107,39.16389,1.6000013,98.20123395682788,First,non,InsideOvertaking, False
47, 21.489601183530834,20.34040389334787,22.40903663990107,40.202637,1.5500014,98.14645720103461,First,non,InsideOvertaking, False
48, 22.463505128630537,20.390184173300703,22.40903663990107,41.241882,1.5000014,98.09159768953283,First,non,InsideOvertaking, False
49, 21.4603088553696,20.36812604619341,22.40903663990107,42.281628,1.4500015,98.03665542232254,First,non,InsideOvertaking, False
50, 20.630789063212482,20.39352696888112,22.40903663990107,43.318367,1.4000015,97.98222473585581,First,non,InsideOvertaking, False
51, 20.598760896147226,20.390338492267,22.40903663990107,44.352104,1.3500016,97.92830563013266,First,non,InsideOvertaking, False
52, 21.155264540932443,20.369751710235793,22.40903663990107,45.38634,1.3000016,97.87429624545474,First,non,InsideOvertaking, False
53, 21.439510100872603,20.404913369141692,22.40903663990107,46.421078,1.2500017,97.82020410506833,First,non,InsideOvertaking, False
54, 22.57258396644473,20.371571129945426,22.40903663990107,47.456314,1.2000017,97.76602920897338,First,non,InsideOvertaking, False
55, 21.13488321986221,20.35852641196429,22.40903663990107,48.49205,1.1500018,97.71177155716993,First,non,InsideOvertaking, False
56, 21.322854973628257,20.391708700732153,22.40903663990107,49.528286,1.1000018,97.65742362641171,First,non,InsideOvertaking, False
57, 22.61901306706488,20.391775679241174,22.40903663990107,50.565018,1.0500019,97.60299293994498,First,non,InsideOvertaking, False
58, 21.33273752544702,20.279797536311396,22.40903663990107,51.60225,1.0000019,97.54847949776973,First,non,InsideOvertaking, False
59, 21.90031653972028,20.35986434893631,22.40903663990107,52.63998,0.9500019,97.49387577663974,First,non,InsideOvertaking, False
60, 20.3457700492618,20.3457700492618,22.40903663990107,53.675915,0.9500019,97.43979115949955,First,non,non, False
61, 20.28439167769195,20.28439167769195,22.40903663990107,54.70885,0.9500019,97.3862105998567,First,non,non, False
62, 20.350514779379413,20.350514779379413,22.40903663990107,55.73879,0.9500019,97.33314162095742,First,non,non, False
63, 20.400899132609723,20.400899132609723,22.40903663990107,56.765724,0.9500019,97.28056917630926,First,non,non, False
64, 20.358455690697717,20.358455690697717,22.40903663990107,57.78966,0.9500019,97.22850078915843,First,non,non, False
65, 20.359082359789323,20.359082359789323,22.40903663990107,58.810596,0.9500019,97.17692893625872,First,non,non, False
66, 20.282965140177254,20.282965140177254,22.40903663990107,59.828533,0.9500019,97.12586114085634,First,non,non, False
67, 20.348525868612345,20.348525868612345,22.40903663990107,60.843468,0.9500019,97.07528235645886,First,non,non, False
68, 20.366372430592456,20.366372430592456,22.40903663990107,61.858902,0.9500019,97.02462833959909,First,non,non, False
69, 20.403122114720514,20.403122114720514,22.40903663990107,62.874836,0.9500019,96.97389156703079,First,non,non, False
70, 20.345876042181345,20.345876042181345,22.40903663990107,63.89127,0.9500019,96.92307203875397,First,non,non, False
71, 20.313396966995754,20.313396966995754,22.40903663990107,64.9047,0.9500019,96.87274152148206,First,non,non, False
72, 20.363343157518493,20.363343157518493,22.40903663990107,65.91863,0.9500019,96.8223282485016,First,non,non, False
73, 20.361924132480894,20.361924132480894,22.40903663990107,66.93306,0.9500019,96.77183221981264,First,non,non, False
74, 20.32278099217293,20.32278099217293,22.40903663990107,67.94799,0.9500019,96.72126095866138,First,non,non, False
75, 20.36345180631844,20.36345180631844,22.40903663990107,68.96342,0.9500019,96.67060694180161,First,non,non, False
76, 20.38288626775653,20.38288626775653,22.40903663990107,69.97935,0.9500019,96.61986264598708,First,non,non, False
77, 20.392733624145944,20.392733624145944,22.40903663990107,70.99577,0.9500019,96.56904311771027,First,non,non, False
78, 20.313598512378647,20.313598512378647,22.40903663990107,72.0092,0.9500019,96.51872012368457,First,non,non, False
79, 20.38263208337645,20.38263208337645,22.40903663990107,73.023125,0.9500019,96.46830685070412,First,non,non, False
80, 20.36693860829136,20.36693860829136,22.40903663990107,74.03755,0.9500019,96.41781082201516,First,non,non, False
81, 20.297938494837112,20.297938494837112,22.40903663990107,75.052475,0.9500019,96.3672395608639,First,non,non, False
82, 20.3457644419912,20.3457644419912,22.40903663990107,76.067894,0.9500019,96.31658554400413,First,non,non, False
83, 20.317033916070073,20.317033916070073,22.40903663990107,77.08382,0.9500019,96.26584877143583,First,non,non, False
84, 20.39354358995785,20.39354358995785,22.40903663990107,78.100235,0.9500019,96.21502171991278,First,non,non, False
85, 20.371850506646368,20.371850506646368,22.40903663990107,79.11715,0.9500019,96.16412695917369,First,non,non, False
86, 20.351082958623785,20.351082958623785,22.40903663990107,80.13457,0.9500019,96.11314191947983,First,non,non, False
87, 20.307801008759398,20.307801008759398,22.40903663990107,81.14899,0.9500019,96.06265341403709,First,non,non, False
88, 20.288070463774854,20.288070463774854,22.40903663990107,82.1604,0.9500019,96.012646396353,First,non,non, False
89, 20.337124347841893,20.337124347841893,22.40903663990107,83.17232,0.9500019,95.96257166945287,First,non,non, False
90, 20.33898707145362,20.33898707145362,22.40903663990107,84.18473,0.9500019,95.91240666359798,First,non,non, False
91, 20.316052087070638,20.316052087070638,22.40903663990107,85.19765,0.9500019,95.86216642528079,First,non,non, False
92, 20.38172952141259,20.38172952141259,22.40903663990107,86.21106,0.9500019,95.81183590800886,First,non,non, False
93, 20.377667074680062,20.377667074680062,22.40903663990107,87.22497,0.9500019,95.76143015827465,First,non,non, False
94, 20.350485967573842,20.350485967573842,22.40903663990107,88.23938,0.9500019,95.7109416528319,First,non,non, False
95, 20.36035933499809,20.36035933499809,22.40903663990107,89.25429,0.9500019,95.66037039168066,First,non,non, False
96, 20.34482804303292,20.34482804303292,22.40903663990107,90.2697,0.9500019,95.60971637482088,First,non,non, False
97, 20.363896220039802,20.363896220039802,22.40903663990107,91.28561,0.9500019,95.55897960225258,First,non,non, False
98, 20.322905784860165,20.322905784860165,22.40903663990107,92.30201,0.9500019,95.50816007397577,First,non,non, False
99, 20.305837644786962,20.305837644786962,22.40903663990107,93.315414,0.9500019,95.45783707995007,First,non,non, False
100, 20.378612022549138,20.378612022549138,22.40903663990107,94.329315,0.9500019,95.40743133021586,First,non,non, False
101, 20.38165878670799,20.38165878670799,22.40903663990107,95.34372,0.9500019,95.35694282477311,First,non,non, False
102, 20.39769119911815,20.39769119911815,22.40903663990107,96.35862,0.9500019,95.30637908686809,First,non,non, False
103, 20.297339817931032,20.297339817931032,22.40903663990107,97.37052,0.9500019,95.25629683672172,First,non,non, False
104, 20.296613767249564,20.296613767249564,22.40903663990107,98.38292,0.9500019,95.20613935411305,First,non,non, False
105, 20.347550076465787,20.347550076465787,22.40903663990107,99.39582,0.9500019,95.15589911579588,First,non,non, False
106, 20.322353737482917,20.322353737482917,22.40903663990107,100.40922,0.9500019,95.10557612177017,First,non,non, False
107, 20.37625217618546,20.37625217618546,22.40903663990107,101.42312,0.9500019,95.05517037203596,First,non,non, False
