turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.061140711915762,19.061140711915762,20.65743015981586,0.06028659,12,99.9847030057252,First,non,non, False
2, 19.130236720845414,19.130236720845414,20.65743015981586,0.18085977,12,99.9743633707061,First,non,non, False
3, 19.113810696191315,19.113810696191315,20.65743015981586,0.36171955,12,99.9679896230916,First,non,non, False
4, 19.045887063083626,19.045887063083626,20.65743015981586,0.60286593,12,99.96464992843511,First,non,non, False
5, 19.105918027726197,19.105918027726197,20.65743015981586,0.9042989,12,99.96336772423665,First,non,non, False
6, 19.084401466698925,19.084401466698925,20.65743015981586,1.2660184,12,99.96316644799619,First,non,non, False
7, 19.037999563554862,19.037999563554862,20.65743015981586,1.6880245,12,99.96309935591603,First,non,non, False
8, 19.09376629990942,19.09376629990942,20.65743015981586,2.1703172,12,99.96220479484732,First,non,non, False
9, 19.053879644876407,19.053879644876407,20.65743015981586,2.7128963,12,99.95951365696565,First,non,non, False
10, 19.044229978711464,19.044229978711464,20.65743015981586,3.3157623,12,99.95406428912214,First,non,non, False
11, 19.031408209955085,19.031408209955085,20.65743015981586,3.9789147,12,99.94488012881679,First,non,non, False
12, 19.045162185316293,19.045162185316293,20.65743015981586,4.702354,12,99.93102188692748,First,non,non, False
13, 19.031629973370666,19.031629973370666,20.65743015981586,5.4860797,12,99.91149809160305,First,non,non, False
14, 19.15165112580402,19.15165112580402,20.65743015981586,6.330092,12,99.88536945372137,First,non,non, False
15, 19.118063055293188,19.118063055293188,20.65743015981586,7.2343907,12,99.85167432013358,First,non,non, False
16, 19.11391222784701,19.11391222784701,20.65743015981586,8.1989765,12,99.80942867366412,First,non,non, False
17, 19.103258476526253,19.103258476526253,20.65743015981586,9.160562,12,99.76763776240458,First,non,non, False
18, 19.045492961746508,19.045492961746508,20.65743015981586,10.119147,12,99.72627176765268,First,non,non, False
19, 20.859597167222525,19.047875295088595,20.65743015981586,11.0767145,11.95,99.68489086354961,First,non,InsideOvertaking, False
20, 19.95387548330277,19.025014779668982,20.65743015981586,12.034569,11.9,99.64344286736642,First,non,InsideOvertaking, False
21, 19.34153643950981,19.051228426747723,20.65743015981586,12.99271,11.849999,99.60196505248092,First,non,InsideOvertaking, False
22, 19.873458330919423,19.14215798205279,20.65743015981586,13.9511385,11.799999,99.56045741889314,First,non,InsideOvertaking, False
23, 21.008210352985675,19.072121339198475,20.65743015981586,14.909854,11.749999,99.5188826932252,First,non,InsideOvertaking, False
24, 21.11373582196701,19.145353828013548,20.65743015981586,15.868856,11.699999,99.47727814885496,First,non,InsideOvertaking, False
25, 20.04371192962924,19.042609017326058,20.65743015981586,16.828146,11.649999,99.43563633110686,First,non,InsideOvertaking, False
26, 20.840982053356896,19.10794370933626,20.65743015981586,17.787722,11.599998,99.39394978530534,First,non,InsideOvertaking, False
27, 20.326946269480768,19.05437739001008,20.65743015981586,18.747585,11.549998,99.3522110567748,First,non,InsideOvertaking, False
28, 20.63994611762757,19.15104407251109,20.65743015981586,19.707735,11.499998,99.31042760019083,First,non,InsideOvertaking, False
29, 19.640004585354117,19.05343948066099,20.65743015981586,20.668173,11.449998,99.26861432490458,First,non,InsideOvertaking, False
30, 20.83212553799425,19.101570481644156,20.65743015981586,21.628897,11.399998,99.22674886688931,First,non,InsideOvertaking, False
31, 20.86107753516439,19.06248312134958,20.65743015981586,22.589909,11.3499975,99.18484613549619,First,non,InsideOvertaking, False
32, 19.250860691527787,19.041915134155655,20.65743015981586,23.551207,11.299997,99.14289867604961,First,non,InsideOvertaking, False
