turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.344441376811677,19.344441376811677,21.21338258419977,0.060422882,5,99.98474339128364,First,non,non, False
2, 21.36836067132725,19.25233878057326,21.21338258419977,0.17043969,4.95,99.97442843534175,First,non,InsideOvertaking, False
3, 19.334916283247757,19.334916283247757,21.21338258419977,0.35170835,4.95,99.96810252441057,First,non,non, False
4, 21.179662671328618,19.282740349930627,21.21338258419977,0.5881714,4.8999996,99.9647907239819,First,non,InsideOvertaking, False
5, 19.820373332652565,19.29538216052195,21.21338258419977,0.8861196,4.8499994,99.96351809954751,First,non,InsideOvertaking, False
6, 20.356704861444253,19.340132087479585,21.21338258419977,1.2451924,4.799999,99.96333204334366,First,non,InsideOvertaking, False
7, 20.71896839473749,19.295795634671773,21.21338258419977,1.6651869,4.749999,99.96326506311027,First,non,InsideOvertaking, False
8, 20.480012484636262,19.265706812298987,21.21338258419977,2.145977,4.699999,99.96234966658729,First,non,InsideOvertaking, False
9, 19.91234405311727,19.31786224408657,21.21338258419977,2.6874795,4.6499987,99.95960347701833,First,non,InsideOvertaking, False
10, 19.715760469825504,19.24716281697888,21.21338258419977,3.2896361,4.5999985,99.95408877113599,First,non,InsideOvertaking, False
11, 19.29846454105203,19.29846454105203,21.21338258419977,3.9542878,4.5999985,99.94482317218386,First,non,non, False
12, 19.345960607013335,19.345960607013335,21.21338258419977,4.6793623,4.5999985,99.93084663015003,First,non,non, False
13, 19.372032490742278,19.372032490742278,21.21338258419977,5.46486,4.5999985,99.91118421052632,First,non,non, False
14, 19.29478927790411,19.29478927790411,21.21338258419977,6.3107805,4.5999985,99.88486842105263,First,non,non, False
15, 19.253772863415524,19.253772863415524,21.21338258419977,7.217124,4.5999985,99.85094665396522,First,non,non, False
16, 19.257975385766326,19.257975385766326,21.21338258419977,8.18389,4.5999985,99.80845141700405,First,non,non, False
17, 19.266691381179523,19.266691381179523,21.21338258419977,9.147656,4.5999985,99.76639527268397,First,non,non, False
18, 19.31135092875419,19.31135092875419,21.21338258419977,10.111845,4.5999985,99.72428703262682,First,non,non, False
19, 19.262988743629766,19.262988743629766,21.21338258419977,11.073034,4.5999985,99.68261044296261,First,non,non, False
20, 19.281427495265422,19.281427495265422,21.21338258419977,12.034646,4.5999985,99.64088919980948,First,non,non, False
21, 21.10061628751587,19.33063011385347,21.21338258419977,12.99538,4.5499983,99.5990935341748,First,non,InsideOvertaking, False
