turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.498516322515545,19.498516322515545,21.35468458214059,0.060446,2,99.9848852161193,First,non,non, False
2, 19.982997767447916,19.453241057280643,21.35468458214059,0.1705136,1.95,99.97467352066819,First,non,InsideOvertaking, False
3, 19.907311382171944,19.394177435473857,21.35468458214059,0.34482217,1.9000001,99.96840641515666,First,non,InsideOvertaking, False
4, 20.376366400236144,19.385360242112995,21.35468458214059,0.5813798,1.8500001,99.96512540109477,First,non,InsideOvertaking, False
5, 21.09945051003383,19.451971746393376,21.35468458214059,0.8794452,1.8000002,99.96387197999246,First,non,InsideOvertaking, False
6, 20.2142543784093,19.46305220817304,21.35468458214059,1.2386581,1.7500002,99.96369502642507,First,non,InsideOvertaking, False
7, 19.6820538601344,19.458093386826842,21.35468458214059,1.6588155,1.7000003,99.9636286688373,First,non,InsideOvertaking, False
8, 21.367557137563935,19.47566224836061,21.35468458214059,2.1397917,1.6500003,99.96270703567384,First,non,InsideOvertaking, False
9, 19.901634015749448,19.3804415611158,21.35468458214059,2.681503,1.6000004,99.95998637457532,First,non,InsideOvertaking, False
10, 20.3264363009687,19.377885347322405,21.35468458214059,3.2838917,1.5500004,99.95450081398641,First,non,InsideOvertaking, False
11, 20.085096413147173,19.383869071132892,21.35468458214059,3.9469151,1.5000005,99.94530660154776,First,non,InsideOvertaking, False
12, 20.18371858600476,19.40142340910397,21.35468458214059,4.670542,1.4500005,99.93143786570404,First,non,InsideOvertaking, False
13, 20.911206684049322,19.417589144447525,21.35468458214059,5.454747,1.4000006,99.91192136183466,First,non,InsideOvertaking, False
14, 19.63363841451078,19.406805429906804,21.35468458214059,6.299513,1.3500006,99.88582071064553,First,non,InsideOvertaking, False
15, 20.33096069641591,19.438297507757245,21.35468458214059,7.204823,1.3000007,99.85217004058136,First,non,InsideOvertaking, False
16, 19.73027373421756,19.413567444425016,21.35468458214059,8.170666,1.2500007,99.81001085315214,First,non,InsideOvertaking, False
17, 19.925750981996956,19.399774836993647,21.35468458214059,9.197031,1.2000008,99.7583920229332,First,non,InsideOvertaking, False
18, 20.940125461360786,19.44691786980347,21.35468458214059,10.28391,1.1500008,99.69634030530389,First,non,InsideOvertaking, False
19, 19.390530424276264,19.390530424276264,21.35468458214059,11.3689375,1.1500008,99.63482682144206,First,non,non, False
20, 19.39025175912686,19.39025175912686,21.35468458214059,12.450966,1.1500008,99.57385894441299,First,non,non, False
21, 19.43412300211521,19.43412300211521,21.35468458214059,13.529994,1.1500008,99.51342192808607,First,non,non, False
22, 19.420250270832092,19.420250270832092,21.35468458214059,14.606022,1.1500008,99.45351577246132,First,non,non, False
23, 19.450717739646667,19.450717739646667,21.35468458214059,15.67905,1.1500008,99.3941404775387,First,non,non, False
24, 19.44923532049532,19.44923532049532,21.35468458214059,16.749079,1.1500008,99.33529604331824,First,non,non, False
25, 19.421368980560622,19.421368980560622,21.35468458214059,17.816107,1.1500008,99.27697509673463,First,non,non, False
26, 19.442058226013337,19.442058226013337,21.35468458214059,18.880135,1.1500008,99.21917763778785,First,non,non, False
27, 19.40162180889925,19.40162180889925,21.35468458214059,19.941162,1.1500008,99.16191103954323,First,non,non, False
