turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.499785262796454,20.67287044499659,22.22094617293018,0.060257196,7,99.98829346248326,First,SpeedUp,non, False
2, 21.466844728316214,20.641196854150206,22.22094617293018,0.18077159,7,99.98021577713264,First,SpeedUp,non, False
3, 21.443714187479678,20.61895594949969,22.22094617293018,0.36154318,7,99.975112703774,First,SpeedUp,non, False
4, 21.51160324606928,20.68423389045123,22.22094617293018,0.60257196,7,99.97230383262617,First,SpeedUp,non, False
5, 21.429202937324295,20.605002824350283,22.22094617293018,0.90385795,7,99.97109130750334,First,SpeedUp,non, False
6, 21.415680190117232,20.59200018280503,22.22094617293018,1.2654011,7,99.97082961143367,First,SpeedUp,non, False
7, 21.458057610614777,20.63274770251421,22.22094617293018,1.6872015,7,99.97082961143367,First,SpeedUp,non, False
8, 21.387256261791983,20.56466948249229,22.22094617293018,2.169259,7,99.97041089772219,First,SpeedUp,non, False
9, 21.514931023166984,20.687433676122097,22.22094617293018,2.7115738,7,99.96890178372041,First,SpeedUp,non, False
10, 21.51135097883399,20.683991325801912,22.22094617293018,3.3141458,7,99.96563058284949,First,SpeedUp,non, False
11, 21.415309044759805,20.591643312269042,22.22094617293018,3.976975,7,99.95990816212594,First,SpeedUp,non, False
12, 21.50964061757047,20.68234674766391,22.22094617293018,4.7000613,7,99.95108028137561,First,SpeedUp,non, False
13, 21.431615646809135,20.607322737316476,22.22094617293018,5.483405,7,99.93845780761501,First,SpeedUp,non, False
14, 21.463397612182398,20.637882319406152,22.22094617293018,6.327006,7,99.9213690542653,First,SpeedUp,non, False
15, 21.39209236142535,20.569319578293605,22.22094617293018,7.2308636,7,99.89912488834301,First,SpeedUp,non, False
16, 21.52082269931657,20.693098749342855,22.22094617293018,8.194979,7,99.87107106967396,First,SpeedUp,non, False
17, 21.507891155276415,20.68066457238117,22.22094617293018,9.219351,7,99.83651846527468,First,SpeedUp,non, False
18, 21.5044894321197,20.677393684730482,22.22094617293018,10.30398,7,99.79479538856633,First,SpeedUp,non, False
19, 21.447215555834447,20.622322649840815,22.22094617293018,11.38561,7,99.75344740955784,First,SpeedUp,non, False
20, 21.436543001127813,20.61206057800751,22.22094617293018,12.464239,7,99.71246580504689,First,SpeedUp,non, False
21, 21.41898556307458,20.595178426033247,22.22094617293018,13.539868,7,99.67185057503349,First,SpeedUp,non, False
22, 21.38976839820237,20.56708499827151,22.22094617293018,14.612498,7,99.63161916592229,First,SpeedUp,non, False
23, 21.44337332312223,20.618628195309835,22.22094617293018,15.682128,7,99.59174540810629,First,SpeedUp,non, False
24, 21.510419834055167,20.683095994283814,22.22094617293018,16.752014,7,99.55183675748101,First,SpeedUp,non, False
25, 21.414750430606126,20.59110618327512,22.22094617293018,17.822159,7,99.51190193724877,First,SpeedUp,non, False
26, 21.48006194102988,20.65390571252873,22.22094617293018,18.89256,7,99.47193222420724,First,SpeedUp,non, False
27, 21.51556182641244,20.68804021770427,22.22094617293018,19.963217,7,99.43193634155872,First,SpeedUp,non, False
28, 21.40891029640254,20.585490669617826,22.22094617293018,21.030874,7,99.39229811020545,First,SpeedUp,non, False
29, 21.518713556793536,20.691070727686093,22.22094617293018,22.09879,7,99.3526337092452,First,SpeedUp,non, False
30, 21.442629499558812,20.61791298034501,22.22094617293018,23.166962,7,99.31293441547565,First,SpeedUp,non, False
31, 21.437227429530573,20.612718682240935,22.22094617293018,24.235392,7,99.27320022889683,First,SpeedUp,non, False
32, 21.445932962798878,20.62108938730661,22.22094617293018,25.30408,7,99.23344859591336,First,SpeedUp,non, False
33, 21.509547450392688,20.68225716383912,22.22094617293018,26.373024,7,99.19365334691827,First,SpeedUp,non, False
34, 21.480328057668768,20.654161593912274,22.22094617293018,27.442226,7,99.15383192831621,First,SpeedUp,non, False
35, 21.492984216820332,20.66633097771186,22.22094617293018,28.511684,7,99.11397561690487,First,SpeedUp,non, False
