turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.662565875555874,18.662565875555874,19.9892412511728,0.060253337,6,99.99337988214668,First,non,non, False
2, 19.07959854205743,18.62966112996034,19.9892412511728,0.16989759,5.95,99.98930889013343,First,non,InsideOvertaking, False
3, 18.827985843687177,18.61668694831993,19.9892412511728,0.34360474,5.8999996,99.9871687658274,First,non,InsideOvertaking, False
4, 20.398745128610344,18.60772527223074,19.9892412511728,0.5793746,5.8499994,99.98634125109574,First,non,InsideOvertaking, False
5, 20.224129715962068,18.612593346613522,19.9892412511728,0.8764632,5.799999,99.98621759946917,First,non,InsideOvertaking, False
6, 19.445207910948778,18.57878448643273,19.9892412511728,1.2345089,5.749999,99.98617004115125,First,non,InsideOvertaking, False
7, 19.645052598739287,18.673444744515727,19.9892412511728,1.653308,5.699999,99.9856088529999,First,non,InsideOvertaking, False
8, 20.144434059578558,18.65286285411723,19.9892412511728,2.1327345,5.6499987,99.98390626521866,First,non,InsideOvertaking, False
9, 20.192871213433598,18.5604831039437,19.9892412511728,2.6727047,5.5999985,99.98044401967468,First,non,InsideOvertaking, False
10, 20.200285155135415,18.675967166140417,19.9892412511728,3.27316,5.5499983,99.9746133698987,First,non,InsideOvertaking, False
11, 19.37611960454523,18.643694017661623,19.9892412511728,3.934058,5.499998,99.96580556942145,First,non,InsideOvertaking, False
12, 19.935604362526625,18.56437766195411,19.9892412511728,4.655367,5.449998,99.95340236011006,First,non,InsideOvertaking, False
13, 20.533640379468963,18.600707030211662,19.9892412511728,5.4370627,5.3999977,99.9367854838317,First,non,InsideOvertaking, False
14, 20.429437832853502,18.617160265236226,19.9892412511728,6.279126,5.3499975,99.91534619411708,First,non,InsideOvertaking, False
15, 19.114749576631294,18.608879836241545,19.9892412511728,7.1815424,5.2999973,99.88847574449693,First,non,InsideOvertaking, False
16, 18.88886329888445,18.600627986402195,19.9892412511728,8.144299,5.249997,99.85554636517483,First,non,InsideOvertaking, False
17, 20.69036393639494,18.667603813237452,19.9892412511728,9.167384,5.199997,99.81595882134508,First,non,InsideOvertaking, False
18, 19.566008822542045,18.670280016398117,19.9892412511728,10.187467,5.1499968,99.7767136974043,First,non,InsideOvertaking, False
19, 18.572143421454502,18.572143421454502,19.9892412511728,11.205773,5.1499968,99.73781099335248,First,non,non, False
20, 18.560325951002163,18.560325951002163,19.9892412511728,12.22108,5.1499968,99.69925070918964,First,non,non, False
21, 18.60106441979112,18.60106441979112,19.9892412511728,13.233387,5.1499968,99.66103284491575,First,non,non, False
22, 18.581054986446905,18.581054986446905,19.9892412511728,14.242694,5.1499968,99.62315740053083,First,non,non, False
23, 18.66075762245406,18.66075762245406,19.9892412511728,15.249001,5.1499968,99.58562437603487,First,non,non, False
24, 18.605156436215054,18.605156436215054,19.9892412511728,16.252308,5.1499968,99.54842425976429,First,non,non, False
25, 18.634455255979123,18.634455255979123,19.9892412511728,17.252615,5.1499968,99.5115570517191,First,non,non, False
26, 18.6625197975474,18.6625197975474,19.9892412511728,18.249922,5.1499968,99.47503226356287,First,non,non, False
27, 18.581377011471524,18.581377011471524,19.9892412511728,19.244228,5.1499968,99.43883087196843,First,non,non, False
28, 18.638742620815083,18.638742620815083,19.9892412511728,20.235535,5.1499968,99.40297190026298,First,non,non, False
29, 18.646272755934483,18.646272755934483,19.9892412511728,21.22384,5.1499968,99.36743632511931,First,non,non, False
30, 18.623399572918043,18.623399572918043,19.9892412511728,22.209148,5.1499968,99.33222414653744,First,non,non, False
31, 18.641947622183732,18.641947622183732,19.9892412511728,23.191456,5.1499968,99.29734487618097,First,non,non, False
32, 18.574669962789574,18.574669962789574,19.9892412511728,24.170763,5.1499968,99.26278900238628,First,non,non, False
33, 18.582347660307107,18.582347660307107,19.9892412511728,25.14707,5.1499968,99.22855652515341,First,non,non, False
34, 18.618101948846977,18.618101948846977,19.9892412511728,26.120377,5.1499968,99.19464744448231,First,non,non, False
35, 18.597749291410274,18.597749291410274,19.9892412511728,27.090683,5.1499968,99.16105224870945,First,non,non, False
36, 18.565318916949224,18.565318916949224,19.9892412511728,28.05799,5.1499968,99.12778996116198,First,non,non, False
37, 18.620776754825886,18.620776754825886,19.9892412511728,29.022295,5.1499968,99.09483204684912,First,non,non, False
38, 18.596129991625034,18.596129991625034,19.9892412511728,29.983603,5.1499968,99.0621880174345,First,non,non, False
39, 18.675452719632556,18.675452719632556,19.9892412511728,30.94191,5.1499968,99.02987689624526,First,non,non, False
