turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.707412999049023,18.707412999049023,20.194045730415784,0.060250767,8,99.98862555088141,First,non,non, False
2, 18.679552867076332,18.679552867076332,20.194045730415784,0.1807523,8,99.98113231169872,First,non,non, False
3, 18.697649040007402,18.697649040007402,20.194045730415784,0.3615046,8,99.97671274038461,First,non,non, False
4, 18.769802293065094,18.769802293065094,20.194045730415784,0.6025077,8,99.9745592948718,First,non,non, False
5, 18.725488977289928,18.725488977289928,20.194045730415784,0.9037615,8,99.973876953125,First,non,non, False
6, 18.680733250719683,18.680733250719683,20.194045730415784,1.2652661,8,99.97383313301282,First,non,non, False
7, 18.71812623975253,18.71812623975253,20.194045730415784,1.6870215,8,99.97363907251602,First,non,non, False
8, 18.77081635348446,18.77081635348446,20.194045730415784,2.1690276,8,99.97247470953526,First,non,non, False
9, 18.765969123807732,18.765969123807732,20.194045730415784,2.7112844,8,99.96955128205128,First,non,non, False
10, 18.687082820828984,18.687082820828984,20.194045730415784,3.313792,8,99.96404246794872,First,non,non, False
11, 18.69397126800134,18.69397126800134,20.194045730415784,3.9765503,8,99.95514072516026,First,non,non, False
12, 18.756361944327082,18.756361944327082,20.194045730415784,4.6995597,8,99.94204477163461,First,non,non, False
13, 18.703516096713752,18.703516096713752,20.194045730415784,5.4828196,8,99.92395332532051,First,non,non, False
14, 18.683084364374828,18.683084364374828,20.194045730415784,6.32633,8,99.90004632411859,First,non,non, False
15, 18.728255963625163,18.728255963625163,20.194045730415784,7.2300916,8,99.86950996594551,First,non,non, False
16, 18.666402413472124,18.666402413472124,20.194045730415784,8.194104,8,99.83155548878206,First,non,non, False
17, 18.674133756255863,18.674133756255863,20.194045730415784,9.155116,8,99.79398913261218,First,non,non, False
18, 18.677609250769027,18.677609250769027,20.194045730415784,10.113129,8,99.7568108974359,First,non,non, False
19, 19.48563959461475,18.753039599481255,20.194045730415784,11.0700865,7.95,99.71958884214743,First,non,InsideOvertaking, False
20, 19.836206416463384,18.757740639452766,20.194045730415784,12.027295,7.8999996,99.68234174679488,First,non,InsideOvertaking, False
21, 20.172354028491238,18.777766768239584,20.194045730415784,12.984755,7.8499994,99.6450696113782,First,non,InsideOvertaking, False
22, 20.224487025130095,18.730877098863335,20.194045730415784,13.942466,7.799999,99.60775365584936,First,non,InsideOvertaking, False
23, 20.397427336435648,18.756818328516644,20.194045730415784,14.900428,7.749999,99.57041892027243,First,non,InsideOvertaking, False
24, 20.686368979128005,18.711225393985643,20.194045730415784,15.858641,7.699999,99.5330341045673,First,non,InsideOvertaking, False
25, 20.66493956981208,18.722219237541328,20.194045730415784,16.817104,7.6499987,99.4956305088141,First,non,InsideOvertaking, False
26, 20.604277342059802,18.696942929279793,20.194045730415784,17.77582,7.5999985,99.45818309294872,First,non,InsideOvertaking, False
27, 18.732872688738684,18.732872688738684,20.194045730415784,18.732838,7.5999985,99.42113631810898,First,non,non, False
28, 18.699006426675265,18.699006426675265,20.194045730415784,19.686855,7.5999985,99.38446514423077,First,non,non, False
29, 18.67931893439767,18.67931893439767,20.194045730415784,20.637875,7.5999985,99.34817583133012,First,non,non, False
30, 18.75185604614517,18.75185604614517,20.194045730415784,21.585894,7.5999985,99.31226837940706,First,non,non, False
31, 18.672931420302696,18.672931420302696,20.194045730415784,22.530912,7.5999985,99.27674278846153,First,non,non, False
32, 19.83626265027172,18.747916617474285,20.194045730415784,23.474857,7.5499983,99.24117963741988,First,non,InsideOvertaking, False
