turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.931764147862186,18.931764147862186,20.795145048500128,0.06043805,3,99.988745749689,First,non,non, False
2, 18.978579162012956,18.978579162012956,20.795145048500128,0.18131416,3,99.98134538903733,First,non,non, False
3, 18.87770085814369,18.87770085814369,20.795145048500128,0.3626283,3,99.97700062118403,First,non,non, False
4, 18.882431410992428,18.882431410992428,20.795145048500128,0.6043805,3,99.97489331580583,First,non,non, False
5, 18.997889772286175,18.997889772286175,20.795145048500128,0.90657073,3,99.9742301344074,First,non,non, False
6, 18.94103766284218,18.94103766284218,20.795145048500128,1.269199,3,99.97418674870843,First,non,non, False
7, 18.87698903226756,18.87698903226756,20.795145048500128,1.6922654,3,99.9739884140846,First,non,non, False
8, 18.96845420085672,18.96845420085672,20.795145048500128,2.1757698,3,99.97280460429862,First,non,non, False
9, 18.98235197768364,18.98235197768364,20.795145048500128,2.7197123,3,99.96984817881214,First,non,non, False
10, 18.951476177003602,18.951476177003602,20.795145048500128,3.3240929,3,99.96430100730188,First,non,non, False
11, 18.976261258864717,18.976261258864717,20.795145048500128,3.9889114,3,99.95536355331551,First,non,non, False
12, 18.96673145002655,18.96673145002655,20.795145048500128,4.714168,3,99.94223008244373,First,non,non, False
13, 18.938330579146303,18.938330579146303,20.795145048500128,5.4998627,3,99.92409486027722,First,non,non, False
14, 18.92924610426961,18.92924610426961,20.795145048500128,6.3459954,3,99.90015215240666,First,non,non, False
15, 18.94155677191436,18.94155677191436,20.795145048500128,7.2525663,3,99.86959622442276,First,non,non, False
16, 18.96156530561298,18.96156530561298,20.795145048500128,8.219575,3,99.83162753987318,First,non,non, False
17, 18.884946181600657,18.884946181600657,20.795145048500128,9.183584,3,99.79404932661427,First,non,non, False
18, 18.902728668741652,18.902728668741652,20.795145048500128,10.144593,3,99.75685538668904,First,non,non, False
19, 18.94375958417067,18.94375958417067,20.795145048500128,11.102602,3,99.72004572009747,First,non,non, False
20, 18.916674765596447,18.916674765596447,20.795145048500128,12.0576105,3,99.6836141288826,First,non,non, False
21, 18.95384747859184,18.95384747859184,20.795145048500128,13.00962,3,99.64755441508738,First,non,non, False
22, 18.964471213724725,18.964471213724725,20.795145048500128,13.958629,3,99.61187897462585,First,non,non, False
23, 18.97137263185588,18.97137263185588,20.795145048500128,14.904637,3,99.576581609541,First,non,non, False
24, 18.899584848673026,18.899584848673026,20.795145048500128,15.847646,3,99.54165612187583,First,non,non, False
25, 18.904152921133306,18.904152921133306,20.795145048500128,16.791092,3,99.50668105055469,First,non,non, False
26, 18.880238474839963,18.880238474839963,20.795145048500128,17.734978,3,99.47164399966361,First,non,non, False
27, 18.9414126957997,18.9414126957997,20.795145048500128,18.6793,3,99.43655736511658,First,non,non, False
28, 18.90975545869544,18.90975545869544,20.795145048500128,19.624062,3,99.4014087509996,First,non,non, False
29, 18.971071456496038,18.971071456496038,20.795145048500128,20.569262,3,99.36621055322667,First,non,non, False
30, 18.994356996425644,18.994356996425644,20.795145048500128,21.514898,3,99.33095657384077,First,non,non, False
31, 18.971839210431863,18.971839210431863,20.795145048500128,22.460974,3,99.29564681284192,First,non,non, False
32, 19.00022131024445,19.00022131024445,20.795145048500128,23.407488,3,99.26028127023012,First,non,non, False
33, 18.881830879539375,18.881830879539375,20.795145048500128,24.351002,3,99.225293802995,First,non,non, False
34, 18.95315742822004,18.95315742822004,20.795145048500128,25.294952,3,99.19025675210392,First,non,non, False
35, 18.99098237048285,18.99098237048285,20.795145048500128,26.239342,3,99.1551515236859,First,non,non, False
36, 18.914149796882256,18.914149796882256,20.795145048500128,27.18417,3,99.12000290956892,First,non,non, False
37, 18.904906834530625,18.904906834530625,20.795145048500128,28.129435,3,99.084792315882,First,non,non, False
38, 18.952585246935765,18.952585246935765,20.795145048500128,29.075138,3,99.0495321385391,First,non,non, False
39, 18.904853704342976,18.904853704342976,20.795145048500128,30.017841,3,99.0146376406589,First,non,non, False
40, 18.958494730974426,18.958494730974426,20.795145048500128,30.960983,3,98.97969975707974,First,non,non, False
41, 18.95241332549202,18.95241332549202,20.795145048500128,31.904562,3,98.94469989393063,First,non,non, False
42, 18.925507517696214,18.925507517696214,20.795145048500128,32.84858,3,98.90965044712557,First,non,non, False
43, 18.955020094075884,18.955020094075884,20.795145048500128,33.793034,3,98.87454521870755,First,non,non, False
44, 18.994137952315228,18.994137952315228,20.795145048500128,34.737926,3,98.83938420867658,First,non,non, False
45, 18.88493045374293,18.88493045374293,20.795145048500128,35.67982,3,98.80459507606528,First,non,non, False
46, 18.923388061556555,18.923388061556555,20.795145048500128,36.622154,3,98.76975016184105,First,non,non, False
47, 18.966842679971187,18.966842679971187,20.795145048500128,37.564922,3,98.73484946600385,First,non,non, False
48, 18.91848766035654,18.91848766035654,20.795145048500128,38.50813,3,98.6998991865107,First,non,non, False
49, 18.9749084475798,18.9749084475798,20.795145048500128,39.451775,3,98.6648993233616,First,non,non, False
50, 18.881441219286767,18.881441219286767,20.795145048500128,40.39586,3,98.62983128268554,First,non,non, False
51, 18.961558785373448,18.961558785373448,20.795145048500128,41.34038,3,98.59472605426753,First,non,non, False
52, 18.894330793429713,18.894330793429713,20.795145048500128,42.285343,3,98.55955264832255,First,non,non, False
53, 18.98042341816492,18.98042341816492,20.795145048500128,43.23074,3,98.52432965872164,First,non,non, False
54, 18.921297947747338,18.921297947747338,20.795145048500128,44.176575,3,98.48905088750777,First,non,non, False
55, 18.99446748755819,18.99446748755819,20.795145048500128,45.12285,3,98.45371633468095,First,non,non, False
56, 18.94614626868782,18.94614626868782,20.795145048500128,46.06956,3,98.41832600024117,First,non,non, False
57, 18.902482489739292,18.902482489739292,20.795145048500128,47.013275,3,98.38331993913506,First,non,non, False
58, 18.998477499838167,18.998477499838167,20.795145048500128,47.957424,3,98.34825189845901,First,non,non, False
59, 18.907352479092573,18.907352479092573,20.795145048500128,48.90201,3,98.31312807617,First,non,non, False
60, 18.986912079307242,18.986912079307242,20.795145048500128,49.84704,3,98.27794227431106,First,non,non, False
61, 18.91545829678994,18.91545829678994,20.795145048500128,50.792503,3,98.24271308675314,First,non,non, False
62, 18.984993548085,18.984993548085,20.795145048500128,51.738407,3,98.20743431553927,First,non,non, False
63, 18.902585205540213,18.902585205540213,20.795145048500128,52.68131,3,98.1725212237881,First,non,non, False
64, 18.87637786458505,18.87637786458505,20.795145048500128,53.62465,3,98.13755235042396,First,non,non, False
65, 18.994530264999746,18.994530264999746,20.795145048500128,54.568428,3,98.10252149748987,First,non,non, False
66, 18.97786061142845,18.97786061142845,20.795145048500128,55.512646,3,98.06744725885683,First,non,non, False
67, 18.92508743733212,18.92508743733212,20.795145048500128,56.457302,3,98.03232343656782,First,non,non, False
68, 18.903183532439538,18.903183532439538,20.795145048500128,57.402393,3,97.99713763470886,First,non,non, False
69, 18.923439292778777,18.923439292778777,20.795145048500128,58.347923,3,97.96189605123696,First,non,non, False
70, 18.933217584145208,18.933217584145208,20.795145048500128,59.29389,3,97.9265986861521,First,non,non, False
71, 18.988257435091075,18.988257435091075,20.795145048500128,60.2403,3,97.8912517374113,First,non,non, False
72, 18.89073166259216,18.89073166259216,20.795145048500128,61.183704,3,97.85627046813318,First,non,non, False
73, 18.892411467189554,18.892411467189554,20.795145048500128,62.12755,3,97.82123961519909,First,non,non, False
74, 18.944761201520965,18.944761201520965,20.795145048500128,63.07183,3,97.78615298065205,First,non,non, False
75, 18.980676586267048,18.980676586267048,20.795145048500128,64.01655,3,97.75102296040606,First,non,non, False
76, 18.999822501872035,18.999822501872035,20.795145048500128,64.96171,3,97.71582476263312,First,non,non, False
77, 18.960835082523527,18.960835082523527,20.795145048500128,65.9073,3,97.68057698120421,First,non,non, False
78, 18.974008855202065,18.974008855202065,20.795145048500128,66.85334,3,97.64526722020537,First,non,non, False
79, 18.922335275554442,18.922335275554442,20.795145048500128,67.79981,3,97.60990787555058,First,non,non, False
80, 18.93209787516759,18.93209787516759,20.795145048500128,68.74673,3,97.57450514519681,First,non,non, False
81, 18.979883661778185,18.979883661778185,20.795145048500128,69.69408,3,97.5390342373161,First,non,non, False
82, 18.954513869599715,18.954513869599715,20.795145048500128,70.64186,3,97.50350754782244,First,non,non, False
83, 18.942360957932536,18.942360957932536,20.795145048500128,71.58665,3,97.46836513166245,First,non,non, False
84, 18.89241532577901,18.89241532577901,20.795145048500128,72.528435,3,97.43358839496516,First,non,non, False
85, 18.906629649917516,18.906629649917516,20.795145048500128,73.47066,3,97.3987620746119,First,non,non, False
86, 18.951293317397322,18.951293317397322,20.795145048500128,74.41332,3,97.36387997264568,First,non,non, False
87, 18.95345182090845,18.95345182090845,20.795145048500128,75.35642,3,97.32894208906652,First,non,non, False
88, 18.945672103810328,18.945672103810328,20.795145048500128,76.299965,3,97.2939484238744,First,non,non, False
89, 18.906559680612624,18.906559680612624,20.795145048500128,77.24394,3,97.25890517502633,First,non,non, False
90, 18.89036833893869,18.89036833893869,20.795145048500128,78.188354,3,97.22379994660831,First,non,non, False
91, 18.957611409910527,18.957611409910527,20.795145048500128,79.13321,3,97.18864513453434,First,non,non, False
