turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.475273772693157,20.475273772693157,22.033552704106064,0.06028953,6,99.97443939169538,First,non,non, False
2, 22.00188447911001,20.48043513222055,22.033552704106064,0.17001332,5.95,99.95653644711331,First,non,InsideOvertaking, False
3, 20.478038793463686,20.478038793463686,22.033552704106064,0.35088193,5.95,99.94492372630332,First,non,non, False
4, 20.429468334085282,20.429468334085282,22.033552704106064,0.59204006,5.95,99.9382653456215,First,non,non, False
5, 20.414913721018024,20.414913721018024,22.033552704106064,0.8934877,5.95,99.9351728275797,First,non,non, False
6, 20.46303603656409,20.46303603656409,22.033552704106064,1.255225,5.95,99.93429976976519,First,non,non, False
7, 20.47548802676944,20.47548802676944,22.033552704106064,1.6772516,5.95,99.93428925099633,First,non,non, False
8, 20.48864453547661,20.48864453547661,22.033552704106064,2.1595678,5.95,99.9337738313227,First,non,non, False
9, 20.529110547033486,20.529110547033486,22.033552704106064,2.7021737,5.95,99.93140710833154,First,non,non, False
10, 20.410976897145797,20.410976897145797,22.033552704106064,3.305069,5.95,99.92581112330353,First,non,non, False
11, 20.52217064220482,20.52217064220482,22.033552704106064,3.9682539,5.95,99.91564999259478,First,non,non, False
12, 20.5343644601122,20.5343644601122,22.033552704106064,4.691728,5.95,99.899545757486,First,non,non, False
13, 22.115660264898942,20.47636557675549,22.033552704106064,5.4738955,5.8999996,99.87614149679555,First,non,InsideOvertaking, False
14, 22.738572404329524,20.517439720348214,22.033552704106064,6.316467,5.8499994,99.84408028934187,First,non,InsideOvertaking, False
15, 22.401825175323975,20.408948350280788,22.033552704106064,7.2194266,5.799999,99.80200521394335,First,non,InsideOvertaking, False
16, 21.72969718324924,20.480620949430524,22.033552704106064,8.182762,5.749999,99.7485488306495,First,non,InsideOvertaking, False
17, 22.375248984492007,20.439030310828965,22.033552704106064,9.206464,5.699999,99.68237525581645,First,non,InsideOvertaking, False
18, 21.46202060513999,20.50591093697628,22.033552704106064,10.290523,5.6499987,99.60209601195605,First,non,InsideOvertaking, False
19, 21.759951492413336,20.51515475231771,22.033552704106064,11.434932,5.5999985,99.50635417788668,First,non,InsideOvertaking, False
20, 20.435942950077468,20.435942950077468,22.033552704106064,12.577433,5.5999985,99.41142228901874,First,non,non, False
21, 20.53663218699114,20.53663218699114,22.033552704106064,13.716934,5.5999985,99.31728982658336,First,non,non, False
22, 20.47731418579871,20.47731418579871,22.033552704106064,14.8534355,5.5999985,99.22394627181171,First,non,non, False
23, 20.425196454612937,20.425196454612937,22.033552704106064,15.986937,5.5999985,99.13140214347264,First,non,non, False
24, 20.538635980525257,20.538635980525257,22.033552704106064,17.117437,5.5999985,99.03963640402843,First,non,non, False
25, 20.47952517585126,20.47952517585126,22.033552704106064,18.244938,5.5999985,98.94865957224795,First,non,non, False
26, 20.463618564867136,20.463618564867136,22.033552704106064,19.369438,5.5999985,98.85846112936234,First,non,non, False
27, 20.47409866529106,20.47409866529106,22.033552704106064,20.49094,5.5999985,98.7690410753716,First,non,non, False
28, 20.44670195964648,20.44670195964648,22.033552704106064,21.609442,5.5999985,98.68039941027574,First,non,non, False
29, 20.49972630864156,20.49972630864156,22.033552704106064,22.724943,5.5999985,98.5925256153059,First,non,non, False
30, 20.49373543817937,20.49373543817937,22.033552704106064,23.837444,5.5999985,98.50541969046208,First,non,non, False
31, 20.446367778588762,20.446367778588762,22.033552704106064,24.946945,5.5999985,98.41907111697545,First,non,non, False
32, 20.454319663385807,20.454319663385807,22.033552704106064,26.053446,5.5999985,98.33349041361481,First,non,non, False
33, 20.43258130486332,20.43258130486332,22.033552704106064,27.156946,5.5999985,98.24866706161137,First,non,non, False
34, 20.443812587783828,20.443812587783828,22.033552704106064,28.257446,5.5999985,98.1646010609651,First,non,non, False
35, 20.47166117523687,20.47166117523687,22.033552704106064,29.354948,5.5999985,98.08128189290714,First,non,non, False
36, 20.52823145494791,20.52823145494791,22.033552704106064,30.44945,5.5999985,97.99870955743752,First,non,non, False
37, 20.49616049303837,20.49616049303837,22.033552704106064,31.54095,5.5999985,97.91688405455622,First,non,non, False
38, 20.495112370568403,20.495112370568403,22.033552704106064,32.62945,5.5999985,97.83579486549439,First,non,non, False
39, 20.487520557143327,20.487520557143327,22.033552704106064,33.714954,5.5999985,97.75544199025204,First,non,non, False
40, 20.50661373379865,20.50661373379865,22.033552704106064,34.797455,5.5999985,97.67582542882917,First,non,non, False
41, 20.434718346812033,20.434718346812033,22.033552704106064,35.876957,5.5999985,97.59694518122576,First,non,non, False
42, 20.531558298168385,20.531558298168385,22.033552704106064,36.953457,5.5999985,97.51878020990414,First,non,non, False
43, 20.496742154168736,20.496742154168736,22.033552704106064,38.02696,5.5999985,97.44135155240198,First,non,non, False
44, 20.53986737028459,20.53986737028459,22.033552704106064,39.097458,5.5999985,97.3646381711816,First,non,non, False
45, 20.451238724501565,20.451238724501565,22.033552704106064,40.16496,5.5999985,97.28864006624299,First,non,non, False
46, 20.4156068215742,20.4156068215742,22.033552704106064,41.22946,5.5999985,97.21334671881732,First,non,non, False
47, 20.42099139189448,20.42099139189448,22.033552704106064,42.290962,5.5999985,97.13877916644226,First,non,non, False
48, 20.509550882950833,20.509550882950833,22.033552704106064,43.349464,5.5999985,97.06490585281128,First,non,non, False
49, 20.466320500001633,20.466320500001633,22.033552704106064,44.404964,5.5999985,96.99174781546208,First,non,non, False
50, 20.42291310723618,20.42291310723618,22.033552704106064,45.457466,5.5999985,96.91928401685695,First,non,non, False
51, 20.476563050808437,20.476563050808437,22.033552704106064,46.506966,5.5999985,96.84751445699591,First,non,non, False
52, 20.416470910996726,20.416470910996726,22.033552704106064,47.553467,5.5999985,96.77643913587893,First,non,non, False
53, 20.441716682629306,20.441716682629306,22.033552704106064,48.59697,5.5999985,96.70604753473718,First,non,non, False
54, 20.441479949186018,20.441479949186018,22.033552704106064,49.63747,5.5999985,96.63636069110835,First,non,non, False
55, 20.45809313969769,20.45809313969769,22.033552704106064,50.674973,5.5999985,96.5673470486859,First,non,non, False
56, 20.45807044842983,20.45807044842983,22.033552704106064,51.709473,5.5999985,96.49900660746984,First,non,non, False
57, 20.413769809004634,20.413769809004634,22.033552704106064,52.740974,5.5999985,96.43134988622899,First,non,non, False
58, 20.477639123682522,20.477639123682522,22.033552704106064,53.769474,5.5999985,96.36436636619453,First,non,non, False
59, 20.466772071713816,20.466772071713816,22.033552704106064,54.794975,5.5999985,96.29805604736643,First,non,non, False
60, 20.469499210951792,20.469499210951792,22.033552704106064,55.81748,5.5999985,96.23240841097586,First,non,non, False
61, 20.493886434776538,20.493886434776538,22.033552704106064,56.840267,5.5999985,96.16669766197221,First,non,non, False
62, 20.448092869746596,20.448092869746596,22.033552704106064,57.860058,5.5999985,96.10163907663723,First,non,non, False
63, 20.43151961274903,20.43151961274903,22.033552704106064,58.88014,5.5999985,96.03652789745799,First,non,non, False
64, 20.478676323503183,20.478676323503183,22.033552704106064,59.90051,5.5999985,95.97135360566566,First,non,non, False
65, 20.50358724140273,20.50358724140273,22.033552704106064,60.92117,5.5999985,95.90611620126023,First,non,non, False
66, 20.45206239870851,20.45206239870851,22.033552704106064,61.94212,5.5999985,95.84080516547286,First,non,non, False
