turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.774311061762926,20.936837559387428,22.53965147861968,0.06029394,4,99.98472287419527,First,SpeedUp,non, False
2, 21.770788664656976,20.933450639093245,22.53965147861968,0.18088181,4,99.9740246948766,First,SpeedUp,non, False
3, 21.795893829761855,20.95759022092486,22.53965147861968,0.36176363,4,99.96708816724785,First,SpeedUp,non, False
4, 21.75516740372269,20.9184301958872,22.53965147861968,0.60293937,4,99.96310647465128,First,SpeedUp,non, False
5, 21.733011805780556,20.897126736327458,22.53965147861968,0.90440905,4,99.96125184415236,First,SpeedUp,non, False
6, 21.767480686267415,20.930269890641746,22.53965147861968,1.2661726,4,99.96073841537017,First,SpeedUp,non, False
7, 21.812549698278318,20.973605479113765,22.53965147861968,1.6882303,4,99.96072793723175,First,SpeedUp,non, False
8, 21.717611413716238,20.882318667034845,22.53965147861968,2.1705818,4,99.9604240712178,First,SpeedUp,non, False
9, 21.821090951733485,20.981818222820657,22.53965147861968,2.7132273,4,99.95899904439378,First,SpeedUp,non, False
10, 21.761089400063366,20.92412442313785,22.53965147861968,3.3161666,4,99.95565651824035,First,SpeedUp,non, False
11, 21.810406857735167,20.971545055514582,22.53965147861968,3.9794,4,99.94957919796137,First,SpeedUp,non, False
12, 21.786288200651924,20.94835403908839,22.53965147861968,4.702927,4,99.93994978876073,First,SpeedUp,non, False
13, 21.72479218276998,20.88922325266344,22.53965147861968,5.486748,4,99.92596147398068,First,SpeedUp,non, False
14, 21.702122768522003,20.867425738963462,22.53965147861968,6.3308635,4,99.90678648068669,First,SpeedUp,non, False
15, 21.748123403268405,20.911657118527312,22.53965147861968,7.2352724,4,99.88163894849785,First,SpeedUp,non, False
16, 21.809561295195554,20.97073201461111,22.53965147861968,8.199975,4,99.8496806263412,First,SpeedUp,non, False
17, 21.732744287938754,20.896869507633415,22.53965147861968,9.224972,4,99.81011517569742,First,SpeedUp,non, False
18, 21.76525455591268,20.92812938068527,22.53965147861968,10.310263,4,99.76211482363198,First,SpeedUp,non, False
19, 21.748031540777273,20.911568789208914,22.53965147861968,11.455848,4,99.70489370976395,First,SpeedUp,non, False
20, 21.793442957733525,20.955233613205312,22.53965147861968,12.598433,4,99.64813363398605,First,SpeedUp,non, False
21, 21.761429046504034,20.92445100625388,22.53965147861968,13.738017,4,99.59186603071352,First,SpeedUp,non, False
22, 21.82460217358828,20.985194397681035,22.53965147861968,14.874602,4,99.53605946553111,First,SpeedUp,non, False
23, 21.71372954061345,20.8785860967437,22.53965147861968,16.008186,4,99.48073489471567,First,SpeedUp,non, False
24, 21.704138959802368,20.869364384425353,22.53965147861968,17.138771,4,99.42588184012875,First,SpeedUp,non, False
25, 21.78287061789733,20.945067901824356,22.53965147861968,18.266356,4,99.37148982363198,First,SpeedUp,non, False
