turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.654072631463332,19.654072631463332,21.215808272517958,0.06028659,7,99.97461981951872,First,non,non, False
2, 19.59922214424274,19.59922214424274,21.215808272517958,0.18085977,7,99.9568432486631,First,non,non, False
3, 19.67439951681578,19.67439951681578,21.215808272517958,0.36171955,7,99.9453125,First,non,non, False
4, 19.689978537070374,19.689978537070374,21.215808272517958,0.60286593,7,99.93869067513369,First,non,non, False
5, 19.68200235089197,19.68200235089197,21.215808272517958,0.9042989,7,99.93563043114973,First,non,non, False
6, 19.679783639040732,19.679783639040732,21.215808272517958,1.2660184,7,99.93476353609626,First,non,non, False
7, 19.606444359779054,19.606444359779054,21.215808272517958,1.6880245,7,99.93474264705883,First,non,non, False
8, 19.58350068620852,19.58350068620852,21.215808272517958,2.1703172,7,99.93424131016043,First,non,non, False
9, 19.586360749997393,19.586360749997393,21.215808272517958,2.7128963,7,99.93188084893048,First,non,non, False
10, 19.646224057536436,19.646224057536436,21.215808272517958,3.3157623,7,99.92633480949198,First,non,non, False
11, 19.69585259764515,19.69585259764515,21.215808272517958,3.9789147,7,99.91624540441177,First,non,non, False
12, 19.66645207547615,19.66645207547615,21.215808272517958,4.702354,7,99.90025484625669,First,non,non, False
13, 19.65028634633847,19.65028634633847,21.215808272517958,5.4860797,7,99.87702623663101,First,non,non, False
14, 19.589455116202302,19.589455116202302,21.215808272517958,6.330092,7,99.84519134358288,First,non,non, False
15, 19.673314251557237,19.673314251557237,21.215808272517958,7.2343907,7,99.80342371323529,First,non,non, False
16, 19.688396061463937,19.688396061463937,21.215808272517958,8.1989765,7,99.75035511363636,First,non,non, False
17, 19.58752706886788,19.58752706886788,21.215808272517958,9.223848,7,99.6846590909091,First,non,non, False
18, 19.66175663436592,19.66175663436592,21.215808272517958,10.24572,7,99.61961062834224,First,non,non, False
19, 19.625468745880294,19.625468745880294,21.215808272517958,11.264592,7,99.55522017045455,First,non,non, False
20, 19.691277484504827,19.691277484504827,21.215808272517958,12.280464,7,99.49147727272727,First,non,non, False
21, 19.62759690128255,19.62759690128255,21.215808272517958,13.293336,7,99.42840282419786,First,non,non, False
22, 19.602214769009876,19.602214769009876,21.215808272517958,14.303208,7,99.36596549131016,First,non,non, False
23, 19.706137330466746,19.706137330466746,21.215808272517958,15.310081,7,99.30417571858288,First,non,non, False
24, 19.58955463932705,19.58955463932705,21.215808272517958,16.313953,7,99.24302306149733,First,non,non, False
25, 19.660600565917047,19.660600565917047,21.215808272517958,17.314825,7,99.18250752005348,First,non,non, False
26, 19.656192554296425,19.656192554296425,21.215808272517958,18.312696,7,99.12263953877006,First,non,non, False
27, 19.636442501818056,19.636442501818056,21.215808272517958,19.307568,7,99.0633877840909,First,non,non, False
28, 19.649069374374957,19.649069374374957,21.215808272517958,20.29944,7,99.00476270053476,First,non,non, False
29, 19.68066938858302,19.68066938858302,21.215808272517958,21.288313,7,98.94677473262033,First,non,non, False
30, 19.689674201956773,19.689674201956773,21.215808272517958,22.274185,7,98.88940299131016,First,non,non, False
31, 19.68217662023376,19.68217662023376,21.215808272517958,23.257057,7,98.83264747660428,First,non,non, False
32, 19.643838500832047,19.643838500832047,21.215808272517958,24.236929,7,98.77650818850267,First,non,non, False
33, 19.68633894526293,19.68633894526293,21.215808272517958,25.217087,7,98.72030623328877,First,non,non, False
34, 19.640142903040434,19.640142903040434,21.215808272517958,26.197533,7,98.66404161096257,First,non,non, False
35, 19.694752667142232,19.694752667142232,21.215808272517958,27.178265,7,98.60772476604278,First,non,non, False
36, 19.628597085713732,19.628597085713732,21.215808272517958,28.159283,7,98.5513452540107,First,non,non, False
37, 19.612106535725463,19.612106535725463,21.215808272517958,29.1373,7,98.49558196858288,First,non,non, False
38, 19.698985695952935,19.698985695952935,21.215808272517958,30.115606,7,98.43975601604278,First,non,non, False
39, 19.623527674486027,19.623527674486027,21.215808272517958,31.094198,7,98.3838778409091,First,non,non, False
40, 19.686206789369468,19.686206789369468,21.215808272517958,32.07308,7,98.3279369986631,First,non,non, False
41, 19.651742530975817,19.651742530975817,21.215808272517958,33.052242,7,98.27194393382354,First,non,non, False
42, 19.6773863889947,19.6773863889947,21.215808272517958,34.031693,7,98.21588820187166,First,non,non, False
43, 19.591624460638283,19.591624460638283,21.215808272517958,35.01143,7,98.15976980280749,First,non,non, False
44, 19.585102182613255,19.585102182613255,21.215808272517958,35.988167,7,98.1042676303476,First,non,non, False
45, 19.64631219010722,19.64631219010722,21.215808272517958,36.96519,7,98.0487027907754,First,non,non, False
46, 19.679326794775783,19.679326794775783,21.215808272517958,37.9425,7,97.99308572860963,First,non,non, False
47, 19.624111563338477,19.624111563338477,21.215808272517958,38.920097,7,97.93740599933155,First,non,non, False
48, 19.66337471163936,19.66337471163936,21.215808272517958,39.89798,7,97.8816740474599,First,non,non, False
49, 19.633029521000946,19.633029521000946,21.215808272517958,40.876152,7,97.82587942847593,First,non,non, False
50, 19.628140296835394,19.628140296835394,21.215808272517958,41.85461,7,97.77002214237967,First,non,non, False
51, 19.69597166499796,19.69597166499796,21.215808272517958,42.833355,7,97.71411263368984,First,non,non, False
52, 19.640885653175694,19.640885653175694,21.215808272517958,43.812386,7,97.65813001336899,First,non,non, False
53, 19.582786503255804,19.582786503255804,21.215808272517958,44.791702,7,97.60210561497327,First,non,non, False
54, 19.70177541767892,19.70177541767892,21.215808272517958,45.771305,7,97.54601854946524,First,non,non, False
55, 19.681355950174503,19.681355950174503,21.215808272517958,46.751194,7,97.48986881684492,First,non,non, False
56, 19.627835114242437,19.627835114242437,21.215808272517958,47.731373,7,97.43366686163101,First,non,non, False
57, 19.64051199707173,19.64051199707173,21.215808272517958,48.711838,7,97.37740223930481,First,non,non, False
58, 19.67705473231169,19.67705473231169,21.215808272517958,49.69259,7,97.32108539438502,First,non,non, False
59, 21.138235409519616,19.587441240372357,21.215808272517958,50.67235,6.95,97.26470588235294,First,non,InsideOvertaking, False
60, 20.581903881476048,19.65550435587883,21.215808272517958,51.6524,6.8999996,97.20827414772727,First,non,InsideOvertaking, False
61, 19.815674079848126,19.603210755037747,21.215808272517958,52.632736,6.8499994,97.1517693014706,First,non,InsideOvertaking, False
62, 20.414586185827147,19.6485819306716,21.215808272517958,53.613358,6.799999,97.09521223262033,First,non,InsideOvertaking, False
63, 20.695105241529653,19.62106577637053,21.215808272517958,54.59427,6.749999,97.03859249665776,First,non,InsideOvertaking, False
64, 21.724277949744987,19.633691868031462,21.215808272517958,55.575466,6.699999,96.98193098262033,First,non,InsideOvertaking, False
65, 20.419756069656245,19.71618871700426,21.215808272517958,56.55695,6.6499987,96.92518591243315,First,non,InsideOvertaking, False
66, 20.86676422373772,19.693124997986,21.215808272517958,57.53872,6.5999985,96.86839906417113,First,non,InsideOvertaking, False
67, 20.639407963675776,19.609513684707764,21.215808272517958,58.520775,6.5499983,96.81154954879679,First,non,InsideOvertaking, False
68, 21.326509612716652,19.665634689482413,21.215808272517958,59.50312,6.499998,96.75464781082887,First,non,InsideOvertaking, False
69, 20.074715739820398,19.616633774093987,21.215808272517958,60.485752,6.449998,96.69767296122994,First,non,InsideOvertaking, False
70, 20.35518012975433,19.653839797494914,21.215808272517958,61.46867,6.3999977,96.64064588903743,First,non,InsideOvertaking, False
71, 20.921119102742935,19.683087179217168,21.215808272517958,62.451874,6.3499975,96.58355614973262,First,non,InsideOvertaking, False
72, 20.62488132133937,19.593569074725345,21.215808272517958,63.435368,6.2999973,96.52641418783422,First,non,InsideOvertaking, False
73, 21.378174350380732,19.614679232447738,21.215808272517958,64.41914,6.249997,96.46920955882354,First,non,InsideOvertaking, False
74, 20.20313043550486,19.69704018491107,21.215808272517958,65.40321,6.199997,96.41195270721926,First,non,InsideOvertaking, False
75, 21.49881085481951,19.6840956299653,21.215808272517958,66.387566,6.1499968,96.35462274398395,First,non,InsideOvertaking, False
76, 20.00434419086096,19.66588118907406,21.215808272517958,67.37221,6.0999966,96.29724055815508,First,non,InsideOvertaking, False
77, 20.52124603995469,19.691132562900165,21.215808272517958,68.35713,6.0499964,96.23980614973262,First,non,InsideOvertaking, False
78, 20.239417969925928,19.701745746160412,21.215808272517958,69.34235,5.999996,96.18229862967914,First,non,InsideOvertaking, False
79, 20.498657115805624,19.62035459888202,21.215808272517958,70.32785,5.949996,96.12473888703208,First,non,InsideOvertaking, False
80, 20.550710375160737,19.613221149809608,21.215808272517958,71.31364,5.899996,96.06712692179144,First,non,InsideOvertaking, False
81, 20.506835147301178,19.698189607677556,21.215808272517958,72.29971,5.8499956,96.00944184491979,First,non,InsideOvertaking, False
82, 21.357882914838626,19.708288103341783,21.215808272517958,73.28607,5.7999954,95.95170454545455,First,non,InsideOvertaking, False
