turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.120579522396483,20.120579522396483,21.81904554753811,0.06028953,8,99.98042324301012,First,non,non, False
2, 22.335994299290196,20.197297952296747,21.81904554753811,0.17001332,7.95,99.96693742158796,First,non,InsideOvertaking, False
3, 20.624427866933797,20.129099470683204,21.81904554753811,0.34383348,7.8999996,99.95840486098665,First,non,InsideOvertaking, False
4, 21.834098604291622,20.138395028974102,21.81904554753811,0.5797514,7.8499994,99.95371414049198,First,non,InsideOvertaking, False
5, 21.574024183255442,20.23713733722369,21.81904554753811,0.87702346,7.799999,99.95170133132449,First,non,InsideOvertaking, False
6, 21.700348876975237,20.164270586458088,21.81904554753811,1.2352884,7.749999,99.95126376411416,First,non,InsideOvertaking, False
7, 21.813138207183947,20.144489927487616,21.81904554753811,1.6543427,7.699999,99.95125501276996,First,non,InsideOvertaking, False
8, 20.708276216063034,20.179922671939167,21.81904554753811,2.1340601,7.6499987,99.95055490523345,First,non,InsideOvertaking, False
9, 20.74939453340038,20.185903652388845,21.81904554753811,2.6743574,7.5999985,99.94801701541357,First,non,InsideOvertaking, False
10, 20.57563677721064,20.137219182224907,21.81904554753811,3.2751758,7.5499983,99.9425211712519,First,non,InsideOvertaking, False
11, 21.553740604162705,20.197522966106384,21.81904554753811,3.9364731,7.499998,99.93293844934581,First,non,InsideOvertaking, False
12, 21.25529259401252,20.156003272660257,21.81904554753811,4.6582174,7.449998,99.91813992629268,First,non,InsideOvertaking, False
13, 20.434329953071657,20.169012201572425,21.81904554753811,5.440385,7.3999977,99.89697917600144,First,non,InsideOvertaking, False
14, 21.96731327303236,20.1261870567137,21.81904554753811,6.282956,7.3499975,99.86833602641366,First,non,InsideOvertaking, False
15, 22.383972975569765,20.23783436813101,21.81904554753811,7.185916,7.2999973,99.83108155412671,First,non,InsideOvertaking, False
16, 21.186618054201908,20.129094551038445,21.81904554753811,8.149252,7.249997,99.78408683573797,First,non,InsideOvertaking, False
17, 21.486888171883884,20.12887877579461,21.81904554753811,9.172954,7.199997,99.72620544515637,First,non,InsideOvertaking, False
