turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.46058795018147,20.635180721328336,22.264240948421623,0.06029394,5,99.98829346248326,First,SpeedUp,non, False
2, 21.41087049804707,20.587375478891413,22.264240948421623,0.18088181,5,99.98022450033497,First,SpeedUp,non, False
3, 21.427208164146514,20.6030847732178,22.264240948421623,0.36176363,5,99.97513015017864,First,SpeedUp,non, False
4, 21.506040452977665,20.67888505094006,22.264240948421623,0.60293937,5,99.9723125558285,First,SpeedUp,non, False
5, 21.45125622922596,20.62620791271727,22.264240948421623,0.90440905,5,99.97111747711031,First,SpeedUp,non, False
6, 21.42895963119289,20.60476887614701,22.264240948421623,1.2661726,5,99.97085578104064,First,SpeedUp,non, False
7, 21.44247725774269,20.617766593983358,22.264240948421623,1.6882303,5,99.97084705783831,First,SpeedUp,non, False
8, 21.40278497372795,20.579600936276876,22.264240948421623,2.1705818,5,99.97042834412684,First,SpeedUp,non, False
9, 21.412365515360925,20.58881299553935,22.264240948421623,2.7132273,5,99.96891050692273,First,SpeedUp,non, False
10, 21.457401703386154,20.632117022486685,22.264240948421623,3.3161666,5,99.96562185964716,First,SpeedUp,non, False
11, 21.499289720572666,20.6723939620891,22.264240948421623,3.9794,5,99.9598907157213,First,SpeedUp,non, False
12, 21.397654638647087,20.574667921776044,22.264240948421623,4.702927,5,99.95102794216167,First,SpeedUp,non, False
13, 21.455843509753226,20.630618759378102,22.264240948421623,5.486748,5,99.9383792987941,First,SpeedUp,non, False
14, 21.438786981244146,20.614218251196295,22.264240948421623,6.3308635,5,99.92124692943278,First,SpeedUp,non, False
15, 21.4107801633618,20.587288618617116,22.264240948421623,7.2352724,5,99.89895914749889,First,SpeedUp,non, False
16, 21.51193832612412,20.684556082811653,22.264240948421623,8.199975,5,99.87083554321126,First,SpeedUp,non, False
17, 21.44617896952698,20.62132593223748,22.264240948421623,9.224972,5,99.83622187639571,First,SpeedUp,non, False
18, 21.477367833572465,20.65131522458891,22.264240948421623,10.310263,5,99.79441156766413,First,SpeedUp,non, False
19, 21.516969896893972,20.68939413162882,22.264240948421623,11.392553,5,99.75297635663242,First,SpeedUp,non, False
20, 21.393607037878276,20.57077599795988,22.264240948421623,12.471844,5,99.71191624330058,First,SpeedUp,non, False
21, 21.45125565869375,20.626207364128604,22.264240948421623,13.548135,5,99.6712312276686,First,SpeedUp,non, False
22, 21.467115564267917,20.641457273334535,22.264240948421623,14.621426,5,99.63091258653417,First,SpeedUp,non, False
23, 21.405562774474458,20.582271898533133,22.264240948421623,15.691716,5,99.59095159669495,First,SpeedUp,non, False
24, 21.464099356902143,20.638557073944366,22.264240948421623,16.7623,5,99.55096443724877,First,SpeedUp,non, False
25, 21.492115716576567,20.665495881323622,22.264240948421623,17.83318,5,99.51093366179097,First,SpeedUp,non, False
26, 21.407331115204318,20.583972226157996,22.264240948421623,18.901058,5,99.47127798403305,First,SpeedUp,non, False
27, 21.43853080530086,20.613971928173903,22.264240948421623,19.96923,5,99.4315786902635,First,SpeedUp,non, False
28, 21.435634701060174,20.61118721255786,22.264240948421623,21.037697,5,99.39183578048235,First,SpeedUp,non, False
29, 21.407786804321358,20.584410388770536,22.264240948421623,22.106457,5,99.35207542429656,First,SpeedUp,non, False
30, 21.475622941650613,20.649637443894818,22.264240948421623,23.17551,5,99.31227145209915,First,SpeedUp,non, False
31, 21.50382530676584,20.67675510265946,22.264240948421623,24.24486,5,99.27242386389013,First,SpeedUp,non, False
32, 21.459309849682906,20.633951778541256,22.264240948421623,25.314503,5,99.23255010607414,First,SpeedUp,non, False
33, 21.41276001136936,20.589192318624384,22.264240948421623,26.38444,5,99.19264145544886,First,SpeedUp,non, False
34, 21.4799763584089,20.65382342154702,22.264240948421623,27.45467,5,99.15269791201429,First,SpeedUp,non, False
35, 21.40678935882884,20.58345130656619,22.264240948421623,28.525194,5,99.1127107525681,First,SpeedUp,non, False
36, 21.4369895361499,20.61248993860567,22.264240948421623,29.596012,5,99.07268870031264,First,SpeedUp,non, False
37, 21.40466656194472,20.581410155716075,22.264240948421623,30.66383,5,99.0330330225547,First,SpeedUp,non, False
38, 21.387024664424896,20.564446792716247,22.264240948421623,31.731941,5,98.99334245198749,First,SpeedUp,non, False
39, 21.462708594914236,20.63721980280215,22.264240948421623,32.800346,5,98.9536257118133,First,SpeedUp,non, False
40, 21.450078855369554,20.625075822470723,22.264240948421623,33.869045,5,98.9138566324252,First,SpeedUp,non, False
41, 21.412333719746385,20.588782422833063,22.264240948421623,34.938038,5,98.8740613834301,First,SpeedUp,non, False
42, 21.471663269114323,20.645830066456078,22.264240948421623,36.007324,5,98.83423124162573,First,SpeedUp,non, False
43, 21.43940402445524,20.61481156197619,22.264240948421623,37.076904,5,98.79436620701206,First,SpeedUp,non, False
44, 21.484761274777117,20.658424302670305,22.264240948421623,38.146782,5,98.75445755638678,First,SpeedUp,non, False
45, 21.493850233547708,20.667163686103564,22.264240948421623,39.216953,5,98.71451401295221,First,SpeedUp,non, False
46, 21.48821389709626,20.661744131823326,22.264240948421623,40.28742,5,98.67454429991068,First,SpeedUp,non, False
47, 21.48445696680711,20.658131698852987,22.264240948421623,41.358177,5,98.6345222476552,First,SpeedUp,non, False
48, 21.475190993062018,20.649222108713477,22.264240948421623,42.42923,5,98.59447402579276,First,SpeedUp,non, False
49, 21.452638195822367,20.627536726752275,22.264240948421623,43.500576,5,98.55439091112103,First,SpeedUp,non, False
50, 21.42510039672335,20.601058073772453,22.264240948421623,44.56892,5,98.51467417094685,First,SpeedUp,non, False
51, 21.473353670718218,20.64745545261367,22.264240948421623,45.637558,5,98.47492253796338,First,SpeedUp,non, False
52, 21.471882579701692,20.646040942020857,22.264240948421623,46.70649,5,98.43512728896829,First,SpeedUp,non, False
53, 21.453188760765112,20.628066116120298,22.264240948421623,47.77572,5,98.39530587036623,First,SpeedUp,non, False
54, 21.481488122305326,20.655277040678197,22.264240948421623,48.84524,5,98.35544955895489,First,SpeedUp,non, False
55, 21.418103260653545,20.594330058320715,22.264240948421623,49.91506,5,98.31554963153194,First,SpeedUp,non, False
56, 21.483525138574276,20.657235710167573,22.264240948421623,50.98517,5,98.27561481129969,First,SpeedUp,non, False
57, 21.498878249496048,20.67199831682312,22.264240948421623,52.055573,5,98.23564509825815,First,SpeedUp,non, False
58, 21.41485119850292,20.591203075483577,22.264240948421623,53.12627,5,98.19564049240732,First,SpeedUp,non, False
59, 21.467205724975756,20.641543966322843,22.264240948421623,54.19726,5,98.1556009937472,First,SpeedUp,non, False
60, 21.453446851393977,20.628314280186515,22.264240948421623,55.268547,5,98.1155266022778,First,SpeedUp,non, False
61, 21.400776072067842,20.57766930006523,22.264240948421623,56.33683,5,98.07581858530594,First,SpeedUp,non, False
62, 21.46208906489233,20.636624100858008,22.264240948421623,57.40541,5,98.03606695232246,First,SpeedUp,non, False
63, 21.39015408784089,20.567455853693165,22.264240948421623,58.474285,5,97.9962804265297,First,SpeedUp,non, False
64, 21.490951230056222,20.664376182746366,22.264240948421623,59.543453,5,97.95646773112996,First,SpeedUp,non, False
65, 21.415627219932865,20.591949249935446,22.264240948421623,60.612915,5,97.91661141971862,First,SpeedUp,non, False
66, 21.465340728880637,20.639750700846765,22.264240948421623,61.68267,5,97.87672021549798,First,SpeedUp,non, False
67, 21.45283924362727,20.6277300419493,22.264240948421623,62.75272,5,97.83680284167039,First,SpeedUp,non, False
68, 21.393366944461064,20.57054513890487,22.264240948421623,63.819767,5,97.79723439593569,First,SpeedUp,non, False
69, 21.515880930907635,20.688347048949648,22.264240948421623,64.88711,5,97.75763978059402,First,SpeedUp,non, False
70, 21.413236041119585,20.58965003953806,22.264240948421623,65.95474,5,97.71801027244305,First,SpeedUp,non, False
71, 21.451987832728072,20.626911377623145,22.264240948421623,67.022675,5,97.67833714828048,First,SpeedUp,non, False
72, 21.459186787006782,20.63383344904498,22.264240948421623,68.0909,5,97.63862913130862,First,SpeedUp,non, False
73, 21.390281060962412,20.567577943233086,22.264240948421623,69.15942,5,97.59889494472979,First,SpeedUp,non, False
74, 21.44502544442401,20.620216773484625,22.264240948421623,70.228226,5,97.55912586534167,First,SpeedUp,non, False
75, 21.47342961655115,20.64752847745303,22.264240948421623,71.29733,5,97.51931316994194,First,SpeedUp,non, False
76, 21.426567250037344,20.602468509651292,22.264240948421623,72.36673,5,97.47946558173291,First,SpeedUp,non, False
77, 21.45389740315011,20.62874750302895,22.264240948421623,73.436424,5,97.4395831007146,First,SpeedUp,non, False
78, 21.432459967791658,20.608134584415055,22.264240948421623,74.50641,5,97.399665726887,First,SpeedUp,non, False
79, 21.482700173028025,20.656442474065408,22.264240948421623,75.57669,5,97.35970473704779,First,SpeedUp,non, False
80, 21.473511541276665,20.647607251227562,22.264240948421623,76.64726,5,97.31971757760161,First,SpeedUp,non, False
81, 21.406679231987134,20.583345415372243,22.264240948421623,77.714836,5,97.28009679265297,First,SpeedUp,non, False
82, 21.41273794509289,20.589171101050855,22.264240948421623,78.78271,5,97.24043239169272,First,SpeedUp,non, False
83, 21.45868415230875,20.63335014645072,22.264240948421623,79.85087,5,97.2007418211255,First,SpeedUp,non, False
84, 21.509006186691995,20.68173671797307,22.264240948421623,80.91933,5,97.16100763454666,First,SpeedUp,non, False
85, 21.440042903702075,20.615425868944303,22.264240948421623,81.988075,5,97.12123855515856,First,SpeedUp,non, False
86, 21.4298945624957,20.60566784855356,22.264240948421623,83.05712,5,97.08143458296114,First,SpeedUp,non, False
87, 21.43051830227356,20.606267598339958,22.264240948421623,84.12646,5,97.04159571795444,First,SpeedUp,non, False
88, 21.494916136143324,20.668188592445503,22.264240948421623,85.19609,5,97.00172196013845,First,SpeedUp,non, False
89, 21.413120766443043,20.589539198502926,22.264240948421623,86.26602,5,96.96180458631085,First,SpeedUp,non, False
90, 21.469752854804632,20.643993129619837,22.264240948421623,87.33624,5,96.92186104287629,First,SpeedUp,non, False
91, 21.419863301551242,20.59602240533773,22.264240948421623,88.40676,5,96.88188260663242,First,SpeedUp,non, False
92, 21.457347197746067,20.63206461321737,22.264240948421623,89.47757,5,96.84186055437695,First,SpeedUp,non, False
93, 21.40855901317327,20.58515289728199,22.264240948421623,90.54538,5,96.80220487661903,First,SpeedUp,non, False
94, 21.430786594305452,20.60652557144755,22.264240948421623,91.61348,5,96.76252302925413,First,SpeedUp,non, False
95, 21.49930984428343,20.672413311810992,22.264240948421623,92.68188,5,96.72279756587763,First,SpeedUp,non, False
96, 21.503496838937128,20.676439268208775,22.264240948421623,93.750565,5,96.68303720969182,First,SpeedUp,non, False
97, 21.468647306430444,20.642930102336965,22.264240948421623,94.81955,5,96.64324196069674,First,SpeedUp,non, False
98, 21.500773773240923,20.67382093580858,22.264240948421623,95.888824,5,96.60340309569004,First,SpeedUp,non, False
99, 21.505488069856614,20.67835391332367,22.264240948421623,96.9584,5,96.56353806107637,First,SpeedUp,non, False
100, 21.43514691345806,20.610718186017365,22.264240948421623,98.02827,5,96.52363813365342,First,SpeedUp,non, False
101, 21.478880333902477,20.652769551829305,22.264240948421623,99.09843,5,96.48370331342117,First,SpeedUp,non, False
102, 21.40196953710671,20.578816862602604,22.264240948421623,100.16559,5,96.44412614448414,First,SpeedUp,non, False
103, 21.43580309799129,20.61134913268393,22.264240948421623,101.30929,5,96.40451408273783,First,SpeedUp,non, False
104, 21.46558786154795,20.639988328411487,22.264240948421623,102.4533,5,96.36486712818223,First,SpeedUp,non, False
105, 21.50639249952722,20.67922355723771,22.264240948421623,103.59763,5,96.32518528081732,First,SpeedUp,non, False
106, 21.455286462900492,20.63008313740432,22.264240948421623,104.74228,5,96.28546854064314,First,SpeedUp,non, False
107, 21.503043848878736,20.676003700844937,22.264240948421623,105.88724,5,96.24571690765967,First,SpeedUp,non, False
108, 21.491028450266644,20.664450432948694,22.264240948421623,107.03252,5,96.2059303818669,First,SpeedUp,non, False
109, 21.386123361263508,20.563580155061064,22.264240948421623,108.17811,5,96.16610024006252,First,SpeedUp,non, False
110, 21.48269681241864,20.65643924271023,22.264240948421623,109.32401,5,96.12624392865118,First,SpeedUp,non, False
111, 21.396389210459805,20.57345116390366,22.264240948421623,110.47023,5,96.08634400122823,First,SpeedUp,non, False
112, 21.507997576609,20.680766900585578,22.264240948421623,111.61677,5,96.04641790419831,First,SpeedUp,non, False
113, 21.46798246051483,20.642290827418105,22.264240948421623,112.76362,5,96.00644819115676,First,SpeedUp,non, False
114, 21.436950711048404,20.61245260677731,22.264240948421623,113.91078,5,95.96644358530594,First,SpeedUp,non, False
115, 21.428153522930156,20.603993772048227,22.264240948421623,115.058266,5,95.92640408664582,First,SpeedUp,non, False
116, 21.388010315486508,20.56539453412164,22.264240948421623,116.20253,5,95.88673096248326,First,SpeedUp,non, False
117, 21.476437380276593,20.650420557958263,22.264240948421623,117.347115,5,95.84702294551138,First,SpeedUp,non, False
118, 21.40002106498229,20.57694333171374,22.264240948421623,118.49201,5,95.80728003573023,First,SpeedUp,non, False
119, 21.427610750928093,20.603471875892396,22.264240948421623,119.63722,5,95.76749350993747,First,SpeedUp,non, False
120, 21.484038891155222,20.657729703033866,22.264240948421623,120.782745,5,95.72768081453773,First,SpeedUp,non, False
121, 21.397974476353706,20.57497545803241,22.264240948421623,121.92859,5,95.6878245031264,First,SpeedUp,non, False
122, 21.475553612824424,20.649570781561945,22.264240948421623,123.074745,5,95.64793329890576,First,SpeedUp,non, False
123, 21.38955979826903,20.566884421412528,22.264240948421623,124.21769,5,95.60840846918266,First,SpeedUp,non, False
124, 21.43770798444298,20.613180754272097,22.264240948421623,125.36095,5,95.56884874665029,First,SpeedUp,non, False
125, 21.484488250599405,20.658161779422503,22.264240948421623,126.50452,5,95.52925413130862,First,SpeedUp,non, False
126, 21.40213434740243,20.5789753340408,22.264240948421623,127.6484,5,95.48962462315765,First,SpeedUp,non, False
127, 21.47751241780589,20.65145424789028,22.264240948421623,128.7926,5,95.4499602221974,First,SpeedUp,non, False
128, 21.44546318327954,20.620637676230327,22.264240948421623,129.93712,5,95.41026092842787,First,SpeedUp,non, False
129, 21.446832992407785,20.6219548003921,22.264240948421623,131.08195,5,95.37051801864672,First,SpeedUp,non, False
130, 21.48033338451876,20.654166715883424,22.264240948421623,132.2271,5,95.3307489392586,First,SpeedUp,non, False
131, 21.420288033502068,20.596430801444296,22.264240948421623,133.37256,5,95.29093624385887,First,SpeedUp,non, False
132, 21.427358311658367,20.603229145825352,22.264240948421623,134.51834,5,95.25108865564984,First,SpeedUp,non, False
133, 21.395423751155075,20.57252283764911,22.264240948421623,135.66443,5,95.21120617463153,First,SpeedUp,non, False
134, 21.43577795075396,20.611324952648037,22.264240948421623,136.81084,5,95.17128880080392,First,SpeedUp,non, False
135, 21.430709324461436,20.606451273520612,22.264240948421623,137.95755,5,95.13133653416703,First,SpeedUp,non, False
136, 21.44220529315279,20.61750508956999,22.264240948421623,139.10458,5,95.09134937472085,First,SpeedUp,non, False
137, 21.415101276773783,20.591443535359407,22.264240948421623,140.25194,5,95.05132732246538,First,SpeedUp,non, False
138, 21.44322502173571,20.618485597822797,22.264240948421623,141.3996,5,95.01127037740062,First,SpeedUp,non, False
