turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.376704288768572,19.376704288768572,20.92383609782377,0.06028659,10,99.98053834910912,First,non,non, False
2, 19.78840088162624,19.35754968290679,20.92383609782377,0.17000392,9.95,99.9671318207127,First,non,InsideOvertaking, False
3, 19.314680592363185,19.314680592363185,20.92383609782377,0.3508637,9.95,99.95865812917594,First,non,non, False
4, 20.92249917592837,19.42923538406227,20.92383609782377,0.5867695,9.9,99.95397758908686,First,non,InsideOvertaking, False
5, 20.791411876776323,19.330444690633954,20.92383609782377,0.88402665,9.849999,99.95197661469933,First,non,InsideOvertaking, False
6, 21.014561322106182,19.428381203147218,20.92383609782377,1.2422738,9.799999,99.95154162026726,First,non,InsideOvertaking, False
7, 20.590156459073082,19.39282206135263,20.92383609782377,1.6613075,9.749999,99.95154162026726,First,non,InsideOvertaking, False
8, 21.168947789713,19.40071410593746,20.92383609782377,2.1410015,9.699999,99.9508369292873,First,non,InsideOvertaking, False
9, 19.959061435624584,19.310064684826255,20.92383609782377,2.681272,9.649999,99.94831396158129,First,non,InsideOvertaking, False
10, 21.16466926953041,19.365293997153767,20.92383609782377,3.2820609,9.599998,99.94285913140311,First,non,InsideOvertaking, False
11, 20.499126798489343,19.380440135145825,20.92383609782377,3.9433258,9.549998,99.9333414532294,First,non,InsideOvertaking, False
12, 21.388314664825355,19.317330102502364,20.92383609782377,4.665035,9.499998,99.91862124164811,First,non,InsideOvertaking, False
13, 21.18730410549592,19.428769268779572,20.92383609782377,5.447164,9.449998,99.89759361080178,First,non,InsideOvertaking, False
14, 21.387798451379425,19.34164638670179,20.92383609782377,6.289694,9.399998,99.86912757516704,First,non,InsideOvertaking, False
15, 20.06275594339247,19.40191912831165,20.92383609782377,7.1926093,9.3499975,99.83210084910912,First,non,InsideOvertaking, False
16, 20.954937357700867,19.36403538130096,20.92383609782377,8.155898,9.299997,99.78538244710468,First,non,InsideOvertaking, False
17, 19.930298172914522,19.42555931696464,20.92383609782377,9.17955,9.249997,99.72785878340757,First,non,InsideOvertaking, False
18, 21.332201216053075,19.34152960205028,20.92383609782377,10.2635565,9.199997,99.65839017260579,First,non,InsideOvertaking, False
19, 19.85535199344522,19.405644712905676,20.92383609782377,11.34456,9.149997,99.58955665367483,First,non,InsideOvertaking, False
20, 20.321916790098175,19.342170839780938,20.92383609782377,12.42256,9.099997,99.52133212694878,First,non,InsideOvertaking, False
21, 20.22112353160856,19.407316323638984,20.92383609782377,13.497557,9.049996,99.45372529231626,First,non,InsideOvertaking, False
22, 20.684967920881174,19.434815879832083,20.92383609782377,14.56955,8.999996,99.38672744988864,First,non,InsideOvertaking, False
23, 20.70197299278201,19.337719459167356,20.92383609782377,15.638539,8.949996,99.32033859966593,First,non,InsideOvertaking, False
24, 20.006879888858684,19.35953776746692,20.92383609782377,16.704525,8.899996,99.25455874164811,First,non,InsideOvertaking, False
25, 19.584762735501382,19.33134332876842,20.92383609782377,17.767508,8.849996,99.18937917594654,First,non,InsideOvertaking, False
26, 19.63895845267991,19.330063815573507,20.92383609782377,18.827488,8.799995,99.12480860244989,First,non,InsideOvertaking, False
27, 21.430669468684744,19.31713014134933,20.92383609782377,19.887754,8.749995,99.06017712973274,First,non,InsideOvertaking, False
28, 20.775175415803467,19.31797805104119,20.92383609782377,20.945019,8.699995,98.99613724944321,First,non,InsideOvertaking, False
29, 21.201050175927087,19.404318396352842,20.92383609782377,22.00257,8.649995,98.93204516982182,First,non,InsideOvertaking, False
30, 20.00696002580467,19.429779925565875,20.92383609782377,23.057116,8.599995,98.86855338251671,First,non,InsideOvertaking, False
