turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.129725887857948,19.129725887857948,21.019437054881195,0.060457833,5,99.98873650365196,First,non,non, False
2, 21.130162654159722,19.11802668505001,21.019437054881195,0.17055142,4.95,99.98134328358209,First,non,InsideOvertaking, False
3, 19.84878158964426,19.072146410735776,21.019437054881195,0.3448969,4.8999996,99.97698922276913,First,non,InsideOvertaking, False
4, 19.35211008559791,19.12219255877909,21.019437054881195,0.5815029,4.8499994,99.97488662075263,First,non,InsideOvertaking, False
5, 20.566306331048896,19.12682370100012,21.019437054881195,0.8796283,4.799999,99.97421676524294,First,non,InsideOvertaking, False
6, 20.811577957892933,19.062780415113156,21.019437054881195,1.2389128,4.749999,99.97419195577962,First,non,InsideOvertaking, False
7, 19.309342241089123,19.06783713534582,21.019437054881195,1.6591537,4.699999,99.97397487297556,First,non,InsideOvertaking, False
8, 19.87025042982497,19.087174175483657,21.019437054881195,2.140225,4.6499987,99.97279642346777,First,non,InsideOvertaking, False
9, 21.028048160651934,19.116212619270726,21.019437054881195,2.6820433,4.5999985,99.96983169260083,First,non,InsideOvertaking, False
10, 20.5498888509667,19.14588452948482,21.019437054881195,3.2845507,4.5499983,99.96426817045095,First,non,InsideOvertaking, False
11, 19.961236981128344,19.1546416399675,21.019437054881195,3.9477046,4.499998,99.95529954946015,First,non,InsideOvertaking, False
12, 20.167163606538985,19.068521668083687,21.019437054881195,4.6714735,4.449998,99.94214433153383,First,non,InsideOvertaking, False
13, 21.061830015882293,19.102667408188776,21.019437054881195,5.4558334,4.3999977,99.9239713996507,First,non,InsideOvertaking, False
14, 19.497105348925118,19.07586202794371,21.019437054881195,6.300765,4.3499975,99.89998685098445,First,non,InsideOvertaking, False
15, 19.30194072203628,19.061704049395118,21.019437054881195,7.206253,4.2999973,99.86937817561132,First,non,InsideOvertaking, False
16, 20.950745475410667,19.1453571437233,21.019437054881195,8.172285,4.249997,99.83134526833916,First,non,InsideOvertaking, False
17, 20.410739351913822,19.08191142382161,21.019437054881195,9.198852,4.199997,99.78507561924421,First,non,InsideOvertaking, False
18, 20.2893183967192,19.145734997041544,21.019437054881195,10.222414,4.1499968,99.73922773102574,First,non,InsideOvertaking, False
19, 19.83079061660566,19.13569115642936,21.019437054881195,11.242973,4.0999966,99.69381400841537,First,non,InsideOvertaking, False
20, 19.937551829374215,19.097911040150816,21.019437054881195,12.260529,4.0499964,99.64881584431566,First,non,InsideOvertaking, False
21, 20.482917650327806,19.148299469282367,21.019437054881195,13.2785425,3.9999964,99.60376185892348,First,non,InsideOvertaking, False
22, 19.41478423227098,19.156345680927988,21.019437054881195,14.293552,3.9499965,99.55912343204193,First,non,InsideOvertaking, False
23, 21.114296212896832,19.085210216148173,21.019437054881195,15.309021,3.8999965,99.5144291838679,First,non,InsideOvertaking, False
24, 20.729371942858982,19.103268844930742,21.019437054881195,16.324947,3.8499966,99.46966670966974,First,non,InsideOvertaking, False
25, 19.29049030548707,19.082995449296853,21.019437054881195,17.337872,3.7999966,99.42531979398223,First,non,InsideOvertaking, False
26, 20.910956561362084,19.088470026281517,21.019437054881195,18.351254,3.7499967,99.38091705700224,First,non,InsideOvertaking, False
27, 19.18443488162426,19.18443488162426,21.019437054881195,19.362867,3.7499967,99.33692367616705,First,non,non, False
28, 19.146366696405668,19.146366696405668,21.019437054881195,20.371483,3.7499967,99.29335205620832,First,non,non, False
29, 19.167828734311847,19.167828734311847,21.019437054881195,21.377098,3.7499967,99.25020219712609,First,non,non, False
30, 19.183026109800906,19.183026109800906,21.019437054881195,22.379713,3.7499967,99.20744928945697,First,non,non, False
31, 19.1352543628133,19.1352543628133,21.019437054881195,23.379328,3.7499967,99.16511814266434,First,non,non, False
32, 19.084679916369375,19.084679916369375,21.019437054881195,24.375942,3.7499967,99.12319635201652,First,non,non, False
33, 19.14269582173009,19.14269582173009,21.019437054881195,25.369556,3.7499967,99.08167771514768,First,non,non, False
34, 19.067936468344385,19.067936468344385,21.019437054881195,26.36017,3.7499967,99.04056843442363,First,non,non, False
35, 19.074191120075586,19.074191120075586,21.019437054881195,27.347784,3.7499967,98.99985610511274,First,non,non, False
36, 19.11727150885645,19.11727150885645,21.019437054881195,28.3324,3.7499967,98.95955313194666,First,non,non, False
37, 19.11314373063541,19.11314373063541,21.019437054881195,29.314014,3.7499967,98.91964090782788,First,non,non, False
38, 19.059739472851014,19.059739472851014,21.019437054881195,30.29263,3.7499967,98.8801318374881,First,non,non, False
39, 19.10150454525746,19.10150454525746,21.019437054881195,31.268244,3.7499967,98.84100731382979,First,non,non, False
40, 19.813420429770193,19.181004497530843,21.019437054881195,32.243034,3.6999967,98.80183937361068,First,non,InsideOvertaking, False
41, 19.365433119667635,19.136739736315537,21.019437054881195,33.21482,3.6499968,98.76304977770721,First,non,InsideOvertaking, False
42, 20.08203869258986,19.091440426474293,21.019437054881195,34.187065,3.5999968,98.7242105628771,First,non,InsideOvertaking, False
43, 21.085057717714264,19.07502748461253,21.019437054881195,35.159767,3.5499969,98.6853093243887,First,non,InsideOvertaking, False
44, 20.67015181523789,19.183715203697275,21.019437054881195,36.13293,3.499997,98.64633985987616,First,non,InsideOvertaking, False
45, 20.24846113431648,19.17896134700455,21.019437054881195,37.106552,3.449997,98.60731457407114,First,non,InsideOvertaking, False
46, 20.15623321787112,19.058159094054417,21.019437054881195,38.08063,3.399997,98.56823346697365,First,non,InsideOvertaking, False
47, 20.02346761858259,19.07194842552963,21.019437054881195,39.05517,3.349997,98.52909033621785,First,non,InsideOvertaking, False
48, 20.04837180008947,19.126281053906357,21.019437054881195,40.030163,3.299997,98.48988518180376,First,non,InsideOvertaking, False
49, 19.931555455995024,19.17465300067912,21.019437054881195,41.00562,3.2499971,98.45061800373135,First,non,InsideOvertaking, False
50, 20.67672610207454,19.16446704159667,21.019437054881195,41.981533,3.1999972,98.4113012067323,First,non,InsideOvertaking, False
51, 20.051140378522113,19.070465517858857,21.019437054881195,42.957905,3.1499972,98.37191618370912,First,non,InsideOvertaking, False
52, 20.415335496884968,19.149411283111466,21.019437054881195,43.934734,3.0999973,98.3324629346618,First,non,InsideOvertaking, False
53, 19.954569485882278,19.078164514164417,21.019437054881195,44.91202,3.0499973,98.29296006668784,First,non,InsideOvertaking, False
54, 20.340050055012355,19.065094771067162,21.019437054881195,45.889767,2.9999974,98.25339517505559,First,non,InsideOvertaking, False
55, 19.146442573097,19.146442573097,21.019437054881195,46.86579,2.9999974,98.21422103247063,First,non,non, False
56, 19.140090655453136,19.140090655453136,21.019437054881195,47.838814,2.9999974,98.17544384129883,First,non,non, False
57, 19.162051374690673,19.162051374690673,21.019437054881195,48.808838,2.9999974,98.13705739917435,First,non,non, False
58, 19.12084579475866,19.12084579475866,21.019437054881195,49.775864,2.9999974,98.09906170609717,First,non,non, False
59, 19.167880062414596,19.167880062414596,21.019437054881195,50.739887,2.9999974,98.06145676206734,First,non,non, False
60, 19.15253559554957,19.15253559554957,21.019437054881195,51.700912,2.9999974,98.02423636471896,First,non,non, False
61, 19.152999129908448,19.152999129908448,21.019437054881195,52.658936,2.9999974,97.98738810932042,First,non,non, False
62, 19.06022653439768,19.06022653439768,21.019437054881195,53.61396,2.9999974,97.95093060296921,First,non,non, False
