turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.064288149790542,20.064288149790542,21.64368306260592,0.060253337,5,99.9819753611889,First,non,non,False,None
2, 21.29109132321942,20.073596788022048,21.64368306260592,0.16989759,4.95,99.96963573489477,First,non,InsideOvertaking,False,None
3, 21.088005681349387,20.018461047354627,21.64368306260592,0.34360474,4.8999996,99.96188721200356,First,non,InsideOvertaking,False,None
4, 20.414889889577246,20.054689644398998,21.64368306260592,0.5793746,4.8499994,99.95767731935251,First,non,InsideOvertaking,False,None
5, 21.428715635249105,20.131778997114697,21.64368306260592,0.8764632,4.799999,99.95593700939834,First,non,InsideOvertaking,False,None
6, 22.234569257472018,20.066605527717247,21.64368306260592,1.2345089,4.749999,99.95559723459776,First,non,InsideOvertaking,False,None
7, 21.56438844499828,20.086696446691597,21.64368306260592,1.653308,4.699999,99.95557237302698,First,non,InsideOvertaking,False,None
8, 20.784369772382504,20.09173184356142,21.64368306260592,2.1327345,4.6499987,99.95480995152325,First,non,InsideOvertaking,False,None
9, 21.85312584824196,20.038319928517744,21.64368306260592,2.6727047,4.5999985,99.95223263535301,First,non,InsideOvertaking,False,None
10, 22.079142136932074,20.13758918948674,21.64368306260592,3.27316,4.5499983,99.94677137697302,First,non,InsideOvertaking,False,None
11, 21.08775883431744,20.031509847831057,21.64368306260592,3.934058,4.499998,99.93735712883995,First,non,InsideOvertaking,False,None
12, 20.973066039820452,20.055040590709254,21.64368306260592,4.655367,4.449998,99.92292084341055,First,non,InsideOvertaking,False,None
13, 22.257823986789106,20.093802621405594,21.64368306260592,5.4370627,4.3999977,99.90239347314154,First,non,InsideOvertaking,False,None
14, 21.995950512042306,20.125677412357053,21.64368306260592,6.279126,4.3499975,99.87469768329939,First,non,InsideOvertaking,False,None
15, 22.01819988110496,20.07606256914915,21.64368306260592,7.1815424,4.2999973,99.83877271353106,First,non,InsideOvertaking,False,None
16, 21.99714846135657,20.140814419998115,21.64368306260592,8.144299,4.249997,99.79354951629328,First,non,InsideOvertaking,False,None
