turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 19.304956462446718,19.304956462446718,20.897044184758997,0.060250767,6,99.98207575158227,First,non,non,False,None
2, 19.263386734670874,19.263386734670874,20.897044184758997,0.1807523,6,99.96979661128692,First,non,non,False,None
3, 19.219550217066264,19.219550217066264,20.897044184758997,0.3615046,6,99.9620994857595,First,non,non,False,None
4, 19.328836375407775,19.328836375407775,20.897044184758997,0.6025077,6,99.95792128164557,First,non,non,False,None
5, 19.257553291988234,19.257553291988234,20.897044184758997,0.9037615,6,99.9561824235232,First,non,non,False,None
6, 19.228509168493375,19.228509168493375,20.897044184758997,1.2652661,6,99.95583630010549,First,non,non,False,None
7, 19.24227823499649,19.24227823499649,20.897044184758997,1.6870215,6,99.95581981803798,First,non,non,False,None
8, 19.291486506915795,19.291486506915795,20.897044184758997,2.1690276,6,99.95506164293249,First,non,non,False,None
9, 19.231989865990588,19.231989865990588,20.897044184758997,2.7112844,6,99.9524986814346,First,non,non,False,None
10, 19.294285563143283,19.294285563143283,20.897044184758997,3.313792,6,99.94706784018987,First,non,non,False,None
11, 19.332778780461805,19.332778780461805,20.897044184758997,3.9765503,6,99.93770602584388,First,non,non,False,None
12, 19.304308689385564,19.304308689385564,20.897044184758997,4.6995597,6,99.92335014504219,First,non,non,False,None
13, 19.267083578724485,19.267083578724485,20.897044184758997,5.4828196,6,99.90294534546413,First,non,non,False,None
14, 19.267586387140028,19.267586387140028,20.897044184758997,6.32633,6,99.875403810654,First,non,non,False,None
15, 19.212874871144653,19.212874871144653,20.897044184758997,7.2300916,6,99.83968717035864,First,non,non,False,None
16, 19.288776571045407,19.288776571045407,20.897044184758997,8.194104,6,99.79472409018987,First,non,non,False,None
17, 19.309744182679818,19.309744182679818,20.897044184758997,9.218368,6,99.7394432357595,First,non,non,False,None
18, 19.227198582344233,19.227198582344233,20.897044184758997,10.239631,6,99.68470628955696,First,non,non,False,None
19, 19.234068504311296,19.234068504311296,20.897044184758997,11.257894,6,99.63048852848101,First,non,non,False,None
20, 19.26367518677467,19.26367518677467,20.897044184758997,12.273157,6,99.57682291666667,First,non,non,False,None
21, 19.32168280356024,19.32168280356024,20.897044184758997,13.28542,6,99.52368473101266,First,non,non,False,None
22, 19.31129825752787,19.31129825752787,20.897044184758997,14.294683,6,99.47106573048524,First,non,non,False,None
23, 19.240072663477772,19.240072663477772,20.897044184758997,15.300946,6,99.4189823971519,First,non,non,False,None
24, 19.23804233073781,19.23804233073781,20.897044184758997,16.304209,6,99.36741824894514,First,non,non,False,None
25, 19.264890622060182,19.264890622060182,20.897044184758997,17.304472,6,99.31637328586498,First,non,non,False,None
26, 19.33958920304488,19.33958920304488,20.897044184758997,18.301735,6,99.26584750791139,First,non,non,False,None
27, 19.216251851417844,19.216251851417844,20.897044184758997,19.295998,6,99.21583267405063,First,non,non,False,None
28, 19.323673394501164,19.323673394501164,20.897044184758997,20.28726,6,99.1663287842827,First,non,non,False,None
29, 19.285065379781706,19.285065379781706,20.897044184758997,21.275522,6,99.11734407964136,First,non,non,False,None
30, 19.216489685504552,19.216489685504552,20.897044184758997,22.260786,6,99.06886207805907,First,non,non,False,None
31, 19.33460438095117,19.33460438095117,20.897044184758997,23.24305,6,99.02088277953587,First,non,non,False,None
32, 19.23442184594224,19.23442184594224,20.897044184758997,24.222313,6,98.97340618407173,First,non,non,False,None
33, 19.238438150945658,19.238438150945658,20.897044184758997,25.198576,6,98.92642405063292,First,non,non,False,None
34, 19.22152031533906,19.22152031533906,20.897044184758997,26.171839,6,98.87994462025317,First,non,non,False,None
35, 19.29740970283512,19.29740970283512,20.897044184758997,27.142101,6,98.83395965189874,First,non,non,False,None
36, 19.23935441725812,19.23935441725812,20.897044184758997,28.109364,6,98.78846090453587,First,non,non,False,None
37, 19.28874214156105,19.28874214156105,20.897044184758997,29.073627,6,98.74344837816456,First,non,non,False,None
38, 19.224989593087216,19.224989593087216,20.897044184758997,30.034891,6,98.69893031381856,First,non,non,False,None
39, 19.319255070849763,19.319255070849763,20.897044184758997,30.996405,6,98.6543710443038,First,non,non,False,None
40, 19.25588683366405,19.25588683366405,20.897044184758997,31.95817,6,98.6097623285865,First,non,non,False,None
41, 19.283388656050235,19.283388656050235,20.897044184758997,32.920185,6,98.56512064873418,First,non,non,False,None
42, 19.293099378553666,19.293099378553666,20.897044184758997,33.88245,6,98.52042952267932,First,non,non,False,None
43, 19.31615316788305,19.31615316788305,20.897044184758997,34.844967,6,98.4757136735232,First,non,non,False,None
44, 19.31789683938742,19.31789683938742,20.897044184758997,35.807735,6,98.43094837816456,First,non,non,False,None
45, 19.226181252317758,19.226181252317758,20.897044184758997,36.7675,6,98.38666106276371,First,non,non,False,None
46, 19.252686197753082,19.252686197753082,20.897044184758997,37.72752,6,98.34234078322785,First,non,non,False,None
47, 19.260593455919405,19.260593455919405,20.897044184758997,38.68779,6,98.2979792985232,First,non,non,False,None
48, 19.243128528713886,19.243128528713886,20.897044184758997,39.64831,6,98.2535766086498,First,non,non,False,None
49, 19.311818336414174,19.311818336414174,20.897044184758997,40.60908,6,98.2091327136076,First,non,non,False,None
50, 19.3354782626272,19.3354782626272,20.897044184758997,41.570103,6,98.16464761339662,First,non,non,False,None
51, 19.23128300932724,19.23128300932724,20.897044184758997,42.531376,6,98.12012954905063,First,non,non,False,None
52, 19.21057583633169,19.21057583633169,20.897044184758997,43.489647,6,98.07608946466245,First,non,non,False,None
53, 19.22813930699138,19.22813930699138,20.897044184758997,44.44817,6,98.03200817510549,First,non,non,False,None
54, 19.337144748671623,19.337144748671623,20.897044184758997,45.406944,6,97.98788568037975,First,non,non,False,None
55, 19.289146414337914,19.289146414337914,20.897044184758997,46.36597,6,97.94372198048524,First,non,non,False,None
56, 19.331089846995045,19.331089846995045,20.897044184758997,47.325245,6,97.8995253164557,First,non,non,False,None
57, 19.21556628750144,19.21556628750144,20.897044184758997,48.28477,6,97.85527920622363,First,non,non,False,None
58, 19.263975017578804,19.263975017578804,20.897044184758997,49.24455,6,97.81099189082279,First,non,non,False,None
59, 19.31264635537753,19.31264635537753,20.897044184758997,50.204575,6,97.76667161128692,First,non,non,False,None
60, 21.04144156744173,19.288398025334732,20.897044184758997,51.16355,5.95,97.72231012658227,First,non,InsideOvertaking,False,None
61, 20.858450320047975,19.216228607016504,20.897044184758997,52.12278,5.8999996,97.67790743670886,First,non,InsideOvertaking,False,None
