turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 19.950486546630838,19.950486546630838,22.274740918141067,0.060696978,5,99.9824364505597,First,non,non,False,None
2, 19.98259677391145,19.98259677391145,22.274740918141067,0.18209094,5,99.97044400393864,First,non,non,False,None
3, 19.999232451115027,19.999232451115027,22.274740918141067,0.36418188,5,99.96296188329188,First,non,non,False,None
4, 19.999164041483517,19.999164041483517,22.274740918141067,0.6069698,5,99.9589455068408,First,non,non,False,None
5, 19.93912101045719,19.93912101045719,22.274740918141067,0.91045463,5,99.95730980514097,First,non,non,False,None
6, 19.915831291124043,19.915831291124043,22.274740918141067,1.2746365,5,99.95700209888061,First,non,non,False,None
7, 19.950576612914407,19.950576612914407,22.274740918141067,1.6995153,5,99.9569778062811,First,non,non,False,None
8, 19.88967587413848,19.88967587413848,22.274740918141067,2.1850913,5,99.95615185789802,First,non,non,False,None
9, 19.971443541340413,19.971443541340413,22.274740918141067,2.731364,5,99.95347967195273,First,non,non,False,None
10, 19.956264005329462,19.956264005329462,22.274740918141067,3.3383338,5,99.94789237406717,First,non,non,False,None
11, 19.93809906018473,19.93809906018473,22.274740918141067,4.0060005,5,99.93833728492952,First,non,non,False,None
12, 19.932155709604043,19.932155709604043,22.274740918141067,4.7343645,5,99.9237455301617,First,non,non,False,None
13, 19.99822481088317,19.99822481088317,22.274740918141067,5.523425,5,99.9030644304519,First,non,non,False,None
14, 19.910343004953546,19.910343004953546,22.274740918141067,6.373183,5,99.8752170138889,First,non,non,False,None
15, 20.00600325868884,20.00600325868884,22.274740918141067,7.2836375,5,99.8391667962272,First,non,non,False,None
16, 19.956050277760216,19.956050277760216,22.274740918141067,8.254789,5,99.79383680555556,First,non,non,False,None
17, 19.939503495302684,19.939503495302684,22.274740918141067,9.286638,5,99.73816626502902,First,non,non,False,None
18, 19.907739157245732,19.907739157245732,22.274740918141067,10.315487,5,99.68303825922472,First,non,non,False,None
19, 19.989184123704106,19.989184123704106,22.274740918141067,11.341335,5,99.62844469060946,First,non,non,False,None
20, 19.977344473918784,19.977344473918784,22.274740918141067,12.364183,5,99.57436936411692,First,non,non,False,None
21, 19.917786543051125,19.917786543051125,22.274740918141067,13.384032,5,99.52083657234661,First,non,non,False,None
22, 19.95558457755868,19.95558457755868,22.274740918141067,14.400881,5,99.46782202269901,First,non,non,False,None
23, 19.939103907299327,19.939103907299327,22.274740918141067,15.414729,5,99.41532571517413,First,non,non,False,None
24, 19.888910056549975,19.888910056549975,22.274740918141067,16.425577,5,99.36335574730515,First,non,non,False,None
25, 19.911579435168502,19.911579435168502,22.274740918141067,17.433426,5,99.31190402155887,First,non,non,False,None
26, 20.288248583120662,19.971263053851985,22.274740918141067,18.440731,4.95,99.2603308328151,First,non,InsideOvertaking,False,None
27, 21.44962322324055,19.91597551407216,22.274740918141067,19.448734,4.8999996,99.2086361810738,First,non,InsideOvertaking,False,None
28, 21.977599754601577,19.97129830987308,22.274740918141067,20.457436,4.8499994,99.156820066335,First,non,InsideOvertaking,False,None
29, 19.999933929015423,19.999933929015423,22.274740918141067,21.464375,4.8499994,99.10552219371891,First,non,non,False,None
30, 19.986151179158604,19.986151179158604,22.274740918141067,22.468313,4.8499994,99.05474256322555,First,non,non,False,None
31, 19.9343788017445,19.9343788017445,22.274740918141067,23.469254,4.8499994,99.00447307732173,First,non,non,False,None
32, 19.97495299740402,19.97495299740402,22.274740918141067,24.467194,4.8499994,98.95471373600746,First,non,non,False,None
33, 20.77014027194286,19.982691918568438,22.274740918141067,25.464577,4.799999,98.9048329316957,First,non,InsideOvertaking,False,None
34, 21.76580425922094,19.99583829568783,22.274740918141067,26.462658,4.749999,98.85483876191957,First,non,InsideOvertaking,False,None
35, 20.125759988377688,19.920943361444056,22.274740918141067,27.461437,4.699999,98.80472312914594,First,non,InsideOvertaking,False,None
36, 21.520867201213445,19.903885456894464,22.274740918141067,28.460915,4.6499987,98.7544860333748,First,non,InsideOvertaking,False,None
37, 20.956208055774436,19.932392553058122,22.274740918141067,29.46109,4.5999985,98.70412747460614,First,non,InsideOvertaking,False,None
38, 20.564266153433884,19.99409615448396,22.274740918141067,30.461964,4.5499983,98.65365555037314,First,non,InsideOvertaking,False,None
39, 21.73569706959452,19.954233303978388,22.274740918141067,31.463535,4.499998,98.60307026067579,First,non,InsideOvertaking,False,None
40, 20.436145534213235,19.93463906302529,22.274740918141067,32.465805,4.449998,98.55235541044776,First,non,InsideOvertaking,False,None
41, 20.541873676651687,19.987726006107064,22.274740918141067,33.468773,4.3999977,98.5015271947554,First,non,InsideOvertaking,False,None
42, 21.859577012808966,19.941184952561507,22.274740918141067,34.47244,4.3499975,98.45057751606551,First,non,InsideOvertaking,False,None
43, 20.522493726513996,19.984484778038425,22.274740918141067,35.476803,4.2999973,98.39950637437812,First,non,InsideOvertaking,False,None
44, 19.900064473378652,19.900064473378652,22.274740918141067,36.47941,4.2999973,98.34895347481344,First,non,non,False,None
45, 19.949712419351616,19.949712419351616,22.274740918141067,37.479015,4.2999973,98.29891071983832,First,non,non,False,None
46, 19.92274138749469,19.92274138749469,22.274740918141067,38.47562,4.2999973,98.24937810945273,First,non,non,False,None
47, 19.99768415878294,19.99768415878294,22.274740918141067,39.472923,4.2999973,98.19972403606965,First,non,non,False,None
48, 19.942872974921638,19.942872974921638,22.274740918141067,40.467228,4.2999973,98.15057200974296,First,non,non,False,None
49, 19.994493938069986,19.994493938069986,22.274740918141067,41.462227,4.2999973,98.1013066179519,First,non,non,False,None
50, 19.893468787594344,19.893468787594344,22.274740918141067,42.454227,4.2999973,98.05255137075042,First,non,non,False,None
51, 20.002820327639594,20.002820327639594,22.274740918141067,43.446926,4.2999973,98.00366656301824,First,non,non,False,None
52, 19.964986212610896,19.964986212610896,22.274740918141067,44.44032,4.2999973,97.95466838982173,First,non,non,False,None
53, 19.99430270659828,19.99430270659828,22.274740918141067,45.43441,4.2999973,97.90555685116087,First,non,non,False,None
54, 20.014917794227426,20.014917794227426,22.274740918141067,46.4292,4.2999973,97.85633194703566,First,non,non,False,None
55, 19.94194212916876,19.94194212916876,22.274740918141067,47.424683,4.2999973,97.80698557991293,First,non,non,False,None
56, 19.967904901768417,19.967904901768417,22.274740918141067,48.420864,4.2999973,97.75751774979271,First,non,non,False,None
57, 19.88531360121662,19.88531360121662,22.274740918141067,49.414047,4.2999973,97.70856006426203,First,non,non,False,None
58, 19.92665207818287,19.92665207818287,22.274740918141067,50.407925,4.2999973,97.65948091573384,First,non,non,False,None
59, 19.95300700628503,19.95300700628503,22.274740918141067,51.4025,4.2999973,97.6102884017413,First,non,non,False,None
60, 19.953665796438884,19.953665796438884,22.274740918141067,52.397774,4.2999973,97.56097442475125,First,non,non,False,None
61, 19.950684140915403,19.950684140915403,22.274740918141067,53.393745,4.2999973,97.51154708229686,First,non,non,False,None
62, 19.964715188230052,19.964715188230052,22.274740918141067,54.39041,4.2999973,97.46199827684495,First,non,non,False,None
63, 19.891744217346748,19.891744217346748,22.274740918141067,55.38408,4.2999973,97.41295961598259,First,non,non,False,None
64, 19.88540703919296,19.88540703919296,22.274740918141067,56.378445,4.2999973,97.36379949212272,First,non,non,False,None
65, 19.989912321321526,19.989912321321526,22.274740918141067,57.373505,4.2999973,97.31452600279852,First,non,non,False,None
66, 21.963930729639557,20.00224563220599,22.274740918141067,58.368008,4.249997,97.26513105047678,First,non,InsideOvertaking,False,None
67, 21.18525094707444,19.96163710780413,22.274740918141067,59.36321,4.199997,97.21562273269072,First,non,InsideOvertaking,False,None
68, 20.43386937098691,19.99279531318982,22.274740918141067,60.359108,4.1499968,97.16599295190714,First,non,InsideOvertaking,False,None
69, 21.979466435523026,19.931157102130737,22.274740918141067,61.355705,4.0999966,97.11624170812604,First,non,InsideOvertaking,False,None
70, 22.126702324132864,19.996753610216743,22.274740918141067,62.352997,4.0499964,97.06638519641376,First,non,InsideOvertaking,False,None
71, 21.0097634501267,19.937989041632115,22.274740918141067,63.350986,3.9999964,97.01639912417082,First,non,InsideOvertaking,False,None
72, 20.690401242756,19.96615150190743,22.274740918141067,64.34968,3.9499965,96.96629968646351,First,non,InsideOvertaking,False,None
73, 21.507788001690606,19.98535260746731,22.274740918141067,65.34907,3.8999965,96.91607878575871,First,non,InsideOvertaking,False,None
74, 21.75843164341838,19.93853760180648,22.274740918141067,66.34915,3.8499966,96.86574451958955,First,non,InsideOvertaking,False,None
75, 19.91601052548909,19.91601052548909,22.274740918141067,67.34749,3.8499966,96.81591230047678,First,non,non,False,None
76, 19.900433931743237,19.900433931743237,22.274740918141067,68.34282,3.8499966,96.76659022595356,First,non,non,False,None
77, 19.927132837744125,19.927132837744125,22.274740918141067,69.33885,3.8499966,96.717154785966,First,non,non,False,None
78, 19.964467305280955,19.964467305280955,22.274740918141067,70.33558,3.8499966,96.66759788298093,First,non,non,False,None
79, 19.90234146619518,19.90234146619518,22.274740918141067,71.32931,3.8499966,96.61854302705224,First,non,non,False,None
80, 19.899005662940247,19.899005662940247,22.274740918141067,72.32373,3.8499966,96.56937480565921,First,non,non,False,None
81, 19.912907758392045,19.912907758392045,22.274740918141067,73.318855,3.8499966,96.52009321880183,First,non,non,False,None
82, 19.958801967780264,19.958801967780264,22.274740918141067,74.314674,3.8499966,96.47069016894693,First,non,non,False,None
83, 19.993625249302397,19.993625249302397,22.274740918141067,75.31119,3.8499966,96.42116565609453,First,non,non,False,None
84, 19.898434244854545,19.898434244854545,22.274740918141067,76.3047,3.8499966,96.37215128783168,First,non,non,False,None
85, 20.00538643479332,20.00538643479332,22.274740918141067,77.29891,3.8499966,96.32301545657131,First,non,non,False,None
86, 19.885127635670493,19.885127635670493,22.274740918141067,78.29382,3.8499966,96.27376625984661,First,non,non,False,None
87, 19.979840877745563,19.979840877745563,22.274740918141067,79.28943,3.8499966,96.22439560012438,First,non,non,False,None
88, 19.956723757967634,19.956723757967634,22.274740918141067,80.285736,3.8499966,96.17491157493781,First,non,non,False,None
89, 19.88764618855644,19.88764618855644,22.274740918141067,81.27904,3.8499966,96.1259376943408,First,non,non,False,None
90, 20.01303942264958,20.01303942264958,22.274740918141067,82.27304,3.8499966,96.07684235074628,First,non,non,False,None
91, 19.97540245320192,19.97540245320192,22.274740918141067,83.26774,3.8499966,96.02761744662106,First,non,non,False,None
92, 19.920330021751464,19.920330021751464,22.274740918141067,84.26313,3.8499966,95.97828727456468,First,non,non,False,None
93, 19.893709583032816,19.893709583032816,22.274740918141067,85.25552,3.8499966,95.92946724709785,First,non,non,False,None
94, 19.99028043251008,19.99028043251008,22.274740918141067,86.24861,3.8499966,95.88051765910033,First,non,non,False,None
95, 19.97816833603869,19.97816833603869,22.274740918141067,87.2424,3.8499966,95.83145470563848,First,non,non,False,None
96, 19.976071162378712,19.976071162378712,22.274740918141067,88.236885,3.8499966,95.78227838671228,First,non,non,False,None
97, 19.905340024548018,19.905340024548018,22.274740918141067,89.23207,3.8499966,95.73298870232173,First,non,non,False,None
98, 19.933231651717882,19.933231651717882,22.274740918141067,90.22795,3.8499966,95.68356945740051,First,non,non,False,None
99, 19.921769769880044,19.921769769880044,22.274740918141067,91.224525,3.8499966,95.63403684701493,First,non,non,False,None
100, 19.90059654447541,19.90059654447541,22.274740918141067,92.2181,3.8499966,95.58500628368574,First,non,non,False,None
101, 19.95769033017231,19.95769033017231,22.274740918141067,93.21237,3.8499966,95.53587045242537,First,non,non,False,None
102, 21.77553848545528,19.898963436133883,22.274740918141067,94.206085,3.7999966,95.4866131581675,First,non,InsideOvertaking,False,None
103, 20.997955838456214,20.011306832447573,22.274740918141067,95.20049,3.7499967,95.43722630337895,First,non,InsideOvertaking,False,None
104, 21.850615006745883,19.94895329727188,22.274740918141067,96.1956,3.6999967,95.38773418065921,First,non,InsideOvertaking,False,None
