turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.583900883994072,20.583900883994072,22.207014287039087,0,7,100,First,non,non,False,Late Start
2, 20.583900883994072,20.583900883994072,22.207014287039087,0,7,100,First,non,non,False,Late Start
3, 21.376056113386912,20.553900109025875,22.207014287039087,0.06029394,7,99.98922641708968,First,SpeedUp,non,False,Late Start
4, 21.327579172251333,20.507287665626283,22.207014287039087,0.18088181,7,99.98184023371404,First,SpeedUp,non,False,Late Start
5, 21.406135630571605,20.582822721703465,22.207014287039087,0.36176363,7,99.97721354166666,First,SpeedUp,non,False,Late Start
6, 21.325844884775247,20.50562008151466,22.207014287039087,0.60293937,7,99.97470190884094,First,SpeedUp,non,False,Late Start
7, 21.40848780604775,20.585084428892067,22.207014287039087,0.90440905,7,99.97366090313028,First,SpeedUp,non,False,Late Start
8, 21.367030811025806,20.545221933678658,22.207014287039087,1.2661726,7,99.97346261632825,First,SpeedUp,non,False,Late Start
9, 21.32056699293514,20.500545185514557,22.207014287039087,1.6882303,7,99.97344609242809,First,SpeedUp,non,False,Late Start
10, 21.310124418037084,20.49050424811258,22.207014287039087,2.1705818,7,99.97298342322335,First,SpeedUp,non,False,Late Start
11, 21.371324888996927,20.549350854804736,22.207014287039087,2.7132273,7,99.97143843855753,First,SpeedUp,non,False,Late Start
12, 21.32261970060954,20.502518942893786,22.207014287039087,3.3161666,7,99.96815844437394,First,SpeedUp,non,False,Late Start
13, 21.309938900351593,20.490325865722685,22.207014287039087,3.9794,7,99.96249900856598,First,SpeedUp,non,False,Late Start
14, 21.316366698316504,20.496506440688947,22.207014287039087,4.702927,7,99.95384048487732,First,SpeedUp,non,False,Late Start
15, 21.39408874777904,20.57123918055677,22.207014287039087,5.486748,7,99.94152191730119,First,SpeedUp,non,False,Late Start
16, 21.399245932681886,20.57619801219412,22.207014287039087,6.3308635,7,99.92491539763112,First,SpeedUp,non,False,Late Start
17, 21.377182745285346,20.554983408928216,22.207014287039087,7.2352724,7,99.90337649376058,First,SpeedUp,non,False,Late Start
18, 21.297117467991587,20.477997565376526,22.207014287039087,8.199975,7,99.87626077358291,First,SpeedUp,non,False,Late Start
19, 21.366279314570647,20.544499340933314,22.207014287039087,9.224972,7,99.84293206694163,First,SpeedUp,non,False,Late Start
20, 21.304882287908722,20.48546373837377,22.207014287039087,10.250262,7,99.80956205054991,First,SpeedUp,non,False,Late Start
21, 21.383496492920283,20.561054320115655,22.207014287039087,11.275847,7,99.77616724830796,First,SpeedUp,non,False,None
22, 21.355883410842864,20.5345032796566,22.207014287039087,12.301726,7,99.74273939826566,First,SpeedUp,non,False,None
23, 21.29630123325803,20.477212724286566,22.207014287039087,13.327899,7,99.70927850042301,First,SpeedUp,non,False,None
24, 21.383856323978854,20.561400311518128,22.207014287039087,14.354365,7,99.67579281673012,First,SpeedUp,non,False,None
25, 21.39024177622201,20.56754016944424,22.207014287039087,15.381126,7,99.6422658232868,First,SpeedUp,non,False,None
26, 21.3152580142852,20.495440398351153,22.207014287039087,16.40818,7,99.60871404399323,First,SpeedUp,non,False,None
27, 21.40376764958298,20.580545816906714,22.207014287039087,17.435528,7,99.57512921689933,First,SpeedUp,non,False,None
28, 21.378111180498657,20.555876135094863,22.207014287039087,18.463171,7,99.541503080055,First,SpeedUp,non,False,None
29, 21.378728500091274,20.556469711626224,22.207014287039087,19.491108,7,99.5078521573604,First,SpeedUp,non,False,None
30, 21.382570488200923,20.560163930962425,22.207014287039087,20.519339,7,99.47416818686548,First,SpeedUp,non,False,None
31, 21.296238123396463,20.47715204172737,22.207014287039087,21.547863,7,99.4404594305203,First,SpeedUp,non,False,None
32, 21.379404273333943,20.557119493590328,22.207014287039087,22.576681,7,99.4067093644247,First,SpeedUp,non,False,None
33, 21.372092123930425,20.550088580702333,22.207014287039087,23.605793,7,99.37292625052876,First,SpeedUp,non,False,None
34, 21.37872937490674,20.55647055279494,22.207014287039087,24.635199,7,99.33911835078257,First,SpeedUp,non,False,None
35, 21.39269584123855,20.569899847344757,22.207014287039087,25.664898,7,99.30527740323603,First,SpeedUp,non,False,None
36, 21.29598540530609,20.47690904356355,22.207014287039087,26.694891,7,99.27140340788917,First,SpeedUp,non,False,None
37, 21.400358323314755,20.57726761857188,22.207014287039087,27.72518,7,99.23748810279187,First,SpeedUp,non,False,None
38, 21.322758678001748,20.50265257500168,22.207014287039087,28.755762,7,99.20354801184433,First,SpeedUp,non,False,None
39, 21.377870433261407,20.555644647366737,22.207014287039087,29.786638,7,99.16958313504652,First,SpeedUp,non,False,None
40, 21.28936127409844,20.470539686633114,22.207014287039087,30.817808,7,99.13557694849831,First,SpeedUp,non,False,None
41, 21.283406965333338,20.464814389743594,22.207014287039087,31.849272,7,99.10154597609983,First,SpeedUp,non,False,None
42, 21.38054436348727,20.558215734122374,22.207014287039087,32.88103,7,99.06746543200084,First,SpeedUp,non,False,None
43, 21.402954448126675,20.579763892429494,22.207014287039087,33.913082,7,99.03336836400169,First,SpeedUp,non,False,None
44, 21.406261235205495,20.582943495389898,22.207014287039087,34.945427,7,98.9992382482022,First,SpeedUp,non,False,None
45, 21.38842425341054,20.56579255135629,22.207014287039087,35.978065,7,98.96507508460236,First,SpeedUp,non,False,None
46, 21.415735378064575,20.592053248139013,22.207014287039087,37.010998,7,98.9308788732022,First,SpeedUp,non,False,None
47, 21.31663985262259,20.49676908906018,22.207014287039087,38.044224,7,98.89664961400169,First,SpeedUp,non,False,None
48, 21.348524426639695,20.527427333307397,22.207014287039087,39.077744,7,98.86238730700084,First,SpeedUp,non,False,None
49, 21.369875251306006,20.54795697240962,22.207014287039087,40.111557,7,98.82809195219966,First,SpeedUp,non,False,None
50, 21.399041038538922,20.576000998595116,22.207014287039087,41.145668,7,98.79375528764805,First,SpeedUp,non,False,None
51, 21.313360593957924,20.49361595572877,22.207014287039087,42.180073,7,98.75940209919628,First,SpeedUp,non,False,None
52, 21.379512767605583,20.55722381500537,22.207014287039087,43.21477,7,98.72500760099408,First,SpeedUp,non,False,None
53, 21.347142332602363,20.52609839673304,22.207014287039087,44.249763,7,98.69058831694163,First,SpeedUp,non,False,None
54, 21.351937277352157,20.53070892053092,22.207014287039087,45.28505,7,98.65613598508882,First,SpeedUp,non,False,None
55, 21.36166197925606,20.540059595438517,22.207014287039087,46.32063,7,98.62164234348562,First,SpeedUp,non,False,None
56, 21.290281054317933,20.47142409069032,22.207014287039087,47.356503,7,98.58712391603214,First,SpeedUp,non,False,None
57, 21.335640229555658,20.515038682265054,22.207014287039087,48.39267,7,98.55257244077833,First,SpeedUp,non,False,None
58, 21.28870430021169,20.469907980972778,22.207014287039087,49.42913,7,98.5179879177242,First,SpeedUp,non,False,None
59, 21.3479103377497,20.526836863220865,22.207014287039087,50.465885,7,98.48336208491962,First,SpeedUp,non,False,None
60, 21.329005909487663,20.508659528353522,22.207014287039087,51.502934,7,98.4487114662648,First,SpeedUp,non,False,None
61, 21.391889852404024,20.56912485808079,22.207014287039087,52.540276,7,98.41403606175973,First,SpeedUp,non,False,None
62, 21.370944057076173,20.54898467026555,22.207014287039087,53.57791,7,98.37931108555415,First,SpeedUp,non,False,None
63, 21.28839046280711,20.469606214237608,22.207014287039087,54.61584,7,98.3445695854484,First,SpeedUp,non,False,None
64, 21.35422016112189,20.53290400107874,22.207014287039087,55.654064,7,98.30978677559222,First,SpeedUp,non,False,None
65, 21.312952206364926,20.49322327535089,22.207014287039087,56.69258,7,98.2749709179357,First,SpeedUp,non,False,None
66, 21.28502327873951,20.466368537249526,22.207014287039087,57.73139,7,98.24012201247885,First,SpeedUp,non,False,None
67, 21.31407614407382,20.494303984686365,22.207014287039087,58.770496,7,98.20524832117174,First,SpeedUp,non,False,None
68, 21.4131739186746,20.589590306417886,22.207014287039087,59.809895,7,98.17033332011421,First,SpeedUp,non,False,None
69, 21.331396220333925,20.510957904167235,22.207014287039087,60.84959,7,98.13539353320643,First,SpeedUp,non,False,None
70, 21.291989025363605,20.47306637054193,22.207014287039087,61.88958,7,98.10041243654823,First,SpeedUp,non,False,None
71, 21.318051464138854,20.498126407825822,22.207014287039087,62.929863,7,98.06540655403975,First,SpeedUp,non,False,None
72, 21.361250674870778,20.53966411045267,22.207014287039087,63.97044,7,98.03036762373097,First,SpeedUp,non,False,None
73, 21.34816552655506,20.52708223707217,22.207014287039087,65.01131,7,97.99529564562182,First,SpeedUp,non,False,None
74, 21.323411041703032,20.503279847791376,22.207014287039087,66.05247,7,97.96019061971235,First,SpeedUp,non,False,None
75, 21.345284411035927,20.52431193368839,22.207014287039087,67.093925,7,97.92504428405245,First,SpeedUp,non,False,None
76, 21.358554162400726,20.537071310000698,22.207014287039087,68.13567,7,97.8898731625423,First,SpeedUp,non,False,None
77, 21.316907766995204,20.49702669903385,22.207014287039087,69.17772,7,97.85466899323181,First,SpeedUp,non,False,None
78, 21.363965938214143,20.54227494059052,22.207014287039087,70.22006,7,97.81943177612098,First,SpeedUp,non,False,None
79, 21.371552643794928,20.549569849802815,22.207014287039087,71.262695,7,97.78415324925973,First,SpeedUp,non,False,None
80, 21.33115864285328,20.510729464281997,22.207014287039087,72.305626,7,97.74885819849831,First,SpeedUp,non,False,None
