turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.129948743753268,20.129948743753268,22.656159991324472,0.060490843,2,99.98237562318239,First,non,non,False,None
2, 20.17506161985217,20.17506161985217,22.656159991324472,0.18147253,2,99.97033392189448,First,non,non,False,None
3, 20.202030047260738,20.202030047260738,22.656159991324472,0.36294505,2,99.96279568705859,First,non,non,False,None
4, 20.18950736677636,20.18950736677636,22.656159991324472,0.6049084,2,99.95872228136685,First,non,non,False,None
5, 20.21752211451534,20.21752211451534,22.656159991324472,0.9073626,2,99.95705883880349,First,non,non,False,None
6, 20.13042396609424,20.13042396609424,22.656159991324472,1.2703077,2,99.9567342646448,First,non,non,False,None
7, 20.21333637283617,20.21333637283617,22.656159991324472,1.6937436,2,99.95670992158288,First,non,non,False,None
8, 20.119355500042598,20.119355500042598,22.656159991324472,2.1776702,2,99.95592282924804,First,non,non,False,None
9, 20.198037627904224,20.198037627904224,22.656159991324472,2.7220879,2,99.95331812162443,First,non,non,False,None
10, 20.195461320618005,20.195461320618005,22.656159991324472,3.3269963,2,99.94783281834233,First,non,non,False,None
11, 20.103937597812198,20.103937597812198,22.656159991324472,3.9923956,2,99.9384282820939,First,non,non,False,None
12, 20.153780809633336,20.153780809633336,22.656159991324472,4.7182856,2,99.92402530380141,First,non,non,False,None
13, 20.12200079167247,20.12200079167247,22.656159991324472,5.5046663,2,99.90359336051101,First,non,non,False,None
14, 20.21736118812894,20.21736118812894,22.656159991324472,6.351538,2,99.87606135749897,First,non,non,False,None
15, 20.20165442991476,20.20165442991476,22.656159991324472,7.2589006,2,99.84037442874948,First,non,non,False,None
16, 20.201752164411033,20.201752164411033,22.656159991324472,8.226754,2,99.79548582260075,First,non,non,False,None
17, 20.110840458036105,20.110840458036105,22.656159991324472,9.255098,2,99.74032444432905,First,non,non,False,None
18, 20.120356288272173,20.120356288272173,22.656159991324472,10.280443,2,99.68570672777317,First,non,non,False,None
19, 20.16875072857842,20.16875072857842,22.656159991324472,11.302788,2,99.63161644422519,First,non,non,False,None
20, 20.916399548514036,20.13414416507499,22.656159991324472,12.3244,1.95,99.57743690278355,First,non,InsideOvertaking,False,None
21, 21.81272333396889,20.114121121278757,22.656159991324472,13.346504,1.9000001,99.52317621780224,First,non,InsideOvertaking,False,None
22, 21.06531358927032,20.139238606459767,22.656159991324472,14.3691,1.8500001,99.4688262749273,First,non,InsideOvertaking,False,None
23, 20.49265392642468,20.145400444775206,22.656159991324472,15.392186,1.8000002,99.41438707415871,First,non,InsideOvertaking,False,None
24, 20.917254838982053,20.153976984635726,22.656159991324472,16.415764,1.7500002,99.35985861549648,First,non,InsideOvertaking,False,None
25, 20.575777614303725,20.191413613185702,22.656159991324472,17.439833,1.7000003,99.30524901329456,First,non,InsideOvertaking,False,None
26, 20.15423566643312,20.15423566643312,22.656159991324472,18.462122,1.7000003,99.25116684410054,First,non,non,False,None
27, 20.138127823234118,20.138127823234118,22.656159991324472,19.481411,1.7000003,99.19761210791442,First,non,non,False,None
28, 20.171385436235067,20.171385436235067,22.656159991324472,20.4977,1.7000003,99.1445848047362,First,non,non,False,None
