turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 22.376768016950447,21.516123093221584,24.232122340159375,0.060188517,4,99.98926130977459,First,SpeedUp,non,False,None
2, 22.425210910962342,21.562702799002253,24.232122340159375,0.18056555,4,99.98189646092268,First,SpeedUp,non,False,None
3, 22.391256541243585,21.53005436658037,24.232122340159375,0.3611311,4,99.97728005845798,First,SpeedUp,non,False,None
4, 22.428351679103976,21.565722768369206,24.232122340159375,0.6018852,4,99.97476202074995,First,SpeedUp,non,False,None
5, 22.444968051636366,21.58170004965035,24.232122340159375,0.9028278,4,99.97371695281231,First,SpeedUp,non,False,None
6, 22.384855374958757,21.523899398998804,24.232122340159375,1.2639589,4,99.97351123077733,First,SpeedUp,non,False,None
7, 22.43571672386397,21.572804542176893,24.232122340159375,1.6852785,4,99.97349477301454,First,SpeedUp,non,False,None
8, 22.440652852633388,21.577550819839797,24.232122340159375,2.1667867,4,99.973050413419,First,SpeedUp,non,False,None
9, 22.3831590446892,21.522268312201152,24.232122340159375,2.7084832,4,99.97151984147884,First,SpeedUp,non,False,None
10, 22.412327117890143,21.55031453643283,24.232122340159375,3.3103685,4,99.96829411997051,First,SpeedUp,non,False,None
11, 22.371945801899113,21.511486347979915,24.232122340159375,3.9724422,4,99.96271493838213,First,SpeedUp,non,False,None
12, 22.33870619915783,21.479525191497913,24.232122340159375,4.6947045,4,99.95415690172742,First,SpeedUp,non,False,None
13, 22.39030871699656,21.52914299711208,24.232122340159375,5.477155,4,99.94198638613862,First,SpeedUp,non,False,None
14, 22.367606399245666,21.507313845428524,24.232122340159375,6.3197947,4,99.92555330998526,First,SpeedUp,non,False,None
15, 22.43089730250609,21.568170483178932,24.232122340159375,7.2226224,4,99.90423227828103,First,SpeedUp,non,False,None
16, 22.326626206225928,21.467909813678776,24.232122340159375,8.185638,4,99.87738966715821,First,SpeedUp,non,False,None
17, 22.389745448462172,21.528601392752087,24.232122340159375,9.208843,4,99.84438362386771,First,SpeedUp,non,False,None
18, 22.37225951839508,21.511787998456807,24.232122340159375,10.292236,4,99.80458052454182,First,SpeedUp,non,False,None
19, 22.426969179603248,21.5643934419262,24.232122340159375,11.435818,4,99.75734674531283,First,SpeedUp,non,False,None
20, 22.41848714549795,21.556237639901873,24.232122340159375,12.5764,4,99.71049972350959,First,SpeedUp,non,False,None
21, 22.324588386305052,21.465950371447164,24.232122340159375,13.713982,4,99.66403123025069,First,SpeedUp,non,False,None
22, 22.31863774817254,21.46022860401206,24.232122340159375,14.848563,4,99.61794949441753,First,SpeedUp,non,False,None
23, 22.40282770858154,21.54118048902071,24.232122340159375,15.9801445,4,99.57224628712872,First,SpeedUp,non,False,None
24, 22.339517695301474,21.480305476251417,24.232122340159375,17.108727,4,99.52692160838424,First,SpeedUp,non,False,None
25, 22.416672578635083,21.554492864072195,24.232122340159375,18.234308,4,99.48197545818412,First,SpeedUp,non,False,None
26, 22.351719320661047,21.49203780832793,24.232122340159375,19.35689,4,99.43740783652834,First,SpeedUp,non,False,None
27, 22.3724363908114,21.511958068087885,24.232122340159375,20.47647,4,99.3932105145355,First,SpeedUp,non,False,None
28, 22.320676743992287,21.46218917691566,24.232122340159375,21.593052,4,99.3493834922056,First,SpeedUp,non,False,None
29, 22.415352416599408,21.55322347749943,24.232122340159375,22.709822,4,99.30554001211291,First,SpeedUp,non,False,None
30, 22.393966726617002,21.53266031405481,24.232122340159375,23.82678,4,99.26167184537603,First,SpeedUp,non,False,None
31, 22.381576782739174,21.520746906479975,24.232122340159375,24.943928,4,99.21777899199495,First,SpeedUp,non,False,None
32, 22.379965724166393,21.519197811698454,24.232122340159375,26.061264,4,99.17386968085107,First,SpeedUp,non,False,None
33, 22.361627357981792,21.501564767290184,24.232122340159375,27.17879,4,99.1299274541816,First,SpeedUp,non,False,None
34, 22.42432697135119,21.56185285706845,24.232122340159375,28.296501,4,99.08596876974931,First,SpeedUp,non,False,None
35, 22.371510999767292,21.511068269007012,24.232122340159375,29.414402,4,99.04197716979145,First,SpeedUp,non,False,None
36, 22.435969374249417,21.573047475239825,24.232122340159375,30.532492,4,98.99796911207078,First,SpeedUp,non,False,None
37, 22.425845394267384,21.563312879103254,24.232122340159375,31.65077,4,98.95393636770592,First,SpeedUp,non,False,None
38, 22.444321052263188,21.58107793486845,24.232122340159375,32.769238,4,98.90987893669687,First,SpeedUp,non,False,None
39, 22.342614916673273,21.4832835737243,24.232122340159375,33.884705,4,98.86620003423215,First,SpeedUp,non,False,None
40, 22.384589730571722,21.523643971703578,24.232122340159375,35.00036,4,98.82248821624184,First,SpeedUp,non,False,None
41, 22.3238603113631,21.465250299387595,24.232122340159375,36.116203,4,98.77875994048873,First,SpeedUp,non,False,None
42, 22.339327863294447,21.48012294547543,24.232122340159375,37.232235,4,98.73500697809143,First,SpeedUp,non,False,None
43, 22.327997779419018,21.469228634056748,24.232122340159375,38.348457,4,98.69122110016853,First,SpeedUp,non,False,None
44, 22.35422818447626,21.49445017738102,24.232122340159375,39.464867,4,98.64742699336423,First,SpeedUp,non,False,None
45, 22.373799178392343,21.513268440761866,24.232122340159375,40.581467,4,98.60359997103434,First,SpeedUp,non,False,None
46, 22.450649999373216,21.587163460935784,24.232122340159375,41.698254,4,98.55975649094165,First,SpeedUp,non,False,None
47, 22.430837723454776,21.568113195629593,24.232122340159375,42.815228,4,98.51588832420477,First,SpeedUp,non,False,None
48, 22.449181276382554,21.585751227290917,24.232122340159375,43.932392,4,98.47198724194229,First,SpeedUp,non,False,None
49, 22.35212661457688,21.49242943709315,24.232122340159375,45.049744,4,98.428069701917,First,SpeedUp,non,False,None
50, 22.347562282842556,21.48804065657938,24.232122340159375,46.167286,4,98.38412747524752,First,SpeedUp,non,False,None
