turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 19.71629534719548,19.71629534719548,21.214431853339253,0.060250767,7,99.97461981951872,First,non,non,False,None
2, 19.61215545747347,19.61215545747347,21.214431853339253,0.1807523,7,99.95682235962566,First,non,non,False,None
3, 19.690436117776382,19.690436117776382,21.214431853339253,0.3615046,7,99.94529161096257,First,non,non,False,None
4, 19.681510977407562,19.681510977407562,21.214431853339253,0.6025077,7,99.93865934157753,First,non,non,False,None
5, 19.635525082240246,19.635525082240246,21.214431853339253,0.9037615,7,99.93558865307487,First,non,non,False,None
6, 19.711752977486952,19.711752977486952,21.214431853339253,1.2652661,7,99.93471131350267,First,non,non,False,None
7, 19.680479491880494,19.680479491880494,21.214431853339253,1.6870215,7,99.93470086898395,First,non,non,False,None
8, 19.702813720957906,19.702813720957906,21.214431853339253,2.1690276,7,99.93419953208556,First,non,non,False,None
9, 19.58374339645969,19.58374339645969,21.214431853339253,2.7112844,7,99.93185995989305,First,non,non,False,None
10, 19.617433712004107,19.617433712004107,21.214431853339253,3.313792,7,99.92633480949198,First,non,non,False,None
11, 19.631501541818285,19.631501541818285,21.214431853339253,3.9765503,7,99.91627673796792,First,non,non,False,None
12, 19.63961218371284,19.63961218371284,21.214431853339253,4.6995597,7,99.9003279578877,First,non,non,False,None
13, 19.70345775154908,19.70345775154908,21.214431853339253,5.4828196,7,99.87716201537434,First,non,non,False,None
14, 19.712507461078285,19.712507461078285,21.214431853339253,6.32633,7,99.84541067847593,First,non,non,False,None
15, 19.684615492437036,19.684615492437036,21.214431853339253,7.2300916,7,99.80373704879679,First,non,non,False,None
16, 19.713084589917695,19.713084589917695,21.214431853339253,8.194104,7,99.75078333890374,First,non,non,False,None
17, 19.662275320888963,19.662275320888963,21.214431853339253,9.218368,7,99.68521265040107,First,non,non,False,None
18, 19.614109080017897,19.614109080017897,21.214431853339253,10.239631,7,99.62029996657753,First,non,non,False,None
19, 19.613050242719744,19.613050242719744,21.214431853339253,11.257894,7,99.55604528743315,First,non,non,False,None
20, 19.698065873634235,19.698065873634235,21.214431853339253,12.273157,7,99.4924381684492,First,non,non,False,None
21, 19.619422928608373,19.619422928608373,21.214431853339253,13.28542,7,99.42948905414438,First,non,non,False,None
