turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 19.698249951793034,19.698249951793034,21.298718596090215,0.060250767,8,99.97461981951872,First,non,non,False,None
2, 21.17662376696758,19.700975354558345,21.298718596090215,0.16988936,7.95,99.95682235962566,First,non,InsideOvertaking,False,None
3, 19.931732938797623,19.713459539895524,21.298718596090215,0.3435885,7.8999996,99.94529161096257,First,non,InsideOvertaking,False,None
4, 20.863836006937376,19.66635258447905,21.298718596090215,0.57934785,7.8499994,99.93865934157753,First,non,InsideOvertaking,False,None
5, 21.237830127152915,19.662250521207394,21.298718596090215,0.87642336,7.799999,99.93558865307487,First,non,InsideOvertaking,False,None
6, 21.561299194652083,19.589840879443692,21.298718596090215,1.2344534,7.749999,99.93471131350267,First,non,InsideOvertaking,False,None
7, 21.608917469370546,19.65178689155542,21.298718596090215,1.6532345,7.699999,99.93470086898395,First,non,InsideOvertaking,False,None
8, 19.957995292249684,19.713862833785235,21.298718596090215,2.1326404,7.6499987,99.93419953208556,First,non,InsideOvertaking,False,None
9, 20.06932893578476,19.71243623970509,21.298718596090215,2.6725872,7.5999985,99.93185995989305,First,non,InsideOvertaking,False,None
10, 20.005630074470147,19.70996652608252,21.298718596090215,3.2730165,7.5499983,99.92633480949198,First,non,InsideOvertaking,False,None
11, 20.78085361130486,19.594414974660864,21.298718596090215,3.933886,7.499998,99.91627673796792,First,non,InsideOvertaking,False,None
12, 21.00027695844054,19.615609635735815,21.298718596090215,4.6551642,7.449998,99.9003279578877,First,non,InsideOvertaking,False,None
13, 21.418776368069867,19.646321719247666,21.298718596090215,5.4368267,7.3999977,99.87716201537434,First,non,InsideOvertaking,False,None
14, 21.549535527371567,19.590500672669176,21.298718596090215,6.2788544,7.3499975,99.84541067847593,First,non,InsideOvertaking,False,None
15, 20.455447812401797,19.636152187120793,21.298718596090215,7.1812315,7.2999973,99.80373704879679,First,non,InsideOvertaking,False,None
16, 21.499735328719204,19.70538861475698,21.298718596090215,8.143947,7.249997,99.75078333890374,First,non,InsideOvertaking,False,None
17, 21.54577001301983,19.69831134396031,21.298718596090215,9.166988,7.199997,99.68521265040107,First,non,InsideOvertaking,False,None
18, 19.959771470909875,19.682359869880656,21.298718596090215,10.187027,7.1499968,99.62029996657753,First,non,InsideOvertaking,False,None
19, 21.332926754301663,19.616073147660305,21.298718596090215,11.207316,7.0999966,99.55533506016043,First,non,InsideOvertaking,False,None
20, 20.638715981419708,19.685082563344793,21.298718596090215,12.227857,7.0499964,99.49030748663101,First,non,InsideOvertaking,False,None
21, 19.996729453061576,19.66831925358252,21.298718596090215,13.245394,6.999996,99.42594836229947,First,non,InsideOvertaking,False,None
22, 20.64924603073416,19.696701949677575,21.298718596090215,14.263182,6.949996,99.36152657085562,First,non,InsideOvertaking,False,None
23, 21.108660295489695,19.58286308714209,21.298718596090215,15.28122,6.899996,99.29705255681819,First,non,InsideOvertaking,False,None
24, 19.844512048007246,19.640422416892903,21.298718596090215,16.296255,6.8499956,99.23322610294117,First,non,InsideOvertaking,False,None
25, 20.22148783952485,19.682969409172014,21.298718596090215,17.308287,6.7999954,99.17005765374331,First,non,InsideOvertaking,False,None
26, 19.649799346689523,19.649799346689523,21.298718596090215,18.318552,6.7999954,99.10753676470588,First,non,non,False,None
27, 19.630128059758242,19.630128059758242,21.298718596090215,19.325817,6.7999954,99.04566343582887,First,non,non,False,None
28, 19.657919364929906,19.657919364929906,21.298718596090215,20.330084,6.7999954,98.9844376671123,First,non,non,False,None
29, 19.630431513484982,19.630431513484982,21.298718596090215,21.33135,6.7999954,98.92383856951872,First,non,non,False,None
30, 19.660454092015108,19.660454092015108,21.298718596090215,22.329617,6.7999954,98.86387658756685,First,non,non,False,None
31, 19.654325311118356,19.654325311118356,21.298718596090215,23.324883,6.7999954,98.80454127673796,First,non,non,False,None
32, 19.612247418001775,19.612247418001775,21.298718596090215,24.317148,6.7999954,98.7458430815508,First,non,non,False,None
33, 19.61439594198701,19.61439594198701,21.298718596090215,25.306414,6.7999954,98.68777155748663,First,non,non,False,None
34, 19.66505313933733,19.66505313933733,21.298718596090215,26.292679,6.7999954,98.63030581550802,First,non,non,False,None
35, 20.227781542628225,19.65492599670629,21.298718596090215,27.277927,6.749995,98.57280873997327,First,non,InsideOvertaking,False,None
36, 21.703212052578266,19.626905004029226,21.298718596090215,28.263428,6.699995,98.5152489973262,First,non,InsideOvertaking,False,None
37, 20.21280185757075,19.652926460544812,21.298718596090215,29.24918,6.649995,98.45762658756685,First,non,InsideOvertaking,False,None
38, 20.308117883259275,19.6915452120152,21.298718596090215,30.235182,6.5999947,98.39997284425134,First,non,InsideOvertaking,False,None
39, 21.74699200092603,19.65425567910163,21.298718596090215,31.221436,6.5499945,98.34225643382354,First,non,InsideOvertaking,False,None
40, 20.5405690557846,19.644328817654515,21.298718596090215,32.20794,6.4999943,98.28448780080214,First,non,InsideOvertaking,False,None
41, 20.455764291044392,19.69872777319658,21.298718596090215,33.194695,6.449994,98.22666694518716,First,non,InsideOvertaking,False,None
42, 19.926733735764188,19.59143404793346,21.298718596090215,34.1817,6.399994,98.1687938669786,First,non,InsideOvertaking,False,None
43, 21.121355059938946,19.64285424032641,21.298718596090215,35.16896,6.3499937,98.11087901069519,First,non,InsideOvertaking,False,None
44, 21.81784746532469,19.666593674002968,21.298718596090215,36.15647,6.2999935,98.05290148729947,First,non,InsideOvertaking,False,None
45, 19.946978305821833,19.694865715701365,21.298718596090215,37.14423,6.2499933,97.99487174131016,First,non,InsideOvertaking,False,None
46, 20.178878790800354,19.636838846342325,21.298718596090215,38.13224,6.199993,97.93680021724599,First,non,InsideOvertaking,False,None
47, 20.14179859689237,19.69980754447813,21.298718596090215,39.120502,6.149993,97.87866602606952,First,non,InsideOvertaking,False,None
48, 19.627598197448552,19.627598197448552,21.298718596090215,40.10703,6.149993,97.82115850601605,First,non,non,False,None
49, 19.683658360016164,19.683658360016164,21.298718596090215,41.090553,6.149993,97.76426721256685,First,non,non,False,None
50, 19.613877026451416,19.613877026451416,21.298718596090215,42.07108,6.149993,97.70799214572193,First,non,non,False,None
51, 19.60986671765819,19.60986671765819,21.298718596090215,43.048607,6.149993,97.65232286096257,First,non,non,False,None
52, 19.70435270008443,19.70435270008443,21.298718596090215,44.026382,6.149993,97.59661179812834,First,non,non,False,None
53, 19.657507813545756,19.657507813545756,21.298718596090215,45.00441,6.149993,97.54084851270053,First,non,non,False,None
54, 19.657119254395305,19.657119254395305,21.298718596090215,45.98269,6.149993,97.48502256016043,First,non,non,False,None
