turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.130591635890443,20.130591635890443,21.706412871482055,0.06019349,8,99.9819753611889,First,non,non,False,None
2, 20.125288087832722,20.125288087832722,21.706412871482055,0.18058047,8,99.969610873324,First,non,non,False,None
3, 20.11887080330133,20.11887080330133,21.706412871482055,0.36116093,8,99.96186235043278,First,non,non,False,None
4, 20.108965148411933,20.108965148411933,21.706412871482055,0.6019349,8,99.95764417059148,First,non,non,False,None
5, 20.064634904609782,20.064634904609782,21.706412871482055,0.90290236,8,99.95588728625678,First,non,non,False,None
6, 20.064224886150573,20.064224886150573,21.706412871482055,1.2640634,8,99.95553922426595,First,non,non,False,None
7, 20.08960571325829,20.08960571325829,21.706412871482055,1.6854178,8,99.95551436269518,First,non,non,False,None
8, 20.107436459850135,20.107436459850135,21.706412871482055,2.1669657,8,99.95476851557196,First,non,non,False,None
9, 20.114743354938767,20.114743354938767,21.706412871482055,2.708707,8,99.95220777378225,First,non,non,False,None
10, 20.056351355954956,20.056351355954956,21.706412871482055,3.310642,8,99.94678795135353,First,non,non,False,None
11, 20.060756938065197,20.060756938065197,21.706412871482055,3.9727705,8,99.93741513917176,First,non,non,False,None
12, 20.143435514406555,20.143435514406555,21.706412871482055,4.695092,8,99.92304515126442,First,non,non,False,None
13, 20.052244694425546,20.052244694425546,21.706412871482055,5.4776077,8,99.90260065289799,First,non,non,False,None
14, 20.05755264166197,20.05755264166197,21.706412871482055,6.320317,8,99.87501259652919,First,non,non,False,None
15, 20.06978495199923,20.06978495199923,21.706412871482055,7.223219,8,99.839220221805,First,non,non,False,None
16, 20.095988462703712,20.095988462703712,21.706412871482055,8.186315,8,99.7941544811821,First,non,non,False,None
17, 20.05442118413652,20.05442118413652,21.706412871482055,9.209604,8,99.73873803992701,First,non,non,False,None
18, 20.059000380433773,20.059000380433773,21.706412871482055,10.229894,8,99.68386855322895,First,non,non,False,None
19, 20.091318070679588,20.091318070679588,21.706412871482055,11.247183,8,99.6295294467074,First,non,non,False,None
20, 20.107722495705318,20.107722495705318,21.706412871482055,12.261473,8,99.57572900755261,First,non,non,False,None
21, 20.05520073909005,20.05520073909005,21.706412871482055,13.272762,8,99.5224672357646,First,non,non,False,None
22, 20.098871930299293,20.098871930299293,21.706412871482055,14.281052,8,99.46972755696282,First,non,non,False,None
23, 20.13993237522866,20.13993237522866,21.706412871482055,15.286341,8,99.41752654552783,First,non,non,False,None
24, 20.09412567024349,20.09412567024349,21.706412871482055,16.28863,8,99.36583933988884,First,non,non,False,None
25, 20.043824226999032,20.043824226999032,21.706412871482055,17.287918,8,99.31468251442634,First,non,non,False,None
26, 20.026691326106015,20.026691326106015,21.706412871482055,18.287401,8,99.2634759658223,First,non,non,False,None
27, 20.116806220304316,20.116806220304316,21.706412871482055,19.287077,8,99.21225284283774,First,non,non,False,None
28, 20.026442671268487,20.026442671268487,21.706412871482055,20.286947,8,99.1609882839019,First,non,non,False,None
29, 20.103998623317533,20.103998623317533,21.706412871482055,21.28701,8,99.10969057620503,First,non,non,False,None
