turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 21.445344634891278,21.445344634891278,24.074071168350002,0,1,100,First,non,non,False,Late Start
2, 21.445344634891278,21.445344634891278,24.074071168350002,0,1,100,First,non,non,False,Late Start
3, 22.29086475910547,21.433523806832184,24.074071168350002,0.060064692,1,99.98948456662889,First,SpeedUp,non,False,Late Start
4, 22.352569829986432,21.492855605756183,24.074071168350002,0.18019408,1,99.98227030299908,First,SpeedUp,non,False,Late Start
5, 22.302028716599356,21.444258381345534,24.074071168350002,0.36038816,1,99.97772918169639,First,SpeedUp,non,False,Late Start
6, 22.363813783653626,21.50366709966695,24.074071168350002,0.6006469,1,99.97525733020716,First,SpeedUp,non,False,Late Start
7, 22.388086915238006,21.527006649267314,24.074071168350002,0.90097034,1,99.97421866948368,First,SpeedUp,non,False,Late Start
8, 22.321314447902424,21.46280235375233,24.074071168350002,1.2613585,1,99.97400932701227,First,SpeedUp,non,False,Late Start
9, 22.3714987239641,21.511056465350094,24.074071168350002,1.6818113,1,99.97400127537875,First,SpeedUp,non,False,Late Start
10, 22.284370268278206,21.42727910411366,24.074071168350002,2.162329,1,99.97357453880244,First,SpeedUp,non,False,Late Start
11, 22.35864117536113,21.498693437847237,24.074071168350002,2.7029111,1,99.97211719313614,First,SpeedUp,non,False,Late Start
12, 22.294962777116503,21.437464208765867,24.074071168350002,3.303558,1,99.96898510769866,First,SpeedUp,non,False,Late Start
13, 22.401210060357627,21.53962505803618,24.074071168350002,3.9642696,1,99.96359051324333,First,SpeedUp,non,False,Late Start
14, 22.280042909452412,21.42311818216578,24.074071168350002,4.685046,1,99.95529733072246,First,SpeedUp,non,False,Late Start
15, 22.409864531104773,21.54794666452382,24.074071168350002,5.465887,1,99.94348558435536,First,SpeedUp,non,False,Late Start
16, 22.356745583359363,21.496870753230155,24.074071168350002,6.3067927,1,99.92754334999485,First,SpeedUp,non,False,Late Start
