turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.099392662417088,20.099392662417088,22.522914801597587,0,4,100,First,non,non,False,Late Start
2, 20.099392662417088,20.099392662417088,22.522914801597587,0,4,100,First,non,non,False,Late Start
3, 20.09763342082359,20.09763342082359,22.522914801597587,0.06068589,4,99.98257372223365,First,non,non,False,Late Start
4, 20.15961084714816,20.15961084714816,22.522914801597587,0.18205768,4,99.97067500514191,First,non,non,False,Late Start
5, 20.14911005397095,20.14911005397095,22.522914801597587,0.36411536,4,99.96325136260798,First,non,non,False,Late Start
6, 20.087789938636163,20.087789938636163,22.522914801597587,0.6068589,4,99.95925030851501,First,non,non,False,Late Start
7, 20.05552887327069,20.05552887327069,22.522914801597587,0.91028833,4,99.95763542523653,First,non,non,False,Late Start
8, 20.06915151750789,20.06915151750789,22.522914801597587,1.2744037,4,99.9573301239202,First,non,non,False,Late Start
9, 20.11997369417,20.11997369417,22.522914801597587,1.6992049,4,99.95729798693954,First,non,non,False,Late Start
10, 20.130141391369513,20.130141391369513,22.522914801597587,2.1846921,4,99.9564865281777,First,non,non,False,Late Start
11, 20.077613095666763,20.077613095666763,22.522914801597587,2.7308652,4,99.95383522727273,First,non,non,False,Late Start
12, 20.154483769913433,20.154483769913433,22.522914801597587,3.3377242,4,99.94830766659811,First,non,non,False,Late Start
13, 20.169964344724065,20.169964344724065,22.522914801597587,4.005269,4,99.93882725730153,First,non,non,False,Late Start
14, 20.159390383494674,20.159390383494674,22.522914801597587,4.7334995,4,99.92436561600165,First,non,non,False,Late Start
15, 20.102177023262534,20.102177023262534,22.522914801597587,5.522416,4,99.90386222233649,First,non,non,False,Late Start
16, 20.149153456873414,20.149153456873414,22.522914801597587,6.372019,4,99.87625655594405,First,non,non,False,Late Start
17, 20.08216420698526,20.08216420698526,22.522914801597587,7.282307,4,99.84051219919786,First,non,non,False,Late Start
18, 20.142470343936992,20.142470343936992,22.522914801597587,8.253282,4,99.79556059749075,First,non,non,False,Late Start
19, 20.043397194669843,20.043397194669843,22.522914801597587,9.284942,4,99.74035729895105,First,non,non,False,Late Start
20, 20.143352576666828,20.143352576666828,22.522914801597587,10.3136015,4,99.68569229483752,First,non,non,False,Late Start
21, 20.135125629353475,20.135125629353475,22.522914801597587,11.339262,4,99.63155755090499,First,non,non,False,None
22, 20.134452417406983,20.134452417406983,22.522914801597587,12.361922,4,99.57794503290827,First,non,non,False,None
23, 20.12507313582593,20.12507313582593,22.522914801597587,13.381582,4,99.52485474084739,First,non,non,False,None
24, 20.13203005029947,20.13203005029947,22.522914801597587,14.398243,4,99.47229470896751,First,non,non,False,None
25, 20.16389720426315,20.16389720426315,22.522914801597587,15.411903,4,99.42024083453312,First,non,non,False,None
26, 20.126475353244082,20.126475353244082,22.522914801597587,16.422564,4,99.36870918603455,First,non,non,False,None
27, 20.09235192760945,20.09235192760945,22.522914801597587,17.430223,4,99.31769172922665,First,non,non,False,None
28, 20.129621397367195,20.129621397367195,22.522914801597587,18.434883,4,99.26718042986425,First,non,non,False,None
29, 20.15073069403382,20.15073069403382,22.522914801597587,19.44023,4,99.21655665106952,First,non,non,False,None
30, 20.144965637073923,20.144965637073923,22.522914801597587,20.446262,4,99.1658123585973,First,non,non,False,None
31, 20.12039072817202,20.12039072817202,22.522914801597587,21.449295,4,99.11558225781572,First,non,non,False,None
32, 20.124368608234505,20.124368608234505,22.522914801597587,22.453012,4,99.06523967760181,First,non,non,False,None
33, 20.12127704463427,20.12127704463427,22.522914801597587,23.457417,4,99.01476854946524,First,non,non,False,None
34, 20.12962281301124,20.12962281301124,22.522914801597587,24.462505,4,98.96418494189633,First,non,non,False,None
35, 20.063556145926313,20.063556145926313,22.522914801597587,25.464596,4,98.91411552601811,First,non,non,False,None
36, 20.087746805015307,20.087746805015307,22.522914801597587,26.467371,4,98.86392559646237,First,non,non,False,None
37, 20.14189959042959,20.14189959042959,22.522914801597587,27.470833,4,98.81362318747429,First,non,non,False,None
38, 20.085485821802095,20.085485821802095,22.522914801597587,28.47498,4,98.76320829905389,First,non,non,False,None
39, 20.086931774443592,20.086931774443592,22.522914801597587,29.479813,4,98.71266486271082,First,non,non,False,None
40, 20.15715132691991,20.15715132691991,22.522914801597587,30.485332,4,98.66200894693542,First,non,non,False,None
41, 20.139707917406128,20.139707917406128,22.522914801597587,31.491537,4,98.61124055172769,First,non,non,False,None
42, 20.169405802655092,20.169405802655092,22.522914801597587,32.49843,4,98.56035164284245,First,non,non,False,None
43, 20.059499278028426,20.059499278028426,22.522914801597587,33.50232,4,98.50997692564789,First,non,non,False,None
44, 20.109336461141844,20.109336461141844,22.522914801597587,34.506897,4,98.45948169477582,First,non,non,False,None
45, 20.083974364292516,20.083974364292516,22.522914801597587,35.508472,4,98.40950065559441,First,non,non,False,None
46, 20.06487184177429,20.06487184177429,22.522914801597587,36.510735,4,98.35939910273551,First,non,non,False,None
47, 20.077821810689024,20.077821810689024,22.522914801597587,37.513683,4,98.3091770361991,First,non,non,False,None
48, 20.146821379009467,20.146821379009467,22.522914801597587,38.51732,4,98.25884249023036,First,non,non,False,None
49, 20.08760447071525,20.08760447071525,22.522914801597587,39.52164,4,98.20838743058412,First,non,non,False,None
50, 20.147320277686845,20.147320277686845,22.522914801597587,40.526646,4,98.15782792575072,First,non,non,False,None
51, 20.114370976368697,20.114370976368697,22.522914801597587,41.532337,4,98.10713987299465,First,non,non,False,None
52, 20.145587306250675,20.145587306250675,22.522914801597587,42.538715,4,98.05633934080626,First,non,non,False,None
53, 20.13669703926424,20.13669703926424,22.522914801597587,43.54578,4,98.00542632918552,First,non,non,False,None
54, 20.085741905563914,20.085741905563914,22.522914801597587,44.549843,4,97.95501947501029,First,non,non,False,None
55, 20.123916552943747,20.123916552943747,22.522914801597587,45.554592,4,97.90449210715755,First,non,non,False,None
56, 20.07197518683234,20.07197518683234,22.522914801597587,46.556343,4,97.85447893099548,First,non,non,False,None
57, 20.1170014135242,20.1170014135242,22.522914801597587,47.558777,4,97.80435327540107,First,non,non,False,None
58, 20.051892444667878,20.051892444667878,22.522914801597587,48.561897,4,97.75410710612917,First,non,non,False,None
59, 20.058969806760608,20.058969806760608,22.522914801597587,49.56202,4,97.7043590600576,First,non,non,False,None
60, 20.167150722200816,20.167150722200816,22.522914801597587,50.562828,4,97.65450656879885,First,non,non,False,None
61, 20.04827906653709,20.04827906653709,22.522914801597587,51.564323,4,97.60453356386262,First,non,non,False,None
62, 20.132395489104496,20.132395489104496,22.522914801597587,52.5665,4,97.55444807949404,First,non,non,False,None
63, 20.131597118955874,20.131597118955874,22.522914801597587,53.569366,4,97.50424208144797,First,non,non,False,None
64, 20.118640145261907,20.118640145261907,22.522914801597587,54.572918,4,97.45392360396956,First,non,non,False,None
65, 20.099677304824652,20.099677304824652,22.522914801597587,55.577156,4,97.40349264705883,First,non,non,False,None
66, 20.044984137781967,20.044984137781967,22.522914801597587,56.578392,4,97.35355981334841,First,non,non,False,None
67, 20.111802811091366,20.111802811091366,22.522914801597587,57.580315,4,97.30351450020568,First,non,non,False,None
68, 20.125143508495384,20.125143508495384,22.522914801597587,58.582924,4,97.2533567076306,First,non,non,False,None
69, 20.06914563885705,20.06914563885705,22.522914801597587,59.58622,4,97.20307840137804,First,non,non,False,None
70, 20.08294506233983,20.08294506233983,22.522914801597587,60.5902,4,97.15268761569314,First,non,non,False,None
71, 20.06730797232521,20.06730797232521,22.522914801597587,61.59118,4,97.10280298745373,First,non,non,False,None
72, 20.12122177626884,20.12122177626884,22.522914801597587,62.592846,4,97.05280587978199,First,non,non,False,None
73, 20.141979162409058,20.141979162409058,22.522914801597587,63.5952,4,97.00268022418759,First,non,non,False,None
74, 20.0696878671829,20.0696878671829,22.522914801597587,64.598236,4,96.95245012340601,First,non,non,False,None
75, 20.091253552483387,20.091253552483387,22.522914801597587,65.60196,4,96.9021075431921,First,non,non,False,None
76, 20.170605634215974,20.170605634215974,22.522914801597587,66.60637,4,96.85163641505554,First,non,non,False,None
77, 20.07451893628606,20.07451893628606,22.522914801597587,67.60778,4,96.80167947860963,First,non,non,False,None
78, 20.147262274653016,20.147262274653016,22.522914801597587,68.60988,4,96.75161006273139,First,non,non,False,None
79, 20.055726228329576,20.055726228329576,22.522914801597587,69.61266,4,96.70142013317565,First,non,non,False,None
80, 20.067771418597722,20.067771418597722,22.522914801597587,70.616135,4,96.65110968994242,First,non,non,False,None
81, 20.134017746727316,20.134017746727316,22.522914801597587,71.620285,4,96.60068676727684,First,non,non,False,None
82, 20.10926496699571,20.10926496699571,22.522914801597587,72.62512,4,96.55015136517895,First,non,non,False,None
83, 20.08410154680479,20.08410154680479,22.522914801597587,73.62696,4,96.50012212052654,First,non,non,False,None
84, 20.1364635884837,20.1364635884837,22.522914801597587,74.629486,4,96.4499803964418,First,non,non,False,None
85, 20.10061859488936,20.10061859488936,22.522914801597587,75.6327,4,96.39971012443439,First,non,non,False,None
86, 20.11995970643808,20.11995970643808,22.522914801597587,76.6366,4,96.34933540723982,First,non,non,False,None
87, 20.121704020844128,20.121704020844128,22.522914801597587,77.64118,4,96.29884017636775,First,non,non,False,None
88, 20.074713351384844,20.074713351384844,22.522914801597587,78.64276,4,96.24885110294117,First,non,non,False,None
89, 20.091424561315144,20.091424561315144,22.522914801597587,79.64503,4,96.19874955008227,First,non,non,False,None
90, 20.108925664972254,20.108925664972254,22.522914801597587,80.64798,4,96.14852748354586,First,non,non,False,None
91, 20.059778197459586,20.059778197459586,22.522914801597587,81.65162,4,96.09819293757712,First,non,non,False,None
92, 20.11532568604877,20.11532568604877,22.522914801597587,82.655945,4,96.04774591217605,First,non,non,False,None
93, 20.10919634587279,20.10919634587279,22.522914801597587,83.66096,4,95.9971783730975,First,non,non,False,None
94, 20.12313538523705,20.12313538523705,22.522914801597587,84.66666,4,95.94649032034143,First,non,non,False,None
95, 20.04718374391709,20.04718374391709,22.522914801597587,85.66936,4,95.89631645927602,First,non,non,False,None
96, 20.096277869359547,20.096277869359547,22.522914801597587,86.672745,4,95.84603011877829,First,non,non,False,None
97, 20.051198928007572,20.051198928007572,22.522914801597587,87.67313,4,95.79624190148087,First,non,non,False,None
98, 20.165739168977908,20.165739168977908,22.522914801597587,88.674194,4,95.74634120475113,First,non,non,False,None
99, 20.165524027212932,20.165524027212932,22.522914801597587,89.67595,4,95.69632802858906,First,non,non,False,None
100, 20.15860576329795,20.15860576329795,22.522914801597587,90.67839,4,95.64619433874948,First,non,non,False,None
101, 20.154694530042597,20.154694530042597,22.522914801597587,91.68152,4,95.59594013523241,First,non,non,False,None
102, 20.088328701593113,20.088328701593113,22.522914801597587,92.68533,4,95.54558148652818,First,non,non,False,None
103, 20.051737572103526,20.051737572103526,22.522914801597587,93.68615,4,95.49572096102428,First,non,non,False,None
104, 20.09518274056051,20.09518274056051,22.522914801597587,94.68765,4,95.4457559903332,First,non,non,False,None
105, 20.078282740966998,20.078282740966998,22.522914801597587,95.689835,4,95.39566247171946,First,non,non,False,None
106, 20.142541861479472,20.142541861479472,22.522914801597587,96.6927,4,95.3454564736734,First,non,non,False,None
107, 20.144608585672813,20.144608585672813,22.522914801597587,97.69626,4,95.29513799619498,First,non,non,False,None
108, 20.118229136330193,20.118229136330193,22.522914801597587,98.7005,4,95.24469900503908,First,non,non,False,None
109, 20.103955561660058,20.103955561660058,22.522914801597587,99.70543,4,95.19414753445085,First,non,non,False,None
110, 20.138447051139167,20.138447051139167,22.522914801597587,100.711044,4,95.14347555018512,First,non,non,False,None
111, 20.132771577213035,20.132771577213035,22.522914801597587,101.71735,4,95.09269108648705,First,non,non,False,None
112, 20.050997469449413,20.050997469449413,22.522914801597587,102.72065,4,95.04241278023447,First,non,non,False,None
113, 20.171391486810464,20.171391486810464,22.522914801597587,103.72464,4,94.99202199454957,First,non,non,False,None
114, 20.05674008808071,20.05674008808071,22.522914801597587,104.725624,4,94.942129332065,First,non,non,False,None
115, 20.113412551427757,20.113412551427757,22.522914801597587,105.727295,4,94.89213222439325,First,non,non,False,None
116, 20.070537069453117,20.070537069453117,22.522914801597587,106.72965,4,94.84201460304402,First,non,non,False,None
117, 20.096334253145905,20.096334253145905,22.522914801597587,107.7327,4,94.79177646801728,First,non,non,False,None
118, 20.109267118588797,20.109267118588797,22.522914801597587,108.73643,4,94.74142585355821,First,non,non,False,None
119, 20.0681793088308,20.0681793088308,22.522914801597587,109.73716,4,94.6915894307898,First,non,non,False,None
120, 20.045958711320715,20.045958711320715,22.522914801597587,110.73858,4,94.64162446009873,First,non,non,False,None
121, 20.12457085400826,20.12457085400826,22.522914801597587,111.740685,4,94.59155504422048,First,non,non,False,None
