turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.019490208732954,19.24950981608938,20.679373266544502,0.060257196,5,99.99547101449276,First,SpeedUp,non,False,None
2, 20.05521997132478,19.28386535704306,20.679373266544502,0.18077159,5,99.99264039855073,First,SpeedUp,non,False,None
3, 20.024892780719313,19.254704596845492,20.679373266544502,0.36154318,5,99.99109366912526,First,SpeedUp,non,False,None
4, 20.04290596046872,19.272024961989153,20.679373266544502,0.60257196,5,99.99044667119566,First,SpeedUp,non,False,None
5, 20.005646984225546,19.236199023293793,20.679373266544502,0.90385795,5,99.99032535908385,First,SpeedUp,non,False,None
6, 19.94316539833739,19.17612057532441,20.679373266544502,1.2654011,5,99.9903152497412,First,SpeedUp,non,False,None
7, 19.971904740543955,19.20375455821534,20.679373266544502,1.6872015,5,99.99004229748965,First,SpeedUp,non,False,None
8, 19.978791115622904,19.21037607271433,20.679373266544502,2.169259,5,99.98910212862319,First,SpeedUp,non,False,None
9, 19.945255762749518,19.178130541105304,20.679373266544502,2.7115738,5,99.98710047877847,First,SpeedUp,non,False,None
10, 19.958016819230536,19.190400787721668,20.679373266544502,3.3141458,5,99.98366330227744,First,SpeedUp,non,False,None
11, 20.01494728864742,19.245141623699443,20.679373266544502,3.976975,5,99.97838622541408,First,SpeedUp,non,False,None
12, 20.06726852576049,19.29545050553893,20.679373266544502,4.7000613,5,99.97087498382506,First,SpeedUp,non,False,None
13, 20.008151089844453,19.23860681715813,20.679373266544502,5.483405,5,99.9607555318323,First,SpeedUp,non,False,None
14, 19.990612662576442,19.22174294478504,20.679373266544502,6.327006,5,99.94762349572981,First,SpeedUp,non,False,None
15, 20.004198962519023,19.23480669472983,20.679373266544502,7.2308636,5,99.93108461115425,First,SpeedUp,non,False,None
16, 19.956114763300075,19.188571887788534,20.679373266544502,8.194979,5,99.91074461374224,First,SpeedUp,non,False,None
17, 19.976657458757344,19.20832447957437,20.679373266544502,9.219351,5,99.88622945781574,First,SpeedUp,non,False,None
18, 19.953707098290035,19.18625682527888,20.679373266544502,10.240723,5,99.86192659808489,First,SpeedUp,non,False,None
19, 19.952837827558703,19.185420988037215,20.679373266544502,11.259095,5,99.8378360345497,First,SpeedUp,non,False,None
20, 19.994684928996552,19.22565858557361,20.679373266544502,12.274467,5,99.8139678765528,First,SpeedUp,non,False,None
21, 19.951425493458256,19.18406297447909,20.679373266544502,13.2868395,5,99.79031201475156,First,SpeedUp,non,False,None
22, 19.993981346416206,19.224982063861734,20.679373266544502,14.296212,5,99.76687855848861,First,SpeedUp,non,False,None
23, 20.062804123746567,19.291157811294774,20.679373266544502,15.302585,5,99.74364728907868,First,SpeedUp,non,False,None
24, 20.010164882475994,19.240543156226916,20.679373266544502,16.305958,5,99.72062831586439,First,SpeedUp,non,False,None
25, 20.015068347695934,19.245258026630705,20.679373266544502,17.30633,5,99.69782163884577,First,SpeedUp,non,False,None
26, 19.98345985218521,19.21486524248578,20.679373266544502,18.303701,5,99.67522725802279,First,SpeedUp,non,False,None
27, 20.05839499193363,19.286918261474643,20.679373266544502,19.30133,5,99.6526126585145,First,SpeedUp,non,False,None
28, 19.94894826438267,19.181681023444874,20.679373266544502,20.29596,5,99.63021035520187,First,SpeedUp,non,False,None
29, 20.023822980403764,19.253675942695928,20.679373266544502,21.290846,5,99.60778783320394,First,SpeedUp,non,False,None
30, 20.060087418845292,19.288545595043548,20.679373266544502,22.28599,5,99.58534509252071,First,SpeedUp,non,False,None
31, 20.03931675271813,19.268573800690508,20.679373266544502,23.281391,5,99.56289224249483,First,SpeedUp,non,False,None
32, 19.969847431387937,19.201776376334553,20.679373266544502,24.27705,5,99.540409064441,First,SpeedUp,non,False,None
33, 20.008247000081585,19.238699038539984,20.679373266544502,25.272966,5,99.51791577704452,First,SpeedUp,non,False,None
34, 19.992585508213644,19.223639911743888,20.679373266544502,26.269138,5,99.49540227096274,First,SpeedUp,non,False,None
35, 19.945582773772326,19.178444974781083,20.679373266544502,27.265568,5,99.47287865553831,First,SpeedUp,non,False,None
36, 19.95468946787938,19.18720141142248,20.679373266544502,28.262255,5,99.45032471208593,First,SpeedUp,non,False,None
37, 19.976317126156324,19.207997236688772,20.679373266544502,29.2592,5,99.42775054994824,First,SpeedUp,non,False,None
38, 20.041406977111052,19.27058363183755,20.679373266544502,30.256401,5,99.40517638781057,First,SpeedUp,non,False,None
39, 19.965812233226476,19.19789637810238,20.679373266544502,31.25386,5,99.38257189764494,First,SpeedUp,non,False,None
40, 19.998934253429404,19.229744474451348,20.679373266544502,32.251575,5,99.359947188794,First,SpeedUp,non,False,None
41, 20.015609308968873,19.24577818170084,20.679373266544502,33.24955,5,99.33731237060042,First,SpeedUp,non,False,None
42, 19.957907896572316,19.190296054396455,20.679373266544502,34.244522,5,99.31488984860249,First,SpeedUp,non,False,None
43, 20.04876380017639,19.277657500169603,20.679373266544502,35.239754,5,99.2924369985766,First,SpeedUp,non,False,None
44, 20.011191100472036,19.241529904300034,20.679373266544502,36.23524,5,99.26997403920808,First,SpeedUp,non,False,None
45, 20.034422864626986,19.26386813906441,20.679373266544502,37.230988,5,99.24749086115425,First,SpeedUp,non,False,None
46, 20.01604360066514,19.246195769870326,20.679373266544502,38.22699,5,99.22498746441512,First,SpeedUp,non,False,None
47, 19.9524769889734,19.185074027859038,20.679373266544502,39.223248,5,99.20247395833334,First,SpeedUp,non,False,None
48, 20.05809516569306,19.28662996701256,20.679373266544502,40.219765,5,99.1799301242236,First,SpeedUp,non,False,None
49, 19.9636371996832,19.195804999695383,20.679373266544502,41.216537,5,99.15738629011388,First,SpeedUp,non,False,None
50, 20.027836524233525,19.257535119455312,20.679373266544502,42.21357,5,99.13481212797619,First,SpeedUp,non,False,None
51, 19.95456361410026,19.187080398173325,20.679373266544502,43.210857,5,99.11222785649586,First,SpeedUp,non,False,None
52, 20.046012962443914,19.275012463888377,20.679373266544502,44.2084,5,99.08961325698759,First,SpeedUp,non,False,None
53, 20.047263763357442,19.276215157074464,20.679373266544502,45.206203,5,99.06698854813665,First,SpeedUp,non,False,None
54, 19.961969762599725,19.19420169480743,20.679373266544502,46.20426,5,99.04434362060042,First,SpeedUp,non,False,None
55, 20.029516764982684,19.259150735560272,20.679373266544502,47.20258,5,99.02167847437889,First,SpeedUp,non,False,None
56, 19.993899819598777,19.22490367269113,20.679373266544502,48.201153,5,98.9990032188147,First,SpeedUp,non,False,None
57, 20.014163949140805,19.244388412635388,20.679373266544502,49.199986,5,98.97629763522258,First,SpeedUp,non,False,None
58, 20.02915174272313,19.258799752618394,20.679373266544502,50.199074,5,98.95358194228778,First,SpeedUp,non,False,None
59, 19.964138101966697,19.19628663650644,20.679373266544502,51.195164,5,98.93107854554866,First,SpeedUp,non,False,None
60, 19.98980199492583,19.22096345665945,20.679373266544502,52.19151,5,98.90856503946688,First,SpeedUp,non,False,None
