turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.2378085097622,20.2378085097622,22.78599385093558,0,1,100,First,non,non,False,Late Start
2, 20.2378085097622,20.2378085097622,22.78599385093558,0,1,100,First,non,non,False,Late Start
3, 21.05044821073661,20.24081558724674,22.78599385093558,0.060451623,1,99.99556401161018,First,SpeedUp,non,False,Late Start
4, 21.11601393119799,20.303859549228836,22.78599385093558,0.18135487,1,99.99278531642193,First,SpeedUp,non,False,Late Start
5, 21.14762693230997,20.334256665682663,22.78599385093558,0.36270973,1,99.99127688189117,First,SpeedUp,non,False,Late Start
6, 21.073628330365953,20.263104163813416,22.78599385093558,0.6045162,1,99.9906516754738,First,SpeedUp,non,False,Late Start
7, 21.125099890226753,20.312596048294953,22.78599385093558,0.9067743,1,99.99054251244856,First,SpeedUp,non,False,Late Start
8, 21.161695471447068,20.347784107160642,22.78599385093558,1.269484,1,99.99053258853716,First,SpeedUp,non,False,Late Start
9, 21.14739416888226,20.33403285469448,22.78599385093558,1.6926454,1,99.99024479510696,First,SpeedUp,non,False,Late Start
10, 21.040337860333892,20.231094096474894,22.78599385093558,2.1762583,1,99.98930202352523,First,SpeedUp,non,False,Late Start
11, 21.07739348013796,20.266724500132653,22.78599385093558,2.7203228,1,99.98730731733652,First,SpeedUp,non,False,Late Start
12, 21.088356155350073,20.277265533990455,22.78599385093558,3.324839,1,99.98388356790814,First,SpeedUp,non,False,Late Start
13, 21.065163910021585,20.254965298097677,22.78599385093558,3.989807,1,99.97863381878462,First,SpeedUp,non,False,Late Start
14, 21.051804592036873,20.242119800035454,22.78599385093558,4.715226,1,99.97117103742188,First,SpeedUp,non,False,Late Start
15, 21.128200300968004,20.315577212469233,22.78599385093558,5.501097,1,99.96111811518723,First,SpeedUp,non,False,Late Start
16, 21.064862382028384,20.254675367334983,22.78599385093558,6.3474197,1,99.94807809562522,First,SpeedUp,non,False,Late Start
17, 21.090324407891988,20.279158084511526,22.78599385093558,7.2541943,1,99.93167387010314,First,SpeedUp,non,False,Late Start
18, 21.092371962142053,20.28112688667505,22.78599385093558,8.22142,1,99.91150848216554,First,SpeedUp,non,False,Late Start
19, 21.166805268445504,20.352697373505293,22.78599385093558,9.249098,1,99.88719489926832,First,SpeedUp,non,False,Late Start
20, 21.084836577709996,20.27388132472115,22.78599385093558,10.277227,1,99.86286146854835,First,SpeedUp,non,False,Late Start
21, 21.0761427095941,20.265521836148174,22.78599385093558,11.305808,1,99.83848834218281,First,SpeedUp,non,False,None
22, 21.109438626753395,20.297537141109032,22.78599385093558,12.334841,1,99.81408544408312,First,SpeedUp,non,False,None
23, 21.16584620754106,20.35177519955871,22.78599385093558,13.364325,1,99.78965277424928,First,SpeedUp,non,False,None
24, 21.042742730365084,20.23340647150489,22.78599385093558,14.39426,1,99.76518040876988,First,SpeedUp,non,False,None
25, 21.13099410413349,20.318263561666814,22.78599385093558,15.424647,1,99.74067827155632,First,SpeedUp,non,False,None
26, 21.13584527076559,20.322928144966912,22.78599385093558,16.455486,1,99.71614636260861,First,SpeedUp,non,False,None
27, 21.0583633571957,20.248426304995863,22.78599385093558,17.486776,1,99.69157475801535,First,SpeedUp,non,False,None
28, 21.096849030435894,20.285431760034513,22.78599385093558,18.518518,1,99.66697338168792,First,SpeedUp,non,False,None
29, 21.063142056978176,20.253021208632862,22.78599385093558,19.550713,1,99.64234223362634,First,SpeedUp,non,False,None
30, 21.104141719962715,20.29244396150261,22.78599385093558,20.583359,1,99.6176813138306,First,SpeedUp,non,False,None
31, 21.128383406777957,20.315753275748033,22.78599385093558,21.616455,1,99.59299062230069,First,SpeedUp,non,False,None
32, 21.127281384882377,20.314693639309976,22.78599385093558,22.650003,1,99.56825031121386,First,SpeedUp,non,False,None
33, 21.071128609515156,20.260700586072264,22.78599385093558,23.684004,1,99.54349015230426,First,SpeedUp,non,False,None
34, 21.08823871133284,20.277152607050805,22.78599385093558,24.718456,1,99.51870022166048,First,SpeedUp,non,False,None
35, 21.056002079881686,20.246155846040082,22.78599385093558,25.75336,1,99.49387059537116,First,SpeedUp,non,False,None
36, 21.085397777973764,20.274420940359388,22.78599385093558,26.788715,1,99.4690111973477,First,SpeedUp,non,False,None
37, 21.07135593165987,20.260919165057565,22.78599385093558,27.824522,1,99.44411210367868,First,SpeedUp,non,False,None
38, 21.16199022390992,20.34806752299031,22.78599385093558,28.86078,1,99.4191832382755,First,SpeedUp,non,False,None
39, 21.130742637781182,20.31802176709729,22.78599385093558,29.897491,1,99.39422460113815,First,SpeedUp,non,False,None
40, 21.042655699955063,20.233322788418327,22.78599385093558,30.934652,1,99.36923619226665,First,SpeedUp,non,False,None
41, 21.094289589192606,20.282970758839042,22.78599385093558,31.972265,1,99.34421801166098,First,SpeedUp,non,False,None
42, 21.156008797657233,20.342316151593494,22.78599385093558,33.01033,1,99.31916013540979,First,SpeedUp,non,False,None
43, 21.14831116614753,20.334914582834163,22.78599385093558,34.048847,1,99.29407248742442,First,SpeedUp,non,False,None
44, 21.161556603787812,20.347650580565205,22.78599385093558,35.087814,1,99.26893521988212,First,SpeedUp,non,False,None
45, 21.07863406822296,20.267917373291308,22.78599385093558,36.127235,1,99.24377810451705,First,SpeedUp,non,False,None
46, 21.083911694930546,20.272992014356294,22.78599385093558,37.167107,1,99.21859121741781,First,SpeedUp,non,False,None
47, 21.137266643843322,20.32429484984935,22.78599385093558,38.207428,1,99.19337455858442,First,SpeedUp,non,False,None
48, 21.084216476444503,20.27328507350433,22.78599385093558,39.248203,1,99.16811820410548,First,SpeedUp,non,False,None
49, 21.152744488638266,20.33917739292141,22.78599385093558,40.28943,1,99.14283207789238,First,SpeedUp,non,False,None
50, 21.10814490419709,20.296293177112585,22.78599385093558,41.33111,1,99.11750625603374,First,SpeedUp,non,False,None
51, 21.097279318311315,20.285845498376265,22.78599385093558,42.373238,1,99.09215066244093,First,SpeedUp,non,False,None
52, 21.116303514356325,20.304137994573388,22.78599385093558,43.415817,1,99.06676529711396,First,SpeedUp,non,False,None
53, 21.140334754964528,20.32724495669666,22.78599385093558,44.45885,1,99.04134023614145,First,SpeedUp,non,False,None
54, 21.157565855314807,20.343813322418082,22.78599385093558,45.502335,1,99.01588540343478,First,SpeedUp,non,False,None
55, 21.09547150861245,20.284107219819663,22.78599385093558,46.546272,1,98.99040079899395,First,SpeedUp,non,False,None
56, 21.053705054676502,20.243947167958176,22.78599385093558,47.59066,1,98.96487649890757,First,SpeedUp,non,False,None
57, 21.161664671080036,20.34775449142311,22.78599385093558,48.635498,1,98.93932242708703,First,SpeedUp,non,False,None
58, 21.06018873075126,20.25018147187621,22.78599385093558,49.68079,1,98.91373858353234,First,SpeedUp,non,False,None
59, 21.167167783997204,20.353045946151155,22.78599385093558,50.726532,1,98.88812496824349,First,SpeedUp,non,False,None
60, 21.129516470968372,20.31684276054651,22.78599385093558,51.772728,1,98.86247165730907,First,SpeedUp,non,False,None
61, 21.131093659337203,20.318359287824233,22.78599385093558,52.819374,1,98.83678857464052,First,SpeedUp,non,False,None
62, 21.122517359960533,20.310112846115896,22.78599385093558,53.86647,1,98.81105587241503,First,SpeedUp,non,False,None
63, 21.155434009860148,20.341763471019373,22.78599385093558,54.91402,1,98.78531324627814,First,SpeedUp,non,False,None
64, 21.148463215792997,20.335060784416342,22.78599385093558,55.96202,1,98.75952100058431,First,SpeedUp,non,False,None
65, 21.15077137250032,20.337280165865693,22.78599385093558,57.01047,1,98.73369898315634,First,SpeedUp,non,False,None
66, 21.15004132775674,20.336578199766095,22.78599385093558,58.059376,1,98.70784719399421,First,SpeedUp,non,False,None
67, 21.116484830938692,20.30431233744105,22.78599385093558,59.10873,1,98.68196563309792,First,SpeedUp,non,False,None
68, 21.129736788514048,20.31705460434043,22.78599385093558,60.15854,1,98.65604437655607,First,SpeedUp,non,False,None
69, 21.120837694127918,20.308497782815305,22.78599385093558,61.208797,1,98.63008342436868,First,SpeedUp,non,False,None
70, 21.089924958836992,20.27877399888172,22.78599385093558,62.259506,1,98.60410262435852,First,SpeedUp,non,False,None
