turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 21.077137429959013,20.266478298037512,22.707370785213953,0.060211547,2,99.99554764024933,First,SpeedUp,non,False,None
2, 21.06631737172709,20.256074395891435,22.707370785213953,0.18063465,2,99.99275497710215,First,SpeedUp,non,False,None
3, 21.05168259725122,20.24200249735694,22.707370785213953,0.3612693,2,99.99123441674087,First,SpeedUp,non,False,None
4, 21.091534296440454,20.28032143888505,22.707370785213953,0.6021155,2,99.99059836534792,First,SpeedUp,non,False,None
5, 21.059728383994877,20.249738830764304,22.707370785213953,0.9031732,2,99.99047910571174,First,SpeedUp,non,False,None
6, 21.048835022022505,20.23926444425241,22.707370785213953,1.2644424,2,99.99046916740872,First,SpeedUp,non,False,None
7, 21.08802077901936,20.276943056749385,22.707370785213953,1.6859233,2,99.99020083322732,First,SpeedUp,non,False,None
8, 21.00944582126407,20.201390212753914,22.707370785213953,2.1676157,2,99.98928650934995,First,SpeedUp,non,False,None
9, 21.036437454960204,20.227343706692505,22.707370785213953,2.7095196,2,99.98732866365602,First,SpeedUp,non,False,None
10, 20.972780939571017,20.166135518818283,22.707370785213953,3.311635,2,99.98395957893398,First,SpeedUp,non,False,None
11, 20.980427661325734,20.17348813589013,22.707370785213953,3.973962,2,99.97878172306322,First,SpeedUp,non,False,None
12, 21.092704956664754,20.28144707371611,22.707370785213953,4.696501,2,99.9714273788322,First,SpeedUp,non,False,None
13, 21.039737212134778,20.230516550129593,22.707370785213953,5.479251,2,99.96150895242336,First,SpeedUp,non,False,None
14, 21.05420961011442,20.24443231741771,22.707370785213953,6.3222127,2,99.94862891171606,First,SpeedUp,non,False,None
15, 21.018957856966175,20.210536400929012,22.707370785213953,7.2253857,2,99.93240960119577,First,SpeedUp,non,False,None
16, 21.014752254162186,20.206492552079023,22.707370785213953,8.18877,2,99.9124634270449,First,SpeedUp,non,False,None
17, 21.043830081308265,20.234452001257946,22.707370785213953,9.212366,2,99.88841273374888,First,SpeedUp,non,False,None
18, 21.037977742864992,20.2288247527548,22.707370785213953,10.296174,2,99.85986992749014,First,SpeedUp,non,False,None
19, 21.086759051054464,20.275729856783137,22.707370785213953,11.376982,2,99.83156564050375,First,SpeedUp,non,False,None
20, 21.00736636633818,20.199390736863634,22.707370785213953,12.45479,2,99.8034899344867,First,SpeedUp,non,False,None
21, 21.074616008320085,20.26405385415393,22.707370785213953,13.529598,2,99.775642809439,First,SpeedUp,non,False,None
22, 20.99490047398245,20.187404301906202,22.707370785213953,14.601406,2,99.74802426536064,First,SpeedUp,non,False,None
23, 21.072537870400023,20.262055644615405,22.707370785213953,15.670214,2,99.72063430225163,First,SpeedUp,non,False,None
24, 20.989084856178117,20.181812361709728,22.707370785213953,16.736021,2,99.69348285841495,First,SpeedUp,non,False,None
25, 21.08516035938606,20.274192653255824,22.707370785213953,17.798828,2,99.66655005724462,First,SpeedUp,non,False,None
