turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 19.466947526813065,19.466947526813065,21.02821326199903,0,8,100,First,non,non,False,Late Start
2, 20.824039629659328,19.47253125118728,21.02821326199903,0.033622388,7.95,99.9885709371379,First,non,InsideOvertaking,False,Late Start
3, 21.335507393391364,19.533446338848826,21.02821326199903,0.14326663,7.8999996,99.98105214770825,First,non,InsideOvertaking,False,Late Start
4, 20.630879089027296,19.52496659474789,21.02821326199903,0.3169738,7.8499994,99.97660751215076,First,non,InsideOvertaking,False,Late Start
5, 20.586493459336296,19.44537567292597,21.02821326199903,0.5527437,7.799999,99.97445120381099,First,non,InsideOvertaking,False,Late Start
6, 20.691185223599547,19.535196569754515,21.02821326199903,0.84983224,7.749999,99.97375967635509,First,non,InsideOvertaking,False,Late Start
7, 19.798123238939038,19.504350812492113,21.02821326199903,1.207878,7.699999,99.97372195667567,First,non,InsideOvertaking,False,Late Start
8, 20.017942875031853,19.535205409386986,21.02821326199903,1.6266772,7.6499987,99.97352707166537,First,non,InsideOvertaking,False,Late Start
9, 20.52175296692799,19.497023922129433,21.02821326199903,2.1061037,7.5999985,99.97236404821682,First,non,InsideOvertaking,False,Late Start
10, 20.654189368985623,19.55510152435156,21.02821326199903,2.6460738,7.5499983,99.9694219132226,First,non,InsideOvertaking,False,Late Start
11, 20.442731369169103,19.503811753713713,21.02821326199903,3.246529,7.499998,99.96388969357538,First,non,InsideOvertaking,False,Late Start
12, 20.931448246891957,19.441473741955686,21.02821326199903,3.907427,7.449998,99.95495012955452,First,non,InsideOvertaking,False,Late Start
13, 21.51659777797574,19.56013035356043,21.02821326199903,4.6287365,7.3999977,99.94179853466589,First,non,InsideOvertaking,False,Late Start
14, 20.02766573712784,19.505547911333554,21.02821326199903,5.4104323,7.3499975,99.92361764918887,First,non,InsideOvertaking,False,Late Start
15, 20.844813761375708,19.50588277638607,21.02821326199903,6.252496,7.2999973,99.89960907324256,First,non,InsideOvertaking,False,Late Start
16, 19.791410951802792,19.549232665269855,21.02821326199903,7.154912,7.249997,99.86894297387987,First,non,InsideOvertaking,False,Late Start
17, 21.432185758735848,19.554290620940595,21.02821326199903,8.117668,7.199997,99.8308209512199,First,non,InsideOvertaking,False,Late Start
18, 21.111725057468462,19.45320855910908,21.02821326199903,9.140754,7.1499968,99.78441317231557,First,non,InsideOvertaking,False,Late Start
