turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.7343474176294,19.936872516951347,21.45689381223656,0.060257196,6,99.99315716321452,First,SpeedUp,non,False,None
2, 20.724117140242594,19.927035711771726,21.45689381223656,0.18077159,6,99.98866008349391,First,SpeedUp,non,False,None
3, 20.77996914748169,19.98073956488624,21.45689381223656,0.36154318,6,99.98600072254337,First,SpeedUp,non,False,None
4, 20.698201426416716,19.902116756169917,21.45689381223656,0.60257196,6,99.98470867453437,First,SpeedUp,non,False,None
5, 20.69752300755444,19.90146443034081,21.45689381223656,0.90385795,6,99.98430098948299,First,SpeedUp,non,False,None
6, 20.669402667734982,19.874425642052866,21.45689381223656,1.2654011,6,99.98426962909441,First,SpeedUp,non,False,None
7, 20.696175199294235,19.90016846085984,21.45689381223656,1.6872015,6,99.98415045961787,First,SpeedUp,non,False,None
8, 20.728891130234686,19.93162608676412,21.45689381223656,2.169259,6,99.98345425899166,First,SpeedUp,non,False,None
9, 20.72119258954417,19.92422364379247,21.45689381223656,2.7115738,6,99.98169180515416,First,SpeedUp,non,False,None
10, 20.728988055598162,19.931719284229,21.45689381223656,3.3141458,6,99.97838014812139,First,SpeedUp,non,False,None
11, 20.75702592297434,19.95867877209071,21.45689381223656,3.976975,6,99.97303006583174,First,SpeedUp,non,False,None
12, 20.767201200632577,19.96846269291594,21.45689381223656,4.7000613,6,99.9651460641458,First,SpeedUp,non,False,None
13, 20.67087348474804,19.875839889180806,21.45689381223656,5.483405,6,99.9542702813905,First,SpeedUp,non,False,None
14, 20.72281643688096,19.92578503546246,21.45689381223656,6.327006,6,99.93989467927103,First,SpeedUp,non,False,None
15, 20.70557166685258,19.909203525819787,21.45689381223656,7.2308636,6,99.92153003572577,First,SpeedUp,non,False,None
16, 20.70347400101309,19.907186539435664,21.45689381223656,8.194979,6,99.89870594492615,First,SpeedUp,non,False,None
17, 20.66476525682686,19.86996659310275,21.45689381223656,9.219351,6,99.87092064065511,First,SpeedUp,non,False,None
18, 20.711000080827763,19.91442315464208,21.45689381223656,10.30398,6,99.83770998916185,First,SpeedUp,non,False,None
19, 20.772851438069473,19.973895613528338,21.45689381223656,11.38561,6,99.80476903701029,First,SpeedUp,non,False,None
20, 20.753028288976797,19.954834893246918,21.45689381223656,12.464239,6,99.77211660043353,First,SpeedUp,non,False,None
21, 20.791391024467863,19.991722138911406,21.45689381223656,13.539868,6,99.73974640735389,First,SpeedUp,non,False,None
22, 20.72696715086474,19.929776106600713,21.45689381223656,14.612498,6,99.70765218569365,First,SpeedUp,non,False,None
23, 20.78075603498521,19.981496187485778,21.45689381223656,15.682128,6,99.67582766337509,First,SpeedUp,non,False,None
24, 20.708328174604375,19.911854014042667,21.45689381223656,16.748758,6,99.64429165663135,First,SpeedUp,non,False,None
25, 20.67780076457685,19.882500735170048,21.45689381223656,17.812387,6,99.61301907715158,First,SpeedUp,non,False,None
26, 20.771155351543534,19.972264761099552,21.45689381223656,18.873016,6,99.58203501324664,First,SpeedUp,non,False,None
