turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 19.33974336704842,19.33974336704842,21.679165828989063,0,3,100.00000366211509,First,non,non,False,Late Start
2, 19.424533340016595,19.424533340016595,21.679165828989063,0.06069013,3,99.98893797099683,First,non,non,False,Late Start
3, 19.361744750843304,19.361744750843304,21.679165828989063,0.18207039,3,99.9816808795795,First,non,non,False,Late Start
4, 19.3464236607622,19.3464236607622,21.679165828989063,0.36414078,3,99.97743282606692,First,non,non,False,Late Start
5, 19.430046909613196,19.430046909613196,21.679165828989063,0.6069013,3,99.97538814513773,First,non,non,False,Late Start
6, 19.416556938548037,19.416556938548037,21.679165828989063,0.91035193,3,99.9747533785209,First,non,non,False,Late Start
7, 19.427517722320193,19.427517722320193,21.679165828989063,1.2744927,3,99.97472286089508,First,non,non,False,Late Start
8, 19.329215638215373,19.329215638215373,21.679165828989063,1.6993237,3,99.97450313398927,First,non,non,False,Late Start
9, 19.308314630320712,19.308314630320712,21.679165828989063,2.1848447,3,99.97328853248207,First,non,non,False,Late Start
10, 19.40061851335356,19.40061851335356,21.679165828989063,2.731056,3,99.97029780515281,First,non,non,False,Late Start
11, 19.369614374019672,19.369614374019672,21.679165828989063,3.3379574,3,99.96470697610465,First,non,non,False,Late Start
12, 19.390351963411863,19.390351963411863,21.679165828989063,4.005549,3,99.95573479411686,First,non,non,False,Late Start
13, 19.416021116490235,19.416021116490235,21.679165828989063,4.7338305,3,99.94257559386811,First,non,non,False,Late Start
14, 19.314193205356617,19.314193205356617,21.679165828989063,5.5228024,3,99.92442371003705,First,non,non,False,Late Start
15, 19.373489779055507,19.373489779055507,21.679165828989063,6.372464,3,99.90048568435263,First,non,non,False,Late Start
16, 19.4120995422926,19.4120995422926,21.679165828989063,7.282816,3,99.86996805854383,First,non,non,False,Late Start
17, 19.381671778381847,19.381671778381847,21.679165828989063,8.253858,3,99.83207127081448,First,non,non,False,Late Start
18, 19.392055192100372,19.392055192100372,21.679165828989063,9.2219,3,99.79454069459483,First,non,non,False,Late Start
19, 19.414211261477572,19.414211261477572,21.679165828989063,10.190632,3,99.7569429795984,First,non,non,False,Late Start
20, 19.418486043912047,19.418486043912047,21.679165828989063,11.160054,3,99.71924150467422,First,non,non,False,Late Start
21, 19.407079603707455,19.407079603707455,21.679165828989063,12.130167,3,99.68145458039778,First,non,non,False,None
22, 19.408297464482814,19.408297464482814,21.679165828989063,13.100969,3,99.6435761032439,First,non,non,False,None
23, 19.36973787495875,19.36973787495875,21.679165828989063,14.068772,3,99.60608825170038,First,non,non,False,None
24, 19.356798482709348,19.356798482709348,21.679165828989063,15.037265,3,99.56851495080461,First,non,non,False,None
25, 19.39380403149867,19.39380403149867,21.679165828989063,16.006447,3,99.53084399350624,First,non,non,False,None
26, 19.315534785544525,19.315534785544525,21.679165828989063,16.97263,3,99.49356366181821,First,non,non,False,None
27, 19.37757861851969,19.37757861851969,21.679165828989063,17.939503,3,99.45619177725277,First,non,non,False,None
28, 19.407739272963216,19.407739272963216,21.679165828989063,18.907066,3,99.4187283398099,First,non,non,False,None
29, 19.397577290443873,19.397577290443873,21.679165828989063,19.87532,3,99.38118555653993,First,non,non,False,None
30, 19.369812953710944,19.369812953710944,21.679165828989063,20.844263,3,99.34353901334221,First,non,non,False,None
31, 19.419520402819806,19.419520402819806,21.679165828989063,21.813896,3,99.3058253313677,First,non,non,False,None
32, 19.4151454267091,19.4151454267091,21.679165828989063,22.78422,3,99.26800788946545,First,non,non,False,None
33, 19.342151271797988,19.342151271797988,21.679165828989063,23.751543,3,99.23057496964839,First,non,non,False,None
34, 19.372690364591325,19.372690364591325,21.679165828989063,24.719557,3,99.19306270400422,First,non,non,False,None
35, 19.358740037984006,19.358740037984006,21.679165828989063,25.68457,3,99.15592275339492,First,non,non,False,None
36, 19.37517190487371,19.37517190487371,21.679165828989063,26.650274,3,99.11870345695853,First,non,non,False,None
37, 19.39319433965777,19.39319433965777,21.679165828989063,27.616669,3,99.08138650411954,First,non,non,False,None
38, 19.379379081272138,19.379379081272138,21.679165828989063,28.583754,3,99.04399020545344,First,non,non,False,None
39, 19.369279925556807,19.369279925556807,21.679165828989063,29.551527,3,99.00650235390992,First,non,non,False,None
40, 19.386614411931557,19.386614411931557,21.679165828989063,30.51999,3,98.96892905301414,First,non,non,False,None
41, 19.324317863539886,19.324317863539886,21.679165828989063,31.485455,3,98.93173417067838,First,non,non,False,None
42, 19.350642604788508,19.350642604788508,21.679165828989063,32.45161,3,98.89445383899037,First,non,non,False,None
43, 19.316007688823593,19.316007688823593,21.679165828989063,33.414764,3,98.85755802938755,First,non,non,False,None
44, 19.41985445824719,19.41985445824719,21.679165828989063,34.37861,3,98.82056456338212,First,non,non,False,None
45, 19.407115061674386,19.407115061674386,21.679165828989063,35.343143,3,98.7834917515496,First,non,non,False,None
46, 19.370727394986208,19.370727394986208,21.679165828989063,36.30837,3,98.74632738683967,First,non,non,False,None
47, 19.320212390761412,19.320212390761412,21.679165828989063,37.274284,3,98.70907757277746,First,non,non,False,None
48, 19.311551204989712,19.311551204989712,21.679165828989063,38.237198,3,98.67221228080044,First,non,non,False,None
49, 19.390878609816983,19.390878609816983,21.679165828989063,39.2008,3,98.635255435946,First,non,non,False,None
50, 19.419182800006674,19.419182800006674,21.679165828989063,40.165096,3,98.59820703821411,First,non,non,False,None
51, 19.428576246874528,19.428576246874528,21.679165828989063,41.13008,3,98.56107929465514,First,non,non,False,None
52, 19.351758443592217,19.351758443592217,21.679165828989063,42.095757,3,98.52385389469359,First,non,non,False,None
53, 19.42663542982557,19.42663542982557,21.679165828989063,43.062122,3,98.48654914890491,First,non,non,False,None
