turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.496735607240318,20.496735607240318,22.075651226732795,0.060221132,6,99.97392397202175,First,non,non,False,None
2, 21.105398982217025,20.508682460471714,22.075651226732795,0.16979457,5.95,99.95564235176109,First,non,InsideOvertaking,False,None
3, 20.80587207082301,20.531830926175218,22.075651226732795,0.3434012,5.8999996,99.94378769926756,First,non,InsideOvertaking,False,None
4, 21.986823757907597,20.516451295713498,22.075651226732795,0.5790394,5.8499994,99.93696101828414,First,non,InsideOvertaking,False,None
5, 22.057051898989123,20.411066139419923,22.075651226732795,0.87596464,5.799999,99.9337948688604,First,non,InsideOvertaking,False,None
6, 22.383742814912438,20.417153074426494,22.075651226732795,1.2338152,5.749999,99.93289025473933,First,non,InsideOvertaking,False,None
7, 22.464367959387364,20.472752466511622,22.075651226732795,1.6523874,5.699999,99.93287973597049,First,non,InsideOvertaking,False,None
8, 22.02443509386467,20.50574350732074,22.075651226732795,2.1315548,5.6499987,99.9323748350657,First,non,InsideOvertaking,False,None
9, 21.285495618632744,20.522994031943558,22.075651226732795,2.6712337,5.5999985,99.92997655576798,First,non,InsideOvertaking,False,None
10, 21.234763228844393,20.426769306885365,22.075651226732795,3.2713656,5.5499983,99.92431745812688,First,non,InsideOvertaking,False,None
11, 21.071946027431864,20.532181856498372,22.075651226732795,3.9319084,5.499998,99.91400906465424,First,non,InsideOvertaking,False,None
12, 22.670388361326378,20.491770628445938,22.075651226732795,4.65283,5.449998,99.89767341663075,First,non,InsideOvertaking,False,None
13, 21.20267459702996,20.43345662577351,22.075651226732795,5.4341063,5.3999977,99.87392203656829,First,non,InsideOvertaking,False,None
14, 20.730637914652537,20.50983776558623,22.075651226732795,6.275718,5.3499975,99.84137696574751,First,non,InsideOvertaking,False,None
15, 21.98965415787611,20.426357047522373,22.075651226732795,7.1776505,5.2999973,99.79863920791146,First,non,InsideOvertaking,False,None
16, 20.773777944174803,20.536282462882554,22.075651226732795,8.139891,5.249997,99.7443518418785,First,non,InsideOvertaking,False,None
17, 20.798689325058202,20.531633469446305,22.075651226732795,9.162428,5.199997,99.67710535262279,First,non,InsideOvertaking,False,None
18, 22.361475909980786,20.533855062290936,22.075651226732795,10.2452545,5.1499968,99.59552178142503,First,non,InsideOvertaking,False,None
19, 22.77166499742867,20.5330539869831,22.075651226732795,11.388363,5.0999966,99.49823368833476,First,non,InsideOvertaking,False,None
20, 20.4520282164195,20.4520282164195,22.075651226732795,12.529564,5.0999966,99.40175554044592,First,non,non,False,None
21, 20.51314017366941,20.51314017366941,22.075651226732795,13.667766,5.0999966,99.30608733775851,First,non,non,False,None
22, 20.472207523171946,20.472207523171946,22.075651226732795,14.802967,5.0999966,99.2112290802725,First,non,non,False,None
23, 20.515137759634122,20.515137759634122,22.075651226732795,15.935168,5.0999966,99.11718076798793,First,non,non,False,None
24, 20.498350430739844,20.498350430739844,22.075651226732795,17.06437,5.0999966,99.02393188213593,First,non,non,False,None
25, 20.4696960882216,20.4696960882216,22.075651226732795,18.19057,5.0999966,98.9314824227165,First,non,non,False,None
26, 20.420344042732836,20.420344042732836,22.075651226732795,19.313772,5.0999966,98.83982187096079,First,non,non,False,None
27, 20.48697245387405,20.48697245387405,22.075651226732795,20.433973,5.0999966,98.74896074563765,First,non,non,False,None
28, 20.484038613197722,20.484038613197722,22.075651226732795,21.551174,5.0999966,98.65888852797823,First,non,non,False,None
29, 20.410099005359655,20.410099005359655,22.075651226732795,22.665375,5.0999966,98.5695946992137,First,non,non,False,None
30, 20.50155196179352,20.50155196179352,22.075651226732795,23.776577,5.0999966,98.48107925934403,First,non,non,False,None
31, 20.453028802888852,20.453028802888852,22.075651226732795,24.884779,5.0999966,98.39334220836923,First,non,non,False,None
32, 20.464639696006092,20.464639696006092,22.075651226732795,25.98998,5.0999966,98.30639406505816,First,non,non,False,None
33, 20.532184879714567,20.532184879714567,22.075651226732795,27.092182,5.0999966,98.22020327310426,First,non,non,False,None
34, 20.525617801158685,20.525617801158685,22.075651226732795,28.191383,5.0999966,98.13478035127639,First,non,non,False,None
35, 20.522617539861173,20.522617539861173,22.075651226732795,29.287584,5.0999966,98.05012529957453,First,non,non,False,None
36, 20.47076491686025,20.47076491686025,22.075651226732795,30.380785,5.0999966,97.9662381179987,First,non,non,False,None
37, 20.52814162727673,20.52814162727673,22.075651226732795,31.470987,5.0999966,97.8830977690112,First,non,non,False,None
38, 20.505726181251646,20.505726181251646,22.075651226732795,32.55819,5.0999966,97.80071477138087,First,non,non,False,None
39, 20.42227771941942,20.42227771941942,22.075651226732795,33.64239,5.0999966,97.71907860633885,First,non,non,False,None
40, 20.505457509167197,20.505457509167197,22.075651226732795,34.723595,5.0999966,97.63819979265402,First,non,non,False,None
41, 20.53104388225634,20.53104388225634,22.075651226732795,35.801796,5.0999966,97.55805729278866,First,non,non,False,None
42, 20.45432714987856,20.45432714987856,22.075651226732795,36.877,5.0999966,97.47865110674277,First,non,non,False,None
43, 20.508056691406487,20.508056691406487,22.075651226732795,37.9492,5.0999966,97.39999175328522,First,non,non,False,None
44, 20.517576926711794,20.517576926711794,22.075651226732795,39.018402,5.0999966,97.32204767610943,First,non,non,False,None
45, 20.47800614685267,20.47800614685267,22.075651226732795,40.084602,5.0999966,97.24485043152197,First,non,non,False,None
46, 20.446968982585876,20.446968982585876,22.075651226732795,41.147804,5.0999966,97.16837898198513,First,non,non,False,None
47, 20.47711769474807,20.47711769474807,22.075651226732795,42.208004,5.0999966,97.09261228996122,First,non,non,False,None
48, 20.50355605430581,20.50355605430581,22.075651226732795,43.265205,5.0999966,97.01759243052564,First,non,non,False,None
49, 20.414334948234984,20.414334948234984,22.075651226732795,44.31941,5.0999966,96.94326680983411,First,non,non,False,None
50, 20.525855316813658,20.525855316813658,22.075651226732795,45.37061,5.0999966,96.86965646542438,First,non,non,False,None
51, 20.53212761166961,20.53212761166961,22.075651226732795,46.41881,5.0999966,96.79677191606527,First,non,non,False,None
52, 20.46985094993597,20.46985094993597,22.075651226732795,47.464012,5.0999966,96.72457108668138,First,non,non,False,None
53, 20.426108679633113,20.426108679633113,22.075651226732795,48.506214,5.0999966,96.65308553357927,First,non,non,False,None
54, 20.520271460813934,20.520271460813934,22.075651226732795,49.545414,5.0999966,96.58230473799009,First,non,non,False,None
55, 20.5046382860714,20.5046382860714,22.075651226732795,50.581615,5.0999966,96.51220766237613,First,non,non,False,None
56, 20.49572000996558,20.49572000996558,22.075651226732795,51.61482,5.0999966,96.44280482550624,First,non,non,False,None
57, 20.415610034109573,20.415610034109573,22.075651226732795,52.64502,5.0999966,96.37409622738043,First,non,non,False,None
58, 20.492751901549262,20.492751901549262,22.075651226732795,53.672222,5.0999966,96.30607134922985,First,non,non,False,None
59, 20.524706972718032,20.524706972718032,22.075651226732795,54.696423,5.0999966,96.23871967228565,First,non,non,False,None
60, 20.524172207556663,20.524172207556663,22.075651226732795,55.720844,5.0999966,96.17132592026604,First,non,non,False,None
61, 20.507695744974033,20.507695744974033,22.075651226732795,56.745487,5.0999966,96.1038795744022,First,non,non,False,None
62, 20.48257736797269,20.48257736797269,22.075651226732795,57.76713,5.0999966,96.03710642974472,First,non,non,False,None
63, 20.41162668976309,20.41162668976309,22.075651226732795,58.785774,5.0999966,95.97101700506246,First,non,non,False,None
64, 20.514063063422995,20.514063063422995,22.075651226732795,59.804638,5.0999966,95.90487498653597,First,non,non,False,None
65, 20.484407788736238,20.484407788736238,22.075651226732795,60.823723,5.0999966,95.83869089293408,First,non,non,False,None
66, 20.472555258132942,20.472555258132942,22.075651226732795,61.84303,5.0999966,95.77244368671909,First,non,non,False,None
67, 20.407080487939,20.407080487939,22.075651226732795,62.862556,5.0999966,95.70615440542869,First,non,non,False,None
68, 20.43678847091931,20.43678847091931,22.075651226732795,63.882305,5.0999966,95.6398230490629,First,non,non,False,None
69, 20.44137085660443,20.44137085660443,22.075651226732795,64.902275,5.0999966,95.57342858008401,First,non,non,False,None
70, 20.41412542621562,20.41412542621562,22.075651226732795,65.92247,5.0999966,95.50698151726087,First,non,non,False,None
71, 20.43594930747229,20.43594930747229,22.075651226732795,66.94289,5.0999966,95.44049237936234,First,non,non,False,None
72, 20.42407872521785,20.42407872521785,22.075651226732795,67.963524,5.0999966,95.37396116638841,First,non,non,False,None
73, 20.523917057810976,20.523917057810976,22.075651226732795,68.98438,5.0999966,95.30736684080138,First,non,non,False,None
74, 20.428995530503677,20.428995530503677,22.075651226732795,70.00546,5.0999966,95.24073044013895,First,non,non,False,None
75, 20.434993687221986,20.434993687221986,22.075651226732795,71.02676,5.0999966,95.17404144563227,First,non,non,False,None
76, 20.454947039085766,20.454947039085766,22.075651226732795,72.04827,5.0999966,95.10729985728135,First,non,non,False,None
77, 20.415817124574417,20.415817124574417,22.075651226732795,73.06679,5.0999966,95.0412314701368,First,non,non,False,None
78, 20.51810598871316,20.51810598871316,22.075651226732795,74.085526,5.0999966,94.97512100791684,First,non,non,False,None
79, 20.54014794598668,20.54014794598668,22.075651226732795,75.104485,5.0999966,94.90895795185264,First,non,non,False,None
80, 20.412626607118618,20.412626607118618,22.075651226732795,76.123665,5.0999966,94.84275282071305,First,non,non,False,None
81, 20.51041427806614,20.51041427806614,22.075651226732795,77.14307,5.0999966,94.77648457696036,First,non,non,False,None
82, 20.483357796960817,20.483357796960817,22.075651226732795,78.16269,5.0999966,94.71017425813227,First,non,non,False,None
83, 20.491633013193862,20.491633013193862,22.075651226732795,79.18253,5.0999966,94.64381134545992,First,non,non,False,None
84, 20.488513768275926,20.488513768275926,22.075651226732795,80.2026,5.0999966,94.57739583894335,First,non,non,False,None
85, 20.534210372845997,20.534210372845997,22.075651226732795,81.222885,5.0999966,94.51093825735136,First,non,non,False,None
86, 20.492848121653022,20.492848121653022,22.075651226732795,82.24339,5.0999966,94.44442808191512,First,non,non,False,None
87, 20.447507629171255,20.447507629171255,22.075651226732795,83.26412,5.0999966,94.37786531263464,First,non,non,False,None
88, 20.478238793625415,20.478238793625415,22.075651226732795,84.28507,5.0999966,94.31126046827876,First,non,non,False,None
89, 20.414490144100576,20.414490144100576,22.075651226732795,85.303024,5.0999966,94.2453183063604,First,non,non,False,None
90, 20.47143245306942,20.47143245306942,22.075651226732795,86.3212,5.0999966,94.1793235505978,First,non,non,False,None
91, 20.499572204613553,20.499572204613553,22.075651226732795,87.33959,5.0999966,94.11329723852865,First,non,non,False,None
92, 20.45845182637047,20.45845182637047,22.075651226732795,88.35821,5.0999966,94.0472078138464,First,non,non,False,None
93, 20.49739732128317,20.49739732128317,22.075651226732795,89.377045,5.0999966,93.98107631408875,First,non,non,False,None
94, 20.478353520736945,20.478353520736945,22.075651226732795,90.3961,5.0999966,93.91489222048686,First,non,non,False,None
95, 20.49648764483988,20.49648764483988,22.075651226732795,91.41538,5.0999966,93.84866605180956,First,non,non,False,None
96, 20.529414969394224,20.529414969394224,22.075651226732795,92.43488,5.0999966,93.78237677051916,First,non,non,False,None
97, 20.473446780059856,20.473446780059856,22.075651226732795,93.454605,5.0999966,93.71604541415338,First,non,non,False,None
98, 20.528682206152833,20.528682206152833,22.075651226732795,94.47455,5.0999966,93.64966146394335,First,non,non,False,None
99, 20.408766578761856,20.408766578761856,22.075651226732795,95.49471,5.0999966,93.58322491988905,First,non,non,False,None
100, 20.47117742110107,20.47117742110107,22.075651226732795,96.5151,5.0999966,93.51673578199052,First,non,non,False,None
101, 20.507156413454453,20.507156413454453,22.075651226732795,97.535706,5.0999966,93.45020456901658,First,non,non,False,None
102, 22.298791096690028,20.532987243787446,22.075651226732795,98.555305,5.0499964,93.3836207621984,First,non,InsideOvertaking,False,None
103, 22.616738785792265,20.440366378656442,22.075651226732795,99.57513,4.999996,93.31699488030482,First,non,InsideOvertaking,False,None
104, 21.35991306674134,20.429373987854056,22.075651226732795,100.59517,4.949996,93.25030588579814,First,non,InsideOvertaking,False,None
105, 21.595810994048662,20.484663516045668,22.075651226732795,101.61543,4.899996,93.18357481621607,First,non,InsideOvertaking,False,None
106, 21.932246145661328,20.428176765261966,22.075651226732795,102.63592,4.8499956,93.11679115278974,First,non,InsideOvertaking,False,None
107, 21.23533904899087,20.513404774356047,22.075651226732795,103.656624,4.7999954,93.04996541428802,First,non,InsideOvertaking,False,None
108, 21.99118024138432,20.412132366840563,22.075651226732795,104.67755,4.749995,92.9830765631732,First,non,InsideOvertaking,False,None
109, 22.40066281291383,20.521999408831697,22.075651226732795,105.6987,4.699995,92.91614563698298,First,non,InsideOvertaking,False,None
110, 22.546373162589706,20.4398842593234,22.075651226732795,106.72007,4.649995,92.8491621169485,First,non,InsideOvertaking,False,None
111, 21.46447801554844,20.50364427085514,22.075651226732795,107.74166,4.5999947,92.78213652183864,First,non,InsideOvertaking,False,None
112, 21.014872154657333,20.502878508034712,22.075651226732795,108.76347,4.5499945,92.71504781411568,First,non,InsideOvertaking,False,None
