turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.464807595186677,20.464807595186677,22.143881393402026,0.060221132,5,99.97392397202175,First,non,non,False,None
2, 20.463109674833664,20.463109674833664,22.143881393402026,0.18066339,5,99.95564235176109,First,non,non,False,None
3, 20.44974737274217,20.44974737274217,22.143881393402026,0.36132678,5,99.94378769926756,First,non,non,False,None
4, 20.49324004819472,20.49324004819472,22.143881393402026,0.6022113,5,99.93696101828414,First,non,non,False,None
5, 20.406988509701772,20.406988509701772,22.143881393402026,0.903317,5,99.9337948688604,First,non,non,False,None
6, 20.51242578127548,20.51242578127548,22.143881393402026,1.2646438,5,99.93289025473933,First,non,non,False,None
7, 20.41387197363097,20.41387197363097,22.143881393402026,1.6861917,5,99.93287973597049,First,non,non,False,None
8, 20.4660948169448,20.4660948169448,22.143881393402026,2.1679606,5,99.9323748350657,First,non,non,False,None
9, 20.460965072579498,20.460965072579498,22.143881393402026,2.709951,5,99.92997655576798,First,non,non,False,None
10, 20.417053928247746,20.417053928247746,22.143881393402026,3.3121622,5,99.92431745812688,First,non,non,False,None
11, 20.470528902094856,20.470528902094856,22.143881393402026,3.9745946,5,99.91400906465424,First,non,non,False,None
12, 20.469254071275994,20.469254071275994,22.143881393402026,4.697248,5,99.89767341663075,First,non,non,False,None
13, 20.507948576073595,20.507948576073595,22.143881393402026,5.4801226,5,99.87392203656829,First,non,non,False,None
14, 20.41293436677681,20.41293436677681,22.143881393402026,6.3232183,5,99.84137696574751,First,non,non,False,None
15, 20.425791591290697,20.425791591290697,22.143881393402026,7.2265353,5,99.79863920791146,First,non,non,False,None
16, 20.467026232658057,20.467026232658057,22.143881393402026,8.190073,5,99.7443518418785,First,non,non,False,None
17, 20.426970283202003,20.426970283202003,22.143881393402026,9.213832,5,99.67710535262279,First,non,non,False,None
18, 20.53580793643616,20.53580793643616,22.143881393402026,10.297812,5,99.59552178142503,First,non,non,False,None
19, 20.406703500673935,20.406703500673935,22.143881393402026,11.378793,5,99.51469556158445,First,non,non,False,None
20, 21.451514477841137,20.43437469681854,22.143881393402026,12.455613,4.95,99.43460565556333,First,non,InsideOvertaking,False,None
