turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.64660005736016,20.64660005736016,23.316939138411684,0,1,100,First,non,non,False,Late Start
2, 20.70255876868049,20.70255876868049,23.316939138411684,0.06063159,1,99.97429770611703,First,non,non,False,Late Start
3, 20.732995739753115,20.732995739753115,23.316939138411684,0.18189478,1,99.95634557845744,First,non,non,False,Late Start
4, 20.626338618579314,20.626338618579314,23.316939138411684,0.36378956,1,99.94474110704788,First,non,non,False,Late Start
5, 20.73032805958353,20.73032805958353,23.316939138411684,0.6063159,1,99.93812333776596,First,non,non,False,Late Start
6, 20.677180288145603,20.677180288145603,23.316939138411684,0.9094739,1,99.93508976063829,First,non,non,False,Late Start
7, 20.690093759151136,20.690093759151136,23.316939138411684,1.2732635,1,99.93426903257979,First,non,non,False,Late Start
8, 20.718834207016407,20.718834207016407,23.316939138411684,1.6976845,1,99.93425864361703,First,non,non,False,Late Start
9, 20.675911859800994,20.675911859800994,23.316939138411684,2.1827374,1,99.93368725066489,First,non,non,False,Late Start
10, 20.634907525443385,20.634907525443385,23.316939138411684,2.7284217,1,99.93116273271276,First,non,non,False,Late Start
11, 20.654345343924568,20.654345343924568,23.316939138411684,3.3347375,1,99.92531374667553,First,non,non,False,Late Start
12, 20.644975286443383,20.644975286443383,23.316939138411684,4.001685,1,99.91473778257979,First,non,non,False,Late Start
13, 20.68701391713126,20.68701391713126,23.316939138411684,4.7292643,1,99.89805310837765,First,non,non,False,Late Start
14, 20.71198849261123,20.71198849261123,23.316939138411684,5.517475,1,99.87387799202128,First,non,non,False,Late Start
15, 20.738495002326438,20.738495002326438,23.316939138411684,6.3663173,1,99.84083070146276,First,non,non,False,Late Start
16, 20.657243556795024,20.657243556795024,23.316939138411684,7.275791,1,99.79751911569149,First,non,non,False,Late Start
17, 20.684538325397174,20.684538325397174,23.316939138411684,8.245896,1,99.74256150265957,First,non,non,False,Late Start
18, 20.660209585034814,20.660209585034814,23.316939138411684,9.276633,1,99.67458651928192,First,non,non,False,Late Start
19, 20.622678689953105,20.622678689953105,23.316939138411684,10.368002,1,99.59218126662235,First,non,non,False,Late Start
20, 20.69021127564085,20.69021127564085,23.316939138411684,11.45637,1,99.51052401928192,First,non,non,False,Late Start
21, 20.635965066151584,20.635965066151584,23.316939138411684,12.5417385,1,99.42961477726064,First,non,non,False,None
22, 20.629285941404028,20.629285941404028,23.316939138411684,13.624107,1,99.34944315159575,First,non,non,False,None
23, 20.715890131394325,20.715890131394325,23.316939138411684,14.703476,1,99.26999875332447,First,non,non,False,None
24, 20.639302240953093,20.639302240953093,23.316939138411684,15.779844,1,99.19129197140957,First,non,non,False,None
25, 20.700709811587927,20.700709811587927,23.316939138411684,16.853212,1,99.11331241688829,First,non,non,False,None
26, 20.66024091235715,20.66024091235715,23.316939138411684,17.92358,1,99.03606008976064,First,non,non,False,None
27, 20.735522737067487,20.735522737067487,23.316939138411684,18.99095,1,98.95952460106383,First,non,non,False,None
28, 20.66828182589651,20.66828182589651,23.316939138411684,20.055319,1,98.8837267287234,First,non,non,False,None
29, 20.69273200476323,20.69273200476323,23.316939138411684,21.116688,1,98.80862491688829,First,non,non,False,None
30, 20.675871535548694,20.675871535548694,23.316939138411684,22.175056,1,98.73423994348404,First,non,non,False,None
