turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.126867389292624,20.126867389292624,21.727129117602566,0,8,100,First,non,non,False,Late Start
2, 20.01914039135843,20.01914039135843,21.727129117602566,0.06028953,8,99.98198364837916,First,non,non,False,Late Start
3, 20.597749520032643,20.117984896546663,21.727129117602566,0.17001332,7.95,99.96963573489477,First,non,InsideOvertaking,False,Late Start
4, 21.4943997576873,20.09761708077326,21.727129117602566,0.34383348,7.8999996,99.96191207357434,First,non,InsideOvertaking,False,Late Start
5, 20.752720595202714,20.074261281772493,21.727129117602566,0.5797514,7.8499994,99.95770218092328,First,non,InsideOvertaking,False,Late Start
6, 21.748778140767342,20.130238811498057,21.727129117602566,0.87702346,7.799999,99.95597015815936,First,non,InsideOvertaking,False,Late Start
7, 21.013299157233725,20.08081679594941,21.727129117602566,1.2352884,7.749999,99.9556303833588,First,non,InsideOvertaking,False,Late Start
8, 20.82389922919871,20.02147087102636,21.727129117602566,1.6543427,7.699999,99.95560552178802,First,non,InsideOvertaking,False,Late Start
9, 21.032597340073703,20.023079771489478,21.727129117602566,2.1340601,7.6499987,99.95483481309402,First,non,InsideOvertaking,False,Late Start
10, 20.416365411443316,20.026415323935886,21.727129117602566,2.6743574,7.5999985,99.95224092254328,First,non,InsideOvertaking,False,Late Start
11, 20.406039842687292,20.084446233793752,21.727129117602566,3.2751758,7.5499983,99.94676308978275,First,non,InsideOvertaking,False,Late Start
12, 21.20675711869244,20.02748352392374,21.727129117602566,3.9364731,7.499998,99.93731569288866,First,non,InsideOvertaking,False,Late Start
13, 21.66272080323911,20.074542914601192,21.727129117602566,4.6582174,7.449998,99.92283797150797,First,non,InsideOvertaking,False,Late Start
14, 20.459615041567364,20.115715466930588,21.727129117602566,5.440385,7.3999977,99.90226087809742,First,non,InsideOvertaking,False,Late Start
15, 20.729765870110697,20.142742181687154,21.727129117602566,6.282956,7.3499975,99.87450707792345,First,non,InsideOvertaking,False,Late Start
16, 21.263395097793445,20.04408063286891,21.727129117602566,7.185916,7.2999973,99.83849923625255,First,non,InsideOvertaking,False,Late Start
17, 22.018803298766088,20.14224011131093,21.727129117602566,8.149252,7.249997,99.79317659273167,First,non,InsideOvertaking,False,Late Start
18, 22.065468404461118,20.021504710646173,21.727129117602566,9.172954,7.199997,99.73747009981754,First,non,InsideOvertaking,False,Late Start
19, 20.605907264919807,20.132113283378477,21.727129117602566,10.257012,7.1499968,99.67030242277664,First,non,InsideOvertaking,False,Late Start
20, 21.091768491620154,20.088960924500906,21.727129117602566,11.338068,7.0999966,99.60372313624406,First,non,InsideOvertaking,False,Late Start
21, 21.246906739650818,20.092916117057964,21.727129117602566,12.416121,7.0499964,99.5377488146003,First,non,InsideOvertaking,False,None
22, 20.664534028028122,20.084006948583554,21.727129117602566,13.49117,6.999996,99.47236288346487,First,non,InsideOvertaking,False,None
23, 21.421815787408402,20.078464982905377,21.727129117602566,14.563216,6.949996,99.40755705564749,First,non,InsideOvertaking,False,None
24, 22.21187077435237,20.06510450520231,21.727129117602566,15.635552,6.899996,99.34270150468856,First,non,InsideOvertaking,False,None
25, 20.68421472678535,20.11115840629193,21.727129117602566,16.704885,6.8499956,99.2784260570477,First,non,InsideOvertaking,False,None
26, 22.17081387217429,20.036407552522345,21.727129117602566,17.774508,6.7999954,99.21409259907502,First,non,InsideOvertaking,False,None
27, 20.58652153377222,20.14281001963498,21.727129117602566,18.841127,6.749995,99.15034753161065,First,non,InsideOvertaking,False,None
28, 21.948572002765005,20.123429838932857,21.727129117602566,19.908037,6.699995,99.0865444538145,First,non,InsideOvertaking,False,None
29, 21.57672609194173,20.131857671359693,21.727129117602566,20.975237,6.649995,99.02268336568652,First,non,InsideOvertaking,False,None
30, 22.18343304149633,20.10534803695049,21.727129117602566,22.042727,6.5999947,98.95877255441701,First,non,InsideOvertaking,False,None
31, 22.356071371768365,20.14897766908696,21.727129117602566,23.110506,6.5499945,98.89479544562542,First,non,InsideOvertaking,False,None
32, 20.35031086257531,20.079817435007833,21.727129117602566,24.175282,6.4999943,98.83140672734216,First,non,InsideOvertaking,False,None
33, 21.61504416953436,20.076513135744772,21.727129117602566,25.240347,6.449994,98.76795999872708,First,non,InsideOvertaking,False,None
34, 20.981474556013282,20.106294716090332,21.727129117602566,26.302408,6.399994,98.70509337343007,First,non,InsideOvertaking,False,None
35, 20.488701929387368,20.049051044492188,21.727129117602566,27.361467,6.3499937,98.64279856426086,First,non,InsideOvertaking,False,None
36, 22.171623867766748,20.09103805224585,21.727129117602566,28.420816,6.2999935,98.5804540319501,First,non,InsideOvertaking,False,None
37, 20.713284840947146,20.141742009565128,21.727129117602566,29.477161,6.2499933,98.51868131576714,First,non,InsideOvertaking,False,None
38, 22.227627739117633,20.075147863921295,21.727129117602566,30.533796,6.199993,98.45685058925237,First,non,InsideOvertaking,False,None
39, 20.029341799306195,20.029341799306195,21.727129117602566,31.588614,6.199993,98.39559996605567,First,non,non,False,None
40, 20.05131143189587,20.05131143189587,21.727129117602566,32.64043,6.199993,98.33490458460625,First,non,non,False,None
41, 20.126601483664604,20.126601483664604,21.727129117602566,33.689247,6.199993,98.27478930647487,First,non,non,False,None
42, 20.042228831312492,20.042228831312492,21.727129117602566,34.735065,6.199993,98.2152292700908,First,non,non,False,None
43, 20.134632067946146,20.134632067946146,21.727129117602566,35.77788,6.199993,98.156224475454,First,non,non,False,None
44, 20.09966168553771,20.09966168553771,21.727129117602566,36.8177,6.199993,98.097791496945,First,non,non,False,None
45, 20.024839292803154,20.024839292803154,21.727129117602566,37.854515,6.199993,98.03990547299304,First,non,non,False,None
46, 20.112032191820163,20.112032191820163,21.727129117602566,38.888332,6.199993,97.98257469078835,First,non,non,False,None
47, 20.133461821771686,20.133461821771686,21.727129117602566,39.91915,6.199993,97.92578257595044,First,non,non,False,None
48, 20.14873454520781,20.14873454520781,21.727129117602566,40.946968,6.199993,97.86955399005006,First,non,non,False,None
49, 20.057489393933473,20.057489393933473,21.727129117602566,41.971786,6.199993,97.81386407151646,First,non,non,False,None
50, 20.02978288073776,20.02978288073776,21.727129117602566,42.993603,6.199993,97.75871282034963,First,non,non,False,None
51, 20.1292414260448,20.1292414260448,21.727129117602566,44.01242,6.199993,97.70410852373982,First,non,non,False,None
52, 20.075585680354315,20.075585680354315,21.727129117602566,45.028236,6.199993,97.65003460730651,First,non,non,False,None
53, 20.037629426122166,20.037629426122166,21.727129117602566,46.041054,6.199993,97.59649935823998,First,non,non,False,None
54, 20.098265027236316,20.098265027236316,21.727129117602566,47.050873,6.199993,97.54349448934997,First,non,non,False,None
55, 20.12960121263444,20.12960121263444,21.727129117602566,48.05769,6.199993,97.4910117134462,First,non,non,False,None
56, 20.059447577414403,20.059447577414403,21.727129117602566,49.06151,6.199993,97.43905931771894,First,non,non,False,None
57, 20.042151415922667,20.042151415922667,21.727129117602566,50.062325,6.199993,97.38763730216819,First,non,non,False,None
58, 20.037684977267954,20.037684977267954,21.727129117602566,51.06343,6.199993,97.33615727628563,First,non,non,False,None
59, 20.05873668748178,20.05873668748178,21.727129117602566,52.064827,6.199993,97.28463581445179,First,non,non,False,None
