turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.49285230559418,20.49285230559418,22.1114132797192,0,5,100,First,non,non,False,Late Start
2, 20.49285230559418,20.49285230559418,22.1114132797192,0,5,100,First,non,non,False,Late Start
3, 21.285394917556804,20.466725882266157,22.1114132797192,0.06029394,5,99.98922641708968,First,SpeedUp,non,False,Late Start
4, 21.303014626485524,20.483667910082232,22.1114132797192,0.18088181,5,99.98184023371404,First,SpeedUp,non,False,Late Start
5, 21.319610852084075,20.49962581931161,22.1114132797192,0.36176363,5,99.97721354166666,First,SpeedUp,non,False,Late Start
6, 21.32178211675507,20.501713573802952,22.1114132797192,0.60293937,5,99.97470190884094,First,SpeedUp,non,False,Late Start
7, 21.344474219495428,20.523532903360987,22.1114132797192,0.90440905,5,99.97366090313028,First,SpeedUp,non,False,Late Start
8, 21.361885278539336,20.540274306287824,22.1114132797192,1.2661726,5,99.97346261632825,First,SpeedUp,non,False,Late Start
9, 21.378837225849413,20.556574255624433,22.1114132797192,1.6882303,5,99.97344609242809,First,SpeedUp,non,False,Late Start
10, 21.319722783579113,20.499733445749147,22.1114132797192,2.1705818,5,99.97298342322335,First,SpeedUp,non,False,Late Start
11, 21.411941465074623,20.588405254879444,22.1114132797192,2.7132273,5,99.97143843855753,First,SpeedUp,non,False,Late Start
12, 21.41744271288768,20.593694916238153,22.1114132797192,3.3161666,5,99.96815844437394,First,SpeedUp,non,False,Late Start
13, 21.32655689731982,20.506304708961363,22.1114132797192,3.9794,5,99.96249900856598,First,SpeedUp,non,False,Late Start
14, 21.352412195008203,20.53116557212327,22.1114132797192,4.702927,5,99.95384048487732,First,SpeedUp,non,False,Late Start
15, 21.335082103928478,20.514502023008152,22.1114132797192,5.486748,5,99.94152191730119,First,SpeedUp,non,False,Late Start
16, 21.365475138395155,20.543726094610726,22.1114132797192,6.3308635,5,99.92491539763112,First,SpeedUp,non,False,Late Start
17, 21.384472820781326,20.56199309690512,22.1114132797192,7.2352724,5,99.90337649376058,First,SpeedUp,non,False,Late Start
18, 21.291184640472594,20.472292923531338,22.1114132797192,8.199975,5,99.87626077358291,First,SpeedUp,non,False,Late Start
19, 21.417109694855892,20.593374706592204,22.1114132797192,9.224972,5,99.84293206694163,First,SpeedUp,non,False,Late Start
20, 21.408403141450943,20.585003020625905,22.1114132797192,10.250262,5,99.80956205054991,First,SpeedUp,non,False,Late Start
21, 21.336162338211473,20.515540709818723,22.1114132797192,11.275847,5,99.77616724830796,First,SpeedUp,non,False,None
22, 21.30683422149646,20.48734059759275,22.1114132797192,12.301726,5,99.74273939826566,First,SpeedUp,non,False,None
23, 21.366635881575494,20.54484219382259,22.1114132797192,13.327899,5,99.70927850042301,First,SpeedUp,non,False,None
24, 21.37352738706042,20.55146864140425,22.1114132797192,14.354365,5,99.67579281673012,First,SpeedUp,non,False,None
25, 21.33887106390684,20.518145253756575,22.1114132797192,15.381126,5,99.6422658232868,First,SpeedUp,non,False,None
26, 21.348654466878852,20.527552371998894,22.1114132797192,16.40818,5,99.60871404399323,First,SpeedUp,non,False,None
27, 21.34672639946302,20.525698461022134,22.1114132797192,17.435528,5,99.57512921689933,First,SpeedUp,non,False,None
28, 21.33313691965363,20.512631653513104,22.1114132797192,18.463171,5,99.541503080055,First,SpeedUp,non,False,None
29, 21.416845648764653,20.593120816119857,22.1114132797192,19.491108,5,99.5078521573604,First,SpeedUp,non,False,None
30, 21.406305659008495,20.58298621058509,22.1114132797192,20.519339,5,99.47416818686548,First,SpeedUp,non,False,None
31, 21.3894330842225,20.566762580983173,22.1114132797192,21.547863,5,99.4404594305203,First,SpeedUp,non,False,None
32, 21.3625449109419,20.540908568213364,22.1114132797192,22.576681,5,99.4067093644247,First,SpeedUp,non,False,None
33, 21.306455906226397,20.486976832909995,22.1114132797192,23.605793,5,99.37292625052876,First,SpeedUp,non,False,None
34, 21.298569343087163,20.47939359912227,22.1114132797192,24.635199,5,99.33911835078257,First,SpeedUp,non,False,None
35, 21.346441384226775,20.52542440791036,22.1114132797192,25.664898,5,99.30527740323603,First,SpeedUp,non,False,None
36, 21.39032297290885,20.567618243181588,22.1114132797192,26.694891,5,99.27140340788917,First,SpeedUp,non,False,None
37, 21.32023087169275,20.50022199201226,22.1114132797192,27.72518,5,99.23748810279187,First,SpeedUp,non,False,None
38, 21.408622135280755,20.58521359161611,22.1114132797192,28.755762,5,99.20354801184433,First,SpeedUp,non,False,None
39, 21.32393381622021,20.503782515596356,22.1114132797192,29.786638,5,99.16958313504652,First,SpeedUp,non,False,None
40, 21.37390961803742,20.551836171189827,22.1114132797192,30.817808,5,99.13557694849831,First,SpeedUp,non,False,None
41, 21.29558713126021,20.4765260877502,22.1114132797192,31.849272,5,99.10154597609983,First,SpeedUp,non,False,None
42, 21.361804563678152,20.540196695844376,22.1114132797192,32.88103,5,99.06746543200084,First,SpeedUp,non,False,None
43, 21.286341330630776,20.467635894837283,22.1114132797192,33.913082,5,99.03336836400169,First,SpeedUp,non,False,None
44, 21.289997571709776,20.4711515112594,22.1114132797192,34.945427,5,98.9992382482022,First,SpeedUp,non,False,None
45, 21.358802813342333,20.53731039744455,22.1114132797192,35.978065,5,98.96507508460236,First,SpeedUp,non,False,None
46, 21.378821462827663,20.556559098872754,22.1114132797192,37.010998,5,98.9308788732022,First,SpeedUp,non,False,None
47, 21.346792156182918,20.52576168863742,22.1114132797192,38.044224,5,98.89664961400169,First,SpeedUp,non,False,None
48, 21.398004403426466,20.575004234063908,22.1114132797192,39.077744,5,98.86238730700084,First,SpeedUp,non,False,None
49, 21.303172294388464,20.483819513835062,22.1114132797192,40.111557,5,98.82809195219966,First,SpeedUp,non,False,None
50, 21.40383116499749,20.580606889420665,22.1114132797192,41.145668,5,98.79375528764805,First,SpeedUp,non,False,None
