turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 20.27420713032228,20.27420713032228,22.84437678855255,0,1,100,First,non,non,False,Late Start
2, 20.27420713032228,20.27420713032228,22.84437678855255,0,1,100,First,non,non,False,Late Start
3, 20.197258321134704,20.197258321134704,22.84437678855255,0.060705386,1,99.98260234856262,First,non,non,False,Late Start
4, 20.215961621748747,20.215961621748747,22.84437678855255,0.18211615,1,99.97073119866529,First,non,non,False,Late Start
5, 20.27080259266019,20.27080259266019,22.84437678855255,0.3642323,1,99.96331975102669,First,non,non,False,Late Start
6, 20.29528498201367,20.29528498201367,22.84437678855255,0.6070539,1,99.95933329055441,First,non,non,False,Late Start
7, 20.204536861488485,20.204536861488485,22.84437678855255,0.9105808,1,99.9577210600616,First,non,non,False,Late Start
8, 20.287243166742257,20.287243166742257,22.84437678855255,1.2748132,1,99.95741626026694,First,non,non,False,Late Start
9, 20.235417135826225,20.235417135826225,22.84437678855255,1.6997509,1,99.95739219712526,First,non,non,False,Late Start
10, 20.200075698630208,20.200075698630208,22.84437678855255,2.185394,1,99.956574050308,First,non,non,False,Late Start
11, 20.20768645554955,20.20768645554955,22.84437678855255,2.7317424,1,99.95391908367556,First,non,non,False,Late Start
12, 20.22206831321347,20.22206831321347,22.84437678855255,3.3387961,1,99.94838456108829,First,non,non,False,Late Start
13, 20.202338999283228,20.202338999283228,22.84437678855255,4.0065556,1,99.93891170431212,First,non,non,False,Late Start
14, 20.188015566857615,20.188015566857615,22.84437678855255,4.73502,1,99.92444173511294,First,non,non,False,Late Start
15, 20.277468730907152,20.277468730907152,22.84437678855255,5.52419,1,99.90394795944559,First,non,non,False,Late Start
16, 20.296271833552808,20.296271833552808,22.84437678855255,6.3740654,1,99.87635555698152,First,non,non,False,Late Start
17, 20.21204244470028,20.21204244470028,22.84437678855255,7.284646,1,99.84062179158111,First,non,non,False,Late Start
18, 20.29182742055626,20.29182742055626,22.84437678855255,8.255932,1,99.79570392710473,First,non,non,False,Late Start
19, 20.20797526323662,20.20797526323662,22.84437678855255,9.287924,1,99.74053516427105,First,non,non,False,Late Start
20, 20.2489259608054,20.2489259608054,22.84437678855255,10.3169155,1,99.68590381160165,First,non,non,False,Late Start
21, 20.236455158431603,20.236455158431603,22.84437678855255,11.342907,1,99.63179382700206,First,non,non,False,None
22, 20.905571956960923,20.27775433225485,22.84437678855255,12.368385,0.95,99.57756352669405,First,non,InsideOvertaking,False,None
23, 22.419051459631355,20.20813014995725,22.84437678855255,13.39457,0.9,99.52320488963039,First,non,InsideOvertaking,False,None
24, 21.632040814232706,20.17644615660346,22.84437678855255,14.421461,0.84999996,99.46872593685832,First,non,InsideOvertaking,False,None
