turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 18.876728860670518,18.876728860670518,20.186129510672295,0.060221132,9,99.99244435153496,First,non,non,False,None
2, 20.385924469765598,18.770492632835744,20.186129510672295,0.16979457,8.95,99.98769421865276,First,non,InsideOvertaking,False,None
3, 20.113229563680502,18.808148215548773,20.186129510672295,0.3434012,8.9,99.98511152380212,First,non,InsideOvertaking,False,None
4, 19.53226226618599,18.772358146431277,20.186129510672295,0.5790394,8.849999,99.98404806121655,First,non,InsideOvertaking,False,None
5, 19.563432219284437,18.778463449946926,20.186129510672295,0.87596464,8.799999,99.98382524048434,First,non,InsideOvertaking,False,None
6, 19.48516023081544,18.758864478777344,20.186129510672295,1.2338152,8.749999,99.98381511226924,First,non,InsideOvertaking,False,None
7, 20.817727100156294,18.857877912956283,20.186129510672295,1.6523874,8.699999,99.98335934258971,First,non,InsideOvertaking,False,None
8, 19.455731320012625,18.826761308880428,20.186129510672295,2.1315548,8.649999,99.98178946924912,First,non,InsideOvertaking,False,None
9, 20.09946061946655,18.760051961260544,20.186129510672295,2.6712337,8.599998,99.97847754291122,First,non,InsideOvertaking,False,None
10, 19.499331490846274,18.866896125901157,20.186129510672295,3.2713656,8.549998,99.97274497316428,First,non,InsideOvertaking,False,None
11, 20.02314341209573,18.859658721299066,20.186129510672295,3.9319084,8.499998,99.96395368245696,First,non,InsideOvertaking,False,None
12, 20.494256469482387,18.85173484747824,20.186129510672295,4.65283,8.449998,99.95145546502282,First,non,InsideOvertaking,False,None
13, 20.27152361857836,18.843548625273506,20.186129510672295,5.4341063,8.399998,99.93458185866521,First,non,InsideOvertaking,False,None
14, 19.99171145555232,18.792112847545276,20.186129510672295,6.275718,8.3499975,99.91269478583281,First,non,InsideOvertaking,False,None
15, 19.272400718765567,18.76426217125322,20.186129510672295,7.1776505,8.299997,99.88512578432898,First,non,InsideOvertaking,False,None
16, 20.827092732360235,18.871303614728824,20.186129510672295,8.139891,8.249997,99.85124690481746,First,non,InsideOvertaking,False,None
17, 20.328174928609755,18.786732646854865,20.186129510672295,9.162428,8.199997,99.81037955688653,First,non,InsideOvertaking,False,None
18, 19.113724557438324,18.764498861560416,20.186129510672295,10.181962,8.149997,99.76986669648413,First,non,InsideOvertaking,False,None
19, 19.548947476199828,18.799754535715753,20.186129510672295,11.198492,8.099997,99.72972858004044,First,non,InsideOvertaking,False,None
20, 18.822977107208185,18.822977107208185,20.186129510672295,12.213251,8.099997,99.68994495112528,First,non,non,False,None
21, 18.81488528039877,18.81488528039877,20.186129510672295,13.22501,8.099997,99.65051580973864,First,non,non,False,None
22, 18.82301630064033,18.82301630064033,20.186129510672295,14.233769,8.099997,99.61145128409562,First,non,non,False,None
23, 18.80561157479211,18.80561157479211,20.186129510672295,15.239529,8.099997,99.57273111776603,First,non,non,False,None
24, 18.75643212695408,18.75643212695408,20.186129510672295,16.242289,8.099997,99.53436543896494,First,non,non,False,None
25, 18.836635122170904,18.836635122170904,20.186129510672295,17.242048,8.099997,99.49636437590749,First,non,non,False,None
26, 18.82679143534102,18.82679143534102,20.186129510672295,18.238808,8.099997,99.45870767216346,First,non,non,False,None
27, 18.799975384874053,18.799975384874053,20.186129510672295,19.232567,8.099997,99.42139532773284,First,non,non,False,None
28, 18.84789816220016,18.84789816220016,20.186129510672295,20.223326,8.099997,99.38442734261564,First,non,non,False,None
29, 18.86688840619106,18.86688840619106,20.186129510672295,21.211084,8.099997,99.34781384502696,First,non,non,False,None
30, 18.835823861128105,18.835823861128105,20.186129510672295,22.195843,8.099997,99.3115447067517,First,non,non,False,None
31, 18.797494829115987,18.797494829115987,20.186129510672295,23.177603,8.099997,99.27560979957478,First,non,non,False,None
32, 18.765666174733344,18.765666174733344,20.186129510672295,24.156363,8.099997,99.24001925171126,First,non,non,False,None
33, 18.757180168365196,18.757180168365196,20.186129510672295,25.132122,8.099997,99.20476293494606,First,non,non,False,None
34, 18.78414703992986,18.78414703992986,20.186129510672295,26.104881,8.099997,99.16985097749429,First,non,non,False,None
35, 18.854954354985903,18.854954354985903,20.186129510672295,27.07464,8.099997,99.13527325114084,First,non,non,False,None
36, 18.819222282657197,18.819222282657197,20.186129510672295,28.041399,8.099997,99.10101962767061,First,non,non,False,None
37, 19.57660321853395,18.8271290347363,20.186129510672295,29.007086,8.049996,99.06674574777017,First,non,InsideOvertaking,False,None
38, 19.296575639550515,18.772116900442803,20.186129510672295,29.969769,7.999996,99.03280609896805,First,non,InsideOvertaking,False,None
