turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 18.860592570614113,18.860592570614113,21.306221791129452,0.06065556,4,99.99262147384118,First,non,non,False,None
2, 18.905849087211013,18.905849087211013,21.306221791129452,0.18196668,4,99.98802475507415,First,non,non,False,None
3, 18.83808532539025,18.83808532539025,21.306221791129452,0.36393335,4,99.9855381679825,First,non,non,False,None
4, 18.920188576639944,18.920188576639944,21.306221791129452,0.6065556,4,99.98452768239146,First,non,non,False,None
5, 18.85551885100253,18.85551885100253,21.306221791129452,0.90983343,4,99.98432954796185,First,non,non,False,None
6, 18.922553012373566,18.922553012373566,21.306221791129452,1.2737668,4,99.98430973451889,First,non,non,False,None
7, 18.932817240133044,18.932817240133044,21.306221791129452,1.6983557,4,99.98381439844485,First,non,non,False,None
8, 18.861973970959916,18.861973970959916,21.306221791129452,2.1836002,4,99.98220950956498,First,non,non,False,None
9, 18.86001257397444,18.86001257397444,21.306221791129452,2.7295003,4,99.97883131754007,First,non,non,False,None
10, 18.887617250527118,18.887617250527118,21.306221791129452,3.336056,4,99.97303588547386,First,non,non,False,None
11, 18.911468153469027,18.911468153469027,21.306221791129452,4.0032673,4,99.96417927647012,First,non,non,False,None
12, 18.86913006164065,18.86913006164065,21.306221791129452,4.731134,4,99.95159774018965,First,non,non,False,None
13, 18.95398009642966,18.95398009642966,21.306221791129452,5.519656,4,99.93466715317915,First,non,non,False,None
14, 18.895808702931852,18.895808702931852,21.306221791129452,6.368834,4,99.91272376509943,First,non,non,False,None
15, 18.840107094448747,18.840107094448747,21.306221791129452,7.2786674,4,99.88512363905423,First,non,non,False,None
16, 18.870116103620358,18.870116103620358,21.306221791129452,8.249156,4,99.85122283814731,First,non,non,False,None
17, 18.89188853510718,18.89188853510718,21.306221791129452,9.216645,4,99.81763905232778,First,non,non,False,None
18, 18.921870749034877,18.921870749034877,21.306221791129452,10.181134,4,99.78439209503858,First,non,non,False,None
19, 18.951396996433402,18.951396996433402,21.306221791129452,11.142623,4,99.75147205955825,First,non,non,False,None
20, 18.91333591426229,18.91333591426229,21.306221791129452,12.101112,4,99.71885913244382,First,non,non,False,None
21, 18.907917869838347,18.907917869838347,21.306221791129452,13.056602,4,99.68658303385975,First,non,non,False,None
22, 18.880713801602283,18.880713801602283,21.306221791129452,14.00909,4,99.65461404364157,First,non,non,False,None
23, 18.85211775098563,18.85211775098563,21.306221791129452,14.958579,4,99.62296206851076,First,non,non,False,None
24, 18.92985880910128,18.92985880910128,21.306221791129452,15.905068,4,99.59163701518882,First,non,non,False,None
25, 18.890818544587674,18.890818544587674,21.306221791129452,16.848557,4,99.56061907023279,First,non,non,False,None
26, 18.846340353282088,18.846340353282088,21.306221791129452,17.789045,4,99.52990823364266,First,non,non,False,None
27, 18.849043942706395,18.849043942706395,21.306221791129452,18.73019,4,99.49913795672364,First,non,non,False,None
28, 18.929410237911696,18.929410237911696,21.306221791129452,19.67199,4,99.46829833275426,First,non,non,False,None
29, 18.895095788651126,18.895095788651126,21.306221791129452,20.614445,4,99.4373893617345,First,non,non,False,None
30, 18.916046448458566,18.916046448458566,21.306221791129452,21.557556,4,99.40641104366439,First,non,non,False,None
31, 18.945121250028798,18.945121250028798,21.306221791129452,22.501324,4,99.37536337854391,First,non,non,False,None
32, 18.860393332248695,18.860393332248695,21.306221791129452,23.442091,4,99.34463272851082,First,non,non,False,None
33, 18.927950564976257,18.927950564976257,21.306221791129452,24.383512,4,99.31383273142735,First,non,non,False,None
34, 18.884730850383786,18.884730850383786,21.306221791129452,25.32559,4,99.28295348057205,First,non,non,False,None
35, 18.853967895123724,18.853967895123724,21.306221791129452,26.268324,4,99.25202469610934,First,non,non,False,None
36, 18.919079535414273,18.919079535414273,21.306221791129452,27.211714,4,99.22101665787478,First,non,non,False,None
37, 18.859876999293178,18.859876999293178,21.306221791129452,28.152103,4,99.19032563472761,First,non,non,False,None
38, 18.917173230419664,18.917173230419664,21.306221791129452,29.093147,4,99.15955535780859,First,non,non,False,None
39, 20.880999729297,18.864925252578843,21.306221791129452,30.03352,3.95,99.12872564056069,First,non,InsideOvertaking,False,None
40, 20.54058646736965,18.852011100046788,21.306221791129452,30.974548,3.9,99.0978364829839,First,non,InsideOvertaking,False,None
41, 19.31425893107877,18.882206723168363,21.306221791129452,31.916233,3.8500001,99.06685816491378,First,non,InsideOvertaking,False,None
42, 20.80528256972236,18.91511726435479,21.306221791129452,32.858574,3.8000002,99.03582040651479,First,non,InsideOvertaking,False,None
43, 19.187085578300522,18.893704562673072,21.306221791129452,33.80157,3.7500002,99.00472320778691,First,non,InsideOvertaking,False,None
44, 20.087327893299097,18.903062331934017,21.306221791129452,34.745224,3.7000003,98.97354675528717,First,non,InsideOvertaking,False,None
45, 20.0383709351423,18.950751834058952,21.306221791129452,35.689533,3.6500003,98.94230095573708,First,non,InsideOvertaking,False,None
46, 20.593322779912047,18.914240090945253,21.306221791129452,36.6345,3.6000004,98.9109957158581,First,non,InsideOvertaking,False,None
47, 19.38132217149057,18.867645451583414,21.306221791129452,37.580124,3.5500004,98.87961122220729,First,non,InsideOvertaking,False,None
48, 19.709931689405625,18.897748292023685,21.306221791129452,38.526405,3.5000005,98.84816728822759,First,non,InsideOvertaking,False,None
49, 20.250440928167333,18.857869532315853,21.306221791129452,39.473343,3.4500005,98.81665400719751,First,non,InsideOvertaking,False,None
50, 20.734518094494376,18.89597432040724,21.306221791129452,40.420937,3.4000006,98.78507137911707,First,non,InsideOvertaking,False,None
51, 20.724604178183114,18.86305030394408,21.306221791129452,41.369186,3.3500006,98.7534094972648,First,non,InsideOvertaking,False,None
52, 20.85472987468047,18.90971343622916,21.306221791129452,42.318092,3.3000007,98.72168817508363,First,non,InsideOvertaking,False,None
53, 19.603154337662193,18.945430825444344,21.306221791129452,43.267654,3.2500007,98.68988759913061,First,non,InsideOvertaking,False,None
54, 19.730104106571833,18.843941517195045,21.306221791129452,44.217873,3.2000008,98.65802758284872,First,non,InsideOvertaking,False,None
55, 19.631313009824268,18.91490922951317,21.306221791129452,45.168747,3.1500008,98.62609821951646,First,non,InsideOvertaking,False,None
56, 19.76926806450909,18.877605052592784,21.306221791129452,46.120277,3.1000009,98.59408960241235,First,non,InsideOvertaking,False,None
57, 19.821695021662805,18.85643765632561,21.306221791129452,47.072464,3.050001,98.56202154497937,First,non,InsideOvertaking,False,None
58, 20.93816232949376,18.874586498554933,21.306221791129452,48.02531,3.000001,98.52987423377454,First,non,InsideOvertaking,False,None
59, 19.17392292398702,18.90313561656547,21.306221791129452,48.978813,2.950001,98.49766748224081,First,non,InsideOvertaking,False,None
60, 20.313599957406502,18.92750062542533,21.306221791129452,49.932972,2.900001,98.46538147693525,First,non,InsideOvertaking,False,None
61, 19.257500514879077,18.913303848326013,21.306221791129452,50.887787,2.850001,98.43302612457933,First,non,InsideOvertaking,False,None
62, 20.291891086450764,18.931196342292637,21.306221791129452,51.843258,2.8000011,98.40061133189451,First,non,InsideOvertaking,False,None
63, 19.99053612953575,18.864278342063546,21.306221791129452,52.799385,2.7500012,98.36811728543785,First,non,InsideOvertaking,False,None
64, 20.214941038371197,18.93463561568395,21.306221791129452,53.75617,2.7000012,98.33555389193083,First,non,InsideOvertaking,False,None
65, 19.113324671611196,18.893142726763344,21.306221791129452,54.70995,2.6500013,98.30331742023266,First,non,InsideOvertaking,False,None
66, 19.474781071922834,18.894297573271494,21.306221791129452,55.664387,2.6000013,98.27100169476266,First,non,InsideOvertaking,False,None
67, 20.19921833974326,18.946015670137786,21.306221791129452,56.61948,2.5500014,98.23861662224229,First,non,InsideOvertaking,False,None
68, 20.905302474635857,18.90780976736878,21.306221791129452,57.57523,2.5000014,98.20616220267155,First,non,InsideOvertaking,False,None
69, 18.84906886935712,18.84906886935712,21.306221791129452,58.529285,2.5000014,98.17403470490967,First,non,non,False,None
70, 18.889440044139675,18.889440044139675,21.306221791129452,59.480343,2.5000014,98.14222422223519,First,non,non,False,None
71, 18.95496154507024,18.95496154507024,21.306221791129452,60.4284,2.5000014,98.11073075464807,First,non,non,False,None
