turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 18.107893731679642,18.107893731679642,19.424166694912607,0.060218886,10,99.99247012273902,First,non,non,False,None
2, 18.020359986466133,18.020359986466133,19.424166694912607,0.18065666,10,99.98773619186046,First,non,non,False,None
3, 18.112972825346528,18.112972825346528,19.424166694912607,0.3613133,10,99.98516230620154,First,non,non,False,None
4, 18.06507163307861,18.06507163307861,19.424166694912607,0.6021888,10,99.98409237726098,First,non,non,False,None
5, 18.097312837601372,18.097312837601372,19.424166694912607,0.90328324,10,99.98388041020672,First,non,non,False,None
6, 18.0180462210699,18.0180462210699,19.424166694912607,1.2645966,10,99.98387031653746,First,non,non,False,None
7, 18.10405036270348,18.10405036270348,19.424166694912607,1.6861289,10,99.98340600775194,First,non,non,False,None
8, 18.104744167636177,18.104744167636177,19.424166694912607,2.16788,10,99.98185158268734,First,non,non,False,None
9, 18.066407266816327,18.066407266816327,19.424166694912607,2.70985,10,99.97855095284238,First,non,non,False,None
10, 18.006205245139746,18.006205245139746,19.424166694912607,3.312039,10,99.97283793604652,First,non,non,False,None
11, 18.07894680991105,18.07894680991105,19.424166694912607,3.9744468,10,99.96407663113695,First,non,non,False,None
12, 18.021144928108825,18.021144928108825,19.424166694912607,4.6970735,10,99.95163113695091,First,non,non,False,None
13, 18.09034762712095,18.09034762712095,19.424166694912607,5.479919,10,99.93481508397933,First,non,non,False,None
14, 18.062133716755095,18.062133716755095,19.424166694912607,6.3229833,10,99.91300266472868,First,non,non,False,None
15, 18.014702490901854,18.014702490901854,19.424166694912607,7.2262664,10,99.88553779069767,First,non,non,False,None
16, 18.114728948320735,18.114728948320735,19.424166694912607,8.189769,10,99.85176437338501,First,non,non,False,None
17, 18.101553664063502,18.101553664063502,19.424166694912607,9.150271,10,99.81833414082688,First,non,non,False,None
