turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 19.078614366595325,19.078614366595325,21.419929376415794,0.06067985,2,99.99262373096447,First,non,non,False,None
2, 19.00074785069323,19.00074785069323,21.419929376415794,0.18203954,2,99.98801356281726,First,non,non,False,None
3, 19.096647285569183,19.096647285569183,21.419929376415794,0.3640791,2,99.98553497779187,First,non,non,False,None
4, 19.003037894496735,19.003037894496735,21.419929376415794,0.60679847,2,99.98451380076142,First,non,non,False,None
5, 19.078734321517565,19.078734321517565,21.419929376415794,0.91019773,2,99.9843254282995,First,non,non,False,None
6, 18.999955635275285,18.999955635275285,21.419929376415794,1.2742769,2,99.98430559961929,First,non,non,False,None
7, 19.095812310373905,19.095812310373905,21.419929376415794,1.6990358,2,99.98380988261421,First,non,non,False,None
8, 19.05692042597188,19.05692042597188,21.419929376415794,2.1844745,2,99.98220375951777,First,non,non,False,None
9, 18.99169609991171,18.99169609991171,21.419929376415794,2.7305932,2,99.97880314086295,First,non,non,False,None
10, 19.076715141509503,19.076715141509503,21.419929376415794,3.3373919,2,99.97300325190355,First,non,non,False,None
11, 19.04551684824645,19.04551684824645,21.419929376415794,4.0048704,2,99.96411008883248,First,non,non,False,None
12, 19.10047567540909,19.10047567540909,21.419929376415794,4.7330284,2,99.95150896256345,First,non,non,False,None
13, 19.007392107308554,19.007392107308554,21.419929376415794,5.5218663,2,99.93454552664974,First,non,non,False,None
14, 19.068216843416156,19.068216843416156,21.419929376415794,6.371384,2,99.91255552030456,First,non,non,False,None
15, 19.03554075228355,19.03554075228355,21.419929376415794,7.281582,2,99.88489451142132,First,non,non,False,None
16, 19.08181192746966,19.08181192746966,21.419929376415794,8.25246,2,99.8509180678934,First,non,non,False,None
17, 19.097631272457207,19.097631272457207,21.419929376415794,9.220337,2,99.81727871192894,First,non,non,False,None
18, 19.00024896093504,19.00024896093504,21.419929376415794,10.185215,2,99.78395661484771,First,non,non,False,None
19, 19.01391622424543,19.01391622424543,21.419929376415794,11.147093,2,99.75096169098985,First,non,non,False,None
20, 19.077106469666187,19.077106469666187,21.419929376415794,12.10597,2,99.71829394035532,First,non,non,False,None
21, 19.02833587295059,19.02833587295059,21.419929376415794,13.061848,2,99.68594344860406,First,non,non,False,None
22, 19.048623294679885,19.048623294679885,21.419929376415794,14.014726,2,99.65391021573605,First,non,non,False,None
23, 19.03177494303422,19.03177494303422,21.419929376415794,14.964603,2,99.62220415609137,First,non,non,False,None
24, 20.703822087830893,19.080241717448928,21.419929376415794,15.913845,1.95,99.59041878172589,First,non,InsideOvertaking,False,None
25, 19.311663767999395,18.996817606443756,21.419929376415794,16.863768,1.9000001,99.5585540926396,First,non,InsideOvertaking,False,None
26, 19.663838756856364,19.037677863155476,21.419929376415794,17.814371,1.8500001,99.5266299175127,First,non,InsideOvertaking,False,None
27, 20.770297798607462,19.034900453325573,21.419929376415794,18.765656,1.8000002,99.49462642766497,First,non,InsideOvertaking,False,None
28, 20.3573343248591,19.047669266900222,21.419929376415794,19.71762,1.7500002,99.46255353743655,First,non,InsideOvertaking,False,None
29, 20.757079791986175,19.04670594968477,21.419929376415794,20.670267,1.7000003,99.4304013324873,First,non,InsideOvertaking,False,None
30, 20.774877170499693,19.090025815506696,21.419929376415794,21.623594,1.6500003,99.39818964149747,First,non,InsideOvertaking,False,None
31, 19.701860784494784,18.991595061544036,21.419929376415794,22.5776,1.6000004,99.3658986357868,First,non,InsideOvertaking,False,None
32, 19.469114173107467,19.101354538814608,21.419929376415794,23.532288,1.5500004,99.33352831535532,First,non,InsideOvertaking,False,None
33, 21.0169502537142,19.011595206991142,21.419929376415794,24.487656,1.5000005,99.30109850888324,First,non,InsideOvertaking,False,None
34, 19.038936074024182,19.038936074024182,21.419929376415794,25.441332,1.5000005,99.26897604695432,First,non,non,False,None
35, 19.056844613783667,19.056844613783667,21.419929376415794,26.392008,1.5000005,99.23718075824873,First,non,non,False,None
36, 19.04338965055977,19.04338965055977,21.419929376415794,27.343365,1.5000005,99.20531606916244,First,non,non,False,None
37, 19.0301183584383,19.0301183584383,21.419929376415794,28.2954,1.5000005,99.17337206535532,First,non,non,False,None
38, 19.111778399598062,19.111778399598062,21.419929376415794,29.248116,1.5000005,99.14136857550761,First,non,non,False,None
39, 19.104512897151086,19.104512897151086,21.419929376415794,30.201511,1.5000005,99.10927585659898,First,non,non,False,None
40, 19.01833798093349,19.01833798093349,21.419929376415794,31.151907,1.5000005,99.07751031091371,First,non,non,False,None
41, 19.039038608358446,19.039038608358446,21.419929376415794,32.10298,1.5000005,99.04566545050761,First,non,non,False,None
42, 19.097004298096852,19.097004298096852,21.419929376415794,33.054737,1.5000005,99.01375118972081,First,non,non,False,None
43, 19.109691234757953,19.109691234757953,21.419929376415794,34.00717,1.5000005,98.9817774428934,First,non,non,False,None
44, 19.04274176672057,19.04274176672057,21.419929376415794,34.956608,1.5000005,98.95011104060913,First,non,non,False,None
45, 19.04691175471377,19.04691175471377,21.419929376415794,35.906723,1.5000005,98.91836532360406,First,non,non,False,None
46, 19.091283507863892,19.091283507863892,21.419929376415794,36.857517,1.5000005,98.88656012055837,First,non,non,False,None
47, 19.08271165994597,19.08271165994597,21.419929376415794,37.80899,1.5000005,98.85467560279187,First,non,non,False,None
48, 19.035803260282357,19.035803260282357,21.419929376415794,38.761147,1.5000005,98.82272168464468,First,non,non,False,None
49, 18.995959124531606,18.995959124531606,21.419929376415794,39.7103,1.5000005,98.79108502538071,First,non,non,False,None
50, 19.017079781746254,19.017079781746254,21.419929376415794,40.660133,1.5000005,98.75937896573605,First,non,non,False,None
51, 19.03766087673189,19.03766087673189,21.419929376415794,41.61065,1.5000005,98.72759359137056,First,non,non,False,None
