turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 19.4139073643146,19.4139073643146,21.900846316761825,0.06069013,6,99.98879970833768,First,non,non,False,None
2, 20.22204683791701,19.449217412642202,21.900846316761825,0.17129378,5.95,99.98145353292588,First,non,InsideOvertaking,False,None
3, 19.95012524190102,19.452721084319887,21.900846316761825,0.34636414,5.8999996,99.97715333268484,First,non,InsideOvertaking,False,None
4, 19.459332009445056,19.459332009445056,21.900846316761825,0.5891247,5.8999996,99.97507737394778,First,non,non,False,None
5, 21.19457894239828,19.52197674667794,21.900846316761825,0.88842773,5.8499994,99.97444099373969,First,non,InsideOvertaking,False,None
6, 20.715948270071834,19.480885416716124,21.900846316761825,1.2491195,5.799999,99.9744162799452,First,non,InsideOvertaking,False,None
7, 21.605976388023908,19.513346403814616,21.900846316761825,1.6709979,5.749999,99.97419385579481,First,non,InsideOvertaking,False,None
8, 19.48698670856004,19.48698670856004,21.900846316761825,2.156519,5.749999,99.97296434451899,First,non,non,False,None
9, 19.524229849012645,19.524229849012645,21.900846316761825,2.7027302,5.749999,99.96993690469411,First,non,non,False,None
10, 19.410325741412407,19.410325741412407,21.900846316761825,3.3096313,5.749999,99.96427744575618,First,non,non,False,None
11, 19.526778774057135,19.526778774057135,21.900846316761825,3.977223,5.749999,99.95519512628155,First,non,non,False,None
12, 19.48004247685687,19.48004247685687,21.900846316761825,4.7055044,5.749999,99.94186821260347,First,non,non,False,None
13, 19.414836397976103,19.414836397976103,21.900846316761825,5.4944763,5.749999,99.92349968484969,First,non,non,False,None
14, 19.48026049116565,19.48026049116565,21.900846316761825,6.344138,5.749999,99.89926780935343,First,non,non,False,None
15, 19.41773669593265,19.41773669593265,21.900846316761825,7.25449,5.749999,99.86837556624245,First,non,non,False,None
16, 19.48585419640297,19.48585419640297,21.900846316761825,8.225532,5.749999,99.83000122185,First,non,non,False,None
17, 19.499072850763174,19.499072850763174,21.900846316761825,9.257264,5.749999,99.78335393475241,First,non,non,False,None
18, 19.533181241652834,19.533181241652834,21.900846316761825,10.285996,5.749999,99.73712060371251,First,non,non,False,None
19, 19.522515297313955,19.522515297313955,21.900846316761825,11.3117285,5.749999,99.6913259425248,First,non,non,False,None
20, 19.41764487096802,19.41764487096802,21.900846316761825,12.334461,5.749999,99.64595141584338,First,non,non,False,None
21, 20.61588881300791,19.426209740726165,21.900846316761825,13.356662,5.699999,99.6004718555354,First,non,InsideOvertaking,False,None
22, 20.469108060827708,19.463224329125094,21.900846316761825,14.379553,5.6499987,99.55490579694671,First,non,InsideOvertaking,False,None
23, 21.225334666235376,19.42538019189761,21.900846316761825,15.403135,5.5999985,99.50923470473144,First,non,InsideOvertaking,False,None
24, 20.77173995325388,19.50791277747388,21.900846316761825,16.427408,5.5499983,99.46347711423546,First,non,InsideOvertaking,False,None
25, 21.312236039066573,19.433743390288406,21.900846316761825,17.452372,5.499998,99.41760831166427,First,non,InsideOvertaking,False,None
26, 19.510443104467573,19.510443104467573,21.900846316761825,18.475555,5.499998,99.37217200049663,First,non,non,False,None
27, 19.500167246822468,19.500167246822468,21.900846316761825,19.495739,5.499998,99.32715582383531,First,non,non,False,None
