turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 19.509618484505303,19.509618484505303,21.098379044207654,0.06028953,9,99.9885709371379,First,non,non,False,None
2, 19.490040142982284,19.490040142982284,21.098379044207654,0.18086858,9,99.98105843432148,First,non,non,False,None
3, 19.51985478024645,19.51985478024645,21.098379044207654,0.3617372,9,99.97662008537723,First,non,non,False,None
4, 19.49637091708977,19.49637091708977,21.098379044207654,0.6028953,9,99.9744700636507,First,non,non,False,None
5, 19.471634893224966,19.471634893224966,21.098379044207654,0.904343,9,99.9737785361948,First,non,non,False,None
6, 19.5013020827059,19.5013020827059,21.098379044207654,1.2660801,9,99.97374081651539,First,non,non,False,None
7, 19.473569811962694,19.473569811962694,21.098379044207654,1.6881068,9,99.97354593150509,First,non,non,False,None
8, 19.44777061093333,19.44777061093333,21.098379044207654,2.170423,9,99.97237662144329,First,non,non,False,None
9, 19.5016822855915,19.5016822855915,21.098379044207654,2.713029,9,99.9694219132226,First,non,non,False,None
10, 19.43802031004813,19.43802031004813,21.098379044207654,3.3159242,9,99.96387083373567,First,non,non,False,None
11, 19.521422107928075,19.521422107928075,21.098379044207654,3.979109,9,99.95489983664864,First,non,non,False,None
12, 19.535985808995733,19.535985808995733,21.098379044207654,4.7025833,9,99.94171680869383,First,non,non,False,None
13, 19.46202826849424,19.46202826849424,21.098379044207654,5.486347,9,99.9234982035374,First,non,non,False,None
14, 19.447156986918905,19.447156986918905,21.098379044207654,6.3304005,9,99.89943304807197,First,non,non,False,None
15, 19.545927650924817,19.545927650924817,21.098379044207654,7.2347436,9,99.86870408257693,First,non,non,False,None
16, 19.477631933680524,19.477631933680524,21.098379044207654,8.199376,9,99.83050662055813,First,non,non,False,None
17, 19.438771722014614,19.438771722014614,21.098379044207654,9.2242985,9,99.78402340229496,First,non,non,False,None
18, 19.453234681796765,19.453234681796765,21.098379044207654,10.246221,9,99.73796138711857,First,non,non,False,None
19, 20.225363674177498,19.48746375398986,21.098379044207654,11.263915,8.95,99.69234572148191,First,non,InsideOvertaking,False,None
20, 20.394350913308394,19.519764295342174,21.098379044207654,12.281899,8.9,99.64667976293936,First,non,InsideOvertaking,False,None
21, 20.068091768230047,19.471510097874305,21.098379044207654,13.29688,8.849999,99.60143500748359,First,non,InsideOvertaking,False,None
22, 21.172268767298906,19.53411427061816,21.098379044207654,14.31215,8.799999,99.55616510557486,First,non,InsideOvertaking,False,None
23, 21.226711179263834,19.505987681521002,21.098379044207654,15.32771,8.749999,99.51083862414703,First,non,InsideOvertaking,False,None
24, 21.373493433062222,19.4819287380763,21.098379044207654,16.343561,8.699999,99.46548070965302,First,non,InsideOvertaking,False,None
25, 20.50386530515318,19.55787646504246,21.098379044207654,17.359701,8.649999,99.42007878886635,First,non,InsideOvertaking,False,None
26, 20.44319716278297,19.542287275617806,21.098379044207654,18.376131,8.599998,99.37463914840028,First,non,InsideOvertaking,False,None
27, 21.36663632109018,19.463209447106838,21.098379044207654,19.39285,8.549998,99.32914921502832,First,non,InsideOvertaking,False,None
28, 21.155621529701893,19.45555465776706,21.098379044207654,20.40986,8.499998,99.28362784859019,First,non,InsideOvertaking,False,None
29, 20.91368881588128,19.550109377242798,21.098379044207654,21.42716,8.449998,99.23806247585941,First,non,InsideOvertaking,False,None
30, 19.948488474898078,19.54468555597643,21.098379044207654,22.441456,8.399998,99.19291201960216,First,non,InsideOvertaking,False,None
31, 21.05360783853306,19.479769433793628,21.098379044207654,23.456041,8.3499975,99.14773641689197,First,non,InsideOvertaking,False,None
32, 19.95387386774492,19.537375063999246,21.098379044207654,24.467625,8.299997,99.10297573065533,First,non,InsideOvertaking,False,None
33, 20.49742631337101,19.54086135382319,21.098379044207654,25.479496,8.249997,99.05818361135252,First,non,InsideOvertaking,False,None
34, 19.917719861703688,19.532819307478096,21.098379044207654,26.488365,8.199997,99.01381269513648,First,non,InsideOvertaking,False,None
35, 19.817933514945516,19.56213831666832,21.098379044207654,27.49423,8.149997,98.96985669539397,First,non,InsideOvertaking,False,None
36, 20.638602094749455,19.533093853778823,21.098379044207654,28.500385,8.099997,98.92586297597205,First,non,InsideOvertaking,False,None
37, 20.532090647234764,19.46921834357971,21.098379044207654,29.50683,8.049996,98.88183782348396,First,non,InsideOvertaking,False,None
38, 20.15157491747481,19.549148209140153,21.098379044207654,30.510271,7.999996,98.83822130085619,First,non,InsideOvertaking,False,None
39, 20.165664856695347,19.558541091088365,21.098379044207654,31.514002,7.949996,98.79456705854899,First,non,InsideOvertaking,False,None
40, 20.22336327537763,19.44460636953958,21.098379044207654,32.51802,7.899996,98.75086880994914,First,non,InsideOvertaking,False,None
41, 21.148055083538964,19.438357284621745,21.098379044207654,33.52233,7.8499956,98.70713284166989,First,non,InsideOvertaking,False,None
42, 21.63460051548222,19.547369567439773,21.098379044207654,34.52693,7.7999954,98.66336544032444,First,non,InsideOvertaking,False,None
43, 21.28711196865108,19.48991554710809,21.098379044207654,35.531822,7.749995,98.61954774607312,First,non,InsideOvertaking,False,None
44, 19.53619149924507,19.53619149924507,21.098379044207654,36.534954,7.749995,98.57615125490858,First,non,non,False,None
45, 19.470387513955213,19.470387513955213,21.098379044207654,37.535088,7.749995,98.53317596683083,First,non,non,False,None
46, 19.50866133391201,19.50866133391201,21.098379044207654,38.532223,7.749995,98.49060302200013,First,non,non,False,None
47, 19.56237839614897,19.56237839614897,21.098379044207654,39.526356,7.749995,98.44845128025621,First,non,non,False,None
48, 19.495250859246184,19.495250859246184,21.098379044207654,40.51749,7.749995,98.40671445498583,First,non,non,False,None
49, 19.51566348409058,19.51566348409058,21.098379044207654,41.505623,7.749995,98.36537997296253,First,non,non,False,None
50, 19.538332088939583,19.538332088939583,21.098379044207654,42.490757,7.749995,98.32446040741277,First,non,non,False,None
51, 19.557068791597633,19.557068791597633,21.098379044207654,43.47289,7.749995,98.2839306118836,First,non,non,False,None
52, 19.50086259224177,19.50086259224177,21.098379044207654,44.452023,7.749995,98.24380944621475,First,non,non,False,None
53, 19.509911485876337,19.509911485876337,21.098379044207654,45.428158,7.749995,98.20409691040621,First,non,non,False,None
54, 19.48224606100641,19.48224606100641,21.098379044207654,46.40129,7.749995,98.16478043123149,First,non,non,False,None
55, 19.487457052725354,19.487457052725354,21.098379044207654,47.374714,7.749995,98.12541994576412,First,non,non,False,None
56, 19.54005581202871,19.54005581202871,21.098379044207654,48.348427,7.749995,98.08602802723058,First,non,non,False,None
57, 19.50328039565525,19.50328039565525,21.098379044207654,49.32243,7.749995,98.0465921024044,First,non,non,False,None
58, 19.458187512302448,19.458187512302448,21.098379044207654,50.29343,7.749995,98.00755223421204,First,non,non,False,None
59, 19.44975133899871,19.44975133899871,21.098379044207654,51.26472,7.749995,97.96848093295353,First,non,non,False,None
60, 19.492866569601567,19.492866569601567,21.098379044207654,52.2363,7.749995,97.92936562540234,First,non,non,False,None
61, 19.558260853030404,19.558260853030404,21.098379044207654,53.20817,7.749995,97.89021888478499,First,non,non,False,None
62, 19.46912629606639,19.46912629606639,21.098379044207654,54.180332,7.749995,97.85102813787498,First,non,non,False,None
63, 19.503507910512266,19.503507910512266,21.098379044207654,55.152782,7.749995,97.81179338467233,First,non,non,False,None
64, 19.55849745170308,19.55849745170308,21.098379044207654,56.125523,7.749995,97.77253348501674,First,non,non,False,None
65, 19.510609205835063,19.510609205835063,21.098379044207654,57.098553,7.749995,97.73322329245526,First,non,non,False,None
66, 19.971506005262867,19.479580061845766,21.098379044207654,58.070587,7.699995,97.69388166682761,First,non,InsideOvertaking,False,None
67, 20.26035570253259,19.463247851892564,21.098379044207654,59.04291,7.649995,97.65450232152054,First,non,InsideOvertaking,False,None
68, 20.462815079853705,19.49894400638424,21.098379044207654,60.015526,7.5999947,97.61508525653406,First,non,InsideOvertaking,False,None
69, 20.13974064918332,19.525618460632202,21.098379044207654,60.98843,7.5499945,97.57562418525492,First,non,InsideOvertaking,False,None
70, 21.59343006749675,19.517927255205116,21.098379044207654,61.961624,7.4999943,97.53612539429638,First,non,InsideOvertaking,False,None
71, 20.504857900964375,19.489406128155835,21.098379044207654,62.93511,7.449994,97.49658888365842,First,non,InsideOvertaking,False,None
72, 20.246854965654308,19.518877904653326,21.098379044207654,63.908882,7.399994,97.45701465334106,First,non,InsideOvertaking,False,None
73, 20.300865907842873,19.489566818944773,21.098379044207654,64.88294,7.3499937,97.41740898995751,First,non,InsideOvertaking,False,None
74, 20.28008575083258,19.519758685807727,21.098379044207654,65.85729,7.2999935,97.37775303366809,First,non,InsideOvertaking,False,None
75, 19.87891596370682,19.54829672910194,21.098379044207654,66.83193,7.2499933,97.33805935769924,First,non,InsideOvertaking,False,None
76, 21.560600300878423,19.444135680409516,21.098379044207654,67.80686,7.199993,97.29833424866422,First,non,InsideOvertaking,False,None
77, 20.893272550251467,19.44205670495006,21.098379044207654,68.78208,7.149993,97.25857141994979,First,non,InsideOvertaking,False,None
78, 20.747298890249297,19.4751468838043,21.098379044207654,69.75759,7.0999928,97.21875829832946,First,non,InsideOvertaking,False,None
79, 21.013463601247537,19.55225230498576,21.098379044207654,70.73339,7.0499926,97.17892003025621,First,non,InsideOvertaking,False,None
80, 20.16293497917507,19.442497340670688,21.098379044207654,71.70948,6.9999924,97.1390377558903,First,non,InsideOvertaking,False,None
81, 21.059393924259304,19.471528628755813,21.098379044207654,72.68586,6.949992,97.09911776184498,First,non,InsideOvertaking,False,None
82, 20.38189646413213,19.461183205558893,21.098379044207654,73.66253,6.899992,97.05916004812025,First,non,InsideOvertaking,False,None
83, 21.425448959239873,19.504846984611284,21.098379044207654,74.63949,6.849992,97.01915832810288,First,non,InsideOvertaking,False,None
84, 21.259090967158475,19.481954159551634,21.098379044207654,75.61674,6.7999916,96.9791251750193,First,non,InsideOvertaking,False,None
85, 19.94913584052766,19.47850501171048,21.098379044207654,76.59428,6.7499914,96.93904801564311,First,non,InsideOvertaking,False,None
86, 21.057218903524635,19.47166480574416,21.098379044207654,77.572105,6.699991,96.89892684997425,First,non,InsideOvertaking,False,None
87, 21.16986423525817,19.51141461433215,21.098379044207654,78.550224,6.649991,96.85877425123921,First,non,InsideOvertaking,False,None
88, 21.195953815606472,19.54303496774923,21.098379044207654,79.52863,6.599991,96.81857764621154,First,non,InsideOvertaking,False,None
89, 21.13949738796292,19.54450779115199,21.098379044207654,80.50733,6.5499907,96.77835589473091,First,non,InsideOvertaking,False,None
90, 20.430770327123295,19.455139642521537,21.098379044207654,81.48632,6.4999905,96.73807756373117,First,non,InsideOvertaking,False,None
91, 21.352879860402165,19.487267148362662,21.098379044207654,82.4656,6.4499903,96.69776779966524,First,non,InsideOvertaking,False,None
92, 19.979719487411337,19.44509377104651,21.098379044207654,83.44517,6.39999,96.65742660253315,First,non,InsideOvertaking,False,None
93, 21.416297721928636,19.515671055151635,21.098379044207654,84.425026,6.34999,96.61703511249517,First,non,InsideOvertaking,False,None
94, 20.348606685927617,19.45670824315861,21.098379044207654,85.405174,6.2999897,96.57661218939101,First,non,InsideOvertaking,False,None
95, 21.215665267646532,19.48474334800759,21.098379044207654,86.38561,6.2499895,96.5361452599942,First,non,InsideOvertaking,False,None
96, 21.137586157250297,19.517873531751867,21.098379044207654,87.36634,6.1999893,96.49564061091799,First,non,InsideOvertaking,False,None
