turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 19.472657727170734,19.472657727170734,21.94122890825783,0.060716122,1,99.98884101025185,First,non,non,False,None
2, 19.52719032762143,19.52719032762143,21.94122890825783,0.18214837,1,99.98151788473547,First,non,non,False,None
3, 19.46428294409843,19.46428294409843,21.94122890825783,0.36429673,1,99.97723733617879,First,non,non,False,None
4, 19.53369343533481,19.53369343533481,21.94122890825783,0.6071612,1,99.97517405018385,First,non,non,False,None
5, 19.483568868545074,19.483568868545074,21.94122890825783,0.9107418,1,99.97453350766602,First,non,non,False,None
6, 19.473457914088172,19.473457914088172,21.94122890825783,1.2750385,1,99.97450271235266,First,non,non,False,None
7, 19.465228918774834,19.465228918774834,21.94122890825783,1.7000513,1,99.97428098609649,First,non,non,False,None
8, 19.466051440167572,19.466051440167572,21.94122890825783,2.1857803,1,99.97305533262487,First,non,non,False,None
9, 19.416616592772815,19.416616592772815,21.94122890825783,2.7322254,1,99.97002507379051,First,non,non,False,None
10, 19.424633821203024,19.424633821203024,21.94122890825783,3.3393867,1,99.96437721332077,First,non,non,False,None
11, 19.47378757536753,19.47378757536753,21.94122890825783,4.007264,1,99.9553049140057,First,non,non,False,None
12, 19.410436519055086,19.410436519055086,21.94122890825783,4.7358575,1,99.94199517957266,First,non,non,False,None
13, 19.50618908575448,19.50618908575448,21.94122890825783,5.525167,1,99.92365349093703,First,non,non,False,None
14, 19.504418008764983,19.504418008764983,21.94122890825783,6.3751926,1,99.89946685182616,First,non,non,False,None
15, 19.4903218832396,19.4903218832396,21.94122890825783,7.2859344,1,99.86862226596745,First,non,non,False,None
16, 19.444253086843812,19.444253086843812,21.94122890825783,8.257393,1,99.83031289615091,First,non,non,False,None
17, 19.521102664252183,19.521102664252183,21.94122890825783,9.289567,1,99.78374422329195,First,non,non,False,None
18, 19.515444945336032,19.515444945336032,21.94122890825783,10.318741,1,99.7376005257573,First,non,non,False,None
19, 19.510120985351243,19.510120985351243,21.94122890825783,11.344915,1,99.69187564448433,First,non,non,False,None
20, 19.50876995202965,19.50876995202965,21.94122890825783,12.36809,1,99.64658805666102,First,non,non,False,None
21, 19.427598864176666,19.427598864176666,21.94122890825783,13.388264,1,99.6017131260367,First,non,non,False,None
22, 19.43244961121609,19.43244961121609,21.94122890825783,14.405437,1,99.55726317073672,First,non,non,False,None
23, 19.486297620118762,19.486297620118762,21.94122890825783,15.419612,1,99.51322587263572,First,non,non,False,None
24, 19.480891229882197,19.480891229882197,21.94122890825783,16.430786,1,99.4696012317337,First,non,non,False,None
25, 19.422960791302362,19.422960791302362,21.94122890825783,17.438961,1,99.42639540709335,First,non,non,False,None
26, 21.603838156118627,19.508078783981638,21.94122890825783,18.446611,0.95,99.38308487838759,First,non,InsideOvertaking,False,None
27, 19.706719023959067,19.473609684049517,21.94122890825783,19.451258,0.9,99.34019316594349,First,non,InsideOvertaking,False,None
28, 20.255904928783867,19.520950591246716,21.94122890825783,20.456621,0.84999996,99.29720906755931,First,non,InsideOvertaking,False,None
29, 20.251447685725864,19.502290606329126,21.94122890825783,21.462702,0.79999995,99.25411410604704,First,non,InsideOvertaking,False,None
30, 19.974522181948938,19.41210813331853,21.94122890825783,22.465778,0.74999994,99.21144411985911,First,non,InsideOvertaking,False,None
31, 21.091668151155957,19.519326139662084,21.94122890825783,23.469572,0.6999999,99.16866327054309,First,non,InsideOvertaking,False,None
32, 20.551194043572867,19.440997696747488,21.94122890825783,24.474083,0.6499999,99.12578387622433,First,non,InsideOvertaking,False,None
