turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 18.740735528179627,18.740735528179627,20.184019891635845,0.06028659,11,99.98862555088141,First,non,non,False,None
2, 18.67220179310346,18.67220179310346,20.184019891635845,0.18085977,11,99.98113231169872,First,non,non,False,None
3, 18.73004643083131,18.73004643083131,20.184019891635845,0.36171955,11,99.97671900040064,First,non,non,False,None
4, 18.726940038894966,18.726940038894966,20.184019891635845,0.60286593,11,99.97457807491988,First,non,non,False,None
5, 18.756947516574936,18.756947516574936,20.184019891635845,0.9042989,11,99.97388321314102,First,non,non,False,None
6, 18.65361305322099,18.65361305322099,20.184019891635845,1.2660184,11,99.9738519130609,First,non,non,False,None
7, 18.765058828691004,18.765058828691004,20.184019891635845,1.6880245,11,99.9736578525641,First,non,non,False,None
8, 18.69075372864736,18.69075372864736,20.184019891635845,2.1703172,11,99.97249348958333,First,non,non,False,None
9, 18.668259889616678,18.668259889616678,20.184019891635845,2.7128963,11,99.96955128205128,First,non,non,False,None
10, 18.68617348090733,18.68617348090733,20.184019891635845,3.3157623,11,99.96402368790064,First,non,non,False,None
11, 18.767948934346485,18.767948934346485,20.184019891635845,3.9789147,11,99.95509690504808,First,non,non,False,None
12, 18.73765956502736,18.73765956502736,20.184019891635845,4.702354,11,99.9419696514423,First,non,non,False,None
13, 18.70151552988215,18.70151552988215,20.184019891635845,5.4860797,11,99.92383438501602,First,non,non,False,None
14, 18.68992807590645,18.68992807590645,20.184019891635845,6.330092,11,99.89987104366988,First,non,non,False,None
15, 18.75828090245356,18.75828090245356,20.184019891635845,7.2343907,11,99.86928460536859,First,non,non,False,None
16, 18.768741612846725,18.768741612846725,20.184019891635845,8.1989765,11,99.83124248798077,First,non,non,False,None
17, 18.677456854763072,18.677456854763072,20.184019891635845,9.160562,11,99.79360727163461,First,non,non,False,None
18, 18.701192642689797,18.701192642689797,20.184019891635845,10.119147,11,99.75634765625,First,non,non,False,None
19, 18.994457278861386,18.728253389085182,20.184019891635845,11.073423,10.95,99.719482421875,First,non,InsideOvertaking,False,None
20, 19.716937549630348,18.665106927174957,20.184019891635845,12.027987,10.9,99.6825671073718,First,non,InsideOvertaking,False,None
21, 19.74505861810453,18.73069495562825,20.184019891635845,12.982837,10.849999,99.64562675280449,First,non,InsideOvertaking,False,None
22, 20.69087435341604,18.67851302141999,20.184019891635845,13.937974,10.799999,99.60864883814102,First,non,InsideOvertaking,False,None
23, 20.657018039770424,18.691120016544776,20.184019891635845,14.893398,10.749999,99.57162710336539,First,non,InsideOvertaking,False,None
24, 20.733009293149255,18.738778544370046,20.184019891635845,15.84911,10.699999,99.53458032852564,First,non,InsideOvertaking,False,None
25, 19.417349705689208,18.71250444727433,20.184019891635845,16.805107,10.649999,99.49748973357372,First,non,InsideOvertaking,False,None
26, 20.511130489957125,18.691737777024805,20.184019891635845,17.761393,10.599998,99.46035531850961,First,non,InsideOvertaking,False,None
27, 18.72432922759846,18.72432922759846,20.184019891635845,18.715984,10.599998,99.42362154447116,First,non,non,False,None
28, 18.692653285624793,18.692653285624793,20.184019891635845,19.667576,10.599998,99.38726337139423,First,non,non,False,None
29, 18.726461690664564,18.726461690664564,20.184019891635845,20.616167,10.599998,99.35127453926282,First,non,non,False,None
30, 18.712555566548062,18.712555566548062,20.184019891635845,21.561758,10.599998,99.315673828125,First,non,non,False,None
