turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 21.78416503646453,20.946312535062045,23.535066483353752,0.06051194,4,99.99327244234087,First,SpeedUp,non,False,None
2, 21.802154854972176,20.963610437473246,23.535066483353752,0.18153581,4,99.98884511579314,First,SpeedUp,non,False,None
3, 21.7786992044289,20.94105692733548,23.535066483353752,0.36307162,4,99.98624808066737,First,SpeedUp,non,False,None
4, 21.772574639974945,20.93516792305283,23.535066483353752,0.60511935,4,99.98499284702325,First,SpeedUp,non,False,None
5, 21.691919857740483,20.857615247827386,23.535066483353752,0.907679,4,99.98459710833743,First,SpeedUp,non,False,None
6, 21.78620899362347,20.948277878484106,23.535066483353752,1.2707506,4,99.98457855808653,First,SpeedUp,non,False,None
7, 21.71547105510991,20.880260629913373,23.535066483353752,1.6943343,4,99.98444870633023,First,SpeedUp,non,False,None
8, 21.782665837837495,20.944870997920667,23.535066483353752,2.1784298,4,99.98373761337913,First,SpeedUp,non,False,None
9, 21.78902823679579,20.95098868922672,23.535066483353752,2.7230372,4,99.98195060587592,First,SpeedUp,non,False,None
10, 21.77610119594755,20.938558842257258,23.535066483353752,3.3281565,4,99.97860537729726,First,SpeedUp,non,False,None
11, 21.691481870340617,20.857194106096745,23.535066483353752,3.9937878,4,99.97322580453674,First,SpeedUp,non,False,None
12, 21.79751271747373,20.95914684372474,23.535066483353752,4.719931,4,99.96532339765406,First,SpeedUp,non,False,None
13, 21.7443621936159,20.908040570784518,23.535066483353752,5.506586,4,99.95441585012584,First,SpeedUp,non,False,None
14, 21.689687459534163,20.85546871109054,23.535066483353752,6.353753,4,99.94002085542874,First,SpeedUp,non,False,None
15, 21.797031770646306,20.958684394852217,23.535066483353752,7.261432,4,99.92166229045637,First,SpeedUp,non,False,None
16, 21.768167104353626,20.930929908032333,23.535066483353752,8.229623,4,99.89883929843445,First,SpeedUp,non,False,None
17, 21.80019762607928,20.961728486614692,23.535066483353752,9.258326,4,99.87108193967359,First,SpeedUp,non,False,None
18, 21.724108286104457,20.888565659715823,23.535066483353752,10.347541,4,99.83790172423345,First,SpeedUp,non,False,None
19, 21.764096556087978,20.927015919315362,23.535066483353752,11.433756,4,99.80500594597375,First,SpeedUp,non,False,None
20, 21.770372651204436,20.93305062615811,23.535066483353752,12.520483,4,99.77207306721226,First,SpeedUp,non,False,None
21, 21.73003095025911,20.8942605290953,23.535066483353752,13.60421,4,99.7394060753803,First,SpeedUp,non,False,None
22, 21.747560465391,20.91111583210673,23.535066483353752,14.688449,4,99.70668961621261,First,SpeedUp,non,False,None
23, 21.79645215117302,20.958127068435598,23.535066483353752,15.773199,4,99.67393605654314,First,SpeedUp,non,False,None
24, 21.78606384708733,20.948138314507048,23.535066483353752,16.858461,4,99.64112684612097,First,SpeedUp,non,False,None
25, 21.73733584553763,20.901284466863103,23.535066483353752,17.944237,4,99.608280535197,First,SpeedUp,non,False,None
26, 21.750207504773318,20.913661062282035,23.535066483353752,19.030523,4,99.57537239010337,First,SpeedUp,non,False,None
27, 21.79799752508781,20.959613004892123,23.535066483353752,20.117321,4,99.54242714450794,First,SpeedUp,non,False,None
28, 21.73665790098785,20.9006325971037,23.535066483353752,21.204632,4,99.50943243157678,First,SpeedUp,non,False,None
29, 21.776950739109804,20.9393757106825,23.535066483353752,22.292454,4,99.47637588447596,First,SpeedUp,non,False,None
30, 21.748269579294984,20.91179767239902,23.535066483353752,23.377275,4,99.44361614138951,First,SpeedUp,non,False,None
31, 21.726393311993004,20.890762799993272,23.535066483353752,24.46261,4,99.41080693096734,First,SpeedUp,non,False,None
32, 21.750288863380888,20.913739291712393,23.535066483353752,25.548456,4,99.37794825320944,First,SpeedUp,non,False,None
33, 21.711515107091092,20.876456833741432,23.535066483353752,26.631302,4,99.34535546238108,First,SpeedUp,non,False,None
34, 21.775717007020884,20.938189429827773,23.535066483353752,27.71466,4,99.31273175446789,First,SpeedUp,non,False,None
35, 21.784267333582196,20.94641089767519,23.535066483353752,28.79853,4,99.280052395802,First,SpeedUp,non,False,None
36, 21.694787465483444,20.860372562964848,23.535066483353752,29.882912,4,99.24732975321736,First,SpeedUp,non,False,None
37, 21.736412131650223,20.900396280432904,23.535066483353752,30.967806,4,99.21455764329697,First,SpeedUp,non,False,None
38, 21.74383618557809,20.907534793825086,23.535066483353752,32.05321,4,99.18173606604087,First,SpeedUp,non,False,None
39, 21.689447687602676,20.855238161156418,23.535066483353752,33.135616,4,99.14919892596521,First,SpeedUp,non,False,None
40, 21.769586432794384,20.932294646917676,23.535066483353752,34.218533,4,99.11660613513685,First,SpeedUp,non,False,None
41, 21.782451475219418,20.94466488001867,23.535066483353752,35.301964,4,99.08397006038972,First,SpeedUp,non,False,None
42, 21.75948145913614,20.92257832609244,23.535066483353752,36.385906,4,99.05128451830687,First,SpeedUp,non,False,None
43, 21.698422985696745,20.863868255477637,23.535066483353752,37.47036,4,99.01855569230526,First,SpeedUp,non,False,None
44, 21.747627296750036,20.91118009302888,23.535066483353752,38.555325,4,98.98578358238488,First,SpeedUp,non,False,None
45, 21.696757944938444,20.862267254748502,23.535066483353752,39.63729,4,98.95327735939404,First,SpeedUp,non,False,None
46, 21.76365415020676,20.92659052904496,23.535066483353752,40.71977,4,98.92072785248445,First,SpeedUp,non,False,None
47, 21.77084201238811,20.933501934988566,23.535066483353752,41.802757,4,98.88812887823912,First,SpeedUp,non,False,None
48, 21.774136655276013,20.93666986084232,23.535066483353752,42.886257,4,98.855492803492,First,SpeedUp,non,False,None
49, 21.715006093624282,20.87981355156181,23.535066483353752,43.970272,4,98.82280107799218,First,SpeedUp,non,False,None
50, 21.766219366577786,20.92905708324787,23.535066483353752,45.0548,4,98.7900660685736,First,SpeedUp,non,False,None
51, 21.7613153167031,20.92434165067606,23.535066483353752,46.139835,4,98.75727540840232,First,SpeedUp,non,False,None
52, 21.692419533445374,20.858095705235936,23.535066483353752,47.221874,4,98.72477536882845,First,SpeedUp,non,False,None
53, 21.747662424664426,20.91121386986964,23.535066483353752,48.304424,4,98.69221349508493,First,SpeedUp,non,False,None
54, 21.6869336327961,20.852820800765482,23.535066483353752,49.387486,4,98.6596145208396,First,SpeedUp,non,False,None
55, 21.779723550498158,20.942041875478996,23.535066483353752,50.471058,4,98.62695989584158,First,SpeedUp,non,False,None
56, 21.735246756711383,20.899275727607098,23.535066483353752,51.55514,4,98.59426198692479,First,SpeedUp,non,False,None
57, 21.807878765771488,20.9691141978572,23.535066483353752,52.63974,4,98.56152079408925,First,SpeedUp,non,False,None
58, 21.774443707215745,20.936965103092064,23.535066483353752,53.72485,4,98.52873013391797,First,SpeedUp,non,False,None
59, 21.782169691663327,20.94439393429166,23.535066483353752,54.81047,4,98.49589000641096,First,SpeedUp,non,False,None
60, 21.758925173161852,20.92204343573255,23.535066483353752,55.896603,4,98.46300041156823,First,SpeedUp,non,False,None
61, 21.799007799440584,20.96058442253902,23.535066483353752,56.983246,4,98.43006753280673,First,SpeedUp,non,False,None
62, 21.705739179747773,20.87090305744978,23.535066483353752,58.06689,4,98.39740672439174,First,SpeedUp,non,False,None
63, 21.787490999061337,20.949510576020515,23.535066483353752,59.151047,4,98.364702632058,First,SpeedUp,non,False,None
64, 21.753622759335176,20.916944960899208,23.535066483353752,60.235714,4,98.33196143922245,First,SpeedUp,non,False,None
65, 21.760825965257826,20.923871120440218,23.535066483353752,61.320896,4,98.29915841221724,First,SpeedUp,non,False,None
66, 21.693971338977292,20.859587825939702,23.535066483353752,62.403076,4,98.26663982239248,First,SpeedUp,non,False,None
67, 21.710128086121593,20.8751231597323,23.535066483353752,63.485767,4,98.23407176523197,First,SpeedUp,non,False,None
68, 21.785832631017936,20.9479159913634,23.535066483353752,64.56897,4,98.20145424073576,First,SpeedUp,non,False,None
69, 21.699316797002787,20.864727689425756,23.535066483353752,65.65269,4,98.16879961573774,First,SpeedUp,non,False,None
70, 21.75904206588431,20.922155832581065,23.535066483353752,66.736916,4,98.13608315657005,First,SpeedUp,non,False,None
71, 21.791325038306752,20.95319715221803,23.535066483353752,67.821655,4,98.10332341348361,First,SpeedUp,non,False,None
72, 21.75291928607344,20.91626854430138,23.535066483353752,68.906906,4,98.07052038647839,First,SpeedUp,non,False,None
73, 21.78803495403349,20.950033609647583,23.535066483353752,69.99267,4,98.03766789213746,First,SpeedUp,non,False,None
74, 21.74665214038074,20.910242442673788,23.535066483353752,71.07894,4,98.00475974704383,First,SpeedUp,non,False,None
75, 21.6904175477721,20.856170719011633,23.535066483353752,72.16222,4,97.97214840596457,First,SpeedUp,non,False,None
76, 21.754613943199104,20.91789802230683,23.535066483353752,73.246,4,97.93946904729869,First,SpeedUp,non,False,None
77, 21.810524193709615,20.971657878566937,23.535066483353752,74.3303,4,97.906752588131,First,SpeedUp,non,False,None
78, 21.740413804282603,20.904244042579425,23.535066483353752,75.41511,4,97.87399284504455,First,SpeedUp,non,False,None
79, 21.771496416577012,20.934131169785587,23.535066483353752,76.500435,4,97.84118363462238,First,SpeedUp,non,False,None
80, 21.786868125212404,20.94891165885808,23.535066483353752,77.58627,4,97.80832495686448,First,SpeedUp,non,False,None
81, 21.756778208648516,20.919979046777417,23.535066483353752,78.67262,4,97.77541681177085,First,SpeedUp,non,False,None
82, 21.778957968760878,20.94130573919315,23.535066483353752,79.75948,4,97.74245919934148,First,SpeedUp,non,False,None
83, 21.76925393187792,20.931974934497998,23.535066483353752,80.846855,4,97.70945830299337,First,SpeedUp,non,False,None
84, 21.754730913017458,20.918010493286015,23.535066483353752,81.93474,4,97.67640175589254,First,SpeedUp,non,False,None
85, 21.740736529821664,20.904554355597753,23.535066483353752,83.01962,4,97.64362964597217,First,SpeedUp,non,False,None
86, 21.772256029518378,20.934861566844592,23.535066483353752,84.10502,4,97.61081425213303,First,SpeedUp,non,False,None
87, 21.802687035545137,20.96412214956263,23.535066483353752,85.190926,4,97.57795557437512,First,SpeedUp,non,False,None
88, 21.68525955139675,20.85121110711226,23.535066483353752,86.273834,4,97.54536278354676,First,SpeedUp,non,False,None
89, 21.74206054423716,20.90582744638188,23.535066483353752,87.357254,4,97.51272670879965,First,SpeedUp,non,False,None
90, 21.74347035231208,20.90718303106931,23.535066483353752,88.441185,4,97.48004116671679,First,SpeedUp,non,False,None
91, 21.683012881269825,20.84905084737483,23.535066483353752,89.52563,4,97.44730615729821,First,SpeedUp,non,False,None
92, 21.69190813107483,20.857603972187334,23.535066483353752,90.61058,4,97.41453404737783,First,SpeedUp,non,False,None
93, 21.72460634969383,20.889044567013297,23.535066483353752,91.696045,4,97.38170628670476,First,SpeedUp,non,False,None
94, 21.740393163188994,20.90422419537403,23.535066483353752,92.78202,4,97.34883524211293,First,SpeedUp,non,False,None
95, 21.71471208843428,20.87953085426373,23.535066483353752,93.865,4,97.3162362678676,First,SpeedUp,non,False,None
96, 21.784275294840487,20.946418552731238,23.535066483353752,94.94849,4,97.28360019312048,First,SpeedUp,non,False,None
97, 21.720468934795104,20.88506628345683,23.535066483353752,96.032486,4,97.25090846762066,First,SpeedUp,non,False,None
98, 21.680917423544898,20.847035984177786,23.535066483353752,97.117004,4,97.21817345820207,First,SpeedUp,non,False,None
99, 21.746219993561606,20.90982691688616,23.535066483353752,98.202034,4,97.18539516486473,First,SpeedUp,non,False,None
100, 21.759372732316518,20.922473781073574,23.535066483353752,99.287575,4,97.15255503735773,First,SpeedUp,non,False,None
101, 21.782853204587685,20.94505115825739,23.535066483353752,100.37363,4,97.11967162593196,First,SpeedUp,non,False,None
102, 21.753764251367272,20.91708101093007,23.535066483353752,101.46019,4,97.08674493058743,First,SpeedUp,non,False,None
103, 21.682750180275473,20.848798250264878,23.535066483353752,102.543755,4,97.05410267242334,First,SpeedUp,non,False,None
104, 21.785629716974068,20.947720881705834,23.535066483353752,103.62783,4,97.02140476350655,First,SpeedUp,non,False,None
105, 21.7125199876456,20.877423065043846,23.535066483353752,104.71242,4,96.98866357067101,First,SpeedUp,non,False,None
106, 21.808421030595547,20.96963560634187,23.535066483353752,105.797516,4,96.95587291049974,First,SpeedUp,non,False,None
107, 21.692565797557144,20.858236343804947,23.535066483353752,106.879616,4,96.92336050409193,First,SpeedUp,non,False,None
108, 21.72007869908843,20.884691056815797,23.535066483353752,107.96223,4,96.8907986303484,First,SpeedUp,non,False,None
109, 21.7000493285522,20.86543204668481,23.535066483353752,109.04535,4,96.85819347268611,First,SpeedUp,non,False,None
110, 21.67932501460084,20.845504821731573,23.535066483353752,110.12898,4,96.8255388476881,First,SpeedUp,non,False,None
111, 21.71128101377326,20.87623174401275,23.535066483353752,111.21313,4,96.79283475535433,First,SpeedUp,non,False,None
112, 21.726780606179297,20.891135198249323,23.535066483353752,112.29778,4,96.76008119568486,First,SpeedUp,non,False,None
113, 21.68458446871463,20.85056198914868,23.535066483353752,113.37944,4,96.72760588977886,First,SpeedUp,non,False,None
114, 21.718279903785668,20.882961445947757,23.535066483353752,114.46161,4,96.69509348337105,First,SpeedUp,non,False,None
115, 21.68734490114994,20.853216251105714,23.535066483353752,115.54429,4,96.66252542621056,First,SpeedUp,non,False,None
116, 21.7797122128651,20.94203097390875,23.535066483353752,116.62748,4,96.62990790171433,First,SpeedUp,non,False,None
117, 21.77395537569021,20.93649555354828,23.535066483353752,117.71118,4,96.59725327671632,First,SpeedUp,non,False,None
118, 21.792557300861187,20.954382020058834,23.535066483353752,118.7954,4,96.56453681754863,First,SpeedUp,non,False,None
119, 21.787977116904123,20.949977997023193,23.535066483353752,119.880135,4,96.53178325787916,First,SpeedUp,non,False,None
120, 21.774303248213574,20.936830046359205,23.535066483353752,120.96538,4,96.49897404745698,First,SpeedUp,non,False,None
121, 21.711485989403187,20.876428835964603,23.535066483353752,122.05113,4,96.46612773653301,First,SpeedUp,non,False,None
122, 21.79939155634495,20.96095341956245,23.535066483353752,123.1374,4,96.43322577485634,First,SpeedUp,non,False,None
123, 21.680269675924336,20.846413149927244,23.535066483353752,124.220665,4,96.40060206694315,First,SpeedUp,non,False,None
124, 21.763927500956143,20.926853366303984,23.535066483353752,125.30444,4,96.3679350751112,First,SpeedUp,non,False,None
125, 21.79992493685753,20.961466285439933,23.535066483353752,126.38873,4,96.33521861594352,First,SpeedUp,non,False,None
126, 21.688589710640215,20.854413183307898,23.535066483353752,127.47353,4,96.30245887285707,First,SpeedUp,non,False,None
127, 21.767865592106567,20.93063999241016,23.535066483353752,128.55885,4,96.2696496624349,First,SpeedUp,non,False,None
128, 21.792437825301782,20.954267139713252,23.535066483353752,129.64468,4,96.236790984677,First,SpeedUp,non,False,None
129, 21.693803184032475,20.859426138492765,23.535066483353752,130.72751,4,96.20421056068257,First,SpeedUp,non,False,None
130, 21.753671420026855,20.916991750025822,23.535066483353752,131.81085,4,96.17158066935241,First,SpeedUp,non,False,None
131, 21.721282469292422,20.88584852816579,23.535066483353752,132.8947,4,96.13890749410349,First,SpeedUp,non,False,None
132, 21.68955775541039,20.855343995586914,23.535066483353752,133.97906,4,96.10618485151885,First,SpeedUp,non,False,None
133, 21.783421430614577,20.945597529437094,23.535066483353752,135.06393,4,96.07341274159846,First,SpeedUp,non,False,None
134, 21.802534328025036,20.96397531540869,23.535066483353752,136.14932,4,96.04059116434236,First,SpeedUp,non,False,None
135, 21.712324915840163,20.877235496000157,23.535066483353752,137.23521,4,96.00773248658446,First,SpeedUp,non,False,None
136, 21.699398420017616,20.86480617309386,23.535066483353752,138.31812,4,95.97514587917306,First,SpeedUp,non,False,None
