turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 19.477576967765707,19.477576967765707,21.8352275428705,0.06064803,5,99.9888245206273,First,non,non,False,None
2, 20.7489590061315,19.469840728598612,21.8352275428705,0.17115927,4.95,99.98147985892724,First,non,InsideOvertaking,False,None
3, 19.624826800625346,19.399062366863973,21.8352275428705,0.34609827,4.8999996,99.97718159763005,First,non,InsideOvertaking,False,None
4, 20.03713876418488,19.448155499289292,21.8352275428705,0.5834818,4.8499994,99.9751095520119,First,non,InsideOvertaking,False,None
5, 19.48624004943553,19.48624004943553,21.8352275428705,0.88672197,4.8499994,99.97446820455866,First,non,non,False,None
6, 20.939754653879763,19.417953607861424,21.8352275428705,1.2471586,4.799999,99.97443737054648,First,non,InsideOvertaking,False,None
7, 19.769529390089154,19.489260966333102,21.8352275428705,1.6687402,4.749999,99.97421536565882,First,non,InsideOvertaking,False,None
8, 20.568922202826435,19.432510603503527,21.8352275428705,2.1513412,4.699999,99.97300050557912,First,non,InsideOvertaking,False,None
9, 19.95227821935042,19.405945148560033,21.8352275428705,2.6948786,4.6499987,99.9699972727933,First,non,InsideOvertaking,False,None
10, 19.820010139647522,19.45006397552639,21.8352275428705,3.2992942,4.5999985,99.96436698217015,First,non,InsideOvertaking,False,None
11, 20.525518969600395,19.39578786153776,21.8352275428705,3.9645462,4.5499983,99.95533261660289,First,non,InsideOvertaking,False,None
12, 20.05367211833398,19.421158084906775,21.8352275428705,4.6906033,4.499998,99.94207399136766,First,non,InsideOvertaking,False,None
13, 19.442048128988528,19.442048128988528,21.8352275428705,5.4790277,4.499998,99.92378325534548,First,non,non,False,None
14, 19.440406268261995,19.440406268261995,21.8352275428705,6.3281,4.499998,99.8996587242198,First,non,non,False,None
15, 19.416982499328604,19.416982499328604,21.8352275428705,7.2378206,4.499998,99.86889871367407,First,non,non,False,None
16, 20.269866755915547,19.505883875128966,21.8352275428705,8.2069,4.449998,99.83068303898445,First,non,InsideOvertaking,False,None
17, 21.316097488685507,19.466856828790572,21.8352275428705,9.236703,4.3999977,99.78422234943925,First,non,InsideOvertaking,False,None
18, 20.01634272966321,19.500528301463053,21.8352275428705,10.263503,4.3499975,99.73818100245961,First,non,InsideOvertaking,False,None
19, 20.420027546826468,19.396875886328292,21.8352275428705,11.287299,4.2999973,99.69257749845286,First,non,InsideOvertaking,False,None
20, 20.524013781070405,19.42769607506854,21.8352275428705,12.311745,4.249997,99.6468629920023,First,non,InsideOvertaking,False,None
21, 19.74032849015596,19.403134167636242,21.8352275428705,13.333186,4.199997,99.6015863285246,First,non,InsideOvertaking,False,None
22, 20.17653636259426,19.405231488110235,21.8352275428705,14.3516245,4.1499968,99.55673517441492,First,non,InsideOvertaking,False,None
23, 21.066523590348943,19.391897883149777,21.8352275428705,15.370711,4.0999966,99.5117853514663,First,non,InsideOvertaking,False,None
24, 19.84209005044854,19.482687266435903,21.8352275428705,16.386795,4.0499964,99.46725487108324,First,non,InsideOvertaking,False,None
25, 21.20380863090398,19.4362795103129,21.8352275428705,17.403526,3.9999964,99.42263188866366,First,non,InsideOvertaking,False,None
26, 20.156126939093642,19.485688371984665,21.8352275428705,18.417255,3.9499965,99.37843441561209,First,non,InsideOvertaking,False,None
27, 21.2917163974693,19.447381120054352,21.8352275428705,19.431633,3.8999965,99.33413827372156,First,non,InsideOvertaking,False,None
28, 20.40401952597454,19.41351948744854,21.8352275428705,20.44666,3.8499966,99.28976196339939,First,non,InsideOvertaking,False,None
29, 19.71633478574603,19.439988254131624,21.8352275428705,21.458681,3.7999966,99.24579266203791,First,non,InsideOvertaking,False,None
30, 19.964886247387554,19.405972613953796,21.8352275428705,22.4677,3.7499967,99.20224887004446,First,non,InsideOvertaking,False,None
31, 20.73187820980495,19.39570215947096,21.8352275428705,23.477367,3.6999967,99.15860640921204,First,non,InsideOvertaking,False,None
32, 19.987910361631652,19.433404401411757,21.8352275428705,24.484032,3.6499968,99.1153832909452,First,non,InsideOvertaking,False,None
33, 20.146205070460102,19.497640375999264,21.8352275428705,25.487692,3.5999968,99.07257334844151,First,non,InsideOvertaking,False,None
34, 21.27392971910125,19.501323697724345,21.8352275428705,26.492,3.5499969,99.02967090390129,First,non,InsideOvertaking,False,None
35, 20.16922930785615,19.47095864899019,21.8352275428705,27.496958,3.499997,98.98668212412697,First,non,InsideOvertaking,False,None
36, 19.78148917287489,19.456468102529428,21.8352275428705,28.49891,3.449997,98.94410035331337,First,non,InsideOvertaking,False,None
37, 19.486023564108486,19.486023564108486,21.8352275428705,29.499111,3.449997,98.90193175826292,First,non,non,False,None
38, 19.453079158180408,19.453079158180408,21.8352275428705,30.496311,3.449997,98.8601763389756,First,non,non,False,None
39, 19.459670587458263,19.459670587458263,21.8352275428705,31.490513,3.449997,98.81881559504414,First,non,non,False,None
40, 21.34132755184363,19.40159277957264,21.8352275428705,32.484104,3.399997,98.77736234907614,First,non,InsideOvertaking,False,None
41, 19.934468525036138,19.455262246908994,21.8352275428705,33.478344,3.349997,98.73583510147893,First,non,InsideOvertaking,False,None
42, 19.470135548039234,19.470135548039234,21.8352275428705,34.47084,3.349997,98.69470869603998,First,non,non,False,None
43, 20.22185957954664,19.510229357045546,21.8352275428705,35.462727,3.299997,98.65348978856451,First,non,InsideOvertaking,False,None
44, 19.902414730414602,19.49394702828749,21.8352275428705,36.45526,3.2499971,98.6121907126574,First,non,InsideOvertaking,False,None
45, 20.368313103867006,19.418831133427886,21.8352275428705,37.448444,3.1999972,98.57079913471375,First,non,InsideOvertaking,False,None
46, 20.497669541516405,19.473079847091103,21.8352275428705,38.442276,3.1499972,98.52931505473357,First,non,InsideOvertaking,False,None
47, 20.044242066905184,19.415853785491404,21.8352275428705,39.436756,3.0999973,98.48775697312418,First,non,InsideOvertaking,False,None
