turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.716804166788343,20.716804166788343,22.314505518146973,0.06019349,7,99.96882755126649,First,non,non,False,None,False
2, 20.646820021152287,20.646820021152287,22.314505518146973,0.18058047,7,99.94674731998381,First,non,non,False,None,False
3, 20.633646451130417,20.633646451130417,22.314505518146973,0.36116093,7,99.93220949635922,First,non,non,False,None,False
4, 20.604596033391886,20.604596033391886,22.314505518146973,0.6019349,7,99.92363388217264,First,non,non,False,None,False
5, 20.712601387275086,20.712601387275086,22.314505518146973,0.90290236,7,99.91945851226039,First,non,non,False,None,False
6, 20.617603005185746,20.617603005185746,22.314505518146973,1.2640634,7,99.91810926608787,First,non,non,False,None,False
7, 20.69349262116418,20.69349262116418,22.314505518146973,1.6854178,7,99.91804241154779,First,non,non,False,None,False
8, 20.62823535323339,20.62823535323339,22.314505518146973,2.1669657,7,99.9176595173637,First,non,non,False,None,False
9, 20.669233001314737,20.669233001314737,22.314505518146973,2.708707,7,99.91542900679923,First,non,non,False,None,False
10, 20.703938158120984,20.703938158120984,22.314505518146973,3.310642,7,99.90975852626337,First,non,non,False,None,False
11, 20.654211506294203,20.654211506294203,22.314505518146973,3.9727705,7,99.8990982659634,First,non,non,False,None,False
12, 20.696753301332752,20.696753301332752,22.314505518146973,4.695092,7,99.88186802767923,First,non,non,False,None,False
13, 20.618225797987698,20.618225797987698,22.314505518146973,5.4776077,7,99.85652407930358,First,non,non,False,None,False
14, 20.70042806777723,20.70042806777723,22.314505518146973,6.320317,7,99.82148014493092,First,non,non,False,None,False
15, 20.610745272066858,20.610745272066858,22.314505518146973,7.223219,7,99.77516818171209,First,non,non,False,None,False
16, 20.70263377330565,20.70263377330565,22.314505518146973,8.186315,7,99.71604445753982,First,non,non,False,None,False
17, 20.637306677516733,20.637306677516733,22.314505518146973,9.209604,7,99.64252269650858,First,non,non,False,None,False
18, 20.655601209139892,20.655601209139892,22.314505518146973,10.293087,7,99.55304093345468,First,non,non,False,None,False
19, 20.698440578207105,20.698440578207105,22.314505518146973,11.3735695,7,99.46439789099452,First,non,non,False,None,False
20, 20.608233997538203,20.608233997538203,22.314505518146973,12.451053,7,99.3765753360717,First,non,non,False,None,False
21, 20.667928597129308,20.667928597129308,22.314505518146973,13.525536,7,99.28959150174259,First,non,non,False,None,False
22, 20.618160331318403,20.618160331318403,22.314505518146973,14.597018,7,99.20340992189445,First,non,non,False,None,False
23, 20.716788224721018,20.716788224721018,22.314505518146973,15.665501,7,99.1180549072691,First,non,non,False,None,False
24, 20.628119122690908,20.628119122690908,22.314505518146973,16.730984,7,99.03350822481018,First,non,non,False,None,False
25, 20.618450209009463,20.618450209009463,22.314505518146973,17.793467,7,98.9497820298886,First,non,non,False,None,False
26, 20.62576100474179,20.62576100474179,22.314505518146973,18.85295,7,98.8668520117625,First,non,non,False,None,False
27, 20.6192386203856,20.6192386203856,22.314505518146973,19.909431,7,98.78472424811737,First,non,non,False,None,False
28, 20.695633563857612,20.695633563857612,22.314505518146973,20.962914,7,98.7033987389532,First,non,non,False,None,False
29, 20.69733916920574,20.69733916920574,22.314505518146973,22.013397,7,98.62285725121359,First,non,non,False,None,False
