turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 22.015344531524455,21.168600511081205,22.765830947756566,0.060196437,4,99.98138238653965,First,SpeedUp,non,False,None,False
2, 21.905485143113538,21.062966483763017,22.765830947756566,0.18058932,4,99.96819213715924,First,SpeedUp,non,False,None,False
3, 21.998522334264976,21.15242532140863,22.765830947756566,0.36117864,4,99.95950351417287,First,SpeedUp,non,False,None,False
4, 21.974136089677483,21.12897700930527,22.765830947756566,0.60196435,4,99.95439077989467,First,SpeedUp,non,False,None,False
5, 22.001509263754148,21.155297368994372,22.765830947756566,0.90294653,4,99.95189189320013,First,SpeedUp,non,False,None,False
6, 21.96920078668037,21.124231525654203,22.765830947756566,1.2641251,4,99.95109321754957,First,SpeedUp,non,False,None,False
7, 22.006537718131288,21.160132421280082,22.765830947756566,1.6855001,4,99.95104481296468,First,SpeedUp,non,False,None,False
8, 22.021715065810863,21.17472602481814,22.765830947756566,2.1670716,4,99.95082699233271,First,SpeedUp,non,False,None,False
9, 21.932522480933297,21.088963923974323,22.765830947756566,2.7088394,4,99.94948376510223,First,SpeedUp,non,False,None,False
10, 21.99142185968131,21.14559794200126,22.765830947756566,3.310804,4,99.94610149473358,First,SpeedUp,non,False,None,False
11, 21.9021386023474,21.059748656103267,22.765830947756566,3.9729648,4,99.93972419067534,First,SpeedUp,non,False,None,False
12, 21.950065358264318,21.105832075254153,22.765830947756566,4.695322,4,99.92943821638785,First,SpeedUp,non,False,None,False
13, 21.99616246021724,21.150156211747344,22.765830947756566,5.4778757,4,99.9142875813197,First,SpeedUp,non,False,None,False
14, 22.008319313088517,21.161845493354342,22.765830947756566,6.320626,4,99.8933525983581,First,SpeedUp,non,False,None,False
15, 21.937491925771596,21.093742236318842,22.765830947756566,7.2235723,4,99.86568937809788,First,SpeedUp,non,False,None,False
16, 22.01361798603873,21.16694037119109,22.765830947756566,8.186715,4,99.83036008170694,First,SpeedUp,non,False,None,False
17, 21.93669692274003,21.09297781032695,22.765830947756566,9.210054,4,99.78643897149938,First,SpeedUp,non,False,None,False
18, 21.904456545430644,21.061977447529465,22.765830947756566,10.293591,4,99.73298820864312,First,SpeedUp,non,False,None,False
19, 21.990721351193223,21.14492437614733,22.765830947756566,11.437323,4,99.66905785315984,First,SpeedUp,non,False,None,False
20, 21.960214854055188,21.115591205822295,22.765830947756566,12.578054,4,99.60567809982962,First,SpeedUp,non,False,None,False
21, 22.013350526981778,21.16668319902094,22.765830947756566,13.715787,4,99.5428368475062,First,SpeedUp,non,False,None,False
22, 22.014291638614722,21.167588114052617,22.765830947756566,14.850519,4,99.48053409618959,First,SpeedUp,non,False,None,False
23, 21.930627109395186,21.087141451341523,22.765830947756566,15.982251,4,99.4187698458798,First,SpeedUp,non,False,None,False
24, 22.03086464271797,21.183523694921124,22.765830947756566,17.110983,4,99.35755014714994,First,SpeedUp,non,False,None,False
25, 21.98975777606837,21.143997861604202,22.765830947756566,18.236715,4,99.29684474713444,First,SpeedUp,non,False,None,False
26, 21.99089793178026,21.145094165173326,22.765830947756566,19.359447,4,99.23667784812577,First,SpeedUp,non,False,None,False
27, 21.904467396132087,21.061987880896236,22.765830947756566,20.47918,4,99.1770433995508,First,SpeedUp,non,False,None,False
28, 21.9153489122827,21.072450877194903,22.765830947756566,21.595911,4,99.11792930026331,First,SpeedUp,non,False,None,False
29, 21.96440186707053,21.11961717987551,22.765830947756566,22.709644,4,99.05934160083643,First,SpeedUp,non,False,None,False
30, 21.994407076733275,21.148468343012762,22.765830947756566,23.820377,4,99.0012621495508,First,SpeedUp,non,False,None,False
