turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.242003841910616,20.242003841910616,21.682284075618114,0.06019349,7,99.9782419575897,First,non,non,False,None,False
2, 20.171912649624584,20.171912649624584,21.682284075618114,0.18058047,7,99.96314945948832,First,non,non,False,None,False
3, 20.181098537596576,20.181098537596576,21.682284075618114,0.36116093,7,99.95351733078603,First,non,non,False,None,False
4, 20.146743798481204,20.146743798481204,21.682284075618114,0.6019349,7,99.94811258484431,First,non,non,False,None,False
5, 20.226896270731228,20.226896270731228,21.682284075618114,0.90290236,7,99.94573004675337,First,non,non,False,None,False
6, 20.17199700535464,20.17199700535464,21.682284075618114,1.2640634,7,99.94514600045092,First,non,non,False,None,False
7, 20.1321781409849,20.1321781409849,21.682284075618114,1.6854178,7,99.94514600045092,First,non,non,False,None,False
8, 20.1499223260696,20.1499223260696,21.682284075618114,2.1669657,7,99.9445063306911,First,non,non,False,None,False
9, 20.2376890409905,20.2376890409905,21.682284075618114,2.708707,7,99.94202181626163,First,non,non,False,None,False
10, 20.188637723234038,20.188637723234038,21.682284075618114,3.310642,7,99.93645947052401,First,non,non,False,None,False
11, 20.175242643821697,20.175242643821697,21.682284075618114,3.9727705,7,99.92659557741598,First,non,non,False,None,False
12, 20.15530898604239,20.15530898604239,21.682284075618114,4.695092,7,99.91123423260395,First,non,non,False,None,False
13, 20.244881343690373,20.244881343690373,21.682284075618114,5.4776077,7,99.8891424494494,First,non,non,False,None,False
14, 20.120242855904774,20.120242855904774,21.682284075618114,6.320317,7,99.8591057824663,First,non,non,False,None,False
15, 20.19947164231036,20.19947164231036,21.682284075618114,7.223219,7,99.81990051559237,First,non,non,False,None,False
16, 20.19162596595706,20.19162596595706,21.682284075618114,8.186315,7,99.77032147391779,First,non,non,False,None,False
17, 20.247851938184134,20.247851938184134,21.682284075618114,9.209604,7,99.70913567080406,First,non,non,False,None,False
18, 20.23686655498427,20.23686655498427,21.682284075618114,10.229894,7,99.64855245514524,First,non,non,False,None,False
19, 20.503349902301164,20.159857164212543,21.682284075618114,11.249151,6.95,99.58794142775773,First,non,InsideOvertaking,False,None,False
20, 21.859643365645613,20.12364188076304,21.682284075618114,12.268602,6.8999996,99.52728404748908,First,non,InsideOvertaking,False,None,False
