turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.370171137055177,21.370171137055177,24.116584934755064,0.060760807,3,99.9788536253696,First,non,non,False,None,False
2, 21.35653845868729,21.35653845868729,24.116584934755064,0.18228242,3,99.96424872691559,First,non,non,False,None,False
3, 21.31310914501735,21.31310914501735,24.116584934755064,0.36456484,3,99.9549941377962,First,non,non,False,None,False
4, 21.368058030402743,21.368058030402743,24.116584934755064,0.6076081,3,99.94986073289404,First,non,non,False,None,False
5, 21.36862935689421,21.36862935689421,24.116584934755064,0.9114121,3,99.94764650014575,First,non,non,False,None,False
6, 21.417590060685747,21.417590060685747,24.116584934755064,1.2759769,3,99.9471403898033,First,non,non,False,None,False
7, 21.338249608952175,21.338249608952175,24.116584934755064,1.7013025,3,99.9471313521186,First,non,non,False,None,False
8, 21.414606419120357,21.414606419120357,24.116584934755064,2.187389,3,99.94641737502833,First,non,non,False,None,False
9, 21.34394790836557,21.34394790836557,24.116584934755064,2.7342362,3,99.94378740878444,First,non,non,False,None,False
10, 21.405757836295926,21.405757836295926,24.116584934755064,3.3418443,3,99.93802136595421,First,non,non,False,None,False
11, 21.379128976906156,21.379128976906156,24.116584934755064,4.0102134,3,99.92790819678957,First,non,non,False,None,False
12, 21.315260749602643,21.315260749602643,24.116584934755064,4.739343,3,99.9122458892272,First,non,non,False,None,False
13, 21.376692561699347,21.376692561699347,24.116584934755064,5.5292335,3,99.88982339351901,First,non,non,False,None,False
14, 21.31989021188322,21.31989021188322,24.116584934755064,6.3798847,3,99.85942965991698,First,non,non,False,None,False
15, 21.392258381896134,21.392258381896134,24.116584934755064,7.291297,3,99.81985363867307,First,non,non,False,None,False
16, 21.356907354968282,21.356907354968282,24.116584934755064,8.26347,3,99.76989331772393,First,non,non,False,None,False
17, 21.318592662233232,21.318592662233232,24.116584934755064,9.296404,3,99.70831957195212,First,non,non,False,None,False
18, 21.39357860268706,21.39357860268706,24.116584934755064,10.390099,3,99.63393942697897,First,non,non,False,None,False
19, 21.351771170940953,21.351771170940953,24.116584934755064,11.480793,3,99.56021903298797,First,non,non,False,None,False
20, 21.389491655006438,21.389491655006438,24.116584934755064,12.568487,3,99.48715838997913,First,non,non,False,None,False
21, 21.339007578133852,21.339007578133852,24.116584934755064,13.653182,3,99.41474846026773,First,non,non,False,None,False
22, 21.319872069805562,21.319872069805562,24.116584934755064,14.734877,3,99.3429892438538,First,non,non,False,None,False
23, 21.42072697336248,21.42072697336248,24.116584934755064,15.813571,3,99.271889778422,First,non,non,False,None,False
24, 21.386196630795858,21.386196630795858,24.116584934755064,16.889265,3,99.20142295091829,First,non,non,False,None,False
25, 21.385818769159506,21.385818769159506,24.116584934755064,17.96196,3,99.13160683671202,First,non,non,False,None,False
26, 21.324391345636176,21.324391345636176,24.116584934755064,19.031654,3,99.06243239811853,First,non,non,False,None,False
27, 21.339366930143406,21.339366930143406,24.116584934755064,20.098349,3,98.99389963513782,First,non,non,False,None,False
28, 21.389780021760586,21.389780021760586,24.116584934755064,21.165804,3,98.92519515614805,First,non,non,False,None,False
29, 21.367504813190802,21.367504813190802,24.116584934755064,22.23402,3,98.85634607420329,First,non,non,False,None,False
30, 21.410838659487943,21.410838659487943,24.116584934755064,23.302998,3,98.7873162385648,First,non,non,False,None,False
31, 21.29316536817364,21.29316536817364,24.116584934755064,24.368975,3,98.71892807853907,First,non,non,False,None,False
32, 21.347033396798015,21.347033396798015,24.116584934755064,25.435713,3,98.65037724018897,First,non,non,False,None,False
33, 21.39424597385546,21.39424597385546,24.116584934755064,26.503212,3,98.5816727611992,First,non,non,False,None,False
34, 21.416766083965392,21.416766083965392,24.116584934755064,27.571472,3,98.51280560388507,First,non,non,False,None,False
35, 21.2971309797298,21.2971309797298,24.116584934755064,28.636732,3,98.44457108449902,First,non,non,False,None,False
36, 21.342603283633213,21.342603283633213,24.116584934755064,29.702753,3,98.3761738867886,First,non,non,False,None,False
37, 21.33261100927269,21.33261100927269,24.116584934755064,30.769533,3,98.30761401075382,First,non,non,False,None,False
38, 21.364332625509043,21.364332625509043,24.116584934755064,31.837074,3,98.23890049407937,First,non,non,False,None,False
39, 21.390668105453365,21.390668105453365,24.116584934755064,32.905376,3,98.17002429908055,First,non,non,False,None,False
40, 21.35546875536407,21.35546875536407,24.116584934755064,33.97068,3,98.10177170432513,First,non,non,False,None,False
41, 21.304810581358026,21.304810581358026,24.116584934755064,35.03298,3,98.03416982286716,First,non,non,False,None,False
42, 21.31139145667568,21.31139145667568,24.116584934755064,36.096046,3,97.96638718771545,First,non,non,False,None,False
43, 21.38367568316314,21.38367568316314,24.116584934755064,37.15987,3,97.89845994960876,First,non,non,False,None,False
44, 21.331624072473,21.331624072473,24.116584934755064,38.224457,3,97.8303700331777,First,non,non,False,None,False
45, 21.375591981488817,21.375591981488817,24.116584934755064,39.289803,3,97.76211743842228,First,non,non,False,None,False
46, 21.32741675832045,21.32741675832045,24.116584934755064,40.355907,3,97.69371120302718,First,non,non,False,None,False
47, 21.3644431455258,21.3644431455258,24.116584934755064,41.422775,3,97.62512421393834,First,non,non,False,None,False
48, 21.310088143639778,21.310088143639778,24.116584934755064,42.48664,3,97.55718793814695,First,non,non,False,None,False
49, 21.326426075933387,21.326426075933387,24.116584934755064,43.55127,3,97.4890889840312,First,non,non,False,None,False
50, 21.32668749369145,21.32668749369145,24.116584934755064,44.616657,3,97.42082735159109,First,non,non,False,None,False
51, 21.389178025986894,21.389178025986894,24.116584934755064,45.682808,3,97.35240304082662,First,non,non,False,None,False
52, 21.41666133987652,21.41666133987652,24.116584934755064,46.749718,3,97.28381605173777,First,non,non,False,None,False
53, 21.36717275843131,21.36717275843131,24.116584934755064,47.81739,3,97.21507542200926,First,non,non,False,None,False
54, 21.32776897404284,21.32776897404284,24.116584934755064,48.88206,3,97.14695839252414,First,non,non,False,None,False
55, 21.34019188343416,21.34019188343416,24.116584934755064,49.947495,3,97.07869676008403,First,non,non,False,None,False
56, 21.309766343377625,21.309766343377625,24.116584934755064,51.013687,3,97.01026341163487,First,non,non,False,None,False
57, 21.307069537904706,21.307069537904706,24.116584934755064,52.07688,3,96.94246270111378,First,non,non,False,None,False
58, 21.419628224150156,21.419628224150156,24.116584934755064,53.140835,3,96.87450834995303,First,non,non,False,None,False
59, 21.40525423205219,21.40525423205219,24.116584934755064,54.20555,3,96.80638228278322,First,non,non,False,None,False
60, 21.39599239603607,21.39599239603607,24.116584934755064,55.271027,3,96.73810257497374,First,non,non,False,None,False
61, 21.327777424061292,21.327777424061292,24.116584934755064,56.33726,3,96.66966018883988,First,non,non,False,None,False
62, 21.401640541835256,21.401640541835256,24.116584934755064,57.40426,3,96.60105512438167,First,non,non,False,None,False
63, 21.405899769355727,21.405899769355727,24.116584934755064,58.472015,3,96.53229641928378,First,non,non,False,None,False
64, 21.419447938651615,21.419447938651615,24.116584934755064,59.540535,3,96.46337503586153,First,non,non,False,None,False
65, 21.28981762498257,21.28981762498257,24.116584934755064,60.606052,3,96.39508629036736,First,non,non,False,None,False
66, 21.325842170859953,21.325842170859953,24.116584934755064,61.672333,3,96.32662582886414,First,non,non,False,None,False
67, 21.29898916619992,21.29898916619992,24.116584934755064,62.73561,3,96.25881608065836,First,non,non,False,None,False
68, 21.347301438428595,21.347301438428595,24.116584934755064,63.799652,3,96.19083461644355,First,non,non,False,None,False
69, 21.329988100075514,21.329988100075514,24.116584934755064,64.864456,3,96.12269951158906,First,non,non,False,None,False
70, 21.31768748865915,21.31768748865915,24.116584934755064,65.930016,3,96.0544017284102,First,non,non,False,None,False
71, 21.31529845759429,21.31529845759429,24.116584934755064,66.99634,3,95.98594126690698,First,non,non,False,None,False
72, 21.311924807425566,21.311924807425566,24.116584934755064,68.05966,3,95.91812248101652,First,non,non,False,None,False
