turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.494015997215225,19.705784612706946,21.25821171531703,0.060257196,7,99.99362626389319,First,SpeedUp,non,False,None,False
2, 20.49931267573788,19.710877572824884,21.25821171531703,0.18077159,7,99.98946554685088,First,SpeedUp,non,False,None,False
3, 20.492570143581347,19.70439436882822,21.25821171531703,0.36154318,7,99.9870354468972,First,SpeedUp,non,False,None,False
4, 20.558592022267266,19.767876944487757,21.25821171531703,0.60257196,7,99.98588371217969,First,SpeedUp,non,False,None,False
5, 20.538662526805986,19.74871396808268,21.25821171531703,0.90385795,7,99.98553397074716,First,SpeedUp,non,False,None,False
6, 20.538525469504826,19.74858218221618,21.25821171531703,1.2654011,7,99.98551588067305,First,SpeedUp,non,False,None,False
7, 20.524790823529013,19.73537579185482,21.25821171531703,1.6872015,7,99.98537719010498,First,SpeedUp,non,False,None,False
8, 20.467999382667625,19.680768637180407,21.25821171531703,2.169259,7,99.9846415270917,First,SpeedUp,non,False,None,False
9, 20.56416278448741,19.77323344662251,21.25821171531703,2.7115738,7,99.98283854970671,First,SpeedUp,non,False,None,False
10, 20.561347368124316,19.77052631550415,21.25821171531703,3.3141458,7,99.97951600609757,First,SpeedUp,non,False,None,False
11, 20.56251399191111,19.771648069145296,21.25821171531703,3.976975,7,99.97417943423898,First,SpeedUp,non,False,None,False
12, 20.48481321284625,19.696935781582933,21.25821171531703,4.7000613,7,99.96638864232789,First,SpeedUp,non,False,None,False
13, 20.54176403939916,19.75169619172996,21.25821171531703,5.483405,7,99.9556672584131,First,SpeedUp,non,False,None,False
14, 20.46249155263506,19.675472646764483,21.25821171531703,6.327006,7,99.94154494056808,First,SpeedUp,non,False,None,False
15, 20.547110615081095,19.756837129885668,21.25821171531703,7.2308636,7,99.92355134686632,First,SpeedUp,non,False,None,False
16, 20.575262837829882,19.783906574836426,21.25821171531703,8.194979,7,99.90122819543069,First,SpeedUp,non,False,None,False
17, 20.542160013986017,19.752076936525015,21.25821171531703,9.219351,7,99.87410514433468,First,SpeedUp,non,False,None,False
18, 20.537181610205764,19.747290009813234,21.25821171531703,10.30398,7,99.84171185165175,First,SpeedUp,non,False,None,False
19, 20.4766204948043,19.689058168081058,21.25821171531703,11.38561,7,99.80960197012968,First,SpeedUp,non,False,None,False
20, 20.558772987737772,19.768050949747856,21.25821171531703,12.464239,7,99.77775137966965,First,SpeedUp,non,False,None,False
21, 20.492031920529858,19.703876846663324,21.25821171531703,13.539868,7,99.7461842003705,First,SpeedUp,non,False,None,False
22, 20.577273087763373,19.785839507464782,21.25821171531703,14.612498,7,99.71487028210868,First,SpeedUp,non,False,None,False
23, 20.481919076914085,19.694152958571234,21.25821171531703,15.682128,7,99.68383374498303,First,SpeedUp,non,False,None,False
24, 20.51716220217996,19.728040579019194,21.25821171531703,16.748758,7,99.65307458899352,First,SpeedUp,non,False,None,False
25, 20.526970292071855,19.737471434684476,21.25821171531703,17.812387,7,99.62257472406608,First,SpeedUp,non,False,None,False
26, 20.48888400666611,19.700850006409723,21.25821171531703,18.873016,7,99.59232812017599,First,SpeedUp,non,False,None,False
27, 20.558765949710324,19.76804418241377,21.25821171531703,19.930645,7,99.56235889742204,First,SpeedUp,non,False,None,False
28, 20.54090813417684,19.750873205939268,21.25821171531703,20.985275,7,99.53265499575487,First,SpeedUp,non,False,None,False
29, 20.52608546392492,19.736620638389347,21.25821171531703,22.036905,7,99.50321038514974,First,SpeedUp,non,False,None,False
30, 20.50867819252175,19.71988287742476,21.25821171531703,23.085535,7,99.47401903558197,First,SpeedUp,non,False,None,False
31, 20.49174944809287,19.70360523855084,21.25821171531703,24.131165,7,99.44509300710097,First,SpeedUp,non,False,None,False
32, 20.54225906872705,19.752172181468314,21.25821171531703,25.173794,7,99.416426269682,First,SpeedUp,non,False,None,False
