turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.51320840019177,19.72423884633824,21.21238534217387,0.060257196,6,99.99362626389319,First,SpeedUp,non,False,None,False
2, 20.522162846001468,19.732848890386027,21.21238534217387,0.18077159,6,99.98946554685088,First,SpeedUp,non,False,None,False
3, 20.534493940334173,19.74470571185978,21.21238534217387,0.36154318,6,99.9870354468972,First,SpeedUp,non,False,None,False
4, 20.508273862324284,19.719494098388733,21.21238534217387,0.60257196,6,99.98588371217969,First,SpeedUp,non,False,None,False
5, 20.463235525476797,19.67618800526615,21.21238534217387,0.90385795,6,99.98553397074716,First,SpeedUp,non,False,None,False
6, 20.50874119534564,19.719943457063113,21.21238534217387,1.2654011,6,99.98551588067305,First,SpeedUp,non,False,None,False
7, 20.48891109422263,19.700876052137144,21.21238534217387,1.6872015,6,99.98537719010498,First,SpeedUp,non,False,None,False
8, 20.54642931356478,19.756182032273827,21.21238534217387,2.169259,6,99.9846415270917,First,SpeedUp,non,False,None,False
9, 20.51083676875095,19.721958431491295,21.21238534217387,2.7115738,6,99.98283854970671,First,SpeedUp,non,False,None,False
10, 20.540719063468202,19.750691407180962,21.21238534217387,3.3141458,6,99.97951600609757,First,SpeedUp,non,False,None,False
11, 20.550341303347583,19.759943560911136,21.21238534217387,3.976975,6,99.97417943423898,First,SpeedUp,non,False,None,False
12, 20.491314532588245,19.70318705056562,21.21238534217387,4.7000613,6,99.96638864232789,First,SpeedUp,non,False,None,False
13, 20.531432314474696,19.741761840841054,21.21238534217387,5.483405,6,99.9556672584131,First,SpeedUp,non,False,None,False
14, 20.560842203449074,19.770040580239492,21.21238534217387,6.327006,6,99.94154494056808,First,SpeedUp,non,False,None,False
15, 20.570842387210853,19.779656141548895,21.21238534217387,7.2308636,6,99.92355134686632,First,SpeedUp,non,False,None,False
